Nicholls,2506,Presbyterian,2447
time,team_id,description,h_score,a_score
19:31,2506,Reggie Dillard missed Three Point Jumper.,0,0
19:31,2447,Jahvaughn Powell Defensive Rebound.,0,0
19:10,2447,Legend Robertin missed Jumper.,0,0
19:10,2506,Presbyterian Defensive Rebound.,0,0
19:01,2506,Montenia Nelson missed Three Point Jumper.,0,0
19:01,2506,Armel TeTe Offensive Rebound.,0,0
18:53,2506,Reggie Dillard missed Jumper.,0,0
18:53,2447,Legend Robertin Block.,0,0
18:50,2447,Legend Robertin Defensive Rebound.,0,0
18:44,2447,Jahvaughn Powell made Three Point Jumper. Assisted by Kevin Johnson.,3,0
18:13,2506,Jaron Withers Turnover.,3,0
18:13,2447,Tevon Saddler Steal.,3,0
18:03,2447,Kevin Johnson missed Three Point Jumper.,3,0
18:03,2506,Armel TeTe Defensive Rebound.,3,0
17:43,2506,Jaron Withers Turnover.,3,0
17:24,2447,Roddy Peters made Jumper.,5,0
16:56,2447,Foul on Legend Robertin.,5,0
16:56,2506,Davon Bell made Free Throw.,5,1
16:56,2506,Davon Bell made Free Throw.,5,2
16:56,2506,Davon Bell made Free Throw.,5,3
16:41,2447,Tevon Saddler Turnover.,5,3
16:34,2506,Romeo Crouch Turnover.,5,3
16:27,2447,Tevon Saddler missed Jumper.,5,3
16:27,2506,Romeo Crouch Defensive Rebound.,5,3
16:15,2506,Francois Lewis missed Three Point Jumper.,5,3
16:15,2447,Roddy Peters Defensive Rebound.,5,3
16:06,2447,Lafayette Rutledge missed Three Point Jumper.,5,3
16:06,2506,Romeo Crouch Defensive Rebound.,5,3
15:47,2506,JC Younger missed Layup.,5,3
15:47,2447,Roddy Peters Defensive Rebound.,5,3
15:41,2447,Roddy Peters made Layup.,7,3
15:41,2506,Foul on Davon Bell.,7,3
15:41,2506,Official TV Timeout,7,3
15:41,2506,Technical Foul on Presbyterian.,7,3
15:41,2447,Jahvaughn Powell made Free Throw.,8,3
15:41,2447,Roddy Peters made Free Throw.,9,3
15:31,2506,Francois Lewis made Layup.,9,5
15:17,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Tevon Saddler.,12,5
14:56,2447,Foul on Kimani Jackson.,12,5
14:56,2506,Romeo Crouch made Free Throw.,12,6
14:56,2506,Romeo Crouch made Free Throw.,12,7
14:45,2447,Jahvaughn Powell missed Three Point Jumper.,12,7
14:45,2506,JC Younger Defensive Rebound.,12,7
14:39,2506,Romeo Crouch missed Three Point Jumper.,12,7
14:39,2447,Tevon Saddler Defensive Rebound.,12,7
14:36,2506,Foul on Francois Lewis.,12,7
14:21,2447,Kimani Jackson made Layup. Assisted by Roddy Peters.,14,7
13:52,2506,Reggie Dillard made Jumper.,14,9
13:36,2447,Roddy Peters made Layup.,16,9
13:21,2506,Francois Lewis missed Jumper.,16,9
13:21,2506,Romeo Crouch Offensive Rebound.,16,9
13:16,2506,JC Younger missed Three Point Jumper.,16,9
13:16,2447,Jahvaughn Powell Defensive Rebound.,16,9
13:08,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Roddy Peters.,19,9
12:48,2506,JC Younger missed Layup.,19,9
12:48,2506,JC Younger Offensive Rebound.,19,9
12:25,2506,Reggie Dillard missed Three Point Jumper.,19,9
12:25,2447,Jahvaughn Powell Defensive Rebound.,19,9
12:17,2447,Lafayette Rutledge missed Three Point Jumper.,19,9
12:17,2506,Romeo Crouch Defensive Rebound.,19,9
11:54,2506,Davon Bell Turnover.,19,9
11:54,2506,Official TV Timeout,19,9
11:47,2447,Legend Robertin made Dunk. Assisted by Roddy Peters.,21,9
11:38,2506,Armel TeTe Turnover.,21,9
11:36,2447,Tevon Saddler Steal.,21,9
11:34,2447,Tevon Saddler missed Jumper.,21,9
11:34,2506,Armel TeTe Defensive Rebound.,21,9
10:55,2506,Montenia Nelson missed Three Point Jumper.,21,9
10:55,2447,Nicholls Deadball Team Rebound.,21,9
10:38,2447,Roddy Peters missed Jumper.,21,9
10:38,2447,Nicholls Offensive Rebound.,21,9
10:37,2506,Foul on Armel TeTe.,21,9
10:35,2447,Lafayette Rutledge missed Three Point Jumper.,21,9
10:35,2506,Jaron Withers Defensive Rebound.,21,9
10:23,2506,Reggie Dillard made Jumper.,21,11
10:13,2447,Lafayette Rutledge missed Three Point Jumper.,21,11
10:13,2506,Presbyterian Defensive Rebound.,21,11
9:50,2506,Ethan Kay missed Three Point Jumper.,21,11
9:50,2447,Lafayette Rutledge Defensive Rebound.,21,11
9:36,2447,Tevon Saddler Turnover.,21,11
9:34,2506,Ethan Kay Steal.,21,11
9:10,2506,Reggie Dillard missed Three Point Jumper.,21,11
9:10,2447,Lafayette Rutledge Defensive Rebound.,21,11
9:02,2447,Jahvaughn Powell Turnover.,21,11
9:01,2506,Ethan Kay Steal.,21,11
