Texas Southern,228,Clemson,2640
time,team_id,description,h_score,a_score
19:31,2640,Kevin Scott Turnover.,0,0
19:30,228,Elijah Thomas Steal.,0,0
19:00,228,Clemson  Turnover.,0,0
18:40,2640,Derrick Bruce missed Three Point Jumper.,0,0
18:40,228,Marcquise Reed Defensive Rebound.,0,0
18:31,228,Shelton Mitchell missed Three Point Jumper.,0,0
18:31,2640,Donte Clark Defensive Rebound.,0,0
18:03,2640,Kevin Scott made Layup.,2,0
18:03,228,Foul on Marcquise Reed.,2,0
18:03,2640,Kevin Scott made Free Throw.,3,0
17:45,228,Elijah Thomas made Jumper.,3,2
17:31,2640,Kevin Scott missed Layup.,3,2
17:31,228,Elijah Thomas Block.,3,2
17:31,2640,Texas Southern Offensive Rebound.,3,2
17:21,2640,Donte Clark missed Three Point Jumper.,3,2
17:21,2640,Trayvon Reed Offensive Rebound.,3,2
17:16,228,Foul on Marcquise Reed.,3,2
17:10,2640,Donte Clark made Layup.,5,2
16:54,228,Donte Grantham Turnover.,5,2
16:53,2640,Demontrae Jefferson Steal.,5,2
16:37,2640,Kevin Scott missed Layup.,5,2
16:37,228,Elijah Thomas Block.,5,2
16:36,228,Donte Grantham Defensive Rebound.,5,2
16:32,228,Donte Grantham Turnover.,5,2
16:15,2640,Trayvon Reed made Layup. Assisted by Demontrae Jefferson.,7,2
16:14,228,Foul on Gabe DeVoe.,7,2
16:14,2640,Trayvon Reed made Free Throw.,8,2
15:56,228,Shelton Mitchell made Jumper.,8,4
15:27,2640,Donte Clark missed Layup.,8,4
15:27,228,Clyde Trapp Defensive Rebound.,8,4
15:18,228,Shelton Mitchell missed Three Point Jumper.,8,4
15:18,2640,Kevin Scott Defensive Rebound.,8,4
14:49,2640,Donte Clark missed Three Point Jumper.,8,4
14:49,228,Elijah Thomas Defensive Rebound.,8,4
14:43,228,Shelton Mitchell made Layup.,8,6
14:43,2640,Foul on Derrick Bruce.,8,6
14:43,228,Official TV Timeout,8,6
14:43,228,Shelton Mitchell made Free Throw.,8,7
14:19,2640,Trayvon Reed Turnover.,8,7
13:57,228,Elijah Thomas missed Layup.,8,7
13:57,2640,Derrick Bruce Defensive Rebound.,8,7
13:48,2640,Demontrae Jefferson missed Three Point Jumper.,8,7
