North Carolina Central,356,Illinois,2428
time,team_id,description,h_score,a_score
19:50,2428,Foul on Raasean Davis.,0,0
19:50,2428,Raasean Davis Turnover.,0,0
19:32,356,Michael Finke missed Jumper.,0,0
19:32,2428,Zacarry Douglas Defensive Rebound.,0,0
19:23,2428,Foul on Brandon Goldsmith.,0,0
19:23,2428,Brandon Goldsmith Turnover.,0,0
19:08,356,Mark Alstork missed Jumper.,0,0
19:08,2428,Brandon Goldsmith Defensive Rebound.,0,0
18:40,2428,Reginald Gardner Jr missed Jumper.,0,0
18:40,356,Leron Black Defensive Rebound.,0,0
18:24,356,Mark Smith missed Three Point Jumper.,0,0
18:24,2428,C.J. Wiggins Defensive Rebound.,0,0
18:17,2428,Reginald Gardner Jr missed Layup.,0,0
18:17,356,Michael Finke Defensive Rebound.,0,0
18:08,356,Leron Black made Dunk. Assisted by Te'Jon Lucas.,0,2
17:46,2428,Zacarry Douglas Turnover.,0,2
17:34,356,Leron Black made Jumper.,0,4
17:12,2428,Zacarry Douglas made Three Point Jumper. Assisted by C.J. Wiggins.,3,4
17:03,2428,Foul on Reginald Gardner Jr.,3,4
17:03,356,Mark Smith Turnover.,3,4
17:01,2428,C.J. Wiggins Steal.,3,4
16:59,2428,Reginald Gardner Jr made Three Point Jumper. Assisted by C.J. Wiggins.,6,4
16:36,356,Mark Alstork missed Three Point Jumper.,6,4
16:36,356,Illinois Deadball Team Rebound.,6,4
16:35,2428,Foul on Raasean Davis.,6,4
16:08,356,Michael Finke made Jumper.,6,6
15:52,2428,Foul on Dominique Reid.,6,6
15:52,2428,Dominique Reid Turnover.,6,6
15:52,356,Official TV Timeout,6,6
15:22,356,Te'Jon Lucas missed Jumper.,6,6
15:22,2428,Brandon Goldsmith Defensive Rebound.,6,6
15:07,2428,C.J. Wiggins Turnover.,6,6
14:49,356,Michael Finke made Three Point Jumper. Assisted by Da'Monte Williams.,6,9
14:31,2428,C.J. Wiggins missed Jumper.,6,9
14:31,356,Michael Finke Defensive Rebound.,6,9
14:13,356,Michael Finke made Three Point Jumper. Assisted by Aaron Jordan.,6,12
13:55,2428,C.J. Wiggins Turnover.,6,12
13:45,356,Michael Finke missed Three Point Jumper.,6,12
13:45,356,Da'Monte Williams Offensive Rebound.,6,12
13:31,356,Kipper Nichols missed Jumper.,6,12
13:31,2428,Jordan Perkins Defensive Rebound.,6,12
13:21,2428,Reginald Gardner Jr missed Three Point Jumper.,6,12
13:21,356,Aaron Jordan Defensive Rebound.,6,12
13:04,2428,Foul on Pablo Rivas.,6,12
12:57,356,Leron Black Turnover.,6,12
12:45,356,Foul on Leron Black.,6,12
12:33,356,Foul on Kipper Nichols.,6,12
12:20,2428,Larry McKnight Jr. missed Jumper.,6,12
12:20,356,Aaron Jordan Defensive Rebound.,6,12
12:13,356,Kipper Nichols made Three Point Jumper. Assisted by Trent Frazier.,6,15
11:43,2428,Foul on Jordan Perkins.,6,15
11:43,2428,Jordan Perkins Turnover.,6,15
11:43,356,Official TV Timeout,6,15
11:18,356,Foul on Kipper Nichols.,6,15
11:18,356,Kipper Nichols Turnover.,6,15
11:09,2428,Alston Jones Turnover.,6,15
11:00,356,Aaron Jordan made Three Point Jumper. Assisted by Mark Smith.,6,18
10:40,2428,Dominique Reid made Layup. Assisted by Alston Jones.,8,18
10:28,356,Leron Black missed Jumper.,8,18
10:28,2428,North Carolina Central Defensive Rebound.,8,18
10:13,2428,Pablo Rivas made Layup. Assisted by Alston Jones.,10,18
9:56,356,Trent Frazier made Three Point Jumper. Assisted by Mark Alstork.,10,21
9:26,2428,Jordan Perkins missed Jumper.,10,21
9:26,356,Leron Black Defensive Rebound.,10,21
9:15,356,Leron Black missed Jumper.,10,21
