Northwestern State,36,Colorado State,2466
time,team_id,description,h_score,a_score
19:49,2466,Iziahiah Sweeney missed Jumper.,0,0
19:49,36,Anthony Bonner Defensive Rebound.,0,0
19:40,36,Che Bob made Three Point Jumper. Assisted by Nico Carvacho.,0,3
19:12,2466,Iziahiah Sweeney Turnover.,0,3
19:11,36,Deion James Steal.,0,3
19:06,36,Che Bob missed Layup.,0,3
19:06,2466,Ishmael Lane Block.,0,3
19:04,2466,Northwestern State Defensive Rebound.,0,3
18:52,2466,Jalan West missed Three Point Jumper.,0,3
18:52,36,Che Bob Defensive Rebound.,0,3
18:39,36,Nico Carvacho made Jumper. Assisted by Che Bob.,0,5
18:21,2466,Iziahiah Sweeney Turnover.,0,5
18:21,36,Che Bob Steal.,0,5
18:21,2466,Northwestern State  Timeout,0,5
18:11,36,J.D. Paige made Jumper. Assisted by Nico Carvacho.,0,7
17:55,2466,Brandon Hutton missed Three Point Jumper.,0,7
17:55,36,Nico Carvacho Defensive Rebound.,0,7
17:33,36,Foul on Nico Carvacho.,0,7
17:33,36,Nico Carvacho Turnover.,0,7
17:11,2466,Ishmael Lane made Three Point Jumper. Assisted by Jalan West.,3,7
16:56,36,Deion James missed Jumper.,3,7
16:56,36,Colorado State Offensive Rebound.,3,7
16:42,36,Che Bob missed Layup.,3,7
16:42,36,Nico Carvacho Offensive Rebound.,3,7
16:40,36,Nico Carvacho missed Layup.,3,7
16:40,2466,Ishmael Lane Defensive Rebound.,3,7
16:22,2466,Iziahiah Sweeney missed Jumper.,3,7
16:22,36,Che Bob Defensive Rebound.,3,7
16:17,36,Che Bob Turnover.,3,7
16:16,2466,Iziahiah Sweeney Steal.,3,7
16:15,2466,Iziahiah Sweeney made Layup.,5,7
16:15,36,Foul on Che Bob.,5,7
16:15,2466,Iziahiah Sweeney made Free Throw.,6,7
16:10,36,Nico Carvacho Turnover.,6,7
16:09,2466,Iziahiah Sweeney Steal.,6,7
16:06,2466,Devonte Hall Turnover.,6,7
16:05,36,Che Bob Steal.,6,7
15:59,36,Deion James missed Jumper.,6,7
15:59,36,Che Bob Offensive Rebound.,6,7
15:55,36,Che Bob made Layup.,6,9
15:31,2466,Devonte Hall Turnover.,6,9
15:27,36,Lorenzo Jenkins missed Three Point Jumper.,6,9
15:27,2466,Jalan West Defensive Rebound.,6,9
15:20,2466,Malik Metoyer missed Layup.,6,9
15:20,36,Lorenzo Jenkins Defensive Rebound.,6,9
15:09,2466,Foul on Iziahiah Sweeney.,6,9
14:55,36,Che Bob made Layup.,6,11
14:38,2466,Jacob Guest missed Three Point Jumper.,6,11
14:38,36,Anthony Bonner Defensive Rebound.,6,11
14:28,36,Anthony Bonner Turnover.,6,11
14:27,2466,Vontay Ott Steal.,6,11
14:24,2466,Vontay Ott made Layup.,8,11
14:09,36,Nico Carvacho missed Jumper.,8,11
14:09,2466,Jacob Guest Defensive Rebound.,8,11
13:39,2466,C.J. Jones missed Jumper.,8,11
13:39,36,Nico Carvacho Defensive Rebound.,8,11
13:23,36,Anthony Bonner Turnover.,8,11
13:12,2466,Vontay Ott made Three Point Jumper. Assisted by Darian Dixon.,11,11
12:54,36,Robbie Berwick missed Three Point Jumper.,11,11
12:54,36,Lorenzo Jenkins Offensive Rebound.,11,11
12:50,2466,Foul on Darian Dixon.,11,11
12:39,36,Lorenzo Jenkins missed Layup.,11,11
12:39,2466,Larry Owens Block.,11,11
12:37,2466,Northwestern State Defensive Rebound.,11,11
12:20,2466,Jacob Guest made Jumper.,13,11
12:02,36,Nico Carvacho missed Jumper.,13,11
12:02,2466,Vontay Ott Defensive Rebound.,13,11
11:46,36,Foul on Lorenzo Jenkins.,13,11
11:46,36,Official TV Timeout,13,11
11:46,2466,C.J. Jones made Free Throw.,14,11
11:46,2466,C.J. Jones made Free Throw.,15,11
11:35,36,Che Bob missed Layup.,15,11
11:35,2466,Iziahiah Sweeney Block.,15,11
11:33,2466,Devonte Hall Defensive Rebound.,15,11
11:25,2466,Iziahiah Sweeney missed Three Point Jumper.,15,11
11:25,36,Che Bob Defensive Rebound.,15,11
11:17,36,J.D. Paige made Three Point Jumper.,15,14
11:04,2466,Ishmael Lane missed Layup.,15,14
11:04,36,Che Bob Block.,15,14
11:02,36,Che Bob Defensive Rebound.,15,14
10:50,36,Raquan Mitchell made Layup. Assisted by Deion James.,15,16
10:25,2466,Iziahiah Sweeney Turnover.,15,16
10:24,36,Che Bob Steal.,15,16
10:18,36,Deion James made Layup. Assisted by Robbie Berwick.,15,18
10:01,2466,Brandon Hutton Turnover.,15,18
10:00,36,Deion James Steal.,15,18
9:52,36,J.D. Paige Turnover.,15,18
9:51,2466,Malik Metoyer Steal.,15,18
9:49,2466,Jalan West Turnover.,15,18
9:48,36,J.D. Paige Steal.,15,18
9:46,36,J.D. Paige made Dunk.,15,20
9:24,2466,Malik Metoyer missed Three Point Jumper.,15,20
9:24,36,Raquan Mitchell Defensive Rebound.,15,20
9:19,2466,Foul on Devonte Hall.,15,20
8:58,36,J.D. Paige missed Three Point Jumper.,15,20
8:58,36,Nico Carvacho Offensive Rebound.,15,20
8:55,2466,Foul on Ishmael Lane.,15,20
8:44,2466,Foul on Malik Metoyer.,15,20
8:44,36,Che Bob missed Free Throw.,15,20
8:44,36,Colorado State Deadball Team Rebound.,15,20
8:44,36,Che Bob made Free Throw.,15,21
8:38,2466,Caleb Starks missed Three Point Jumper.,15,21
8:38,2466,Caleb Starks Offensive Rebound.,15,21
8:06,2466,Jalan West made Three Point Jumper.,18,21
7:44,36,Anthony Bonner Turnover.,18,21
7:43,2466,Jalan West Steal.,18,21
7:41,2466,Jalan West made Layup.,20,21
7:24,36,Nico Carvacho made Layup. Assisted by J.D. Paige.,20,23
7:13,2466,Jalan West made Three Point Jumper.,23,23
7:01,36,Raquan Mitchell missed Three Point Jumper.,23,23
7:01,36,Colorado State Offensive Rebound.,23,23
6:59,36,Official TV Timeout,23,23
6:38,36,J.D. Paige made Three Point Jumper. Assisted by Che Bob.,23,26
6:03,2466,Jalan West Turnover.,23,26
6:02,36,Raquan Mitchell Steal.,23,26
5:59,2466,Foul on Ishmael Lane.,23,26
5:59,36,Raquan Mitchell made Free Throw.,23,27
5:59,36,Raquan Mitchell made Free Throw.,23,28
5:37,2466,Larry Owens missed Jumper.,23,28
5:37,36,Nico Carvacho Defensive Rebound.,23,28
5:19,36,Robbie Berwick made Layup.,23,30
5:00,2466,Darian Dixon made Jumper.,25,30
4:50,36,Raquan Mitchell made Jumper.,25,32
4:29,2466,Foul on Darian Dixon.,25,32
4:29,2466,Darian Dixon Turnover.,25,32
4:29,36,Colorado State  Timeout,25,32
4:29,36,Official TV Timeout,25,32
4:17,36,Robbie Berwick missed Jumper.,25,32
4:17,2466,Vontay Ott Defensive Rebound.,25,32
4:03,2466,Jacob Guest Turnover.,25,32
4:01,36,Robbie Berwick Steal.,25,32
3:56,36,Nico Carvacho Turnover.,25,32
3:39,2466,Brandon Hutton missed Three Point Jumper.,25,32
3:39,36,Raquan Mitchell Defensive Rebound.,25,32
3:21,36,Deion James missed Three Point Jumper.,25,32
3:21,2466,Larry Owens Defensive Rebound.,25,32
3:00,2466,Brandon Hutton Turnover.,25,32
2:52,36,J.D. Paige made Layup.,25,34
2:40,2466,Devonte Hall made Three Point Jumper. Assisted by Malik Metoyer.,28,34
2:24,36,Nico Carvacho Turnover.,28,34
2:08,2466,Larry Owens made Layup. Assisted by Devonte Hall.,30,34
1:54,2466,Foul on Malik Metoyer.,30,34
1:54,36,Deion James made Free Throw.,30,35
1:54,36,Deion James made Free Throw.,30,36
1:42,2466,Devonte Hall missed Three Point Jumper.,30,36
1:42,36,J.D. Paige Defensive Rebound.,30,36
1:33,36,J.D. Paige missed Layup.,30,36
1:33,36,Deion James Offensive Rebound.,30,36
1:31,36,Deion James Turnover.,30,36
1:30,2466,Jalan West Steal.,30,36
1:26,2466,Larry Owens Turnover.,30,36
1:07,36,Robbie Berwick missed Three Point Jumper.,30,36
1:07,2466,Northwestern State Defensive Rebound.,30,36
0:34,2466,Malik Metoyer missed Three Point Jumper.,30,36
0:34,36,J.D. Paige Defensive Rebound.,30,36
0:06,36,Deion James missed Three Point Jumper.,30,36
0:06,2466,Jalan West Defensive Rebound.,30,36
0:01,2466,Iziahiah Sweeney made Dunk. Assisted by Jalan West.,32,36
0:00,36,End of 1st half,32,36
19:36,36,Foul on J.D. Paige.,32,36
19:16,2466,Devonte Hall missed Three Point Jumper.,32,36
19:16,36,Che Bob Defensive Rebound.,32,36
19:08,36,J.D. Paige Turnover.,32,36
19:07,2466,Devonte Hall Steal.,32,36
19:03,2466,Devonte Hall Turnover.,32,36
18:40,36,Nico Carvacho made Layup. Assisted by Robbie Berwick.,32,38
18:17,2466,Brandon Hutton missed Jumper.,32,38
18:17,36,Che Bob Defensive Rebound.,32,38
18:04,36,J.D. Paige missed Jumper.,32,38
18:04,36,Deion James Offensive Rebound.,32,38
17:58,36,Robbie Berwick missed Three Point Jumper.,32,38
17:58,36,Deion James Offensive Rebound.,32,38
17:53,2466,Foul on Devonte Hall.,32,38
17:51,2466,Foul on Larry Owens.,32,38
17:51,36,Che Bob made Free Throw.,32,39
17:51,36,Che Bob made Free Throw.,32,40
17:36,2466,Malik Metoyer missed Three Point Jumper.,32,40
17:36,2466,Iziahiah Sweeney Offensive Rebound.,32,40
17:32,2466,Iziahiah Sweeney made Jumper.,34,40
17:16,36,Deion James made Layup. Assisted by Che Bob.,34,42
16:44,36,Foul on Deion James.,34,42
16:44,2466,Jalan West made Free Throw.,35,42
16:44,2466,Jalan West made Free Throw.,36,42
16:24,36,Nico Carvacho made Layup. Assisted by Deion James.,36,44
16:24,2466,Foul on Iziahiah Sweeney.,36,44
16:24,36,Nico Carvacho missed Free Throw.,36,44
16:24,2466,Larry Owens Defensive Rebound.,36,44
16:05,2466,Darian Dixon missed Jumper.,36,44
16:05,36,J.D. Paige Defensive Rebound.,36,44
15:35,2466,Foul on Darian Dixon.,36,44
15:35,36,Official TV Timeout,36,44
15:35,36,J.D. Paige made Free Throw.,36,45
15:35,36,J.D. Paige made Free Throw.,36,46
15:28,2466,Jalan West missed Layup.,36,46
