Denver,526,Florida Gulf Coast,2172
time,team_id,description,h_score,a_score
19:30,526,Zach Johnson made Jumper.,0,2
19:09,2172,Jake Krafka made Jumper. Assisted by Ade Murkey.,2,2
18:55,2172,Foul on Ade Murkey.,2,2
18:37,526,Zach Johnson missed Jumper.,2,2
18:37,2172,Jake Pemberton Defensive Rebound.,2,2
18:17,2172,Daniel Amigo made Jumper.,4,2
18:05,526,Christian Terrell Turnover.,4,2
18:03,2172,Daniel Amigo Steal.,4,2
17:58,2172,Jake Pemberton Turnover.,4,2
17:44,526,Antravious Simmons made Jumper.,4,4
17:30,2172,Joe Rosga missed Three Point Jumper.,4,4
17:30,526,Antravious Simmons Defensive Rebound.,4,4
17:16,2172,Foul on Jake Krafka.,4,4
17:07,526,Darnell Rogers missed Three Point Jumper.,4,4
17:07,2172,Joe Rosga Defensive Rebound.,4,4
16:51,2172,Daniel Amigo made Layup. Assisted by Jake Pemberton.,6,4
16:51,526,Foul on Christian Carlyle.,6,4
16:51,2172,Daniel Amigo missed Free Throw.,6,4
16:51,526,Florida Gulf Coast Offensive Rebound.,6,4
16:35,2172,Daniel Amigo made Jumper. Assisted by Joe Rosga.,8,4
16:09,526,Christian Terrell missed Jumper.,8,4
16:09,2172,Ade Murkey Defensive Rebound.,8,4
16:03,2172,Jake Krafka Turnover.,8,4
16:00,526,RaySean Scott Jr. made Layup. Assisted by Christian Terrell.,8,6
15:42,2172,Jake Pemberton missed Three Point Jumper.,8,6
15:42,526,RaySean Scott Jr. Defensive Rebound.,8,6
15:11,526,Christian Carlyle made Three Point Jumper. Assisted by Christian Terrell.,8,9
14:50,2172,Joe Rosga missed Three Point Jumper.,8,9
14:50,526,Christian Terrell Defensive Rebound.,8,9
14:38,526,Christian Terrell made Three Point Jumper. Assisted by Christian Carlyle.,8,12
14:01,526,Foul on Darnell Rogers.,8,12
13:47,2172,Jake Krafka Turnover.,8,12
13:47,2172,Foul on Jake Krafka.,8,12
13:27,526,Brady Ernst made Layup. Assisted by Darnell Rogers.,8,14
13:11,2172,Daniel Amigo made Layup. Assisted by Joe Rosga.,10,14
13:00,526,Christian Terrell missed Three Point Jumper.,10,14
13:00,2172,Daniel Amigo Defensive Rebound.,10,14
12:49,2172,Daniel Amigo made Jumper.,12,14
12:28,526,Christian Terrell Turnover.,12,14
12:28,2172,Abiola Akintola Steal.,12,14
12:20,2172,Elvin Rodriguez Turnover.,12,14
12:08,526,Christian Terrell made Layup.,12,16
11:36,2172,Daniel Amigo missed Three Point Jumper.,12,16
11:36,526,Brady Ernst Block.,12,16
11:35,526,Florida Gulf Coast Defensive Rebound.,12,16
11:35,526,Official TV Timeout,12,16
11:34,526,Foul on Antravious Simmons.,12,16
11:34,2172,Elvin Rodriguez missed Free Throw.,12,16
11:34,2172,Denver Deadball Team Rebound.,12,16
11:34,2172,Elvin Rodriguez made Free Throw.,13,16
