Bryant,42,Hartford,2803
time,team_id,description,h_score,a_score
19:40,42,J.R. Lynch Turnover.,0,0
19:39,2803,Ikenna Ndugba Steal.,0,0
19:35,2803,Ryan Layman made Layup.,2,0
19:25,2803,Foul on Sabastian Townes.,2,0
19:21,42,Jack Hobbs Turnover.,2,0
19:09,2803,Adam Grant made Jumper.,4,0
18:51,42,J.R. Lynch missed Three Point Jumper.,4,0
18:51,2803,Ikenna Ndugba Defensive Rebound.,4,0
18:33,2803,Bosko Kostur made Layup.,6,0
18:16,42,Jason Dunne made Three Point Jumper. Assisted by Jack Hobbs.,6,3
17:58,2803,Adam Grant missed Three Point Jumper.,6,3
17:58,42,Jason Dunne Defensive Rebound.,6,3
17:30,42,Hassan Attia Turnover.,6,3
17:29,2803,Ikenna Ndugba Steal.,6,3
17:24,42,Foul on Hassan Attia.,6,3
17:22,42,Foul on J.R. Lynch.,6,3
17:10,2803,Sabastian Townes made Jumper.,8,3
16:59,42,Foul on John Carroll.,8,3
16:59,42,John Carroll Turnover.,8,3
16:51,2803,Ikenna Ndugba made Three Point Jumper.,11,3
16:46,42,Hartford  Timeout,11,3
16:35,42,John Carroll Turnover.,11,3
16:34,2803,Adam Grant Steal.,11,3
16:30,2803,Ikenna Ndugba made Layup.,13,3
16:13,42,John Carroll made Jumper. Assisted by Hassan Attia.,13,5
15:56,2803,Ikenna Ndugba Turnover.,13,5
15:55,42,Hassan Attia Steal.,13,5
15:52,42,Jason Dunne missed Three Point Jumper.,13,5
15:52,42,Hassan Attia Offensive Rebound.,13,5
15:51,2803,Foul on Ikenna Ndugba.,13,5
15:51,42,Official TV Timeout,13,5
15:51,42,Hassan Attia missed Free Throw.,13,5
15:51,42,Hartford Deadball Team Rebound.,13,5
15:51,42,Hassan Attia missed Free Throw.,13,5
15:51,2803,Ryan Layman Defensive Rebound.,13,5
15:38,2803,Ryan Layman Turnover.,13,5
15:30,42,Jack Hobbs missed Three Point Jumper.,13,5
15:30,2803,Ikenna Ndugba Defensive Rebound.,13,5
15:15,2803,Bosko Kostur missed Three Point Jumper.,13,5
15:15,42,J.R. Lynch Defensive Rebound.,13,5
15:09,42,J.R. Lynch Turnover.,13,5
15:08,2803,Ryan Layman Steal.,13,5
15:02,2803,Adam Grant made Layup.,15,5
14:41,42,Jack Hobbs missed Jumper.,15,5
14:41,2803,Ryan Layman Defensive Rebound.,15,5
14:31,2803,Bosko Kostur made Three Point Jumper. Assisted by Adam Grant.,18,5
14:13,42,Jason Dunne missed Three Point Jumper.,18,5
14:13,2803,Ikenna Ndugba Defensive Rebound.,18,5
14:10,42,Foul on Jack Hobbs.,18,5
13:56,2803,Adam Grant missed Three Point Jumper.,18,5
13:56,42,J.R. Lynch Defensive Rebound.,18,5
13:52,2803,Foul on Bosko Kostur.,18,5
13:32,42,J.R. Lynch made Three Point Jumper. Assisted by Jason Dunne.,18,8
13:20,2803,Ikenna Ndugba missed Jumper.,18,8
13:20,42,John Carroll Defensive Rebound.,18,8
13:07,42,Jason Dunne Turnover.,18,8
12:53,2803,Foul on Bosko Kostur.,18,8
12:53,2803,Bosko Kostur Turnover.,18,8
12:39,2803,Foul on Aram Martin.,18,8
12:39,42,John Carroll made Free Throw.,18,9
12:39,42,John Carroll missed Free Throw.,18,9
12:39,2803,Ryan Layman Defensive Rebound.,18,9
12:26,2803,Sabastian Townes made Layup.,20,9
12:13,42,Foul on John Carroll.,20,9
12:13,42,John Carroll Turnover.,20,9
12:03,2803,Adam Grant made Layup. Assisted by Sabastian Townes.,22,9
11:38,42,J.R. Lynch made Layup.,22,11
11:17,2803,Sabastian Townes missed Jumper.,22,11
11:17,42,J.R. Lynch Defensive Rebound.,22,11
11:07,42,J.R. Lynch made Three Point Jumper.,22,14
10:51,42,Foul on Hassan Attia.,22,14
10:51,42,Official TV Timeout,22,14
10:43,42,Foul on Jack Hobbs.,22,14
10:43,2803,Sabastian Townes made Free Throw.,23,14
10:43,2803,Sabastian Townes made Free Throw.,24,14
10:31,42,Jack Hobbs missed Layup.,24,14
10:31,2803,Ryan Layman Block.,24,14
10:29,2803,Adam Grant Defensive Rebound.,24,14
10:20,2803,Ryan Layman made Jumper. Assisted by Hunter Ware.,26,14
9:59,42,Travis Weatherington Turnover.,26,14
9:58,2803,Sabastian Townes Steal.,26,14
9:55,2803,Hunter Ware made Layup.,28,14
9:54,42,Hartford  Timeout,28,14
9:35,42,Jason Dunne made Layup.,28,16
9:24,2803,Hunter Ware missed Jumper.,28,16
9:24,42,Jason Dunne Defensive Rebound.,28,16
8:58,42,J.R. Lynch missed Layup.,28,16
8:58,2803,Adam Grant Defensive Rebound.,28,16
8:53,42,Foul on Jason Dunne.,28,16
8:53,2803,Adam Grant missed Free Throw.,28,16
8:53,42,Hartford Defensive Rebound.,28,16
8:39,42,Max Twyman missed Three Point Jumper.,28,16
8:39,2803,Ikenna Ndugba Defensive Rebound.,28,16
8:25,2803,Ikenna Ndugba made Layup.,30,16
8:05,42,J.R. Lynch missed Layup.,30,16
8:05,2803,Aram Martin Block.,30,16
8:03,42,John Carroll Offensive Rebound.,30,16
7:59,42,John Carroll made Layup.,30,18
7:44,2803,Aram Martin made Layup. Assisted by Hunter Ware.,32,18
7:24,42,Official TV Timeout,32,18
7:23,42,Official TV Timeout,32,18
7:16,42,Jack Hobbs made Three Point Jumper. Assisted by John Carroll.,32,21
7:04,42,Foul on John Carroll.,32,21
7:04,2803,Sabastian Townes made Free Throw.,33,21
7:04,2803,Sabastian Townes missed Free Throw.,33,21
7:04,42,Hassan Attia Defensive Rebound.,33,21
6:48,42,J.R. Lynch made Jumper.,33,23
6:34,2803,Ryan Layman missed Three Point Jumper.,33,23
6:34,42,Max Twyman Defensive Rebound.,33,23
6:17,42,Jack Hobbs missed Three Point Jumper.,33,23
6:17,42,Hartford Offensive Rebound.,33,23
6:15,2803,Foul on Sabastian Townes.,33,23
6:08,42,Jack Hobbs missed Three Point Jumper.,33,23
6:08,2803,Hunter Ware Defensive Rebound.,33,23
5:58,2803,Hunter Ware made Jumper.,35,23
5:43,2803,Foul on Hunter Ware.,35,23
5:43,42,Max Twyman missed Free Throw.,35,23
5:43,2803,Ikenna Ndugba Defensive Rebound.,35,23
5:29,2803,Ikenna Ndugba Turnover.,35,23
5:28,42,Max Twyman Steal.,35,23
5:20,42,Jack Hobbs missed Three Point Jumper.,35,23
5:20,2803,Ikenna Ndugba Defensive Rebound.,35,23
5:13,2803,Ikenna Ndugba missed Layup.,35,23
5:13,42,Jack Hobbs Defensive Rebound.,35,23
5:05,42,Jason Dunne made Three Point Jumper. Assisted by J.R. Lynch.,35,26
4:43,2803,Ryan Layman missed Jumper.,35,26
4:43,42,Hassan Attia Block.,35,26
4:43,42,Hartford Defensive Rebound.,35,26
4:37,42,Jack Hobbs missed Three Point Jumper.,35,26
4:37,42,J.R. Lynch Offensive Rebound.,35,26
4:31,42,J.R. Lynch missed Jumper.,35,26
4:31,42,Travis Weatherington Offensive Rebound.,35,26
4:20,42,Jason Dunne made Three Point Jumper. Assisted by J.R. Lynch.,35,29
3:55,2803,Ikenna Ndugba missed Layup.,35,29
3:54,2803,Bryant Offensive Rebound.,35,29
3:53,42,Official TV Timeout,35,29
3:47,2803,Adam Grant made Layup.,37,29
3:27,42,Jason Dunne missed Three Point Jumper.,37,29
3:27,42,Hassan Attia Offensive Rebound.,37,29
3:20,42,Hassan Attia made Layup.,37,31
3:03,2803,Adam Grant missed Layup.,37,31
3:03,42,J.R. Lynch Defensive Rebound.,37,31
2:56,42,Foul on Jason Dunne.,37,31
2:56,42,Jason Dunne Turnover.,37,31
2:41,2803,Adam Grant missed Three Point Jumper.,37,31
2:41,42,Hassan Attia Defensive Rebound.,37,31
2:11,42,J.R. Lynch missed Three Point Jumper.,37,31
2:11,2803,Bryant Defensive Rebound.,37,31
2:01,2803,Ikenna Ndugba missed Jumper.,37,31
2:01,42,George Blagojevic Defensive Rebound.,37,31
1:42,42,J.R. Lynch made Layup.,37,33
1:26,2803,Adam Grant missed Three Point Jumper.,37,33
1:26,2803,Sabastian Townes Offensive Rebound.,37,33
1:23,42,Foul on George Blagojevic.,37,33
1:23,2803,Sabastian Townes made Free Throw.,38,33
1:23,2803,Sabastian Townes made Free Throw.,39,33
1:11,42,Jack Hobbs Turnover.,39,33
0:51,2803,Ikenna Ndugba made Three Point Jumper. Assisted by Adam Grant.,42,33
0:47,2803,Bryant  Timeout,42,33
0:41,42,Travis Weatherington missed Three Point Jumper.,42,33
0:41,2803,Hunter Ware Defensive Rebound.,42,33
0:22,2803,Adam Grant missed Three Point Jumper.,42,33
0:22,42,Travis Weatherington Defensive Rebound.,42,33
0:00,42,Travis Weatherington missed Layup.,42,33
0:00,2803,Aram Martin Block.,42,33
