Alabama A&amp;M,315,Niagara,2010
time,team_id,description,h_score,a_score
19:42,315,Dominic Robb made Jumper.,0,2
19:15,315,Foul on Matt Scott.,0,2
19:07,2010,De'Ederick Petty missed Jumper.,0,2
19:07,315,Marvin Prochet Defensive Rebound.,0,2
19:02,315,Chris Barton missed Three Point Jumper.,0,2
19:02,2010,Amari Goulbourne Defensive Rebound.,0,2
18:25,2010,De'Ederick Petty made Jumper.,2,2
18:16,315,Matt Scott made Jumper.,2,4
17:40,2010,Andre Kennedy missed Three Point Jumper.,2,4
17:40,2010,Alabama A&M Deadball Team Rebound.,2,4
17:37,2010,Alabama A&M  Turnover.,2,4
17:25,315,Kahlil Dukes missed Three Point Jumper.,2,4
17:25,2010,Amari Goulbourne Defensive Rebound.,2,4
17:17,2010,De'Ederick Petty Turnover.,2,4
17:01,315,Kahlil Dukes made Layup.,2,6
16:38,2010,Amari Goulbourne Turnover.,2,6
16:36,315,Matt Scott Steal.,2,6
16:32,315,Matt Scott made Layup.,2,8
16:32,2010,Foul on De'Ederick Petty.,2,8
16:32,315,Matt Scott missed Free Throw.,2,8
16:32,2010,Arthur Johnson Defensive Rebound.,2,8
16:25,2010,Amari Goulbourne made Three Point Jumper.,5,8
16:05,315,Chris Barton missed Jumper.,5,8
16:05,2010,Arthur Johnson Defensive Rebound.,5,8
15:53,2010,Arthur Johnson Turnover.,5,8
15:53,315,Official TV Timeout,5,8
15:23,315,Niagara  Turnover.,5,8
15:20,2010,Marcus Merriweather missed Jumper.,5,8
15:20,315,Marvin Prochet Defensive Rebound.,5,8
15:12,315,Matt Scott Turnover.,5,8
15:10,2010,Amari Goulbourne Steal.,5,8
15:07,2010,Arthur Johnson made Three Point Jumper. Assisted by Amari Goulbourne.,8,8
14:52,2010,Foul on Marcus Merriweather.,8,8
14:48,315,Matt Scott missed Three Point Jumper.,8,8
14:48,2010,Alabama A&M Deadball Team Rebound.,8,8
14:27,2010,Mohamed Sherif missed Jumper.,8,8
14:27,315,Dominic Robb Block.,8,8
14:24,315,Chris Barton Defensive Rebound.,8,8
14:21,315,Chris Barton made Layup.,8,10
13:55,2010,Mohamed Sherif made Layup. Assisted by Marcus Merriweather.,10,10
13:55,315,Foul on Chris Barton.,10,10
13:55,2010,Mohamed Sherif missed Free Throw.,10,10
13:55,315,Dominic Robb Defensive Rebound.,10,10
13:51,315,Kahlil Dukes made Three Point Jumper. Assisted by Matt Scott.,10,13
13:22,2010,Marcus Merriweather missed Three Point Jumper.,10,13
13:22,315,Chris Barton Defensive Rebound.,10,13
13:07,315,Niagara  Timeout,10,13
13:00,315,Kahlil Dukes missed Three Point Jumper.,10,13
13:00,315,Matt Scott Offensive Rebound.,10,13
12:55,315,Matt Scott made Layup.,10,15
12:36,2010,Jalen Reeder missed Jumper.,10,15
12:36,315,Keleaf Tate Defensive Rebound.,10,15
12:30,315,Kahlil Dukes made Three Point Jumper. Assisted by Keleaf Tate.,10,18
12:08,315,Foul on Kahlil Dukes.,10,18
12:08,2010,Mohamed Sherif missed Free Throw.,10,18
12:08,2010,Alabama A&M Deadball Team Rebound.,10,18
12:08,2010,Mohamed Sherif made Free Throw.,11,18
12:01,315,Matt Scott missed Three Point Jumper.,11,18
12:01,315,Keleaf Tate Offensive Rebound.,11,18
11:54,315,Keleaf Tate made Three Point Jumper.,11,21
11:22,2010,Arthur Johnson made Layup. Assisted by Amari Goulbourne.,13,21
11:22,315,Foul on Greg King.,13,21
11:22,315,Official TV Timeout,13,21
11:22,2010,Arthur Johnson missed Free Throw.,13,21
11:22,315,Greg King Defensive Rebound.,13,21
11:17,315,Keleaf Tate missed Jumper.,13,21
11:17,2010,Arthur Johnson Defensive Rebound.,13,21
11:12,315,Foul on Greg King.,13,21
10:58,2010,Jalen Reeder missed Three Point Jumper.,13,21
10:58,315,Niagara Defensive Rebound.,13,21
10:55,2010,Foul on Mohamed Sherif.,13,21
10:44,2010,Foul on Evan Wiley.,13,21
10:44,315,Matt Scott missed Free Throw.,13,21
10:44,315,Niagara Deadball Team Rebound.,13,21
10:44,315,Matt Scott made Free Throw.,13,22
10:17,2010,Arthur Johnson Turnover.,13,22
10:16,315,Marvin Prochet Steal.,13,22
10:11,315,Marvin Prochet made Three Point Jumper. Assisted by Matt Scott.,13,25
9:47,2010,Amari Goulbourne missed Jumper.,13,25
9:47,315,Greg Kuakumensah Defensive Rebound.,13,25
9:36,2010,Foul on Arthur Johnson.,13,25
9:36,315,Matt Scott made Free Throw.,13,26
9:36,315,Matt Scott made Free Throw.,13,27
9:26,315,Foul on James Towns.,13,27
9:09,2010,Arthur Johnson made Three Point Jumper.,16,27
8:46,315,Matt Scott Turnover.,16,27
8:26,2010,Arthur Johnson made Layup. Assisted by Evan Wiley.,18,27
8:21,315,Keleaf Tate missed Three Point Jumper.,18,27
8:21,2010,Arthur Johnson Defensive Rebound.,18,27
8:10,2010,Jalen Reeder made Three Point Jumper.,21,27
