Long Beach State,204,Oregon State,299
time,team_id,description,h_score,a_score
19:35,299,Barry Ogalue missed Three Point Jumper.,0,0
19:35,299,Gabe Levin Offensive Rebound.,0,0
19:33,204,Foul on Stephen Thompson Jr..,0,0
19:28,299,Gabe Levin made Jumper. Assisted by Barry Ogalue.,2,0
19:01,204,Stephen Thompson Jr. missed Three Point Jumper.,2,0
19:01,299,Bryan Alberts Defensive Rebound.,2,0
18:28,299,Deishuan Booker missed Jumper.,2,0
18:28,204,Jaquori McLaughlin Block.,2,0
18:26,299,Deishuan Booker Offensive Rebound.,2,0
18:24,299,Deishuan Booker missed Three Point Jumper.,2,0
18:24,299,Mason Riggins Offensive Rebound.,2,0
18:00,299,Bryan Alberts made Jumper.,4,0
17:34,204,Jaquori McLaughlin missed Three Point Jumper.,4,0
17:34,299,Deishuan Booker Defensive Rebound.,4,0
17:10,299,Mason Riggins made Dunk. Assisted by Deishuan Booker.,6,0
16:53,204,Drew Eubanks Turnover.,6,0
16:53,299,Barry Ogalue Steal.,6,0
16:36,299,Barry Ogalue missed Layup.,6,0
16:36,204,Tres Tinkle Defensive Rebound.,6,0
16:28,204,Stephen Thompson Jr. made Three Point Jumper. Assisted by Jaquori McLaughlin.,6,3
16:13,204,Foul on Jaquori McLaughlin.,6,3
15:58,299,Barry Ogalue made Three Point Jumper. Assisted by Deishuan Booker.,9,3
15:40,204,Stephen Thompson Jr. missed Three Point Jumper.,9,3
15:40,204,Drew Eubanks Offensive Rebound.,9,3
15:40,299,Foul on Barry Ogalue.,9,3
15:40,204,Official TV Timeout,9,3
15:29,204,Tres Tinkle made Jumper.,9,5
15:15,299,Bryan Alberts missed Jumper.,9,5
15:15,204,Drew Eubanks Defensive Rebound.,9,5
15:05,299,Foul on Deishuan Booker.,9,5
15:00,204,Stephen Thompson Jr. missed Jumper.,9,5
15:00,204,Drew Eubanks Offensive Rebound.,9,5
14:57,204,Drew Eubanks made Layup.,9,7
14:47,299,Mason Riggins missed Layup.,9,7
14:47,299,Mason Riggins Offensive Rebound.,9,7
14:44,299,Mason Riggins missed Two Point Tip Shot.,9,7
14:44,204,Drew Eubanks Defensive Rebound.,9,7
14:20,204,Jaquori McLaughlin made Layup.,9,9
14:13,204,Foul on Stephen Thompson Jr..,9,9
14:08,299,Gabe Levin Turnover.,9,9
14:08,299,Foul on Gabe Levin.,9,9
13:54,204,Drew Eubanks missed Layup.,9,9
13:54,299,Temidayo Yussuf Defensive Rebound.,9,9
13:45,299,Barry Ogalue missed Layup.,9,9
13:44,204,Drew Eubanks Block.,9,9
13:43,299,Barry Ogalue Offensive Rebound.,9,9
13:42,299,Barry Ogalue made Layup.,11,9
13:30,204,Ethan Thompson missed Layup.,11,9
13:30,204,Jaquori McLaughlin Offensive Rebound.,11,9
13:23,204,Ethan Thompson Turnover.,11,9
13:21,299,Barry Ogalue Steal.,11,9
13:18,299,Gabe Levin missed Jumper.,11,9
13:18,299,Barry Ogalue Offensive Rebound.,11,9
13:12,204,Foul on Ethan Thompson.,11,9
13:06,204,Foul on Zach Reichle.,11,9
13:06,299,Bryan Alberts made Free Throw.,12,9
13:06,299,Bryan Alberts made Free Throw.,13,9
12:40,204,Tres Tinkle missed Three Point Jumper.,13,9
12:40,299,Temidayo Yussuf Defensive Rebound.,13,9
12:29,299,Edon Maxhuni Turnover.,13,9
12:10,204,Drew Eubanks made Dunk. Assisted by Tres Tinkle.,13,11
11:44,299,Barry Ogalue missed Three Point Jumper.,13,11
11:44,204,Zach Reichle Defensive Rebound.,13,11
11:30,204,Official TV Timeout,13,11
11:18,204,Zach Reichle missed Three Point Jumper.,13,11
11:18,299,Edon Maxhuni Defensive Rebound.,13,11
11:00,299,Barry Ogalue Turnover.,13,11
11:00,299,Foul on Barry Ogalue.,13,11
10:34,204,Jaquori McLaughlin missed Three Point Jumper.,13,11
10:34,204,Zach Reichle Offensive Rebound.,13,11
10:28,299,Foul on Jordan Roberts.,13,11
10:28,204,Zach Reichle made Free Throw.,13,12
10:23,204,Gligorije Rakocevic Turnover.,13,12
10:18,299,Temidayo Yussuf made Layup. Assisted by Deishuan Booker.,15,12
10:05,204,Tres Tinkle missed Three Point Jumper.,15,12
10:05,204,Zach Reichle Offensive Rebound.,15,12
9:53,204,Gligorije Rakocevic Turnover.,15,12
9:51,299,Temidayo Yussuf Steal.,15,12
9:48,299,Jordan Griffin made Three Point Jumper. Assisted by Jordan Roberts.,18,12
9:33,204,Tres Tinkle made Layup. Assisted by Jaquori McLaughlin.,18,14
9:32,299,Foul on Temidayo Yussuf.,18,14
9:31,204,Tres Tinkle made Free Throw.,18,15
9:24,299,Gabe Levin missed Jumper.,18,15
9:24,204,Drew Eubanks Defensive Rebound.,18,15
9:12,204,Zach Reichle Turnover.,18,15
9:11,299,Jordan Roberts Steal.,18,15
9:00,299,Jordan Roberts Turnover.,18,15
8:41,204,Zach Reichle made Three Point Jumper. Assisted by Jaquori McLaughlin.,18,18
8:18,204,Foul on Seth Berger.,18,18
8:14,299,Jordan Roberts missed Jumper.,18,18
8:14,204,Zach Reichle Defensive Rebound.,18,18
8:04,204,Jaquori McLaughlin Turnover.,18,18
8:03,299,Jordan Roberts Steal.,18,18
7:59,299,Jordan Griffin missed Three Point Jumper.,18,18
7:59,204,Seth Berger Defensive Rebound.,18,18
7:51,204,Tres Tinkle Turnover.,18,18
7:51,204,Foul on Tres Tinkle.,18,18
7:51,204,Official TV Timeout,18,18
7:41,299,Jordan Griffin Turnover.,18,18
7:39,204,Seth Berger Steal.,18,18
7:23,204,Drew Eubanks missed Layup.,18,18
7:23,299,Gabe Levin Defensive Rebound.,18,18
6:59,299,Gabe Levin missed Layup.,18,18
6:59,299,Gabe Levin Offensive Rebound.,18,18
6:56,299,Gabe Levin made Layup.,20,18
6:25,204,Zach Reichle missed Three Point Jumper.,20,18
6:25,299,Gabe Levin Defensive Rebound.,20,18
6:15,299,Deishuan Booker made Layup.,22,18
5:54,204,Drew Eubanks Turnover.,22,18
5:41,299,Jordan Griffin missed Three Point Jumper.,22,18
5:41,204,Stephen Thompson Jr. Block.,22,18
5:39,299,Jordan Griffin Offensive Rebound.,22,18
5:34,299,Gabe Levin made Three Point Jumper. Assisted by Deishuan Booker.,25,18
5:32,204,Oregon State  Timeout,25,18
5:02,204,Tres Tinkle Turnover.,25,18
5:01,299,Bryan Alberts Steal.,25,18
4:57,299,Jordan Roberts missed Layup.,25,18
4:57,299,Temidayo Yussuf Offensive Rebound.,25,18
4:53,299,Temidayo Yussuf made Layup.,27,18
4:28,299,Foul on KJ Byers.,27,18
4:28,204,Ethan Thompson made Free Throw.,27,19
4:28,204,Ethan Thompson missed Free Throw.,27,19
4:28,299,Long Beach State Defensive Rebound.,27,19
4:16,204,Foul on Drew Eubanks.,27,19
4:16,299,Temidayo Yussuf missed Free Throw.,27,19
4:16,204,Tres Tinkle Defensive Rebound.,27,19
3:55,204,Alfred Hollins missed Three Point Jumper.,27,19
3:55,299,Deishuan Booker Defensive Rebound.,27,19
3:47,299,Deishuan Booker Turnover.,27,19
3:47,204,Official TV Timeout,27,19
3:34,204,Stephen Thompson Jr. Turnover.,27,19
3:28,299,Edon Maxhuni Turnover.,27,19
3:23,299,Foul on Gabe Levin.,27,19
3:23,204,Ethan Thompson made Free Throw.,27,20
3:23,204,Ethan Thompson made Free Throw.,27,21
3:01,299,Jordan Roberts Turnover.,27,21
2:43,204,Drew Eubanks made Layup.,27,23
2:21,299,Edon Maxhuni missed Three Point Jumper.,27,23
2:21,204,Stephen Thompson Jr. Defensive Rebound.,27,23
2:11,204,Tres Tinkle missed Three Point Jumper.,27,23
2:11,299,Javonntie Jackson Defensive Rebound.,27,23
2:02,299,KJ Byers missed Three Point Jumper.,27,23
2:02,204,Stephen Thompson Jr. Defensive Rebound.,27,23
1:53,204,Tres Tinkle missed Layup.,27,23
1:53,299,KJ Byers Block.,27,23
1:52,204,Ethan Thompson Offensive Rebound.,27,23
1:49,204,Ethan Thompson made Layup.,27,25
1:46,299,Long Beach State  Timeout,27,25
1:16,299,Deishuan Booker missed Three Point Jumper.,27,25
1:16,204,Tres Tinkle Defensive Rebound.,27,25
0:55,299,Foul on Temidayo Yussuf.,27,25
0:55,204,Drew Eubanks missed Free Throw.,27,25
0:55,299,Deishuan Booker Defensive Rebound.,27,25
0:48,204,Foul on Drew Eubanks.,27,25
0:48,299,Temidayo Yussuf made Free Throw.,28,25
0:48,299,Temidayo Yussuf made Free Throw.,29,25
0:34,204,Jaquori McLaughlin missed Three Point Jumper.,29,25
0:34,299,KJ Byers Defensive Rebound.,29,25
0:31,204,Foul on Tres Tinkle.,29,25
0:31,299,Foul on KJ Byers.,29,25
0:31,299,Technical Foul on KJ Byers.,29,25
0:31,299,KJ Byers missed Free Throw.,29,25
0:31,299,Long Beach State Deadball Team Rebound.,29,25
0:31,299,KJ Byers missed Free Throw.,29,25
0:31,299,Long Beach State Deadball Team Rebound.,29,25
0:31,204,Tres Tinkle made Free Throw.,29,26
0:31,204,Tres Tinkle made Free Throw.,29,27
0:03,204,Tres Tinkle made Layup.,29,29
0:00,204,End of 1st half,29,29
19:40,204,Jaquori McLaughlin Turnover.,29,29
19:21,299,Mason Riggins Turnover.,29,29
19:21,299,Foul on Mason Riggins.,29,29
19:13,204,Tres Tinkle missed Jumper.,29,29
19:13,204,Drew Eubanks Offensive Rebound.,29,29
19:11,299,Foul on Gabe Levin.,29,29
18:55,204,Ethan Thompson missed Three Point Jumper.,29,29
18:55,299,Gabe Levin Defensive Rebound.,29,29
18:44,204,Foul on Ethan Thompson.,29,29
18:44,299,Mason Riggins made Free Throw.,30,29
18:44,299,Mason Riggins made Free Throw.,31,29
18:32,204,Jaquori McLaughlin missed Jumper.,31,29
18:32,299,Bryan Alberts Defensive Rebound.,31,29
18:25,299,Gabe Levin made Layup. Assisted by Bryan Alberts.,33,29
18:13,204,Ethan Thompson missed Three Point Jumper.,33,29
18:13,299,Mason Riggins Defensive Rebound.,33,29
18:11,204,Foul on Drew Eubanks.,33,29
17:54,299,Gabe Levin Turnover.,33,29
17:53,204,Stephen Thompson Jr. Steal.,33,29
17:48,204,Stephen Thompson Jr. missed Layup.,33,29
17:48,299,Deishuan Booker Block.,33,29
17:46,204,Stephen Thompson Jr. Offensive Rebound.,33,29
17:44,299,Foul on Gabe Levin.,33,29
17:44,204,Ethan Thompson missed Free Throw.,33,29
17:44,204,Oregon State Deadball Team Rebound.,33,29
17:44,204,Ethan Thompson made Free Throw.,33,30
17:39,299,Deishuan Booker Turnover.,33,30
17:38,204,Ethan Thompson Steal.,33,30
17:35,204,Ethan Thompson made Layup. Assisted by Stephen Thompson Jr..,33,32
17:35,299,Foul on Deishuan Booker.,33,32
17:35,204,Ethan Thompson made Free Throw.,33,33
17:25,299,Barry Ogalue missed Jumper.,33,33
17:25,204,Tres Tinkle Defensive Rebound.,33,33
17:08,204,Tres Tinkle missed Three Point Jumper.,33,33
17:08,299,Barry Ogalue Defensive Rebound.,33,33
17:05,204,Foul on Ethan Thompson.,33,33
16:51,299,KJ Byers missed Jumper.,33,33
16:51,204,Tres Tinkle Defensive Rebound.,33,33
16:26,204,Stephen Thompson Jr. made Layup. Assisted by Tres Tinkle.,33,35
16:01,204,Foul on Gligorije Rakocevic.,33,35
16:01,299,KJ Byers made Free Throw.,34,35
16:01,299,KJ Byers missed Free Throw.,34,35
16:01,204,Tres Tinkle Defensive Rebound.,34,35
15:51,299,Foul on Bryan Alberts.,34,35
15:51,204,Official TV Timeout,34,35
15:51,204,Stephen Thompson Jr. made Free Throw.,34,36
15:51,204,Stephen Thompson Jr. made Free Throw.,34,37
15:21,204,Foul on Zach Reichle.,34,37
15:10,299,Bryan Alberts missed Three Point Jumper.,34,37
15:10,204,Gligorije Rakocevic Defensive Rebound.,34,37
15:08,299,Foul on Mason Riggins.,34,37
14:40,204,Stephen Thompson Jr. made Jumper. Assisted by Jaquori McLaughlin.,34,39
14:29,299,Deishuan Booker missed Layup.,34,39
14:29,299,Barry Ogalue Offensive Rebound.,34,39
14:00,299,Barry Ogalue made Layup. Assisted by Deishuan Booker.,36,39
13:47,204,Tres Tinkle made Jumper.,36,41
13:33,299,Bryan Alberts made Three Point Jumper. Assisted by Deishuan Booker.,39,41
13:17,204,Stephen Thompson Jr. missed Three Point Jumper.,39,41
13:17,299,Barry Ogalue Defensive Rebound.,39,41
13:01,299,Mason Riggins Turnover.,39,41
13:01,299,Foul on Mason Riggins.,39,41
12:37,204,Stephen Thompson Jr. made Jumper. Assisted by Tres Tinkle.,39,43
12:31,204,Foul on Stephen Thompson Jr..,39,43
12:14,299,Temidayo Yussuf Turnover.,39,43
12:12,204,Jaquori McLaughlin Steal.,39,43
12:09,204,Jaquori McLaughlin missed Layup.,39,43
12:09,204,Tres Tinkle Offensive Rebound.,39,43
12:05,204,Tres Tinkle missed Jumper.,39,43
12:05,204,Stephen Thompson Jr. Offensive Rebound.,39,43
11:58,204,Stephen Thompson Jr. Turnover.,39,43
11:58,299,KJ Byers Steal.,39,43
11:58,204,Official TV Timeout,39,43
11:48,299,KJ Byers made Dunk. Assisted by Deishuan Booker.,41,43
11:24,204,Tres Tinkle made Jumper. Assisted by Stephen Thompson Jr..,41,45
