Nebraska,2368,Marist,158
time,team_id,description,h_score,a_score
19:32,2368,Tobias Sjoberg made Layup. Assisted by Brian Parker.,0,2
19:12,158,Jordy Tshimanga missed Jumper.,0,2
19:12,2368,Ryan Funk Defensive Rebound.,0,2
18:48,2368,Brian Parker Turnover.,0,2
18:28,158,Evan Taylor made Jumper. Assisted by Glynn Watson Jr..,2,2
17:55,2368,David Knudsen missed Three Point Jumper.,2,2
17:55,158,Isaac Copeland Defensive Rebound.,2,2
17:52,2368,Foul on Tobias Sjoberg.,2,2
17:36,158,James Palmer Jr. missed Three Point Jumper.,2,2
17:36,2368,Aleksandar Dozic Defensive Rebound.,2,2
17:26,2368,Aleksandar Dozic Turnover.,2,2
17:25,158,James Palmer Jr. Steal.,2,2
17:23,158,James Palmer Jr. made Dunk.,4,2
17:04,2368,Aleksandar Dozic missed Three Point Jumper.,4,2
17:04,158,Jordy Tshimanga Defensive Rebound.,4,2
16:54,158,Isaac Copeland made Jumper.,6,2
16:54,2368,Foul on Aleksandar Dozic.,6,2
16:54,158,Isaac Copeland made Free Throw.,7,2
16:43,2368,Ryan Funk made Three Point Jumper. Assisted by Aleksandar Dozic.,7,5
16:15,158,Evan Taylor made Three Point Jumper. Assisted by Jordy Tshimanga.,10,5
15:52,2368,Brian Parker Turnover.,10,5
15:52,2368,Official TV Timeout,10,5
15:33,158,James Palmer Jr. made Jumper. Assisted by Evan Taylor.,12,5
15:09,2368,Isaiah Lamb Turnover.,12,5
15:08,158,Jordy Tshimanga Steal.,12,5
15:05,158,Glynn Watson Jr. made Three Point Jumper. Assisted by Evan Taylor.,15,5
14:41,2368,Connor McClenaghan made Jumper.,15,7
14:17,158,James Palmer Jr. made Layup.,17,7
13:58,2368,Connor McClenaghan missed Three Point Jumper.,17,7
13:58,158,Isaac Copeland Defensive Rebound.,17,7
13:42,158,Evan Taylor Turnover.,17,7
13:40,2368,Isaiah Lamb Steal.,17,7
13:21,2368,Austin Williams missed Jumper.,17,7
13:21,2368,Connor McClenaghan Offensive Rebound.,17,7
13:18,2368,Connor McClenaghan missed Layup.,17,7
13:18,158,Jordy Tshimanga Defensive Rebound.,17,7
13:11,2368,Foul on Kristinn Palsson.,17,7
13:06,158,Isaiah Roby made Dunk. Assisted by Glynn Watson Jr..,19,7
12:51,2368,Isaiah Lamb made Three Point Jumper. Assisted by Austin Williams.,19,10
12:40,158,James Palmer Jr. Turnover.,19,10
12:38,2368,Austin Williams Steal.,19,10
12:37,2368,Austin Williams made Dunk.,19,12
12:18,158,Isaiah Roby made Dunk. Assisted by Glynn Watson Jr..,21,12
12:05,2368,Kristinn Palsson Turnover.,21,12
11:45,158,Duby Okeke Turnover.,21,12
11:44,2368,Aleksandar Dozic Steal.,21,12
11:33,2368,Tobias Sjoberg Turnover.,21,12
11:33,2368,Official TV Timeout,21,12
11:13,158,Anton Gill made Three Point Jumper. Assisted by Evan Taylor.,24,12
10:58,2368,Brian Parker made Jumper.,24,14
10:36,158,Anton Gill made Three Point Jumper. Assisted by Isaiah Roby.,27,14
10:08,2368,Aleksandar Dozic made Jumper. Assisted by David Knudsen.,27,16
10:01,158,Thomas Allen made Layup. Assisted by Evan Taylor.,29,16
9:27,2368,Brian Parker Turnover.,29,16
9:27,158,Duby Okeke Steal.,29,16
