Arizona,2509,Purdue,12
time,team_id,description,h_score,a_score
19:35,2509,Carsen Edwards missed Three Point Jumper.,0,0
19:35,12,Deandre Ayton Defensive Rebound.,0,0
19:14,2509,Foul on Dakota Mathias.,0,0
19:05,12,Emmanuel Akot Turnover.,0,0
19:04,2509,P.J. Thompson Steal.,0,0
19:02,2509,Carsen Edwards made Layup.,0,2
19:02,12,Foul on Emmanuel Akot.,0,2
19:02,2509,Carsen Edwards made Free Throw.,0,3
18:49,12,Allonzo Trier made Jumper.,2,3
18:31,2509,Vincent Edwards Turnover.,2,3
18:19,12,Dusan Ristic made Layup. Assisted by Parker Jackson-Cartwright.,4,3
18:03,2509,Isaac Haas missed Jumper.,4,3
18:03,12,Deandre Ayton Block.,4,3
18:01,2509,Purdue Offensive Rebound.,4,3
17:59,2509,Dakota Mathias missed Jumper.,4,3
17:59,2509,Isaac Haas Offensive Rebound.,4,3
17:54,2509,Isaac Haas made Layup.,4,5
17:48,12,Parker Jackson-Cartwright Turnover.,4,5
17:35,12,Foul on Dusan Ristic.,4,5
17:30,2509,Dakota Mathias made Jumper.,4,7
17:07,12,Dusan Ristic missed Jumper.,4,7
17:07,2509,Vincent Edwards Defensive Rebound.,4,7
16:57,2509,Carsen Edwards missed Layup.,4,7
16:57,12,Dusan Ristic Defensive Rebound.,4,7
16:50,12,Emmanuel Akot missed Three Point Jumper.,4,7
16:50,2509,Purdue Defensive Rebound.,4,7
16:48,12,Foul on Deandre Ayton.,4,7
16:31,2509,Vincent Edwards made Three Point Jumper. Assisted by P.J. Thompson.,4,10
16:10,12,Allonzo Trier missed Jumper.,4,10
16:10,2509,Vincent Edwards Defensive Rebound.,4,10
16:04,2509,Dakota Mathias made Three Point Jumper. Assisted by Vincent Edwards.,4,13
16:02,12,Arizona  Timeout,4,13
16:02,2509,Official TV Timeout,4,13
15:49,12,Deandre Ayton made Dunk. Assisted by Dusan Ristic.,6,13
15:49,2509,Foul on Vincent Edwards.,6,13
15:49,12,Deandre Ayton missed Free Throw.,6,13
15:49,2509,Carsen Edwards Defensive Rebound.,6,13
15:34,2509,Carsen Edwards missed Three Point Jumper.,6,13
15:34,12,Deandre Ayton Defensive Rebound.,6,13
15:26,12,Allonzo Trier Turnover.,6,13
15:25,2509,P.J. Thompson Steal.,6,13
15:21,2509,Carsen Edwards missed Jumper.,6,13
15:21,12,Deandre Ayton Defensive Rebound.,6,13
15:11,12,Parker Jackson-Cartwright missed Layup.,6,13
15:11,2509,Dakota Mathias Defensive Rebound.,6,13
15:00,2509,Vincent Edwards made Three Point Jumper. Assisted by P.J. Thompson.,6,16
14:39,12,Dusan Ristic missed Three Point Jumper.,6,16
14:39,12,Deandre Ayton Offensive Rebound.,6,16
14:37,2509,Foul on Isaac Haas.,6,16
14:19,12,Deandre Ayton made Layup.,8,16
13:58,2509,Matt Haarms missed Jumper.,8,16
13:58,12,Alex Barcello Defensive Rebound.,8,16
13:50,12,Alex Barcello Turnover.,8,16
13:49,2509,P.J. Thompson Steal.,8,16
13:49,2509,P.J. Thompson Turnover.,8,16
13:47,2509,Foul on P.J. Thompson.,8,16
13:47,12,Deandre Ayton missed Free Throw.,8,16
13:47,12,Arizona Deadball Team Rebound.,8,16
13:47,12,Deandre Ayton made Free Throw.,9,16
13:24,2509,Dakota Mathias made Layup. Assisted by Matt Haarms.,9,18
13:10,12,Dylan Smith made Jumper.,11,18
13:03,2509,Matt Haarms made Layup. Assisted by P.J. Thompson.,11,20
12:34,12,Dylan Smith missed Three Point Jumper.,11,20
12:34,2509,Matt Haarms Defensive Rebound.,11,20
