Northern Iowa,222,Villanova,2460
time,team_id,description,h_score,a_score
19:44,222,Jalen Brunson made Jumper.,0,2
19:09,2460,Juwan McCloud missed Three Point Jumper.,0,2
19:09,222,Eric Paschall Block.,0,2
19:07,2460,Northern Iowa Offensive Rebound.,0,2
19:07,2460,Northern Iowa  Turnover.,0,2
18:53,222,Omari Spellman missed Three Point Jumper.,0,2
18:53,2460,Klint Carlson Defensive Rebound.,0,2
18:40,2460,Bennett Koch missed Jumper.,0,2
18:40,2460,Bennett Koch Offensive Rebound.,0,2
18:37,2460,Bennett Koch made Layup.,2,2
18:04,222,Mikal Bridges made Layup.,2,4
17:33,2460,Klint Carlson missed Three Point Jumper.,2,4
17:33,222,Eric Paschall Defensive Rebound.,2,4
17:24,222,Eric Paschall missed Three Point Jumper.,2,4
17:24,2460,Isaiah Brown Defensive Rebound.,2,4
17:16,2460,Klint Carlson missed Layup.,2,4
17:16,222,Eric Paschall Defensive Rebound.,2,4
16:55,2460,Foul on Juwan McCloud.,2,4
16:46,222,Phil Booth made Three Point Jumper. Assisted by Donte DiVincenzo.,2,7
16:30,2460,Tywhon Pickford missed Three Point Jumper.,2,7
16:30,2460,Northern Iowa Offensive Rebound.,2,7
16:29,222,Foul on Eric Paschall.,2,7
16:29,2460,Isaiah Brown Turnover.,2,7
16:27,222,Omari Spellman Steal.,2,7
16:24,222,Eric Paschall Turnover.,2,7
16:00,2460,Juwan McCloud missed Layup.,2,7
15:55,2460,Klint Carlson Offensive Rebound.,2,7
15:55,222,Official TV Timeout,2,7
15:40,2460,Tywhon Pickford made Layup.,4,7
15:16,222,Jalen Brunson made Jumper.,4,9
14:58,2460,Foul on Bennett Koch.,4,9
14:58,2460,Bennett Koch Turnover.,4,9
14:44,222,Omari Spellman missed Layup.,4,9
14:44,2460,Bennett Koch Block.,4,9
14:42,2460,Bennett Koch Defensive Rebound.,4,9
14:31,2460,Juwan McCloud Turnover.,4,9
14:19,222,Omari Spellman missed Three Point Jumper.,4,9
14:19,2460,Tywhon Pickford Defensive Rebound.,4,9
13:59,2460,Isaiah Brown made Three Point Jumper. Assisted by Spencer Haldeman.,7,9
13:36,222,Donte DiVincenzo missed Three Point Jumper.,7,9
13:36,222,Omari Spellman Offensive Rebound.,7,9
13:33,2460,Foul on Austin Phyfe.,7,9
13:28,222,Donte DiVincenzo made Layup. Assisted by Collin Gillespie.,7,11
13:03,2460,Klint Carlson Turnover.,7,11
12:50,222,Mikal Bridges missed Jumper.,7,11
12:50,2460,Spencer Haldeman Defensive Rebound.,7,11
12:30,2460,Spencer Haldeman missed Layup.,7,11
12:30,222,Donte DiVincenzo Defensive Rebound.,7,11
12:18,222,Mikal Bridges made Jumper.,7,13
12:03,2460,Northern Iowa  Turnover.,7,13
11:56,222,Mikal Bridges made Jumper.,7,15
11:33,2460,Tywhon Pickford missed Three Point Jumper.,7,15
11:33,2460,Tywhon Pickford Offensive Rebound.,7,15
11:29,2460,Tywhon Pickford made Layup.,9,15
11:10,222,Mikal Bridges missed Three Point Jumper.,9,15
11:10,222,Donte DiVincenzo Offensive Rebound.,9,15
11:02,2460,Foul on Isaiah Brown.,9,15
11:02,222,Official TV Timeout,9,15
11:02,222,Phil Booth made Free Throw.,9,16
11:02,222,Phil Booth missed Free Throw.,9,16
11:02,2460,Tywhon Pickford Defensive Rebound.,9,16
10:43,2460,Bennett Koch made Layup. Assisted by Juwan McCloud.,11,16
10:18,222,Eric Paschall missed Jumper.,11,16
10:18,2460,Tywhon Pickford Defensive Rebound.,11,16
9:51,222,Foul on Donte DiVincenzo.,11,16
9:44,2460,Juwan McCloud Turnover.,11,16
9:42,222,Donte DiVincenzo Steal.,11,16
9:39,222,Omari Spellman missed Layup.,11,16
9:39,2460,Bennett Koch Defensive Rebound.,11,16
9:14,2460,Juwan McCloud made Layup.,13,16
8:53,222,Jalen Brunson made Three Point Jumper.,13,19
8:30,2460,Juwan McCloud made Three Point Jumper. Assisted by Tywhon Pickford.,16,19
8:04,222,Mikal Bridges made Layup.,16,21
7:43,2460,Juwan McCloud missed Three Point Jumper.,16,21
7:43,222,Omari Spellman Block.,16,21
7:41,2460,Bennett Koch Offensive Rebound.,16,21
7:39,2460,Bennett Koch made Layup.,18,21
7:21,222,Mikal Bridges made Three Point Jumper. Assisted by Phil Booth.,18,24
6:59,2460,Spencer Haldeman made Three Point Jumper. Assisted by Juwan McCloud.,21,24
6:29,222,Phil Booth missed Layup.,21,24
6:29,2460,Bennett Koch Defensive Rebound.,21,24
6:12,2460,Tywhon Pickford missed Three Point Jumper.,21,24
6:12,222,Jalen Brunson Defensive Rebound.,21,24
6:01,222,Donte DiVincenzo missed Layup.,21,24
6:01,222,Omari Spellman Offensive Rebound.,21,24
5:57,222,Omari Spellman missed Layup.,21,24
5:57,2460,Tywhon Pickford Defensive Rebound.,21,24
5:41,2460,Juwan McCloud made Layup.,23,24
5:14,222,Omari Spellman missed Three Point Jumper.,23,24
5:14,2460,Bennett Koch Defensive Rebound.,23,24
4:54,2460,Juwan McCloud missed Three Point Jumper.,23,24
4:54,222,Phil Booth Defensive Rebound.,23,24
4:44,222,Phil Booth missed Three Point Jumper.,23,24
4:44,222,Mikal Bridges Offensive Rebound.,23,24
4:39,222,Official TV Timeout,23,24
4:38,222,Jalen Brunson Turnover.,23,24
4:37,2460,Juwan McCloud Steal.,23,24
4:36,2460,Juwan McCloud missed Layup.,23,24
4:36,222,Mikal Bridges Defensive Rebound.,23,24
4:19,222,Mikal Bridges missed Three Point Jumper.,23,24
4:19,2460,Bennett Koch Defensive Rebound.,23,24
3:45,2460,Isaiah Brown made Jumper.,25,24
3:21,222,Eric Paschall missed Layup.,25,24
3:21,2460,Bennett Koch Block.,25,24
3:18,222,Eric Paschall Offensive Rebound.,25,24
3:14,222,Eric Paschall made Dunk.,25,26
2:51,2460,Klint Carlson made Layup.,27,26
2:30,222,Official TV Timeout,27,26
2:14,222,Jalen Brunson made Jumper.,27,28
1:39,2460,Northern Iowa  Turnover.,27,28
1:24,2460,Foul on Spencer Haldeman.,27,28
1:24,222,Eric Paschall made Free Throw.,27,29
1:24,222,Eric Paschall made Free Throw.,27,30
1:16,2460,Northern Iowa  Timeout,27,30
1:01,2460,Tywhon Pickford missed Three Point Jumper.,27,30
1:01,222,Dhamir Cosby-Roundtree Defensive Rebound.,27,30
0:54,222,Jalen Brunson missed Three Point Jumper.,27,30
0:54,2460,Bennett Koch Defensive Rebound.,27,30
0:31,2460,Juwan McCloud made Layup.,29,30
0:16,222,Villanova  Timeout,29,30
0:04,222,Eric Paschall made Dunk. Assisted by Jalen Brunson.,29,32
0:00,222,End of 1st half,29,32
19:42,2460,Bennett Koch missed Jumper.,29,32
19:42,222,Omari Spellman Defensive Rebound.,29,32
19:26,222,Mikal Bridges missed Layup.,29,32
19:26,222,Omari Spellman Offensive Rebound.,29,32
19:19,222,Omari Spellman missed Two Point Tip Shot.,29,32
19:19,2460,Isaiah Brown Defensive Rebound.,29,32
19:09,2460,Isaiah Brown missed Three Point Jumper.,29,32
19:09,2460,Bennett Koch Offensive Rebound.,29,32
19:04,2460,Bennett Koch Turnover.,29,32
18:47,222,Donte DiVincenzo Turnover.,29,32
18:42,2460,Juwan McCloud Steal.,29,32
18:31,2460,Klint Carlson missed Jumper.,29,32
18:31,222,Mikal Bridges Defensive Rebound.,29,32
18:22,222,Jalen Brunson missed Three Point Jumper.,29,32
18:22,2460,Tywhon Pickford Defensive Rebound.,29,32
18:19,222,Foul on Donte DiVincenzo.,29,32
17:50,2460,Isaiah Brown Turnover.,29,32
17:49,222,Mikal Bridges Steal.,29,32
17:33,222,Eric Paschall missed Layup.,29,32
17:33,2460,Klint Carlson Block.,29,32
17:30,2460,Klint Carlson Defensive Rebound.,29,32
17:19,2460,Isaiah Brown Turnover.,29,32
17:18,222,Jalen Brunson Steal.,29,32
17:17,222,Donte DiVincenzo missed Layup.,29,32
17:17,2460,Juwan McCloud Block.,29,32
17:14,2460,Klint Carlson Defensive Rebound.,29,32
17:11,2460,Tywhon Pickford missed Three Point Jumper.,29,32
17:11,2460,Tywhon Pickford Offensive Rebound.,29,32
17:06,2460,Tywhon Pickford missed Three Point Jumper.,29,32
17:06,222,Mikal Bridges Defensive Rebound.,29,32
16:46,222,Jalen Brunson made Three Point Jumper.,29,35
16:27,2460,Juwan McCloud missed Jumper.,29,35
16:27,222,Villanova Defensive Rebound.,29,35
16:10,222,Jalen Brunson missed Three Point Jumper.,29,35
16:10,2460,Tywhon Pickford Defensive Rebound.,29,35
15:44,2460,Juwan McCloud made Jumper.,31,35
15:17,222,Mikal Bridges made Layup.,31,37
14:56,222,Foul on Phil Booth.,31,37
14:56,222,Official TV Timeout,31,37
14:38,2460,Juwan McCloud missed Three Point Jumper.,31,37
14:38,222,Jalen Brunson Defensive Rebound.,31,37
14:27,222,Donte DiVincenzo missed Three Point Jumper.,31,37
14:27,2460,Bennett Koch Defensive Rebound.,31,37
14:02,2460,Tywhon Pickford missed Three Point Jumper.,31,37
14:02,2460,Isaiah Brown Offensive Rebound.,31,37
13:47,2460,Bennett Koch Turnover.,31,37
13:46,222,Jalen Brunson Steal.,31,37
13:46,2460,Foul on Tywhon Pickford.,31,37
13:30,222,Phil Booth made Three Point Jumper. Assisted by Jalen Brunson.,31,40
13:05,2460,Tywhon Pickford made Layup.,33,40
12:45,2460,Foul on Bennett Koch.,33,40
12:35,222,Mikal Bridges made Layup.,33,42
12:27,2460,Juwan McCloud Turnover.,33,42
12:27,222,Villanova  Timeout,33,42
12:27,222,Official TV Timeout,33,42
12:08,222,Eric Paschall made Dunk.,33,44
11:47,222,Foul on Eric Paschall.,33,44
11:47,222,Official TV Timeout,33,44
11:29,2460,Juwan McCloud made Layup.,35,44
10:58,222,Mikal Bridges missed Three Point Jumper.,35,44
10:58,2460,Spencer Haldeman Defensive Rebound.,35,44
10:35,2460,Tywhon Pickford made Three Point Jumper. Assisted by Juwan McCloud.,38,44
10:09,222,Phil Booth missed Layup.,38,44
10:09,2460,Bennett Koch Block.,38,44
10:06,2460,Klint Carlson Defensive Rebound.,38,44
9:57,2460,Klint Carlson Turnover.,38,44
9:56,222,Donte DiVincenzo Steal.,38,44
9:54,2460,Foul on Juwan McCloud.,38,44
9:54,222,Donte DiVincenzo made Free Throw.,38,45
9:54,222,Donte DiVincenzo made Free Throw.,38,46
9:32,2460,Juwan McCloud missed Layup.,38,46
9:32,222,Omari Spellman Defensive Rebound.,38,46
9:27,2460,Foul on Klint Carlson.,38,46
9:25,222,Jalen Brunson made Three Point Jumper. Assisted by Donte DiVincenzo.,38,49
9:00,2460,Juwan McCloud missed Jumper.,38,49
8:58,222,Omari Spellman Defensive Rebound.,38,49
8:38,222,Donte DiVincenzo missed Three Point Jumper.,38,49
8:38,2460,Bennett Koch Defensive Rebound.,38,49
8:22,2460,Juwan McCloud missed Three Point Jumper.,38,49
8:22,222,Donte DiVincenzo Defensive Rebound.,38,49
8:06,222,Phil Booth missed Three Point Jumper.,38,49
8:06,222,Mikal Bridges Offensive Rebound.,38,49
8:03,222,Mikal Bridges missed Dunk.,38,49
8:03,2460,Klint Carlson Defensive Rebound.,38,49
7:57,2460,Northern Iowa  Timeout,38,49
7:39,2460,Bennett Koch made Layup.,40,49
7:18,222,Omari Spellman missed Three Point Jumper.,40,49
7:18,2460,Tywhon Pickford Defensive Rebound.,40,49
7:00,222,Foul on Omari Spellman.,40,49
6:43,2460,Bennett Koch made Jumper.,42,49
