Columbia,2142,Colgate,171
time,team_id,description,h_score,a_score
19:39,171,Nate Hickman Turnover.,0,0
19:38,2142,Francisco Amiel Steal.,0,0
19:22,2142,Dana Batt missed Layup.,0,0
19:22,171,Patrick Tape Block.,0,0
19:18,171,Nate Hickman Defensive Rebound.,0,0
18:54,171,Foul on Patrick Tape.,0,0
18:54,171,Patrick Tape Turnover.,0,0
18:33,2142,Will Rayman missed Jumper.,0,0
18:33,2142,Will Rayman Offensive Rebound.,0,0
18:30,2142,Will Rayman missed Layup.,0,0
18:30,2142,Will Rayman Offensive Rebound.,0,0
18:23,2142,Will Rayman missed Jumper.,0,0
18:23,171,Lukas Meisner Defensive Rebound.,0,0
18:15,171,Mike Smith missed Layup.,0,0
18:15,2142,Francisco Amiel Block.,0,0
18:14,2142,Will Rayman Defensive Rebound.,0,0
17:46,2142,Sean O'Brien made Layup.,0,2
17:29,171,Mike Smith missed Three Point Jumper.,0,2
17:29,2142,Will Rayman Defensive Rebound.,0,2
17:02,2142,Jordan Swopshire missed Jumper.,0,2
17:02,171,Quinton Adlesh Defensive Rebound.,0,2
16:47,171,Nate Hickman missed Jumper.,0,2
16:47,171,Patrick Tape Offensive Rebound.,0,2
16:47,2142,Foul on Dana Batt.,0,2
16:31,171,Jaron Faulds made Jumper.,2,2
16:10,2142,Sean O'Brien made Three Point Jumper. Assisted by Will Rayman.,2,5
15:58,171,Rodney Hunter missed Layup.,2,5
15:58,2142,Jordan Swopshire Defensive Rebound.,2,5
15:42,2142,Will Rayman made Three Point Jumper. Assisted by Jordan Swopshire.,2,8
15:34,171,Quinton Adlesh missed Three Point Jumper.,2,8
15:34,2142,Jordan Swopshire Defensive Rebound.,2,8
15:24,2142,Will Rayman made Three Point Jumper. Assisted by Sean O'Brien.,2,11
15:03,171,Nate Hickman missed Jumper.,2,11
15:03,2142,Will Rayman Defensive Rebound.,2,11
14:54,2142,Jordan Swopshire missed Three Point Jumper.,2,11
14:54,171,Rodney Hunter Defensive Rebound.,2,11
14:38,171,Gabe Stefanini missed Jumper.,2,11
14:38,2142,Will Rayman Defensive Rebound.,2,11
14:21,2142,Jordan Swopshire missed Three Point Jumper.,2,11
14:21,2142,Colgate Offensive Rebound.,2,11
14:18,2142,Official TV Timeout,2,11
14:11,2142,Will Rayman Turnover.,2,11
14:11,171,Nate Hickman Steal.,2,11
13:55,171,Gabe Stefanini Turnover.,2,11
13:54,2142,Francisco Amiel Steal.,2,11
13:34,2142,Francisco Amiel made Three Point Jumper. Assisted by Sean O'Brien.,2,14
13:14,171,Quinton Adlesh missed Three Point Jumper.,2,14
13:14,2142,Jordan Burns Defensive Rebound.,2,14
13:01,2142,Francisco Amiel made Three Point Jumper. Assisted by Sean O'Brien.,2,17
12:57,171,Columbia  Timeout,2,17
12:48,171,Patrick Tape missed Layup.,2,17
12:48,171,Patrick Tape Offensive Rebound.,2,17
12:46,171,Patrick Tape Turnover.,2,17
12:46,2142,Sean O'Brien Steal.,2,17
12:31,2142,Jordan Burns made Three Point Jumper. Assisted by Will Rayman.,2,20
12:06,171,Nate Hickman made Jumper.,4,20
11:59,2142,Foul on Will Rayman.,4,20
11:59,2142,Will Rayman Turnover.,4,20
11:59,2142,Official TV Timeout,4,20
11:44,171,Quinton Adlesh Turnover.,4,20
11:29,2142,Sean O'Brien made Three Point Jumper. Assisted by Malcolm Regisford.,4,23
11:09,171,Tai Bibbs missed Three Point Jumper.,4,23
11:09,2142,Will Rayman Defensive Rebound.,4,23
10:57,2142,Francisco Amiel missed Three Point Jumper.,4,23
10:57,171,Tai Bibbs Defensive Rebound.,4,23
10:49,171,Mike Smith made Jumper.,6,23
10:28,2142,Francisco Amiel missed Three Point Jumper.,6,23
10:28,2142,Sean O'Brien Offensive Rebound.,6,23
10:23,2142,Jordan Burns made Three Point Jumper. Assisted by Will Rayman.,6,26
10:09,171,Lukas Meisner Turnover.,6,26
10:08,2142,Francisco Amiel Steal.,6,26
10:01,2142,Francisco Amiel made Jumper.,6,28
9:47,2142,Foul on Malcolm Regisford.,6,28
9:47,171,Mike Smith made Free Throw.,7,28
9:47,171,Mike Smith made Free Throw.,8,28
9:38,2142,Jack Ferguson Turnover.,8,28
9:37,171,Mike Smith Steal.,8,28
9:21,171,Lukas Meisner made Three Point Jumper. Assisted by Nate Hickman.,11,28
8:53,2142,Sean O'Brien missed Three Point Jumper.,11,28
8:53,171,Lukas Meisner Defensive Rebound.,11,28
8:42,171,Lukas Meisner made Layup. Assisted by Rodney Hunter.,13,28
8:17,2142,Jordan Burns Turnover.,13,28
8:13,2142,Foul on Malcolm Regisford.,13,28
8:13,171,Nate Hickman made Free Throw.,14,28
8:13,171,Nate Hickman made Free Throw.,15,28
7:52,2142,Jack Ferguson made Three Point Jumper. Assisted by Jordan Burns.,15,31
7:36,171,Patrick Tape missed Jumper.,15,31
7:36,2142,Jordan Swopshire Defensive Rebound.,15,31
7:30,2142,Sean O'Brien made Three Point Jumper.,15,34
7:10,171,Nate Hickman missed Layup.,15,34
7:10,2142,Dana Batt Defensive Rebound.,15,34
7:03,2142,Jordan Swopshire missed Three Point Jumper.,15,34
7:03,171,Tai Bibbs Defensive Rebound.,15,34
6:45,171,Patrick Tape made Jumper. Assisted by Mike Smith.,17,34
6:28,2142,Jordan Burns missed Three Point Jumper.,17,34
6:28,171,Nate Hickman Defensive Rebound.,17,34
6:16,171,Mike Smith made Three Point Jumper. Assisted by Nate Hickman.,20,34
5:58,2142,Jordan Swopshire Turnover.,20,34
5:57,171,Nate Hickman Steal.,20,34
5:54,171,Nate Hickman missed Layup.,20,34
