Toccoa Falls,Error,Liberty,2335
time,team_id,description,h_score,a_score
19:46,2335,Lovell Cabbil Turnover.,0,0
19:36,-1,Kevin Cave made Three Point Jumper. Assisted by Justin Watkins.,3,0
19:17,2335,Isaiah Williams missed Layup.,3,0
19:17,2335,Isaiah Williams Offensive Rebound.,3,0
19:01,2335,Scottie James missed Jumper.,3,0
19:01,2335,Keegan McDowell Offensive Rebound.,3,0
18:57,2335,Scottie James made Three Point Jumper. Assisted by Keegan McDowell.,3,3
18:47,-1,Joe Dockery missed Layup.,3,3
18:47,2335,Keegan McDowell Block.,3,3
18:45,2335,Isaiah Williams Defensive Rebound.,3,3
18:43,-1,Foul on Justin Watkins.,3,3
18:43,2335,Isaiah Williams missed Free Throw.,3,3
18:43,2335,Liberty Deadball Team Rebound.,3,3
18:43,2335,Isaiah Williams made Free Throw.,3,4
18:13,-1,Joe Dockery Turnover.,3,4
17:53,-1,Foul on Joe Dockery.,3,4
17:53,2335,Lovell Cabbil made Free Throw.,3,5
17:53,2335,Lovell Cabbil made Free Throw.,3,6
17:36,-1,Justin Watkins Turnover.,3,6
17:20,2335,Myo Baxter-Bell made Jumper.,3,8
17:08,-1,Kevin Cave Turnover.,3,8
17:05,2335,Lovell Cabbil Steal.,3,8
17:03,-1,Foul on Nick Hayes.,3,8
17:03,2335,Keegan McDowell made Free Throw.,3,9
17:03,2335,Keegan McDowell made Free Throw.,3,10
16:39,-1,Dylan Brandenburg missed Three Point Jumper.,3,10
16:39,2335,Liberty Defensive Rebound.,3,10
16:23,2335,Elijah Cuffee made Three Point Jumper. Assisted by Caleb Homesley.,3,13
16:03,-1,Joe Dockery Turnover.,3,13
16:00,2335,Lovell Cabbil Steal.,3,13
15:53,2335,Keegan McDowell made Three Point Jumper. Assisted by Caleb Homesley.,3,16
15:26,-1,Jordan Grayson missed Layup.,3,16
15:26,2335,Myo Baxter-Bell Defensive Rebound.,3,16
15:12,-1,Foul on Joe Dockery.,3,16
15:12,2335,Official TV Timeout,3,16
15:10,2335,Elijah Cuffee missed Three Point Jumper.,3,16
15:10,2335,Ezra Talbert Offensive Rebound.,3,16
14:56,2335,Caleb Homesley made Layup. Assisted by Myo Baxter-Bell.,3,18
14:33,-1,Kevin Cave made Three Point Jumper. Assisted by Caleb Sergent.,6,18
14:18,2335,Keegan McDowell missed Jumper.,6,18
14:18,2335,Ezra Talbert Offensive Rebound.,6,18
14:11,2335,Ezra Talbert missed Two Point Tip Shot.,6,18
14:11,2335,Myo Baxter-Bell Offensive Rebound.,6,18
14:07,2335,Myo Baxter-Bell made Two Point Tip Shot.,6,20
14:02,-1,Christian Newman Turnover.,6,20
14:01,2335,Myo Baxter-Bell Steal.,6,20
13:59,2335,Myo Baxter-Bell made Layup.,6,22
13:41,-1,Kevin Cave Turnover.,6,22
13:39,2335,Keegan McDowell Steal.,6,22
13:35,2335,Ezra Talbert missed Jumper.,6,22
13:35,-1,Nick Hayes Defensive Rebound.,6,22
13:14,-1,Caleb Sergent missed Layup.,6,22
13:14,2335,Keegan McDowell Defensive Rebound.,6,22
13:02,2335,Foul on Keegan McDowell.,6,22
13:02,2335,Keegan McDowell Turnover.,6,22
12:32,2335,Foul on Isaiah Williams.,6,22
12:32,-1,Dylan Brandenburg made Free Throw.,7,22
12:32,-1,Dylan Brandenburg made Free Throw.,8,22
12:17,2335,Georgie Pacheco-Ortiz made Layup.,8,24
11:58,-1,Caleb Sergent Turnover.,8,24
11:56,2335,Elijah Cuffee Steal.,8,24
11:53,2335,Elijah Cuffee missed Layup.,8,24
11:53,2335,Lovell Cabbil Offensive Rebound.,8,24
11:47,2335,Lovell Cabbil missed Layup.,8,24
11:47,-1,Kevin Cave Defensive Rebound.,8,24
11:34,-1,Kevin Cave made Three Point Jumper. Assisted by Dylan Brandenburg.,11,24
11:18,2335,Foul on Elijah Cuffee.,11,24
11:18,2335,Elijah Cuffee Turnover.,11,24
11:18,2335,Official TV Timeout,11,24
11:02,-1,Shane Thompson made Layup. Assisted by Kevin Cave.,13,24
10:44,2335,Isaiah Williams missed Layup.,13,24
10:44,2335,Scottie James Offensive Rebound.,13,24
10:30,2335,Scottie James missed Layup.,13,24
