NC Wesleyan,Error,Longwood,2344
time,team_id,description,h_score,a_score
19:43,2344,Isaiah Walton missed Three Point Jumper.,0,0
19:43,-1,Robert Wilson Defensive Rebound.,0,0
19:37,-1,Robert Wilson Turnover.,0,0
19:36,2344,JaShaun Smith Steal.,0,0
19:27,2344,Isaiah Walton Turnover.,0,0
19:25,-1,A.J. Frye Steal.,0,0
19:21,-1,Chris Braswell Turnover.,0,0
19:19,2344,B.K. Ashe Steal.,0,0
18:57,2344,B.K. Ashe made Jumper.,0,2
18:33,-1,A.J. Frye Turnover.,0,2
18:26,2344,JaShaun Smith made Three Point Jumper. Assisted by B.K. Ashe.,0,5
17:59,-1,Chris Braswell missed Three Point Jumper.,0,5
17:59,-1,Robert Wilson Offensive Rebound.,0,5
17:39,2344,Isaiah Walton missed Jumper.,0,5
17:39,-1,Justin Tankelewicz Defensive Rebound.,0,5
17:26,2344,JaShaun Smith made Jumper.,0,7
17:12,2344,Foul on Chris Shields.,0,7
17:12,-1,Justin Tankelewicz made Free Throw.,1,7
17:12,-1,Justin Tankelewicz made Free Throw.,2,7
17:12,-1,Justin Tankelewicz made Free Throw.,3,7
16:55,2344,JaShaun Smith missed Jumper.,3,7
16:55,-1,Adrian Moore Defensive Rebound.,3,7
16:48,-1,Adrian Moore missed Layup.,3,7
16:48,2344,JaShaun Smith Block.,3,7
16:48,-1,NC Wesleyan Offensive Rebound.,3,7
16:40,-1,Chris Braswell missed Three Point Jumper.,3,7
16:40,-1,NC Wesleyan Offensive Rebound.,3,7
16:29,-1,Adrian Moore missed Jumper.,3,7
16:29,-1,A.J. Frye Defensive Rebound.,3,7
16:10,2344,B.K. Ashe missed Three Point Jumper.,3,7
16:10,-1,NC Wesleyan Defensive Rebound.,3,7
15:49,-1,A.J. Frye missed Three Point Jumper.,3,7
15:49,2344,B.K. Ashe Defensive Rebound.,3,7
15:35,-1,Justin Tankelewicz missed Three Point Jumper.,3,7
15:35,-1,Justin Tankelewicz Defensive Rebound.,3,7
15:20,-1,Josh Covington Offensive Rebound.,3,7
15:18,-1,Josh Covington Turnover.,3,7
15:17,2344,Isaiah Walton Steal.,3,7
15:11,2344,B.K. Ashe made Dunk.,3,9
14:42,-1,NC Wesleyan  Turnover.,3,9
14:42,2344,Longwood  Timeout,3,9
14:26,2344,Foul on Isaiah Walton.,3,9
14:26,2344,Isaiah Walton Turnover.,3,9
13:58,-1,Robert Wilson missed Three Point Jumper.,3,9
13:58,2344,Longwood Defensive Rebound.,3,9
13:55,-1,Foul on Malique Judd.,3,9
13:43,2344,Spencer Franklin Turnover.,3,9
13:17,-1,Cameron Martin missed Three Point Jumper.,3,9
13:17,2344,Isaiah Walton Block.,3,9
13:14,2344,B.K. Ashe Defensive Rebound.,3,9
13:04,2344,Isaiah Walton made Dunk. Assisted by B.K. Ashe.,3,11
12:51,-1,Josh Covington Turnover.,3,11
12:50,2344,Isaiah Walton Steal.,3,11
12:46,2344,B.K. Ashe made Layup.,3,13
12:29,-1,A.J. Frye Turnover.,3,13
12:14,2344,Charles Glover made Three Point Jumper. Assisted by Kamil Chapman.,3,16
11:50,-1,Mitch Layton made Layup. Assisted by Cameron Martin.,5,16
11:33,2344,Kamil Chapman missed Three Point Jumper.,5,16
11:33,-1,Malique Judd Defensive Rebound.,5,16
11:24,-1,Josh Covington missed Jumper.,5,16
11:24,2344,Spencer Franklin Block.,5,16
11:21,2344,Spencer Franklin Defensive Rebound.,5,16
11:18,2344,Chris Shields made Dunk.,5,18
11:17,-1,NC Wesleyan  Timeout,5,18
11:17,-1,NC Wesleyan  Timeout,5,18
11:05,-1,Adrian Moore missed Jumper.,5,18
11:05,2344,Chris Shields Defensive Rebound.,5,18
10:40,2344,JaShaun Smith made Layup.,5,20
10:09,2344,Foul on Kamil Chapman.,5,20
10:09,-1,Chris Braswell made Free Throw.,6,20
10:09,-1,Chris Braswell made Free Throw.,7,20
10:09,-1,Chris Braswell missed Free Throw.,7,20
10:09,-1,Malique Judd Offensive Rebound.,7,20
10:03,-1,Adrian Moore missed Layup.,7,20
10:03,-1,Mitch Layton Offensive Rebound.,7,20
9:58,-1,Mitch Layton made Layup.,9,20
9:47,2344,B.K. Ashe made Jumper.,9,22
9:20,-1,Chris Braswell missed Three Point Jumper.,9,22
9:20,-1,Chris Braswell Offensive Rebound.,9,22
9:14,2344,Foul on Chris Shields.,9,22
