Wisconsin,258,Virginia,275
time,team_id,description,h_score,a_score
20:00,258,Jump Ball won by Virginia,0,0
19:42,258,Ty Jerome missed Jumper.,0,0
19:42,275,Ethan Happ Defensive Rebound.,0,0
19:22,258,Foul on Devon Hall.,0,0
19:06,275,Brad Davison missed Three Point Jumper.,0,0
19:06,258,Isaiah Wilkins Defensive Rebound.,0,0
19:04,275,Foul on Aleem Ford.,0,0
18:44,258,Devon Hall made Jumper.,0,2
18:30,275,D'Mitrik Trice made Layup. Assisted by Khalil Iverson.,2,2
18:07,258,Devon Hall made Three Point Jumper.,2,5
17:51,275,Ethan Happ missed Jumper.,2,5
17:51,258,Ty Jerome Defensive Rebound.,2,5
17:31,258,Kyle Guy missed Jumper.,2,5
17:31,275,Khalil Iverson Defensive Rebound.,2,5
17:09,275,Brad Davison missed Three Point Jumper.,2,5
17:09,258,Jack Salt Defensive Rebound.,2,5
16:49,258,Kyle Guy made Layup.,2,7
16:19,275,D'Mitrik Trice missed Jumper.,2,7
16:19,258,Jack Salt Block.,2,7
16:19,275,Wisconsin Offensive Rebound.,2,7
16:17,275,D'Mitrik Trice missed Three Point Jumper.,2,7
16:17,258,Isaiah Wilkins Defensive Rebound.,2,7
15:57,258,Kyle Guy missed Jumper.,2,7
15:57,258,Isaiah Wilkins Offensive Rebound.,2,7
15:27,258,Kyle Guy made Layup.,2,9
15:15,275,Jump Ball won by Wisconsin,2,9
15:15,258,Official TV Timeout,2,9
15:01,275,D'Mitrik Trice made Jumper.,4,9
14:46,258,Kyle Guy Turnover.,4,9
14:46,275,Brad Davison Steal.,4,9
14:22,275,D'Mitrik Trice missed Three Point Jumper.,4,9
14:22,258,Virginia Defensive Rebound.,4,9
14:04,258,Ty Jerome missed Jumper.,4,9
14:04,275,Charles Thomas IV Defensive Rebound.,4,9
13:49,275,Nate Reuvers missed Jumper.,4,9
13:49,275,Nate Reuvers Offensive Rebound.,4,9
13:49,275,Nate Reuvers missed Layup.,4,9
13:49,258,Isaiah Wilkins Defensive Rebound.,4,9
13:30,258,Kyle Guy made Three Point Jumper. Assisted by Ty Jerome.,4,12
12:55,275,Nate Reuvers Turnover.,4,12
