Maryland-Eastern Shore,295,Old Dominion,2379
time,team_id,description,h_score,a_score
19:35,295,Ahmad Caver missed Three Point Jumper.,0,0
19:35,2379,Miryne Thomas Defensive Rebound.,0,0
19:26,2379,Ahmad Frost missed Three Point Jumper.,0,0
19:26,295,Trey Porter Defensive Rebound.,0,0
19:03,295,Ahmad Caver Turnover.,0,0
18:38,2379,Miryne Thomas made Layup. Assisted by Tyler Jones.,2,0
18:23,2379,Foul on Colen Gaynor.,2,0
18:23,295,Trey Porter made Free Throw.,2,1
18:23,295,Trey Porter missed Free Throw.,2,1
18:23,295,Brandan Stith Offensive Rebound.,2,1
18:22,295,Brandan Stith missed Layup.,2,1
18:22,295,B.J. Stith Offensive Rebound.,2,1
18:22,2379,Foul on Miryne Thomas.,2,1
18:20,295,B.J. Stith made Free Throw.,2,2
18:20,295,B.J. Stith missed Free Throw.,2,2
18:20,2379,Colen Gaynor Defensive Rebound.,2,2
18:04,2379,Ahmad Frost missed Three Point Jumper.,2,2
18:04,295,Ahmad Caver Defensive Rebound.,2,2
17:58,295,Ahmad Caver missed Layup.,2,2
17:58,2379,Logan McIntosh Defensive Rebound.,2,2
17:52,2379,Logan McIntosh Turnover.,2,2
17:24,295,B.J. Stith missed Jumper.,2,2
17:24,295,Trey Porter Offensive Rebound.,2,2
17:21,295,Trey Porter made Jumper.,2,4
17:08,2379,Tyler Jones missed Three Point Jumper.,2,4
17:08,295,Brandan Stith Defensive Rebound.,2,4
16:54,295,Randy Haynes Turnover.,2,4
16:52,2379,Ahmad Frost Steal.,2,4
16:33,2379,Ahmad Frost Turnover.,2,4
16:28,295,B.J. Stith Steal.,2,4
16:28,295,B.J. Stith made Layup. Assisted by Randy Haynes.,2,6
16:28,2379,Foul on Cameron Bacote.,2,6
16:28,295,B.J. Stith made Free Throw.,2,7
16:23,2379,Miryne Thomas Turnover.,2,7
16:15,295,Xavier Green missed Jumper.,2,7
16:15,295,Old Dominion Offensive Rebound.,2,7
16:05,295,Brandan Stith missed Jumper.,2,7
16:05,2379,Maryland-Eastern Shore Defensive Rebound.,2,7
15:43,2379,Tyler Jones missed Jumper.,2,7
15:43,295,Brandan Stith Defensive Rebound.,2,7
15:35,295,B.J. Stith missed Layup.,2,7
15:35,2379,Maryland-Eastern Shore Defensive Rebound.,2,7
15:31,295,Official TV Timeout,2,7
15:04,2379,Tyler Jones made Layup.,4,7
14:52,295,Randy Haynes made Layup.,4,9
14:24,2379,Ahmad Frost made Three Point Jumper.,7,9
13:59,2379,Foul on Ahmad Frost.,7,9
13:49,295,Randy Haynes made Three Point Jumper. Assisted by Ahmad Caver.,7,12
13:35,2379,Cameron Bacote missed Three Point Jumper.,7,12
13:35,295,Xavier Green Defensive Rebound.,7,12
13:22,295,Xavier Green made Jumper.,7,14
12:49,2379,Cameron Bacote missed Jumper.,7,14
12:49,2379,LeAndre Thomas Offensive Rebound.,7,14
12:45,295,Foul on Randy Haynes.,7,14
12:45,2379,LeAndre Thomas missed Free Throw.,7,14
12:45,2379,Maryland-Eastern Shore Deadball Team Rebound.,7,14
12:45,2379,LeAndre Thomas missed Free Throw.,7,14
12:45,295,Trey Porter Defensive Rebound.,7,14
12:23,295,Randy Haynes missed Jumper.,7,14
12:23,2379,Cameron Bacote Defensive Rebound.,7,14
11:59,2379,Miryne Thomas missed Jumper.,7,14
11:59,2379,Colen Gaynor Offensive Rebound.,7,14
11:56,2379,Colen Gaynor missed Jumper.,7,14
11:56,2379,Maryland-Eastern Shore Offensive Rebound.,7,14
11:56,295,Foul on Trey Porter.,7,14
11:56,295,Official TV Timeout,7,14
11:56,2379,Colen Gaynor missed Free Throw.,7,14
11:56,2379,Maryland-Eastern Shore Deadball Team Rebound.,7,14
11:56,2379,Colen Gaynor missed Free Throw.,7,14
11:56,295,B.J. Stith Defensive Rebound.,7,14
11:39,295,Xavier Green missed Three Point Jumper.,7,14
11:39,2379,Logan McIntosh Defensive Rebound.,7,14
11:29,2379,LeAndre Thomas missed Jumper.,7,14
11:29,295,Aaron Carver Defensive Rebound.,7,14
11:05,295,B.J. Stith missed Three Point Jumper.,7,14
11:05,295,Aaron Carver Offensive Rebound.,7,14
11:04,2379,Foul on LeAndre Thomas.,7,14
11:04,295,Aaron Carver made Free Throw.,7,15
11:04,295,Aaron Carver made Free Throw.,7,16
10:52,2379,Miryne Thomas Turnover.,7,16
10:50,295,B.J. Stith Steal.,7,16
10:48,295,B.J. Stith missed Jumper.,7,16
10:48,295,Old Dominion Offensive Rebound.,7,16
10:32,295,Ahmad Caver missed Jumper.,7,16
10:32,295,Aaron Carver Offensive Rebound.,7,16
10:29,295,Aaron Carver Turnover.,7,16
10:27,2379,Logan McIntosh Steal.,7,16
10:23,2379,Colen Gaynor made Jumper. Assisted by Logan McIntosh.,9,16
10:11,295,Randy Haynes missed Three Point Jumper.,9,16
10:11,2379,Logan McIntosh Defensive Rebound.,9,16
10:04,2379,Tyler Jones missed Jumper.,9,16
10:04,295,Aaron Carver Block.,9,16
10:02,295,B.J. Stith Defensive Rebound.,9,16
10:01,2379,Foul on Colen Gaynor.,9,16
9:41,295,Trey Porter missed Jumper.,9,16
9:41,2379,Miryne Thomas Defensive Rebound.,9,16
9:21,2379,Tyler Jones missed Jumper.,9,16
9:21,295,Aaron Carver Defensive Rebound.,9,16
9:14,2379,Foul on Miryne Thomas.,9,16
9:14,295,Aaron Carver missed Free Throw.,9,16
9:14,2379,Logan McIntosh Defensive Rebound.,9,16
8:48,2379,Ahmad Frost missed Three Point Jumper.,9,16
8:48,295,Brandan Stith Defensive Rebound.,9,16
8:30,295,Ahmad Caver made Three Point Jumper.,9,19
8:01,2379,Logan McIntosh missed Jumper.,9,19
8:01,295,Brandan Stith Defensive Rebound.,9,19
7:50,295,Ahmad Caver missed Three Point Jumper.,9,19
7:50,2379,LeAndre Thomas Defensive Rebound.,9,19
7:18,295,Foul on Randy Haynes.,9,19
7:18,295,Official TV Timeout,9,19
7:07,2379,Sean Hoggs missed Three Point Jumper.,9,19
7:07,295,Brandan Stith Defensive Rebound.,9,19
6:39,295,B.J. Stith missed Jumper.,9,19
6:39,2379,LeAndre Thomas Defensive Rebound.,9,19
6:27,2379,Cameron Bacote Turnover.,9,19
6:25,295,B.J. Stith Steal.,9,19
6:18,2379,Foul on LeAndre Thomas.,9,19
6:18,295,Xavier Green made Free Throw.,9,20
6:18,295,Xavier Green made Free Throw.,9,21
6:00,295,Foul on Xavier Green.,9,21
5:59,2379,Maryland-Eastern Shore  Turnover.,9,21
5:36,295,Ahmad Caver Turnover.,9,21
5:35,2379,Ahmad Frost Steal.,9,21
5:17,2379,Logan McIntosh missed Jumper.,9,21
5:17,295,Xavier Green Defensive Rebound.,9,21
5:11,295,Brandan Stith made Dunk. Assisted by Xavier Green.,9,23
4:46,2379,Tyler Jones missed Jumper.,9,23
4:46,295,Old Dominion Defensive Rebound.,9,23
4:22,295,Keith Pinckney missed Jumper.,9,23
4:22,295,B.J. Stith Offensive Rebound.,9,23
4:19,295,B.J. Stith missed Layup.,9,23
4:19,2379,Miryne Thomas Defensive Rebound.,9,23
3:57,2379,Ahmad Frost missed Three Point Jumper.,9,23
3:57,295,Old Dominion Defensive Rebound.,9,23
3:55,295,Official TV Timeout,9,23
3:42,295,Michael Hueitt Jr made Three Point Jumper. Assisted by Xavier Green.,9,26
3:23,2379,Miryne Thomas missed Three Point Jumper.,9,26
3:23,295,Michael Hueitt Jr Defensive Rebound.,9,26
3:14,295,Michael Hueitt Jr missed Three Point Jumper.,9,26
3:14,2379,Tyler Jones Defensive Rebound.,9,26
2:50,2379,Tyler Jones missed Jumper.,9,26
2:50,295,Keith Pinckney Defensive Rebound.,9,26
2:16,295,Aaron Carver missed Jumper.,9,26
2:16,295,Brandan Stith Offensive Rebound.,9,26
2:13,295,Brandan Stith made Layup.,9,28
1:58,2379,Miryne Thomas missed Jumper.,9,28
1:58,295,Brandan Stith Block.,9,28
1:55,295,Aaron Carver Defensive Rebound.,9,28
1:47,295,Michael Hueitt Jr missed Jumper.,9,28
1:47,295,Brandan Stith Offensive Rebound.,9,28
1:47,2379,Foul on Tyler Jones.,9,28
1:47,295,Brandan Stith made Free Throw.,9,29
1:47,295,Brandan Stith made Free Throw.,9,30
1:42,295,Foul on B.J. Stith.,9,30
1:42,2379,Colen Gaynor made Free Throw.,10,30
1:42,2379,Colen Gaynor made Free Throw.,11,30
1:15,295,Michael Hueitt Jr made Three Point Jumper. Assisted by Brandan Stith.,11,33
0:45,2379,Miryne Thomas made Three Point Jumper. Assisted by Logan McIntosh.,14,33
0:23,295,Aaron Carver made Layup.,14,35
0:23,2379,Foul on LeAndre Thomas.,14,35
0:23,295,Aaron Carver missed Free Throw.,14,35
0:23,295,Old Dominion Offensive Rebound.,14,35
0:07,295,B.J. Stith made Jumper. Assisted by Michael Hueitt Jr.,14,37
0:00,295,End of 1st half,14,37
19:31,2379,Tyler Jones missed Jumper.,14,37
19:31,2379,Maryland-Eastern Shore Offensive Rebound.,14,37
19:05,2379,Miryne Thomas missed Layup.,14,37
19:05,295,Trey Porter Block.,14,37
19:02,2379,Miryne Thomas Offensive Rebound.,14,37
18:59,2379,Miryne Thomas made Layup.,16,37
18:53,295,Randy Haynes made Jumper.,16,39
18:33,2379,Ahmad Frost missed Three Point Jumper.,16,39
18:33,295,Trey Porter Defensive Rebound.,16,39
18:32,2379,Foul on LeAndre Thomas.,16,39
18:18,295,Randy Haynes missed Three Point Jumper.,16,39
18:18,2379,Ahmad Frost Defensive Rebound.,16,39
18:07,2379,Logan McIntosh missed Three Point Jumper.,16,39
18:07,295,Trey Porter Defensive Rebound.,16,39
17:51,295,Ahmad Caver missed Three Point Jumper.,16,39
17:51,295,Trey Porter Offensive Rebound.,16,39
17:46,295,Trey Porter made Layup.,16,41
17:31,2379,Tyler Jones made Three Point Jumper. Assisted by Miryne Thomas.,19,41
17:12,295,B.J. Stith made Three Point Jumper. Assisted by Randy Haynes.,19,44
17:03,2379,Miryne Thomas made Three Point Jumper. Assisted by Logan McIntosh.,22,44
16:45,295,Randy Haynes missed Three Point Jumper.,22,44
16:45,2379,Logan McIntosh Defensive Rebound.,22,44
16:38,295,Foul on Trey Porter.,22,44
16:38,2379,Miryne Thomas missed Free Throw.,22,44
16:38,2379,Maryland-Eastern Shore Deadball Team Rebound.,22,44
16:38,2379,Miryne Thomas missed Free Throw.,22,44
16:38,295,Michael Hueitt Jr Defensive Rebound.,22,44
16:26,2379,Foul on Colen Gaynor.,22,44
16:26,295,Brandan Stith missed Free Throw.,22,44
16:26,295,Old Dominion Deadball Team Rebound.,22,44
16:26,295,Brandan Stith made Free Throw.,22,45
16:14,2379,Logan McIntosh made Layup.,24,45
15:50,295,Michael Hueitt Jr made Three Point Jumper. Assisted by Ahmad Caver.,24,48
15:33,2379,Tyler Jones Turnover.,24,48
15:31,295,B.J. Stith Steal.,24,48
15:28,295,B.J. Stith Turnover.,24,48
15:27,2379,Colen Gaynor Steal.,24,48
15:22,2379,Logan McIntosh Turnover.,24,48
15:21,295,Official TV Timeout,24,48
14:58,295,Brandan Stith missed Layup.,24,48
14:58,295,B.J. Stith Offensive Rebound.,24,48
14:51,295,B.J. Stith made Layup.,24,50
14:46,295,Foul on Ahmad Caver.,24,50
14:34,2379,Tyler Jones missed Three Point Jumper.,24,50
14:34,295,Ahmad Caver Defensive Rebound.,24,50
14:22,295,B.J. Stith missed Layup.,24,50
14:22,2379,Miryne Thomas Defensive Rebound.,24,50
14:06,2379,Tyler Jones missed Jumper.,24,50
14:06,295,Trey Porter Block.,24,50
14:04,2379,Miryne Thomas Offensive Rebound.,24,50
14:01,2379,Miryne Thomas missed Jumper.,24,50
14:01,295,Michael Hueitt Jr Defensive Rebound.,24,50
13:54,295,Ahmad Caver made Layup.,24,52
13:37,2379,Miryne Thomas missed Three Point Jumper.,24,52
13:37,295,Ahmad Caver Defensive Rebound.,24,52
13:32,295,Trey Porter made Dunk. Assisted by Ahmad Caver.,24,54
13:30,2379,Foul on Logan McIntosh.,24,54
13:30,295,Trey Porter made Free Throw.,24,55
13:23,2379,Cameron Bacote missed Three Point Jumper.,24,55
13:23,295,Trey Porter Defensive Rebound.,24,55
13:14,2379,Foul on Ahmad Frost.,24,55
12:59,2379,Foul on LeAndre Thomas.,24,55
12:59,295,Trey Porter made Free Throw.,24,56
12:59,295,Trey Porter made Free Throw.,24,57
12:44,2379,Foul on Miryne Thomas.,24,57
12:44,2379,Miryne Thomas Turnover.,24,57
12:24,295,B.J. Stith made Three Point Jumper. Assisted by Michael Hueitt Jr.,24,60
12:02,2379,Tyler Jones missed Jumper.,24,60
12:02,295,B.J. Stith Defensive Rebound.,24,60
11:52,295,Michael Hueitt Jr made Three Point Jumper. Assisted by B.J. Stith.,24,63
11:44,2379,Maryland-Eastern Shore  Timeout,24,63
11:19,2379,Miryne Thomas made Three Point Jumper.,27,63
11:01,295,Brandan Stith made Layup. Assisted by Marquis Godwin.,27,65
10:37,2379,Cameron Bacote made Three Point Jumper. Assisted by Ahmad Frost.,30,65
10:13,295,Marquis Godwin missed Three Point Jumper.,30,65
10:13,2379,Miryne Thomas Defensive Rebound.,30,65
10:06,2379,Miryne Thomas missed Three Point Jumper.,30,65
10:06,295,Michael Hueitt Jr Defensive Rebound.,30,65
9:55,295,Aaron Carver missed Jumper.,30,65
9:55,2379,Miryne Thomas Defensive Rebound.,30,65
9:37,295,Foul on Keith Pinckney.,30,65
9:37,295,Official TV Timeout,30,65
9:21,2379,Tyler Jones missed Three Point Jumper.,30,65
9:21,295,Xavier Green Defensive Rebound.,30,65
9:11,295,Michael Hueitt Jr missed Three Point Jumper.,30,65
9:11,2379,Cameron Bacote Defensive Rebound.,30,65
8:52,295,Foul on Stephen Vassor.,30,65
8:52,2379,Miryne Thomas made Free Throw.,31,65
8:52,2379,Miryne Thomas made Free Throw.,32,65
8:35,295,Aaron Carver missed Jumper.,32,65
8:35,2379,Tyler Jones Defensive Rebound.,32,65
8:26,2379,Cameron Bacote missed Three Point Jumper.,32,65
8:26,295,Marquis Godwin Defensive Rebound.,32,65
8:18,295,Xavier Green Turnover.,32,65
8:16,2379,Cameron Bacote Steal.,32,65
8:10,2379,Tyler Jones made Three Point Jumper. Assisted by Logan McIntosh.,35,65
7:56,295,Xavier Green made Layup.,35,67
7:56,2379,Foul on Tyler Jones.,35,67
7:54,295,Official TV Timeout,35,67
7:54,295,Xavier Green made Free Throw.,35,68
7:33,2379,Ahmad Frost missed Three Point Jumper.,35,68
7:33,295,Marquis Godwin Defensive Rebound.,35,68
7:23,295,Stephen Vassor made Jumper. Assisted by Xavier Green.,35,70
7:02,2379,Tyler Jones missed Three Point Jumper.,35,70
7:02,295,Aaron Carver Defensive Rebound.,35,70
6:52,2379,Foul on Najee Fitzgerald.,35,70
6:52,295,Aaron Carver missed Free Throw.,35,70
6:52,295,Old Dominion Deadball Team Rebound.,35,70
6:52,295,Aaron Carver made Free Throw.,35,71
6:50,2379,Cameron Bacote missed Three Point Jumper.,35,71
6:50,295,Aaron Carver Defensive Rebound.,35,71
6:42,295,Xavier Green missed Layup.,35,71
6:42,2379,Logan McIntosh Defensive Rebound.,35,71
6:33,2379,Colen Gaynor missed Three Point Jumper.,35,71
6:33,295,Michael Hueitt Jr Defensive Rebound.,35,71
6:18,295,Xavier Green missed Three Point Jumper.,35,71
6:18,295,Aaron Carver Offensive Rebound.,35,71
6:11,295,Aaron Carver missed Layup.,35,71
6:11,2379,Logan McIntosh Block.,35,71
6:11,295,Old Dominion Offensive Rebound.,35,71
5:58,295,Stephen Vassor made Layup. Assisted by Aaron Carver.,35,73
5:40,2379,Colen Gaynor missed Jumper.,35,73
5:40,295,Michael Hueitt Jr Defensive Rebound.,35,73
5:30,295,Aaron Carver made Dunk. Assisted by Michael Hueitt Jr.,35,75
5:08,295,Foul on Marquis Godwin.,35,75
5:07,2379,Logan McIntosh made Free Throw.,36,75
5:07,2379,Logan McIntosh made Free Throw.,37,75
4:49,2379,Foul on Ahmad Frost.,37,75
4:49,295,Xavier Green made Free Throw.,37,76
4:49,295,Xavier Green made Free Throw.,37,77
4:29,295,Foul on Alfis Pilavios.,37,77
4:10,2379,Miryne Thomas missed Jumper.,37,77
4:10,295,Marquis Godwin Defensive Rebound.,37,77
3:57,295,Stephen Vassor made Jumper. Assisted by Xavier Green.,37,79
3:27,2379,Colen Gaynor made Layup.,39,79
3:09,2379,Foul on Sean Hoggs.,39,79
3:09,295,Official TV Timeout,39,79
3:09,295,Xavier Green made Free Throw.,39,80
3:09,295,Xavier Green made Free Throw.,39,81
2:54,2379,Colen Gaynor missed Three Point Jumper.,39,81
2:54,2379,Sean Hoggs Offensive Rebound.,39,81
2:27,2379,Montraz Oliver missed Jumper.,39,81
2:27,295,Michael Hueitt Jr Defensive Rebound.,39,81
2:26,295,Foul on Alfis Pilavios.,39,81
2:26,2379,Najee Fitzgerald missed Free Throw.,39,81
2:26,295,Michael Hueitt Jr Defensive Rebound.,39,81
2:03,295,Michael Hueitt Jr missed Three Point Jumper.,39,81
2:03,295,Stephen Vassor Offensive Rebound.,39,81
1:50,295,Keith Pinckney made Jumper.,39,83
1:40,2379,Logan McIntosh Turnover.,39,83
1:22,295,Marquis Godwin missed Jumper.,39,83
1:22,2379,Colen Gaynor Defensive Rebound.,39,83
1:17,2379,Najee Fitzgerald made Layup. Assisted by Cameron Bacote.,41,83
1:17,295,Foul on Stephen Vassor.,41,83
1:17,2379,Najee Fitzgerald made Free Throw.,42,83
1:04,295,Keith Pinckney missed Layup.,42,83
1:04,295,Michael Hueitt Jr Offensive Rebound.,42,83
1:00,295,Michael Hueitt Jr missed Layup.,42,83
1:00,2379,Colen Gaynor Defensive Rebound.,42,83
0:52,2379,Montraz Oliver made Layup. Assisted by Colen Gaynor.,44,83
0:36,295,Keith Pinckney missed Jumper.,44,83
0:36,2379,Montraz Oliver Defensive Rebound.,44,83
0:18,2379,Montraz Oliver missed Three Point Jumper.,44,83
0:18,295,Marquis Godwin Defensive Rebound.,44,83
0:00,295,End of Game,44,83
