Illinois,154,Wake Forest,356
time,team_id,description,h_score,a_score
20:00,154,Jump Ball won by Wake Forest,0,0
19:33,154,Terrence Thompson missed Layup.,0,0
19:33,356,Leron Black Block.,0,0
19:33,356,Leron Black Defensive Rebound.,0,0
19:14,356,Mark Smith missed Jumper.,0,0
19:14,154,Doral Moore Defensive Rebound.,0,0
18:59,154,Doral Moore made Dunk. Assisted by Terrence Thompson.,0,2
18:52,356,Mark Alstork made Layup.,2,2
18:30,154,Chaundee Brown missed Jumper.,2,2
18:30,356,Mark Alstork Defensive Rebound.,2,2
18:21,356,Mark Alstork made Three Point Jumper. Assisted by Te'Jon Lucas.,5,2
17:59,154,Bryant Crawford Turnover.,5,2
17:48,356,Leron Black Turnover.,5,2
17:24,154,Bryant Crawford made Three Point Jumper.,5,5
17:17,356,Mark Alstork made Three Point Jumper. Assisted by Te'Jon Lucas.,8,5
16:59,154,Chaundee Brown made Three Point Jumper. Assisted by Bryant Crawford.,8,8
16:46,356,Foul on Michael Finke.,8,8
16:46,356,Michael Finke Turnover.,8,8
16:21,154,Chaundee Brown missed Jumper.,8,8
16:21,356,Leron Black Defensive Rebound.,8,8
16:05,356,Mark Smith made Three Point Jumper. Assisted by Michael Finke.,11,8
15:47,154,Mitchell Wilbekin missed Layup.,11,8
15:47,154,Terrence Thompson Offensive Rebound.,11,8
15:47,154,Terrence Thompson made Two Point Tip Shot.,11,10
15:38,356,Mark Smith made Layup. Assisted by Te'Jon Lucas.,13,10
15:16,356,Foul on Te'Jon Lucas.,13,10
15:16,154,Official TV Timeout,13,10
15:04,154,Keyshawn Woods missed Jumper.,13,10
15:04,356,Trent Frazier Defensive Rebound.,13,10
14:49,356,Kipper Nichols made Three Point Jumper.,16,10
14:26,154,Keyshawn Woods Turnover.,16,10
14:26,356,Aaron Jordan Steal.,16,10
14:18,154,Foul on Keyshawn Woods.,16,10
14:18,356,Aaron Jordan made Free Throw.,17,10
14:18,356,Aaron Jordan made Free Throw.,18,10
13:56,154,Doral Moore made Jumper.,18,12
13:43,356,Michael Finke missed Three Point Jumper.,18,12
13:43,356,Kipper Nichols Offensive Rebound.,18,12
13:43,356,Kipper Nichols missed Two Point Tip Shot.,18,12
13:43,154,Doral Moore Defensive Rebound.,18,12
13:25,356,Foul on Michael Finke.,18,12
13:25,154,Keyshawn Woods made Free Throw.,18,13
13:25,154,Keyshawn Woods made Free Throw.,18,14
13:13,356,Kipper Nichols missed Layup.,18,14
13:13,356,Illinois Offensive Rebound.,18,14
13:08,356,Aaron Jordan missed Layup.,18,14
13:08,356,Aaron Jordan Offensive Rebound.,18,14
13:08,356,Aaron Jordan made Two Point Tip Shot.,20,14
12:47,356,Foul on Greg Eboigbodin.,20,14
12:47,154,Olivier Sarr missed Free Throw.,20,14
12:47,154,Wake Forest Deadball Team Rebound.,20,14
12:47,154,Olivier Sarr missed Free Throw.,20,14
12:47,356,Leron Black Defensive Rebound.,20,14
12:30,356,Mark Alstork Turnover.,20,14
12:22,356,Foul on Te'Jon Lucas.,20,14
12:14,356,Foul on Trent Frazier.,20,14
12:11,154,Keyshawn Woods missed Jumper.,20,14
12:11,356,Mark Smith Defensive Rebound.,20,14
12:04,356,Aaron Jordan made Three Point Jumper. Assisted by Mark Alstork.,23,14
