Iowa,259,Virginia Tech,2294
time,team_id,description,h_score,a_score
20:00,2294,Jump Ball won by Iowa,0,0
19:34,2294,Isaiah Moss made Layup. Assisted by Jordan Bohannon.,2,0
19:19,2294,Foul on Luka Garza.,2,0
19:18,259,Ahmed Hill missed Three Point Jumper.,2,0
19:18,259,Justin Robinson Offensive Rebound.,2,0
19:14,259,Justin Robinson Turnover.,2,0
18:45,2294,Ahmad Wagner missed Layup.,2,0
18:45,259,Kerry Blackshear Jr. Defensive Rebound.,2,0
18:36,259,Nickeil Alexander-Walker Turnover.,2,0
18:35,259,Foul on Kerry Blackshear Jr..,2,0
18:18,2294,Tyler Cook missed Layup.,2,0
18:18,259,Ahmed Hill Defensive Rebound.,2,0
18:06,259,Nickeil Alexander-Walker made Three Point Jumper. Assisted by Justin Robinson.,2,3
17:56,2294,Jordan Bohannon Turnover.,2,3
17:45,259,Justin Robinson missed Layup.,2,3
17:45,2294,Nicholas Baer Defensive Rebound.,2,3
17:38,2294,Foul on Isaiah Moss.,2,3
17:38,2294,Isaiah Moss Turnover.,2,3
17:28,259,Ahmed Hill missed Three Point Jumper.,2,3
17:28,2294,Tyler Cook Defensive Rebound.,2,3
16:58,2294,Tyler Cook made Jumper.,4,3
16:40,259,Chris Clarke missed Jumper.,4,3
16:40,2294,Tyler Cook Defensive Rebound.,4,3
16:31,2294,Luka Garza made Layup. Assisted by Tyler Cook.,6,3
16:07,259,Justin Bibbs missed Three Point Jumper.,6,3
16:07,2294,Tyler Cook Defensive Rebound.,6,3
15:53,2294,Nicholas Baer made Layup.,8,3
15:34,259,Chris Clarke made Layup. Assisted by Justin Robinson.,8,5
15:34,2294,Foul on Luka Garza.,8,5
15:34,259,Official TV Timeout,8,5
15:34,259,Chris Clarke made Free Throw.,8,6
15:20,2294,Tyler Cook made Dunk. Assisted by Cordell Pemsl.,10,6
15:04,259,Justin Robinson missed Jumper.,10,6
15:04,2294,Cordell Pemsl Defensive Rebound.,10,6
14:59,259,Foul on Kerry Blackshear Jr..,10,6
14:33,2294,Tyler Cook missed Jumper.,10,6
14:33,259,Ahmed Hill Defensive Rebound.,10,6
14:10,2294,Foul on Nicholas Baer.,10,6
14:10,259,P.J. Horne made Free Throw.,10,7
14:10,259,P.J. Horne made Free Throw.,10,8
14:00,2294,Isaiah Moss missed Three Point Jumper.,10,8
14:00,2294,Cordell Pemsl Offensive Rebound.,10,8
14:00,2294,Cordell Pemsl made Two Point Tip Shot.,12,8
13:38,259,Justin Bibbs missed Three Point Jumper.,12,8
13:38,2294,Cordell Pemsl Defensive Rebound.,12,8
13:27,2294,Nicholas Baer missed Three Point Jumper.,12,8
13:27,259,Justin Robinson Defensive Rebound.,12,8
13:17,259,P.J. Horne made Layup. Assisted by Justin Robinson.,12,10
13:00,2294,Jordan Bohannon made Three Point Jumper. Assisted by Cordell Pemsl.,15,10
12:44,259,Justin Bibbs missed Layup.,15,10
12:44,2294,Cordell Pemsl Defensive Rebound.,15,10
12:36,259,Foul on Ahmed Hill.,15,10
12:28,2294,Cordell Pemsl missed Layup.,15,10
12:28,259,Nickeil Alexander-Walker Defensive Rebound.,15,10
12:18,2294,Foul on Ryan Kriener.,15,10
12:18,259,Nickeil Alexander-Walker made Free Throw.,15,11
12:18,259,Nickeil Alexander-Walker made Free Throw.,15,12
12:05,2294,Jack Nunge Turnover.,15,12
11:48,259,Justin Bibbs made Three Point Jumper. Assisted by Nickeil Alexander-Walker.,15,15
11:23,2294,Jordan Bohannon made Three Point Jumper. Assisted by Cordell Pemsl.,18,15
11:01,2294,Foul on Ryan Kriener.,18,15
11:01,259,Official TV Timeout,18,15
10:43,259,Chris Clarke missed Layup.,18,15
10:43,259,P.J. Horne Offensive Rebound.,18,15
10:43,259,P.J. Horne made Two Point Tip Shot.,18,17
10:24,2294,Jordan Bohannon missed Jumper.,18,17
10:24,2294,Jack Nunge Offensive Rebound.,18,17
10:24,2294,Jack Nunge made Two Point Tip Shot.,20,17
9:57,259,Justin Bibbs missed Jumper.,20,17
9:57,2294,Tyler Cook Defensive Rebound.,20,17
9:47,2294,Brady Ellingson missed Three Point Jumper.,20,17
9:47,259,Justin Bibbs Defensive Rebound.,20,17
9:39,259,Chris Clarke made Three Point Jumper. Assisted by Justin Bibbs.,20,20
9:14,2294,Cordell Pemsl missed Layup.,20,20
9:14,259,Nickeil Alexander-Walker Block.,20,20
9:14,2294,Cordell Pemsl Offensive Rebound.,20,20
9:14,2294,Cordell Pemsl missed Layup.,20,20
9:14,259,Chris Clarke Defensive Rebound.,20,20
8:56,259,Nickeil Alexander-Walker missed Jumper.,20,20
8:56,2294,Tyler Cook Block.,20,20
8:56,259,Chris Clarke Offensive Rebound.,20,20
8:56,259,Chris Clarke missed Layup.,20,20
8:56,2294,Brady Ellingson Block.,20,20
8:56,2294,Jack Nunge Defensive Rebound.,20,20
8:52,259,Foul on P.J. Horne.,20,20
8:52,2294,Cordell Pemsl made Free Throw.,21,20
8:52,2294,Cordell Pemsl made Free Throw.,22,20
8:28,259,Justin Robinson Turnover.,22,20
8:28,2294,Brady Ellingson Steal.,22,20
8:06,2294,Cordell Pemsl missed Layup.,22,20
8:06,259,Virginia Tech Deadball Team Rebound.,22,20
8:05,2294,Foul on Jack Nunge.,22,20
8:05,259,P.J. Horne made Free Throw.,22,21
8:05,259,P.J. Horne missed Free Throw.,22,21
8:05,2294,Cordell Pemsl Defensive Rebound.,22,21
7:49,2294,Tyler Cook made Dunk.,24,21
7:37,259,Devin Wilson made Layup.,24,23
7:17,2294,Cordell Pemsl missed Jumper.,24,23
7:17,2294,Jack Nunge Offensive Rebound.,24,23
7:17,2294,Jack Nunge made Two Point Tip Shot.,26,23
6:43,2294,Foul on Brady Ellingson.,26,23
6:43,259,Official TV Timeout,26,23
6:43,259,Devin Wilson made Free Throw.,26,24
6:43,259,Devin Wilson missed Free Throw.,26,24
6:43,259,Ahmed Hill Offensive Rebound.,26,24
6:31,259,Ahmed Hill made Three Point Jumper. Assisted by Justin Robinson.,26,27
6:08,259,Foul on Nickeil Alexander-Walker.,26,27
6:08,2294,Tyler Cook made Free Throw.,27,27
6:08,2294,Tyler Cook made Free Throw.,28,27
5:53,2294,Foul on Ahmad Wagner.,28,27
5:53,259,P.J. Horne made Free Throw.,28,28
5:53,259,P.J. Horne missed Free Throw.,28,28
5:53,2294,Isaiah Moss Defensive Rebound.,28,28
5:42,2294,Nicholas Baer missed Three Point Jumper.,28,28
5:42,2294,Ahmad Wagner Offensive Rebound.,28,28
5:33,2294,Ahmad Wagner made Layup.,30,28
5:25,259,Ahmed Hill made Three Point Jumper. Assisted by Justin Robinson.,30,31
4:55,2294,Foul on Tyler Cook.,30,31
4:55,2294,Tyler Cook Turnover.,30,31
4:36,259,Chris Clarke missed Three Point Jumper.,30,31
4:36,2294,Ahmad Wagner Defensive Rebound.,30,31
4:11,2294,Isaiah Moss Turnover.,30,31
4:11,259,Ahmed Hill Steal.,30,31
4:06,259,P.J. Horne made Dunk. Assisted by Tyrie Jackson.,30,33
4:01,259,Ahmed Hill missed Free Throw.,30,34
4:01,259,Ahmed Hill made Free Throw.,30,34
4:01,2294,Technical Foul on Iowa.,30,34
4:01,2294,Foul on Iowa.,30,34
4:01,2294,Iowa Deadball Team Rebound.,30,34
3:41,2294,Jordan Bohannon missed Jumper.,30,34
3:41,2294,Cordell Pemsl Offensive Rebound.,30,34
3:27,259,Official TV Timeout,30,34
3:23,2294,Jordan Bohannon made Three Point Jumper. Assisted by Cordell Pemsl.,33,34
2:49,259,Chris Clarke missed Three Point Jumper.,33,34
2:49,2294,Nicholas Baer Defensive Rebound.,33,34
2:35,2294,Nicholas Baer Turnover.,33,34
2:35,259,Chris Clarke Steal.,33,34
2:33,2294,Foul on Nicholas Baer.,33,34
2:33,259,Chris Clarke made Free Throw.,33,35
2:33,259,Chris Clarke made Free Throw.,33,36
2:17,2294,Cordell Pemsl made Layup. Assisted by Isaiah Moss.,35,36
1:54,259,Justin Bibbs missed Three Point Jumper.,35,36
1:54,2294,Cordell Pemsl Defensive Rebound.,35,36
1:30,2294,Jordan Bohannon made Three Point Jumper. Assisted by Cordell Pemsl.,38,36
1:12,259,Virginia Tech  Timeout,38,36
1:07,259,P.J. Horne made Dunk.,38,38
0:49,2294,Foul on Tyler Cook.,38,38
0:49,2294,Tyler Cook Turnover.,38,38
0:49,2294,Iowa  Timeout,38,38
0:40,259,Justin Robinson missed Layup.,38,38
0:40,2294,Cordell Pemsl Block.,38,38
0:40,2294,Jordan Bohannon Defensive Rebound.,38,38
0:12,2294,Isaiah Moss Turnover.,38,38
0:05,259,Justin Robinson Turnover.,38,38
0:05,2294,Jack Nunge Steal.,38,38
0:00,259,End of 1st half,38,38
20:00,259,Jump Ball won by Virginia Tech,38,38
19:46,259,Justin Bibbs missed Three Point Jumper.,38,38
19:46,259,Kerry Blackshear Jr. Offensive Rebound.,38,38
19:43,259,Kerry Blackshear Jr. made Layup.,38,40
19:13,2294,Tyler Cook made Jumper.,40,40
18:58,259,Justin Robinson missed Three Point Jumper.,40,40
18:58,259,Kerry Blackshear Jr. Offensive Rebound.,40,40
18:51,2294,Foul on Isaiah Moss.,40,40
18:51,259,Justin Bibbs made Free Throw.,40,41
18:51,259,Justin Bibbs made Free Throw.,40,42
18:42,2294,Isaiah Moss missed Three Point Jumper.,40,42
18:42,2294,Luka Garza Offensive Rebound.,40,42
18:33,259,Foul on Ahmed Hill.,40,42
18:24,2294,Ahmad Wagner missed Layup.,40,42
18:24,259,Kerry Blackshear Jr. Defensive Rebound.,40,42
18:17,259,Kerry Blackshear Jr. missed Three Point Jumper.,40,42
18:17,2294,Tyler Cook Defensive Rebound.,40,42
18:00,259,Foul on Justin Robinson.,40,42
17:45,2294,Luka Garza missed Jumper.,40,42
17:45,259,Kerry Blackshear Jr. Defensive Rebound.,40,42
17:37,259,Justin Bibbs missed Three Point Jumper.,40,42
17:37,2294,Isaiah Moss Defensive Rebound.,40,42
17:28,2294,Isaiah Moss missed Jumper.,40,42
17:28,2294,Luka Garza Offensive Rebound.,40,42
17:20,2294,Luka Garza missed Two Point Tip Shot.,40,42
17:20,259,Justin Robinson Defensive Rebound.,40,42
17:08,2294,Foul on Tyler Cook.,40,42
17:08,259,Kerry Blackshear Jr. made Free Throw.,40,43
17:08,259,Kerry Blackshear Jr. missed Free Throw.,40,43
17:08,2294,Luka Garza Defensive Rebound.,40,43
16:49,2294,Luka Garza missed Jumper.,40,43
16:49,259,Kerry Blackshear Jr. Defensive Rebound.,40,43
16:43,259,Justin Bibbs made Three Point Jumper. Assisted by Ahmed Hill.,40,46
16:14,2294,Isaiah Moss missed Layup.,40,46
16:14,259,Justin Robinson Defensive Rebound.,40,46
16:05,259,Ahmed Hill made Layup. Assisted by Justin Robinson.,40,48
16:05,2294,Foul on Jordan Bohannon.,40,48
16:05,259,Ahmed Hill missed Free Throw.,40,48
16:05,2294,Cordell Pemsl Defensive Rebound.,40,48
15:49,2294,Jordan Bohannon missed Jumper.,40,48
15:49,259,Justin Bibbs Defensive Rebound.,40,48
15:40,259,Justin Bibbs made Layup.,40,50
15:38,2294,Iowa  Timeout,40,50
15:22,2294,Brady Ellingson missed Three Point Jumper.,40,50
15:22,2294,Cordell Pemsl Offensive Rebound.,40,50
15:15,2294,Jack Nunge missed Three Point Jumper.,40,50
15:15,259,Ahmed Hill Defensive Rebound.,40,50
15:11,259,Official TV Timeout,40,50
14:53,2294,Foul on Brady Ellingson.,40,50
14:53,259,Justin Bibbs made Free Throw.,40,51
14:53,259,Justin Bibbs made Free Throw.,40,52
14:35,259,Foul on Justin Bibbs.,40,52
14:23,259,Foul on Nickeil Alexander-Walker.,40,52
14:10,2294,Maishe Dailey missed Three Point Jumper.,40,52
14:10,259,Virginia Tech Defensive Rebound.,40,52
13:48,259,Justin Robinson made Layup.,40,54
13:24,2294,Maishe Dailey Turnover.,40,54
13:24,259,Justin Robinson Steal.,40,54
13:16,259,Ahmed Hill missed Layup.,40,54
13:16,259,Justin Robinson Offensive Rebound.,40,54
13:08,259,Justin Robinson missed Layup.,40,54
13:08,2294,Nicholas Baer Defensive Rebound.,40,54
13:05,2294,Nicholas Baer missed Jumper.,40,54
13:05,259,Kerry Blackshear Jr. Block.,40,54
13:05,2294,Iowa Offensive Rebound.,40,54
13:03,2294,Nicholas Baer missed Layup.,40,54
13:03,259,Kerry Blackshear Jr. Defensive Rebound.,40,54
12:55,259,Justin Bibbs missed Layup.,40,54
12:55,2294,Jack Nunge Defensive Rebound.,40,54
12:52,259,Foul on Devin Wilson.,40,54
12:52,2294,Tyler Cook made Free Throw.,41,54
12:52,2294,Tyler Cook missed Free Throw.,41,54
12:52,2294,Cordell Pemsl Offensive Rebound.,41,54
12:49,2294,Nicholas Baer missed Three Point Jumper.,41,54
12:49,259,Kerry Blackshear Jr. Defensive Rebound.,41,54
12:26,259,Ahmed Hill made Layup.,41,56
12:20,2294,Jordan Bohannon missed Layup.,41,56
12:20,259,Nickeil Alexander-Walker Defensive Rebound.,41,56
12:09,259,Chris Clarke made Dunk.,41,58
11:54,2294,Jordan Bohannon Turnover.,41,58
11:54,259,Devin Wilson Steal.,41,58
11:49,259,Ahmed Hill made Layup. Assisted by Devin Wilson.,41,60
11:46,2294,Iowa  Timeout,41,60
11:46,259,Official TV Timeout,41,60
11:20,2294,Nicholas Baer missed Jumper.,41,60
11:20,2294,Cordell Pemsl Offensive Rebound.,41,60
11:14,2294,Jordan Bohannon missed Three Point Jumper.,41,60
11:14,2294,Cordell Pemsl Offensive Rebound.,41,60
11:07,2294,Tyler Cook made Dunk. Assisted by Cordell Pemsl.,43,60
10:47,259,Ahmed Hill missed Three Point Jumper.,43,60
10:47,2294,Cordell Pemsl Defensive Rebound.,43,60
10:22,2294,Nicholas Baer Turnover.,43,60
10:06,259,Ahmed Hill missed Three Point Jumper.,43,60
10:06,2294,Tyler Cook Defensive Rebound.,43,60
9:53,2294,Cordell Pemsl missed Layup.,43,60
9:53,259,Nickeil Alexander-Walker Block.,43,60
9:53,259,Nickeil Alexander-Walker Defensive Rebound.,43,60
9:46,259,Nickeil Alexander-Walker missed Layup.,43,60
9:46,2294,Tyler Cook Block.,43,60
9:46,2294,Jordan Bohannon Defensive Rebound.,43,60
9:38,2294,Jordan Bohannon missed Three Point Jumper.,43,60
9:38,259,Ahmed Hill Defensive Rebound.,43,60
9:31,259,Nickeil Alexander-Walker missed Three Point Jumper.,43,60
9:31,259,Kerry Blackshear Jr. Offensive Rebound.,43,60
9:14,2294,Foul on Cordell Pemsl.,43,60
9:14,259,Kerry Blackshear Jr. made Free Throw.,43,61
9:14,259,Kerry Blackshear Jr. made Free Throw.,43,62
9:07,259,Foul on Kerry Blackshear Jr..,43,62
9:03,2294,Isaiah Moss Turnover.,43,62
9:03,259,Justin Robinson Steal.,43,62
8:46,259,Justin Bibbs missed Jumper.,43,62
8:46,2294,Tyler Cook Defensive Rebound.,43,62
8:33,2294,Isaiah Moss missed Jumper.,43,62
8:33,259,Kerry Blackshear Jr. Defensive Rebound.,43,62
8:26,2294,Foul on Ryan Kriener.,43,62
8:26,259,Chris Clarke made Free Throw.,43,63
8:26,259,Chris Clarke made Free Throw.,43,64
8:08,2294,Tyler Cook missed Layup.,43,64
8:08,259,Justin Robinson Defensive Rebound.,43,64
7:58,259,Justin Robinson made Layup.,43,66
7:58,259,Official TV Timeout,43,66
7:48,2294,Tyler Cook made Jumper.,45,66
7:27,259,Devin Wilson Turnover.,45,66
7:27,2294,Ryan Kriener Steal.,45,66
7:22,2294,Jordan Bohannon missed Three Point Jumper.,45,66
7:22,259,Justin Bibbs Defensive Rebound.,45,66
7:22,259,Justin Bibbs Turnover.,45,66
7:22,2294,Ryan Kriener Steal.,45,66
7:16,259,Foul on Justin Robinson.,45,66
7:16,2294,Tyler Cook made Free Throw.,46,66
7:16,2294,Tyler Cook missed Free Throw.,46,66
7:16,259,Chris Clarke Defensive Rebound.,46,66
6:57,259,Ahmed Hill missed Three Point Jumper.,46,66
6:57,2294,Tyler Cook Defensive Rebound.,46,66
6:25,2294,Ryan Kriener missed Jumper.,46,66
6:25,2294,Tyler Cook Offensive Rebound.,46,66
6:19,2294,Tyler Cook missed Layup.,46,66
6:19,259,Ahmed Hill Defensive Rebound.,46,66
6:12,259,Justin Bibbs made Layup. Assisted by Ahmed Hill.,46,68
5:51,2294,Ahmad Wagner Turnover.,46,68
5:51,259,Chris Clarke Steal.,46,68
5:48,259,Chris Clarke Turnover.,46,68
5:39,2294,Jordan Bohannon missed Three Point Jumper.,46,68
5:39,259,Ahmed Hill Defensive Rebound.,46,68
5:29,2294,Foul on Maishe Dailey.,46,68
5:29,259,Ahmed Hill made Free Throw.,46,69
5:29,259,Ahmed Hill made Free Throw.,46,70
5:20,2294,Maishe Dailey Turnover.,46,70
5:06,259,Kerry Blackshear Jr. made Layup. Assisted by Chris Clarke.,46,72
4:57,2294,Maishe Dailey made Layup.,48,72
4:37,259,Ahmed Hill made Three Point Jumper. Assisted by Justin Bibbs.,48,75
4:20,2294,Maishe Dailey missed Dunk.,48,75
4:20,259,Justin Robinson Defensive Rebound.,48,75
4:02,259,Ahmed Hill missed Three Point Jumper.,48,75
4:02,2294,Jack Nunge Defensive Rebound.,48,75
3:53,2294,Nicholas Baer made Three Point Jumper. Assisted by Jordan Bohannon.,51,75
3:22,259,Kerry Blackshear Jr. Turnover.,51,75
3:22,259,Official TV Timeout,51,75
3:15,2294,Maishe Dailey made Dunk.,53,75
2:53,259,P.J. Horne made Layup. Assisted by Chris Clarke.,53,77
2:36,2294,Luka Garza made Layup. Assisted by Jordan Bohannon.,55,77
2:11,259,Justin Robinson missed Layup.,55,77
2:11,259,P.J. Horne Offensive Rebound.,55,77
2:01,259,P.J. Horne made Layup.,55,79
1:53,2294,Jack Nunge missed Layup.,55,79
1:53,259,Chris Clarke Block.,55,79
1:53,2294,Nicholas Baer Offensive Rebound.,55,79
1:53,259,Foul on P.J. Horne.,55,79
1:53,2294,Luka Garza missed Free Throw.,55,79
1:53,2294,Iowa Deadball Team Rebound.,55,79
1:53,2294,Luka Garza missed Free Throw.,55,79
1:53,259,Tyrie Jackson Defensive Rebound.,55,79
1:39,259,P.J. Horne missed Layup.,55,79
1:39,2294,Luka Garza Block.,55,79
1:39,2294,Luka Garza Defensive Rebound.,55,79
1:30,2294,Nicholas Baer missed Three Point Jumper.,55,79
1:30,259,Nickeil Alexander-Walker Defensive Rebound.,55,79
1:24,259,Nickeil Alexander-Walker Turnover.,55,79
1:24,2294,Nicholas Baer Steal.,55,79
1:19,2294,Maishe Dailey missed Three Point Jumper.,55,79
1:19,259,Wabissa Bede Defensive Rebound.,55,79
1:06,259,Virginia Tech  Timeout,55,79
0:51,259,Justin Ammerman missed Jumper.,55,79
0:51,2294,Jack Nunge Defensive Rebound.,55,79
0:36,2294,Luka Garza missed Jumper.,55,79
0:36,259,Tyrie Jackson Defensive Rebound.,55,79
0:01,259,Virginia Tech  Turnover.,55,79
0:00,259,End of Game,55,79
