UC Santa Barbara,2539,San Francisco,2540
time,team_id,description,h_score,a_score
19:43,2540,Marcus Jackson missed Jumper.,0,0
19:43,2539,Jordan Ratinho Defensive Rebound.,0,0
19:36,2539,Chase Foster made Layup.,0,2
19:18,2540,Max Heidegger made Three Point Jumper. Assisted by Jalen Canty.,3,2
19:01,2539,Nate Renfro made Dunk. Assisted by Chase Foster.,3,4
18:39,2540,Max Heidegger missed Three Point Jumper.,3,4
18:39,2539,Chase Foster Defensive Rebound.,3,4
18:28,2539,Chase Foster made Three Point Jumper. Assisted by Jamaree Bouyea.,3,7
18:10,2540,Gabe Vincent missed Three Point Jumper.,3,7
18:10,2539,Jamaree Bouyea Defensive Rebound.,3,7
17:51,2539,Chase Foster missed Three Point Jumper.,3,7
17:51,2540,Jalen Canty Defensive Rebound.,3,7
17:39,2540,Leland King II missed Three Point Jumper.,3,7
17:35,2540,UC Santa Barbara Offensive Rebound.,3,7
17:30,2540,Marcus Jackson made Jumper.,5,7
17:13,2539,Erik Poulsen Turnover.,5,7
17:10,2540,Gabe Vincent Steal.,5,7
17:08,2540,Max Heidegger missed Layup.,5,7
17:08,2540,Jalen Canty Offensive Rebound.,5,7
17:03,2540,Marcus Jackson made Three Point Jumper. Assisted by Gabe Vincent.,8,7
16:41,2539,Erik Poulsen made Three Point Jumper. Assisted by Nate Renfro.,8,10
16:20,2540,Leland King II made Layup. Assisted by Gabe Vincent.,10,10
16:05,2539,Erik Poulsen missed Three Point Jumper.,10,10
16:05,2540,Leland King II Defensive Rebound.,10,10
15:51,2540,Gabe Vincent missed Three Point Jumper.,10,10
15:51,2539,Jordan Ratinho Defensive Rebound.,10,10
15:42,2539,Jordan Ratinho made Three Point Jumper.,10,13
15:14,2540,Leland King II made Jumper.,12,13
14:51,2539,Erik Poulsen made Jumper.,12,15
14:29,2540,Gabe Vincent Turnover.,12,15
14:23,2539,Jordan Ratinho Steal.,12,15
14:22,2539,Jordan Ratinho missed Layup.,12,15
14:22,2540,Leland King II Defensive Rebound.,12,15
14:10,2539,Foul on Nate Renfro.,12,15
14:03,2539,Official TV Timeout,12,15
13:43,2540,Jalen Canty made Jumper.,14,15
13:10,2539,Remu Raitanen missed Three Point Jumper.,14,15
13:10,2540,Christian Terrell Defensive Rebound.,14,15
12:58,2540,Leland King II missed Three Point Jumper.,14,15
12:58,2539,Souley Boum Defensive Rebound.,14,15
12:49,2540,Foul on Marcus Jackson.,14,15
12:49,2539,Souley Boum made Free Throw.,14,16
12:49,2539,Souley Boum made Free Throw.,14,17
12:36,2540,Max Heidegger made Three Point Jumper. Assisted by Jalen Canty.,17,17
12:09,2539,Frankie Ferrari made Jumper.,17,19
11:45,2540,Jalen Canty made Layup. Assisted by Marcus Jackson.,19,19
11:34,2539,Matt McCarthy missed Layup.,19,19
11:34,2540,Jalen Canty Block.,19,19
11:32,2540,Christian Terrell Defensive Rebound.,19,19
11:27,2540,Marcus Jackson missed Three Point Jumper.,19,19
11:27,2539,Souley Boum Defensive Rebound.,19,19
11:03,2540,Foul on Maxwell Kupchak.,19,19
11:03,2539,Official TV Timeout,19,19
11:03,2539,Remu Raitanen made Free Throw.,19,20
11:03,2539,Remu Raitanen made Free Throw.,19,21
11:03,2539,Remu Raitanen made Free Throw.,19,22
11:02,2540,Leland King II missed Jumper.,19,22
11:02,2539,Remu Raitanen Defensive Rebound.,19,22
10:44,2539,Matt McCarthy made Jumper. Assisted by Frankie Ferrari.,19,24
10:26,2540,Gabe Vincent made Jumper.,21,24
9:56,2539,Frankie Ferrari missed Three Point Jumper.,21,24
9:56,2540,Christian Terrell Defensive Rebound.,21,24
9:50,2540,Christian Terrell missed Jumper.,21,24
9:50,2540,Ami Lakoju Offensive Rebound.,21,24
9:39,2539,Foul on Chase Foster.,21,24
9:33,2540,Leland King II missed Jumper.,21,24
9:33,2540,Leland King II Offensive Rebound.,21,24
9:29,2540,Leland King II made Jumper.,23,24
9:05,2539,Souley Boum missed Three Point Jumper.,23,24
