Detroit Mercy,2870,Fort Wayne,2174
time,team_id,description,h_score,a_score
19:48,2174,Jermaine Jackson Jr. Turnover.,0,0
19:47,2870,Jax Levitch Steal.,0,0
19:45,2870,Bryson Scott made Layup. Assisted by Jax Levitch.,0,2
19:19,2174,Corey Allen missed Three Point Jumper.,0,2
19:19,2870,Xzavier Taylor Defensive Rebound.,0,2
19:01,2870,Bryson Scott missed Three Point Jumper.,0,2
19:01,2174,Kameron Chatman Defensive Rebound.,0,2
18:54,2174,Jaleel Hogan made Layup. Assisted by Corey Allen.,2,2
18:45,2870,Xzavier Taylor missed Jumper.,2,2
18:45,2870,John Konchar Offensive Rebound.,2,2
18:41,2870,John Konchar missed Jumper.,2,2
18:41,2870,John Konchar Offensive Rebound.,2,2
18:34,2870,Xzavier Taylor made Layup. Assisted by Bryson Scott.,2,4
18:19,2174,Jaleel Hogan made Layup.,4,4
18:06,2870,Kason Harrell missed Three Point Jumper.,4,4
18:06,2870,Kason Harrell Offensive Rebound.,4,4
18:01,2870,Bryson Scott missed Three Point Jumper.,4,4
18:01,2870,Kason Harrell Offensive Rebound.,4,4
17:55,2870,John Konchar made Layup. Assisted by Jax Levitch.,4,6
17:43,2174,Kameron Chatman made Layup. Assisted by Jaleel Hogan.,6,6
17:27,2870,Kason Harrell made Layup.,6,8
17:12,2174,Kameron Chatman made Three Point Jumper. Assisted by Jaleel Hogan.,9,8
16:52,2870,Jax Levitch missed Layup.,9,8
16:52,2174,Jaleel Hogan Defensive Rebound.,9,8
16:46,2174,Corey Allen missed Three Point Jumper.,9,8
16:46,2870,Fort Wayne Defensive Rebound.,9,8
16:28,2870,Kason Harrell Turnover.,9,8
16:16,2174,Jermaine Jackson Jr. missed Three Point Jumper.,9,8
16:16,2870,John Konchar Defensive Rebound.,9,8
16:04,2870,Bryson Scott Turnover.,9,8
16:03,2174,Jaleel Hogan Steal.,9,8
15:49,2174,Jaleel Hogan missed Jumper.,9,8
15:49,2870,John Konchar Defensive Rebound.,9,8
15:33,2174,Foul on Josh McFolley.,9,8
15:33,2870,Official TV Timeout,9,8
15:33,2870,Bryson Scott made Free Throw.,9,9
15:33,2870,Bryson Scott made Free Throw.,9,10
15:23,2174,Jaleel Hogan Turnover.,9,10
15:05,2870,Kason Harrell missed Three Point Jumper.,9,10
15:05,2174,Josh McFolley Defensive Rebound.,9,10
14:52,2174,Kameron Chatman made Jumper.,11,10
14:34,2870,Kason Harrell missed Three Point Jumper.,11,10
14:34,2174,Corey Allen Defensive Rebound.,11,10
14:28,2174,Corey Allen Turnover.,11,10
14:27,2870,Bryson Scott Steal.,11,10
14:26,2870,Bryson Scott made Layup.,11,12
14:08,2174,Corey Allen missed Three Point Jumper.,11,12
14:08,2870,Matt Weir Defensive Rebound.,11,12
14:00,2870,Bryson Scott made Layup.,11,14
13:44,2870,Foul on Dylan Carl.,11,14
13:38,2174,Kameron Chatman Turnover.,11,14
13:28,2870,John Konchar made Layup. Assisted by Kason Harrell.,11,16
13:14,2870,Foul on Cameron Benford.,11,16
13:06,2174,Jermaine Jackson Jr. missed Three Point Jumper.,11,16
13:06,2870,Kason Harrell Defensive Rebound.,11,16
13:00,2870,Jordon King made Layup. Assisted by Matt Weir.,11,18
12:35,2174,Kameron Chatman missed Jumper.,11,18
12:35,2870,Cameron Benford Defensive Rebound.,11,18
12:24,2870,Kason Harrell missed Three Point Jumper.,11,18
12:24,2174,Gerald Blackshear Jr. Defensive Rebound.,11,18
12:16,2174,DeShawndre Black made Three Point Jumper.,14,18
12:06,2870,Cameron Benford missed Layup.,14,18
12:06,2174,Kameron Chatman Defensive Rebound.,14,18
11:51,2174,Kameron Chatman Turnover.,14,18
11:51,2870,Official TV Timeout,14,18
11:39,2174,Foul on Gerald Blackshear Jr..,14,18
11:37,2174,Foul on Gerald Blackshear Jr..,14,18
11:25,2870,Kason Harrell missed Layup.,14,18
11:25,2174,Gerald Blackshear Jr. Block.,14,18
11:24,2174,Kameron Chatman Defensive Rebound.,14,18
11:18,2174,Jermaine Jackson Jr. made Layup.,16,18
11:10,2870,Kason Harrell Turnover.,16,18
11:09,2174,DeShawndre Black Steal.,16,18
11:05,2174,Kameron Chatman made Layup.,18,18
10:45,2870,Kason Harrell made Three Point Jumper.,18,21
10:20,2174,Corey Allen missed Three Point Jumper.,18,21
10:20,2870,Bryson Scott Defensive Rebound.,18,21
9:51,2870,Jordon King missed Jumper.,18,21
9:51,2174,Kameron Chatman Defensive Rebound.,18,21
9:40,2174,Corey Allen Turnover.,18,21
9:28,2870,Bryson Scott missed Three Point Jumper.,18,21
9:28,2174,Corey Allen Defensive Rebound.,18,21
9:18,2174,Josh McFolley missed Three Point Jumper.,18,21
9:18,2870,Xzavier Taylor Defensive Rebound.,18,21
9:09,2870,Jordon King made Layup. Assisted by Bryson Scott.,18,23
9:01,2870,Foul on Matt Weir.,18,23
9:01,2174,Jaleel Hogan made Layup. Assisted by Josh McFolley.,20,23
8:30,2870,Bryson Scott made Jumper. Assisted by Xzavier Taylor.,20,25
8:20,2174,Josh McFolley made Three Point Jumper.,23,25
8:08,2870,John Konchar made Layup. Assisted by Matt Weir.,23,27
7:42,2174,Jaleel Hogan Turnover.,23,27
7:42,2870,Official TV Timeout,23,27
7:27,2870,John Konchar Turnover.,23,27
7:26,2174,Josh McFolley Steal.,23,27
7:24,2870,Foul on Bryson Scott.,23,27
7:24,2174,Josh McFolley made Free Throw.,24,27
7:24,2174,Josh McFolley made Free Throw.,25,27
7:06,2174,Foul on Roschon Prince.,25,27
7:06,2870,John Konchar made Free Throw.,25,28
7:06,2870,John Konchar missed Free Throw.,25,28
7:06,2174,Roschon Prince Defensive Rebound.,25,28
7:02,2174,Kameron Chatman made Three Point Jumper. Assisted by DeShawndre Black.,28,28
6:39,2870,Jax Levitch missed Three Point Jumper.,28,28
6:39,2174,Kameron Chatman Defensive Rebound.,28,28
6:29,2174,Josh McFolley missed Three Point Jumper.,28,28
6:29,2174,Detroit Mercy Deadball Team Rebound.,28,28
6:25,2870,Foul on Jax Levitch.,28,28
6:14,2174,Roschon Prince Turnover.,28,28
6:13,2870,Bryson Scott Steal.,28,28
6:08,2870,Bryson Scott missed Jumper.,28,28
6:08,2870,John Konchar Offensive Rebound.,28,28
5:50,2870,Bryson Scott Turnover.,28,28
5:38,2174,Foul on Roschon Prince.,28,28
5:38,2174,Roschon Prince Turnover.,28,28
5:29,2870,Bryson Scott Turnover.,28,28
5:28,2174,Kameron Chatman Steal.,28,28
5:18,2174,Kameron Chatman missed Jumper.,28,28
5:18,2870,Dylan Carl Defensive Rebound.,28,28
5:12,2174,Foul on Josh McFolley.,28,28
4:53,2870,John Konchar Turnover.,28,28
4:51,2174,Kameron Chatman Steal.,28,28
4:38,2174,Jaleel Hogan missed Jumper.,28,28
4:38,2870,Jax Levitch Defensive Rebound.,28,28
4:29,2870,Kason Harrell missed Three Point Jumper.,28,28
4:29,2870,Fort Wayne Offensive Rebound.,28,28
4:17,2870,John Konchar Turnover.,28,28
4:16,2174,Corey Allen Steal.,28,28
4:15,2174,Corey Allen made Layup.,30,28
3:54,2870,Dylan Carl missed Jumper.,30,28
3:54,2174,Kameron Chatman Defensive Rebound.,30,28
3:46,2174,Josh McFolley missed Three Point Jumper.,30,28
3:46,2870,John Konchar Defensive Rebound.,30,28
3:34,2870,Jax Levitch missed Three Point Jumper.,30,28
3:34,2870,John Konchar Offensive Rebound.,30,28
3:31,2174,Foul on Josh McFolley.,30,28
3:31,2870,Official TV Timeout,30,28
3:31,2870,Dylan Carl missed Free Throw.,30,28
3:31,2174,DeShawndre Black Defensive Rebound.,30,28
3:15,2174,Kameron Chatman made Layup.,32,28
3:10,2174,Foul on Jermaine Jackson Jr..,32,28
3:10,2870,Matt Weir made Free Throw.,32,29
3:10,2870,Matt Weir made Free Throw.,32,30
3:03,2174,DeShawndre Black missed Jumper.,32,30
3:03,2174,Gerald Blackshear Jr. Offensive Rebound.,32,30
3:00,2174,Gerald Blackshear Jr. missed Layup.,32,30
3:00,2174,Detroit Mercy Offensive Rebound.,32,30
2:42,2174,Kameron Chatman made Jumper.,34,30
2:20,2870,Matt Weir missed Three Point Jumper.,34,30
2:20,2174,Corey Allen Defensive Rebound.,34,30
2:12,2174,Corey Allen Turnover.,34,30
2:12,2870,Fort Wayne  Timeout,34,30
1:56,2174,Foul on Kameron Chatman.,34,30
1:56,2870,John Konchar missed Free Throw.,34,30
1:56,2870,Fort Wayne Deadball Team Rebound.,34,30
1:56,2870,John Konchar made Free Throw.,34,31
