Incarnate Word,2250,Gonzaga,2916
time,team_id,description,h_score,a_score
19:36,2916,Shawn Johnson missed Three Point Jumper.,0,0
19:36,2250,Corey Kispert Defensive Rebound.,0,0
19:18,2250,Johnathan Williams made Layup.,0,2
18:52,2916,Simi Socks made Jumper.,2,2
18:40,2250,Johnathan Williams made Layup. Assisted by Killian Tillie.,2,4
18:08,2916,Shawn Johnson missed Three Point Jumper.,2,4
18:08,2250,Killian Tillie Defensive Rebound.,2,4
17:53,2250,Killian Tillie made Three Point Jumper. Assisted by Josh Perkins.,2,7
17:36,2250,Foul on Corey Kispert.,2,7
17:18,2916,Simi Socks missed Jumper.,2,7
17:18,2250,Johnathan Williams Defensive Rebound.,2,7
17:09,2250,Silas Melson made Three Point Jumper. Assisted by Johnathan Williams.,2,10
16:54,2916,Simi Socks missed Three Point Jumper.,2,10
16:54,2250,Josh Perkins Defensive Rebound.,2,10
16:37,2250,Johnathan Williams made Layup.,2,12
16:23,2916,Jalin Hart missed Layup.,2,12
16:23,2916,Augustine Ene Offensive Rebound.,2,12
16:18,2916,Augustine Ene missed Three Point Jumper.,2,12
16:18,2250,Johnathan Williams Defensive Rebound.,2,12
16:07,2250,Silas Melson missed Three Point Jumper.,2,12
16:07,2916,Simi Socks Defensive Rebound.,2,12
15:50,2916,Augustine Ene missed Layup.,2,12
15:50,2250,Johnathan Williams Defensive Rebound.,2,12
15:45,2250,Josh Perkins made Layup. Assisted by Johnathan Williams.,2,14
15:42,2916,Incarnate Word  Timeout,2,14
15:32,2916,Augustine Ene Turnover.,2,14
15:21,2916,Foul on Christian Peevy.,2,14
15:19,2250,Rui Hachimura made Layup. Assisted by Zach Norvell Jr..,2,16
15:01,2916,Jalin Hart missed Layup.,2,16
15:01,2250,Johnathan Williams Defensive Rebound.,2,16
14:30,2250,Josh Perkins made Three Point Jumper. Assisted by Zach Norvell Jr..,2,19
13:54,2916,Incarnate Word  Turnover.,2,19
13:44,2250,Zach Norvell Jr. Turnover.,2,19
13:34,2250,Foul on Zach Norvell Jr..,2,19
13:34,2916,Christian Peevy made Free Throw.,3,19
13:34,2916,Christian Peevy missed Free Throw.,3,19
13:34,2250,Zach Norvell Jr. Defensive Rebound.,3,19
13:21,2250,Jacob Larsen missed Layup.,3,19
13:21,2250,Jacob Larsen Offensive Rebound.,3,19
13:18,2250,Jacob Larsen missed Layup.,3,19
13:18,2916,Simi Socks Defensive Rebound.,3,19
13:09,2916,Jalin Hart made Layup.,5,19
12:55,2250,Zach Norvell Jr. made Three Point Jumper. Assisted by Rui Hachimura.,5,22
12:31,2916,Sam Burmeister missed Layup.,5,22
12:31,2250,Jacob Larsen Defensive Rebound.,5,22
12:24,2916,Foul on Shawn Johnson.,5,22
12:19,2250,Rui Hachimura made Layup. Assisted by Silas Melson.,5,24
12:19,2916,Foul on Christian Peevy.,5,24
12:19,2250,Rui Hachimura made Free Throw.,5,25
12:05,2916,Jalin Hart made Layup.,7,25
11:52,2250,Corey Kispert missed Three Point Jumper.,7,25
11:52,2916,Shawn Johnson Defensive Rebound.,7,25
11:43,2916,Shawn Johnson made Three Point Jumper. Assisted by Jalin Hart.,10,25
11:30,2250,Rui Hachimura made Jumper. Assisted by Corey Kispert.,10,27
11:04,2916,Devin Wyatt Turnover.,10,27
11:04,2250,Official TV Timeout,10,27
10:41,2250,Zach Norvell Jr. missed Three Point Jumper.,10,27
10:41,2916,Sam Burmeister Defensive Rebound.,10,27
10:26,2916,Simi Socks Turnover.,10,27
10:05,2250,Corey Kispert made Layup.,10,29
9:34,2916,Jalin Hart missed Layup.,10,29
9:34,2250,Johnathan Williams Defensive Rebound.,10,29
9:27,2250,Corey Kispert made Three Point Jumper. Assisted by Johnathan Williams.,10,32
9:11,2916,Simi Socks made Jumper. Assisted by Devin Wyatt.,12,32
8:58,2250,Killian Tillie Turnover.,12,32
8:56,2916,Jalin Hart Steal.,12,32
8:53,2250,Foul on Josh Perkins.,12,32
8:53,2916,Jalin Hart made Free Throw.,13,32
8:53,2916,Jalin Hart made Free Throw.,14,32
8:43,2250,Josh Perkins made Three Point Jumper. Assisted by Jeremy Jones.,14,35
8:27,2916,Keaton Hervey missed Layup.,14,35
8:27,2250,Josh Perkins Defensive Rebound.,14,35
8:16,2250,Corey Kispert missed Three Point Jumper.,14,35
8:16,2916,Devin Wyatt Defensive Rebound.,14,35
8:13,2250,Foul on Johnathan Williams.,14,35
8:02,2916,Devin Wyatt missed Jumper.,14,35
8:02,2250,Jeremy Jones Defensive Rebound.,14,35
7:52,2250,Foul on Jeremy Jones.,14,35
7:52,2250,Jeremy Jones Turnover.,14,35
7:52,2250,Official TV Timeout,14,35
7:33,2916,Sam Burmeister made Three Point Jumper. Assisted by Shawn Johnson.,17,35
7:09,2250,Johnathan Williams missed Three Point Jumper.,17,35
7:09,2250,Killian Tillie Offensive Rebound.,17,35
7:02,2916,Foul on Devin Wyatt.,17,35
7:02,2250,Corey Kispert missed Free Throw.,17,35
7:02,2250,Gonzaga Deadball Team Rebound.,17,35
7:02,2250,Corey Kispert missed Free Throw.,17,35
7:02,2250,Rui Hachimura Offensive Rebound.,17,35
6:59,2250,Rui Hachimura missed Layup.,17,35
6:59,2916,Sam Burmeister Defensive Rebound.,17,35
6:43,2916,Simi Socks missed Jumper.,17,35
6:43,2250,Rui Hachimura Defensive Rebound.,17,35
6:16,2250,Rui Hachimura made Three Point Jumper. Assisted by Silas Melson.,17,38
5:54,2916,Simi Socks made Jumper. Assisted by Christian Peevy.,19,38
5:39,2250,Johnathan Williams Turnover.,19,38
5:38,2916,Shawn Johnson Steal.,19,38
5:34,2916,Foul on Simi Socks.,19,38
5:34,2916,Simi Socks Turnover.,19,38
5:21,2250,Silas Melson missed Three Point Jumper.,19,38
5:21,2250,Rui Hachimura Offensive Rebound.,19,38
5:17,2250,Rui Hachimura missed Layup.,19,38
5:17,2250,Rui Hachimura Offensive Rebound.,19,38
5:14,2250,Rui Hachimura missed Two Point Tip Shot.,19,38
5:14,2250,Rui Hachimura Offensive Rebound.,19,38
5:12,2250,Corey Kispert missed Three Point Jumper.,19,38
5:12,2916,Christian Peevy Defensive Rebound.,19,38
4:54,2916,Jalin Hart missed Layup.,19,38
4:54,2250,Johnathan Williams Defensive Rebound.,19,38
4:45,2250,Johnathan Williams missed Three Point Jumper.,19,38
4:45,2916,Christian Peevy Defensive Rebound.,19,38
4:37,2916,Shawn Johnson missed Three Point Jumper.,19,38
4:37,2916,Simi Socks Offensive Rebound.,19,38
4:32,2916,Simi Socks missed Layup.,19,38
4:32,2250,Johnathan Williams Defensive Rebound.,19,38
4:24,2250,Zach Norvell Jr. missed Three Point Jumper.,19,38
4:24,2916,Christian Peevy Defensive Rebound.,19,38
4:05,2916,Simi Socks missed Layup.,19,38
4:05,2916,Simi Socks Offensive Rebound.,19,38
4:02,2916,Simi Socks Turnover.,19,38
4:01,2250,Silas Melson Steal.,19,38
3:57,2250,Silas Melson Turnover.,19,38
3:57,2250,Official TV Timeout,19,38
3:43,2916,Christian Peevy Turnover.,19,38
3:27,2916,Foul on Simi Socks.,19,38
3:24,2250,Josh Perkins made Three Point Jumper. Assisted by Jesse Wade.,19,41
2:58,2916,Jalin Hart missed Jumper.,19,41
2:58,2250,Josh Perkins Defensive Rebound.,19,41
2:49,2916,Foul on Christian Peevy.,19,41
2:49,2250,Jacob Larsen made Free Throw.,19,42
2:49,2250,Jacob Larsen made Free Throw.,19,43
2:23,2916,Jalin Hart made Layup.,21,43
2:15,2250,Josh Perkins made Layup.,21,45
2:03,2916,Shawn Johnson missed Layup.,21,45
2:03,2250,Jacob Larsen Defensive Rebound.,21,45
2:01,2916,Foul on Simi Socks.,21,45
2:01,2250,Jacob Larsen made Free Throw.,21,46
2:01,2250,Jacob Larsen made Free Throw.,21,47
1:42,2916,Jorden Kite made Three Point Jumper. Assisted by Keaton Hervey.,24,47
1:27,2250,Jacob Larsen Turnover.,24,47
1:25,2916,Shawn Johnson Steal.,24,47
1:21,2916,Jalin Hart made Layup.,26,47
0:54,2250,Jacob Larsen made Layup. Assisted by Zach Norvell Jr..,26,49
0:33,2916,Jorden Kite missed Jumper.,26,49
0:33,2250,Jeremy Jones Defensive Rebound.,26,49
0:01,2250,Gonzaga  Turnover.,26,49
0:00,2250,End of 1st half,26,49
19:33,2916,Jalin Hart made Layup.,28,49
19:14,2250,Killian Tillie missed Jumper.,28,49
19:14,2916,Shawn Johnson Defensive Rebound.,28,49
19:07,2916,Jalin Hart missed Jumper.,28,49
19:07,2250,Silas Melson Defensive Rebound.,28,49
18:58,2250,Zach Norvell Jr. Turnover.,28,49
18:48,2916,Keaton Hervey Turnover.,28,49
18:46,2250,Zach Norvell Jr. Steal.,28,49
18:26,2250,Josh Perkins made Three Point Jumper. Assisted by Killian Tillie.,28,52
18:07,2916,Simi Socks made Jumper. Assisted by Shawn Johnson.,30,52
17:54,2916,Foul on Simi Socks.,30,52
17:54,2250,Johnathan Williams missed Free Throw.,30,52
17:54,2250,Gonzaga Deadball Team Rebound.,30,52
17:54,2250,Johnathan Williams made Free Throw.,30,53
17:43,2250,Foul on Zach Norvell Jr..,30,53
17:42,2916,Jalin Hart Turnover.,30,53
17:41,2250,Josh Perkins Steal.,30,53
17:39,2250,Zach Norvell Jr. made Layup. Assisted by Josh Perkins.,30,55
17:21,2916,Devin Wyatt Turnover.,30,55
17:19,2250,Johnathan Williams Steal.,30,55
17:16,2916,Foul on Shawn Johnson.,30,55
17:16,2250,Silas Melson made Free Throw.,30,56
17:16,2250,Silas Melson made Free Throw.,30,57
17:08,2916,Jalin Hart made Layup.,32,57
16:56,2250,Killian Tillie made Dunk. Assisted by Zach Norvell Jr..,32,59
16:33,2916,Jalin Hart Turnover.,32,59
16:32,2250,Josh Perkins Steal.,32,59
16:27,2250,Johnathan Williams missed Layup.,32,59
16:27,2250,Silas Melson Offensive Rebound.,32,59
16:23,2250,Silas Melson made Layup.,32,61
16:17,2916,Foul on Christian Peevy.,32,61
16:17,2916,Christian Peevy Turnover.,32,61
16:17,2916,Incarnate Word  Timeout,32,61
16:05,2250,Silas Melson missed Three Point Jumper.,32,61
16:05,2250,Zach Norvell Jr. Offensive Rebound.,32,61
16:02,2250,Zach Norvell Jr. made Two Point Tip Shot.,32,63
15:46,2916,Keaton Hervey Turnover.,32,63
15:45,2250,Zach Norvell Jr. Steal.,32,63
15:40,2250,Silas Melson made Layup. Assisted by Josh Perkins.,32,65
15:29,2916,Augustine Ene missed Layup.,32,65
15:29,2250,Killian Tillie Defensive Rebound.,32,65
15:16,2250,Gonzaga  Timeout,32,65
15:16,2250,Official TV Timeout,32,65
14:58,2250,Johnathan Williams made Jumper.,32,67
14:43,2250,Foul on Zach Norvell Jr..,32,67
14:36,2916,Augustine Ene Turnover.,32,67
14:34,2250,Jesse Wade Steal.,32,67
14:29,2250,Silas Melson missed Layup.,32,67
14:29,2916,Devin Wyatt Block.,32,67
14:27,2916,Augustine Ene Defensive Rebound.,32,67
14:24,2916,Augustine Ene missed Layup.,32,67
14:24,2916,Shawn Johnson Offensive Rebound.,32,67
14:21,2916,Shawn Johnson made Layup.,34,67
14:12,2916,Foul on Jalin Hart.,34,67
14:04,2250,Jacob Larsen missed Jumper.,34,67
14:04,2916,Sam Burmeister Defensive Rebound.,34,67
13:35,2916,Shawn Johnson missed Three Point Jumper.,34,67
13:35,2916,Devin Wyatt Offensive Rebound.,34,67
13:28,2916,Devin Wyatt Turnover.,34,67
13:11,2250,Rui Hachimura missed Layup.,34,67
13:11,2250,Jacob Larsen Offensive Rebound.,34,67
13:07,2250,Jacob Larsen made Two Point Tip Shot.,34,69
12:55,2916,Sam Burmeister made Layup.,36,69
12:32,2250,Rui Hachimura made Dunk. Assisted by Jacob Larsen.,36,71
12:32,2916,Foul on Sam Burmeister.,36,71
12:32,2250,Rui Hachimura made Free Throw.,36,72
12:25,2250,Foul on Jeremy Jones.,36,72
12:25,2916,Incarnate Word  Timeout,36,72
12:18,2916,Foul on Jalin Hart.,36,72
12:18,2916,Jalin Hart Turnover.,36,72
12:09,2250,Jesse Wade Turnover.,36,72
12:08,2916,Shawn Johnson Steal.,36,72
12:04,2916,Simi Socks missed Layup.,36,72
12:04,2250,Jacob Larsen Defensive Rebound.,36,72
11:56,2916,Foul on Shawn Johnson.,36,72
11:56,2250,Rui Hachimura made Free Throw.,36,73
11:56,2250,Rui Hachimura made Free Throw.,36,74
11:30,2916,Sam Burmeister Turnover.,36,74
11:30,2250,Jesse Wade Steal.,36,74
11:15,2250,Zach Norvell Jr. made Three Point Jumper.,36,77
10:59,2250,Foul on Jeremy Jones.,36,77
10:59,2916,Jalin Hart missed Free Throw.,36,77
10:59,2916,Incarnate Word Deadball Team Rebound.,36,77
10:59,2916,Jalin Hart made Free Throw.,37,77
10:50,2250,Foul on Jacob Larsen.,37,77
10:50,2250,Jacob Larsen Turnover.,37,77
10:37,2916,Sam Burmeister made Three Point Jumper. Assisted by Simi Socks.,40,77
10:18,2250,Jeremy Jones missed Three Point Jumper.,40,77
10:18,2916,Jalin Hart Defensive Rebound.,40,77
10:10,2916,Jalin Hart missed Layup.,40,77
10:10,2250,Jeremy Jones Defensive Rebound.,40,77
9:49,2250,Jacob Larsen made Layup.,40,79
9:33,2916,Shawn Johnson made Three Point Jumper. Assisted by Sam Burmeister.,43,79
9:23,2250,Jacob Larsen missed Layup.,43,79
