Buffalo,315,Niagara,2084
time,team_id,description,h_score,a_score
19:34,315,Matt Scott missed Three Point Jumper.,0,0
19:34,2084,Nick Perkins Defensive Rebound.,0,0
19:05,2084,Nick Perkins missed Jumper.,0,0
19:05,2084,Nick Perkins Offensive Rebound.,0,0
18:58,2084,Davonta Jordan Turnover.,0,0
18:53,315,Marvin Prochet missed Three Point Jumper.,0,0
18:53,2084,Nick Perkins Defensive Rebound.,0,0
18:36,2084,Dontay Caruthers made Layup. Assisted by CJ Massinburg.,2,0
18:14,315,Dominic Robb Turnover.,2,0
18:13,2084,CJ Massinburg Steal.,2,0
18:09,2084,CJ Massinburg made Layup.,4,0
18:09,315,Foul on Kahlil Dukes.,4,0
18:09,2084,CJ Massinburg made Free Throw.,5,0
17:47,315,Marvin Prochet made Three Point Jumper. Assisted by Kahlil Dukes.,5,3
17:27,2084,Dontay Caruthers made Layup.,7,3
17:19,315,Marvin Prochet missed Three Point Jumper.,7,3
17:19,2084,Davonta Jordan Defensive Rebound.,7,3
17:08,315,Foul on Marvin Prochet.,7,3
17:08,2084,Davonta Jordan made Free Throw.,8,3
17:08,2084,Davonta Jordan missed Free Throw.,8,3
17:08,315,Matt Scott Defensive Rebound.,8,3
17:02,315,Matt Scott Turnover.,8,3
17:02,315,Foul on Matt Scott.,8,3
16:47,2084,Jeremy Harris missed Layup.,8,3
16:47,2084,Jeremy Harris Offensive Rebound.,8,3
16:45,2084,Jeremy Harris made Two Point Tip Shot.,10,3
16:31,315,Keleaf Tate made Three Point Jumper. Assisted by Marvin Prochet.,10,6
16:12,2084,Jeremy Harris missed Three Point Jumper.,10,6
16:12,2084,Nick Perkins Offensive Rebound.,10,6
16:05,2084,Nick Perkins missed Layup.,10,6
16:05,315,Dominic Robb Block.,10,6
16:03,2084,CJ Massinburg Offensive Rebound.,10,6
16:00,2084,CJ Massinburg made Layup.,12,6
15:49,315,Matt Scott missed Three Point Jumper.,12,6
15:49,315,Marvin Prochet Offensive Rebound.,12,6
15:47,315,Marvin Prochet missed Layup.,12,6
15:47,2084,Jeremy Harris Block.,12,6
15:47,315,Niagara Offensive Rebound.,12,6
15:46,315,Official TV Timeout,12,6
15:27,315,Niagara  Turnover.,12,6
15:16,2084,Jeremy Harris made Three Point Jumper. Assisted by Davonta Jordan.,15,6
14:50,315,Marvin Prochet missed Jumper.,15,6
14:50,2084,CJ Massinburg Defensive Rebound.,15,6
14:42,2084,Jeremy Harris missed Three Point Jumper.,15,6
14:42,315,Marvin Prochet Defensive Rebound.,15,6
14:21,315,Keleaf Tate Turnover.,15,6
14:21,315,Foul on Keleaf Tate.,15,6
14:10,2084,Jeremy Harris missed Layup.,15,6
14:10,315,Greg King Block.,15,6
14:10,2084,Buffalo Offensive Rebound.,15,6
13:58,2084,Davonta Jordan made Jumper.,17,6
13:41,2084,Foul on Montell McRae.,17,6
13:41,315,Matt Scott made Free Throw.,17,7
13:41,315,Matt Scott made Free Throw.,17,8
13:30,2084,Jayvon Graves missed Three Point Jumper.,17,8
13:30,315,Marvin Prochet Defensive Rebound.,17,8
13:22,315,Greg King made Layup. Assisted by Matt Scott.,17,10
13:20,2084,Foul on Montell McRae.,17,10
13:20,315,Greg King missed Free Throw.,17,10
13:20,2084,Buffalo Defensive Rebound.,17,10
13:19,315,Foul on Chris Barton.,17,10
12:54,2084,CJ Massinburg made Three Point Jumper. Assisted by Jeremy Harris.,20,10
12:40,315,Kahlil Dukes made Three Point Jumper.,20,13
12:17,2084,Jeremy Harris missed Layup.,20,13
12:17,315,Marvin Prochet Block.,20,13
12:16,2084,Jeremy Harris Offensive Rebound.,20,13
12:14,2084,Jeremy Harris made Two Point Tip Shot.,22,13
11:59,315,Kahlil Dukes missed Jumper.,22,13
11:59,2084,Jeremy Harris Defensive Rebound.,22,13
11:52,2084,Dontay Caruthers made Layup. Assisted by CJ Massinburg.,24,13
11:30,315,Chris Barton missed Layup.,24,13
11:30,315,Greg King Offensive Rebound.,24,13
11:28,315,Greg King missed Layup.,24,13
11:28,315,Greg King Offensive Rebound.,24,13
11:28,315,Greg King missed Layup.,24,13
11:28,315,Greg King Offensive Rebound.,24,13
11:28,315,Greg King made Layup.,24,15
11:25,2084,Foul on Dontay Caruthers.,24,15
11:25,315,Official TV Timeout,24,15
11:25,315,Greg King missed Free Throw.,24,15
11:25,2084,Nick Perkins Defensive Rebound.,24,15
11:06,2084,James Reese missed Three Point Jumper.,24,15
11:06,315,Greg King Defensive Rebound.,24,15
10:58,2084,Foul on Jeremy Harris.,24,15
10:46,315,Matt Scott missed Jumper.,24,15
10:46,2084,Davonta Jordan Block.,24,15
10:46,315,Niagara Offensive Rebound.,24,15
10:38,315,Matt Scott missed Three Point Jumper.,24,15
10:38,2084,Jeremy Harris Defensive Rebound.,24,15
10:31,2084,Dontay Caruthers made Layup.,26,15
10:04,315,Marvin Prochet made Layup. Assisted by Chris Barton.,26,17
9:48,2084,Nick Perkins missed Three Point Jumper.,26,17
9:48,315,Marvin Prochet Defensive Rebound.,26,17
9:38,315,Chris Barton missed Jumper.,26,17
9:38,2084,Jeremy Harris Defensive Rebound.,26,17
9:34,2084,Jeremy Harris Turnover.,26,17
9:33,315,Matt Scott Steal.,26,17
9:31,315,Matt Scott missed Jumper.,26,17
9:31,2084,Jeremy Harris Defensive Rebound.,26,17
9:25,2084,Dontay Caruthers missed Three Point Jumper.,26,17
9:25,315,Chris Barton Defensive Rebound.,26,17
8:56,2084,Foul on Dontay Caruthers.,26,17
8:42,315,Chris Barton Turnover.,26,17
8:26,2084,Davonta Jordan made Three Point Jumper. Assisted by Nick Perkins.,29,17
8:19,315,Greg Kuakumensah Turnover.,29,17
8:17,2084,Davonta Jordan Steal.,29,17
8:16,2084,James Reese made Layup. Assisted by Davonta Jordan.,31,17
8:16,315,Niagara  Timeout,31,17
8:16,315,Official TV Timeout,31,17
7:55,315,Chris Barton missed Jumper.,31,17
7:55,2084,CJ Massinburg Defensive Rebound.,31,17
7:45,2084,Jayvon Graves missed Layup.,31,17
7:45,315,James Towns Defensive Rebound.,31,17
7:38,315,James Towns missed Layup.,31,17
7:38,315,Marvin Prochet Offensive Rebound.,31,17
7:34,315,Marvin Prochet missed Layup.,31,17
7:34,2084,Jayvon Graves Block.,31,17
7:34,315,Marvin Prochet Offensive Rebound.,31,17
7:32,315,Marvin Prochet missed Layup.,31,17
