Texas Tech,2550,Seton Hall,2641
time,team_id,description,h_score,a_score
19:38,2550,Desi Rodriguez missed Jumper.,0,0
19:38,2641,Tommy Hamilton IV Defensive Rebound.,0,0
19:30,2550,Foul on Ismael Sanogo.,0,0
19:12,2641,Zach Smith missed Three Point Jumper.,0,0
19:12,2550,Desi Rodriguez Defensive Rebound.,0,0
19:08,2641,Foul on Keenan Evans.,0,0
19:08,2550,Angel Delgado made Free Throw.,0,1
19:08,2550,Angel Delgado made Free Throw.,0,2
18:42,2641,Niem Stevenson missed Three Point Jumper.,0,2
18:42,2550,Angel Delgado Defensive Rebound.,0,2
18:28,2550,Desi Rodriguez made Three Point Jumper. Assisted by Myles Powell.,0,5
18:08,2641,Zach Smith missed Layup.,0,5
18:08,2550,Angel Delgado Block.,0,5
18:06,2550,Myles Powell Defensive Rebound.,0,5
18:02,2550,Foul on Khadeen Carrington.,0,5
18:02,2550,Khadeen Carrington Turnover.,0,5
17:32,2641,Keenan Evans missed Three Point Jumper.,0,5
17:32,2550,Desi Rodriguez Defensive Rebound.,0,5
17:25,2550,Myles Powell missed Layup.,0,5
17:25,2641,Norense Odiase Defensive Rebound.,0,5
17:10,2641,Keenan Evans made Layup.,2,5
16:54,2550,Desi Rodriguez made Jumper.,2,7
16:40,2641,Justin Gray missed Jumper.,2,7
16:40,2550,Desi Rodriguez Defensive Rebound.,2,7
16:37,2550,Myles Powell made Layup. Assisted by Desi Rodriguez.,2,9
16:16,2641,Norense Odiase made Layup. Assisted by Keenan Evans.,4,9
16:00,2641,Foul on Justin Gray.,4,9
16:00,2550,Official TV Timeout,4,9
16:00,2550,Khadeen Carrington made Free Throw.,4,10
16:00,2550,Khadeen Carrington missed Free Throw.,4,10
16:00,2641,Norense Odiase Defensive Rebound.,4,10
15:40,2641,Niem Stevenson made Layup.,6,10
15:21,2550,Khadeen Carrington made Three Point Jumper. Assisted by Angel Delgado.,6,13
15:15,2550,Foul on Myles Powell.,6,13
14:52,2550,Foul on Michael Nzei.,6,13
14:52,2641,Zhaire Smith made Free Throw.,7,13
14:52,2641,Zhaire Smith made Free Throw.,8,13
14:52,2641,Zhaire Smith made Free Throw.,9,13
14:34,2550,Angel Delgado missed Layup.,9,13
14:34,2641,Jarrett Culver Defensive Rebound.,9,13
14:26,2641,Keenan Evans made Layup.,11,13
14:11,2641,Foul on Zach Smith.,11,13
13:59,2550,Michael Nzei made Layup. Assisted by Myles Powell.,11,15
13:59,2641,Foul on Tommy Hamilton IV.,11,15
13:59,2550,Michael Nzei missed Free Throw.,11,15
13:59,2641,Tommy Hamilton IV Defensive Rebound.,11,15
13:47,2641,Zhaire Smith made Layup.,13,15
13:19,2550,Myles Powell Turnover.,13,15
13:18,2641,Tommy Hamilton IV Steal.,13,15
13:14,2641,Zhaire Smith made Dunk. Assisted by Jarrett Culver.,15,15
13:01,2550,Myles Cale missed Jumper.,15,15
13:01,2641,Keenan Evans Defensive Rebound.,15,15
12:56,2641,Keenan Evans made Layup.,17,15
12:55,2550,Seton Hall  Timeout,17,15
12:36,2550,Eron Gordon made Three Point Jumper. Assisted by Sandro Mamukelashvili.,17,18
12:23,2641,Jarrett Culver made Three Point Jumper. Assisted by Niem Stevenson.,20,18
11:59,2550,Sandro Mamukelashvili missed Layup.,20,18
11:59,2641,Zhaire Smith Block.,20,18
11:57,2641,Tommy Hamilton IV Defensive Rebound.,20,18
11:43,2641,Niem Stevenson missed Layup.,20,18
11:43,2641,Tommy Hamilton IV Offensive Rebound.,20,18
11:43,2550,Official TV Timeout,20,18
11:33,2641,Brandone Francis Turnover.,20,18
11:15,2550,Eron Gordon made Three Point Jumper. Assisted by Myles Powell.,20,21
11:04,2641,Tommy Hamilton IV Turnover.,20,21
10:54,2550,Foul on Desi Rodriguez.,20,21
10:54,2550,Desi Rodriguez Turnover.,20,21
10:33,2641,Niem Stevenson made Layup. Assisted by Zach Smith.,22,21
10:13,2550,Angel Delgado made Layup.,22,23
9:41,2641,Jarrett Culver made Three Point Jumper. Assisted by Niem Stevenson.,25,23
9:21,2550,Eron Gordon missed Layup.,25,23
9:21,2641,Justin Gray Defensive Rebound.,25,23
9:08,2641,Zach Smith missed Layup.,25,23
9:08,2641,Norense Odiase Offensive Rebound.,25,23
9:07,2641,Norense Odiase missed Layup.,25,23
9:07,2641,Norense Odiase Offensive Rebound.,25,23
9:04,2641,Norense Odiase made Two Point Tip Shot.,27,23
8:51,2550,Ismael Sanogo missed Jumper.,27,23
8:51,2641,Keenan Evans Defensive Rebound.,27,23
8:39,2641,Keenan Evans Turnover.,27,23
8:38,2550,Angel Delgado Steal.,27,23
8:36,2550,Myles Cale missed Layup.,27,23
8:36,2641,Norense Odiase Defensive Rebound.,27,23
8:20,2641,Keenan Evans missed Three Point Jumper.,27,23
8:20,2550,Seton Hall Defensive Rebound.,27,23
8:08,2550,Angel Delgado made Jumper. Assisted by Desi Rodriguez.,27,25
7:54,2641,Brandone Francis missed Jumper.,27,25
7:54,2550,Michael Nzei Defensive Rebound.,27,25
7:45,2550,Desi Rodriguez missed Layup.,27,25
7:43,2550,Angel Delgado Offensive Rebound.,27,25
7:40,2550,Angel Delgado made Layup.,27,27
7:27,2641,Davide Moretti missed Layup.,27,27
7:27,2550,Angel Delgado Block.,27,27
7:25,2641,Texas Tech Offensive Rebound.,27,27
7:22,2550,Official TV Timeout,27,27
7:22,2550,Official TV Timeout,27,27
7:21,2641,Texas Tech  Turnover.,27,27
7:03,2550,Desi Rodriguez missed Three Point Jumper.,27,27
7:03,2641,Norense Odiase Defensive Rebound.,27,27
6:43,2641,Jarrett Culver missed Three Point Jumper.,27,27
6:43,2550,Seton Hall Defensive Rebound.,27,27
6:43,2641,Foul on Norense Odiase.,27,27
6:28,2550,Michael Nzei made Layup. Assisted by Khadeen Carrington.,27,29
6:00,2641,Keenan Evans made Layup.,29,29
5:36,2550,Khadeen Carrington missed Three Point Jumper.,29,29
5:36,2641,Norense Odiase Defensive Rebound.,29,29
5:25,2641,Keenan Evans missed Jumper.,29,29
5:25,2550,Seton Hall Defensive Rebound.,29,29
5:25,2641,Foul on Norense Odiase.,29,29
5:08,2550,Michael Nzei made Layup. Assisted by Desi Rodriguez.,29,31
4:40,2641,Zhaire Smith made Jumper.,31,31
4:12,2550,Desi Rodriguez made Three Point Jumper. Assisted by Khadeen Carrington.,31,34
4:01,2641,Niem Stevenson made Layup.,33,34
3:33,2550,Angel Delgado missed Layup.,33,34
3:33,2641,Zhaire Smith Defensive Rebound.,33,34
3:30,2641,Brandone Francis Turnover.,33,34
3:29,2550,Michael Nzei Steal.,33,34
3:27,2550,Myles Powell missed Three Point Jumper.,33,34
3:27,2550,Angel Delgado Offensive Rebound.,33,34
3:25,2550,Official TV Timeout,33,34
2:58,2641,Foul on Justin Gray.,33,34
2:58,2550,Khadeen Carrington missed Free Throw.,33,34
2:58,2550,Seton Hall Deadball Team Rebound.,33,34
2:58,2550,Khadeen Carrington made Free Throw.,33,35
2:37,2641,Keenan Evans made Jumper.,35,35
2:24,2550,Desi Rodriguez made Jumper.,35,37
2:04,2641,Niem Stevenson missed Layup.,35,37
2:04,2550,Michael Nzei Block.,35,37
2:02,2641,Niem Stevenson Offensive Rebound.,35,37
1:59,2641,Jarrett Culver made Layup. Assisted by Niem Stevenson.,37,37
1:39,2550,Desi Rodriguez Turnover.,37,37
1:38,2641,Zhaire Smith Steal.,37,37
1:34,2641,Keenan Evans made Dunk. Assisted by Zhaire Smith.,39,37
1:06,2550,Desi Rodriguez missed Three Point Jumper.,39,37
1:06,2550,Ismael Sanogo Offensive Rebound.,39,37
1:03,2550,Myles Powell missed Three Point Jumper.,39,37
1:03,2550,Michael Nzei Offensive Rebound.,39,37
1:00,2641,Foul on Zach Smith.,39,37
1:00,2550,Michael Nzei made Free Throw.,39,38
1:00,2550,Michael Nzei missed Free Throw.,39,38
1:00,2641,Zhaire Smith Defensive Rebound.,39,38
0:54,2641,Texas Tech  Timeout,39,38
0:45,2641,Jarrett Culver made Three Point Jumper. Assisted by Keenan Evans.,42,38
0:32,2550,Myles Powell missed Jumper.,42,38
0:32,2550,Ismael Sanogo Offensive Rebound.,42,38
0:31,2641,Foul on Keenan Evans.,42,38
0:31,2550,Ismael Sanogo missed Free Throw.,42,38
0:31,2550,Seton Hall Deadball Team Rebound.,42,38
0:31,2550,Ismael Sanogo made Free Throw.,42,39
0:11,2550,Foul on Myles Cale.,42,39
0:09,2641,Niem Stevenson Turnover.,42,39
0:07,2550,Angel Delgado Steal.,42,39
0:00,2550,Desi Rodriguez Turnover.,42,39
0:00,2550,End of 1st half,42,39
19:49,2641,Zach Smith made Jumper. Assisted by Tommy Hamilton IV.,44,39
19:34,2550,Khadeen Carrington made Three Point Jumper. Assisted by Angel Delgado.,44,42
19:14,2641,Zach Smith made Jumper. Assisted by Keenan Evans.,46,42
18:50,2550,Khadeen Carrington made Jumper.,46,44
18:22,2641,Niem Stevenson missed Layup.,46,44
18:22,2550,Myles Powell Defensive Rebound.,46,44
18:14,2641,Foul on Justin Gray.,46,44
18:14,2550,Desi Rodriguez made Free Throw.,46,45
18:14,2550,Desi Rodriguez made Free Throw.,46,46
18:14,2550,Desi Rodriguez made Free Throw.,46,47
17:57,2641,Tommy Hamilton IV missed Jumper.,46,47
17:57,2550,Khadeen Carrington Defensive Rebound.,46,47
17:45,2550,Ismael Sanogo missed Jumper.,46,47
17:45,2641,Zach Smith Block.,46,47
17:44,2550,Seton Hall Offensive Rebound.,46,47
17:42,2550,Khadeen Carrington Turnover.,46,47
17:28,2641,Zach Smith missed Jumper.,46,47
17:28,2641,Norense Odiase Offensive Rebound.,46,47
17:26,2641,Norense Odiase made Layup.,48,47
17:03,2550,Khadeen Carrington missed Jumper.,48,47
17:03,2641,Norense Odiase Defensive Rebound.,48,47
16:55,2550,Foul on Ismael Sanogo.,48,47
16:55,2641,Niem Stevenson missed Free Throw.,48,47
16:55,2641,Texas Tech Deadball Team Rebound.,48,47
16:55,2641,Niem Stevenson made Free Throw.,49,47
16:40,2550,Myles Powell made Three Point Jumper. Assisted by Angel Delgado.,49,50
16:16,2641,Jarrett Culver Turnover.,49,50
16:16,2550,Ismael Sanogo Steal.,49,50
16:16,2641,Foul on Zhaire Smith.,49,50
16:16,2641,Zhaire Smith Turnover.,49,50
16:08,2641,Foul on Norense Odiase.,49,50
16:08,2550,Khadeen Carrington made Free Throw.,49,51
16:08,2550,Khadeen Carrington made Free Throw.,49,52
15:48,2550,Seton Hall Offensive Rebound.,49,52
15:48,2641,Tommy Hamilton IV missed Three Point Jumper.,49,52
15:47,2550,Official TV Timeout,49,52
15:34,2641,Tommy Hamilton IV missed Layup.,49,52
15:34,2550,Ismael Sanogo Defensive Rebound.,49,52
15:17,2550,Myles Powell missed Three Point Jumper.,49,52
15:17,2550,Seton Hall Offensive Rebound.,49,52
15:14,2641,Foul on Brandone Francis.,49,52
15:01,2550,Desi Rodriguez missed Jumper.,49,52
15:01,2550,Desi Rodriguez Offensive Rebound.,49,52
14:59,2550,Desi Rodriguez missed Layup.,49,52
14:59,2641,Zach Smith Block.,49,52
14:57,2550,Desi Rodriguez Offensive Rebound.,49,52
14:57,2641,Foul on Zach Smith.,49,52
14:57,2550,Desi Rodriguez made Free Throw.,49,53
14:57,2550,Desi Rodriguez made Free Throw.,49,54
14:42,2641,Zach Smith made Layup. Assisted by Keenan Evans.,51,54
14:21,2550,Desi Rodriguez Turnover.,51,54
14:08,2641,Keenan Evans Turnover.,51,54
14:07,2550,Myles Powell Steal.,51,54
13:57,2550,Ismael Sanogo made Jumper. Assisted by Myles Powell.,51,56
13:30,2550,Foul on Angel Delgado.,51,56
13:26,2641,Zach Smith made Jumper. Assisted by Keenan Evans.,53,56
13:12,2550,Angel Delgado made Layup.,53,58
13:07,2550,Foul on Desi Rodriguez.,53,58
13:03,2641,Zach Smith missed Jumper.,53,58
13:03,2550,Desi Rodriguez Defensive Rebound.,53,58
