Christendom,2428,North Carolina Central,111180
time,team_id,description,h_score,a_score
19:44,-1,Ian Heisler made Layup.,2,0
19:30,2428,Raasean Davis made Layup. Assisted by Zacarry Douglas.,2,2
19:14,-1,Patrick Pennefather made Layup. Assisted by Tommy Vander Woude.,4,2
18:55,2428,Raasean Davis missed Layup.,4,2
18:55,2428,North Carolina Central Offensive Rebound.,4,2
18:48,2428,Reginald Gardner Jr made Three Point Jumper. Assisted by C.J. Wiggins.,4,5
18:32,-1,Patrick Pennefather missed Layup.,4,5
18:32,2428,Reginald Gardner Jr Defensive Rebound.,4,5
18:07,2428,Zacarry Douglas missed Three Point Jumper.,4,5
18:07,-1,Tommy Vander Woude Defensive Rebound.,4,5
17:51,-1,Patrick Pennefather Turnover.,4,5
17:50,2428,Brandon Goldsmith Steal.,4,5
17:47,2428,Brandon Goldsmith Turnover.,4,5
17:45,-1,Johnny Echaniz Steal.,4,5
17:24,-1,Tommy Vander Woude missed Three Point Jumper.,4,5
17:24,2428,Pablo Rivas Defensive Rebound.,4,5
17:12,2428,C.J. Wiggins made Jumper.,4,7
16:36,-1,Ian Heisler missed Three Point Jumper.,4,7
16:36,2428,Brandon Goldsmith Defensive Rebound.,4,7
16:27,2428,C.J. Wiggins made Three Point Jumper. Assisted by Brandon Goldsmith.,4,10
16:13,-1,Nick Santschi missed Layup.,4,10
16:13,2428,Raasean Davis Defensive Rebound.,4,10
16:06,2428,Reginald Gardner Jr missed Three Point Jumper.,4,10
16:06,-1,Nick Santschi Defensive Rebound.,4,10
16:00,-1,Nick Santschi Turnover.,4,10
16:00,2428,Official TV Timeout,4,10
15:46,2428,Raasean Davis made Dunk.,4,12
15:31,-1,Tommy Vander Woude missed Layup.,4,12
15:31,2428,Raasean Davis Defensive Rebound.,4,12
15:19,2428,Raasean Davis made Layup. Assisted by Reginald Gardner Jr.,4,14
15:11,-1,Christendom  Timeout,4,14
15:01,-1,Michael Urankar Turnover.,4,14
15:01,2428,Larry McKnight Jr. Steal.,4,14
14:56,2428,C.J. Wiggins Turnover.,4,14
14:54,-1,Tommy Vander Woude Turnover.,4,14
14:49,2428,Brandon Goldsmith made Jumper.,4,16
14:32,2428,Foul on Pablo Rivas.,4,16
14:32,-1,Tommy Vander Woude missed Free Throw.,4,16
14:32,-1,Christendom Deadball Team Rebound.,4,16
14:32,-1,Tommy Vander Woude missed Free Throw.,4,16
14:32,2428,Dominique Reid Defensive Rebound.,4,16
14:25,2428,Pablo Rivas made Layup. Assisted by Alston Jones.,4,18
13:58,-1,Tommy Vander Woude Turnover.,4,18
13:58,-1,Foul on Tommy Vander Woude.,4,18
13:49,2428,Larry McKnight Jr. missed Layup.,4,18
13:49,2428,Dominique Reid Offensive Rebound.,4,18
13:47,2428,Dominique Reid made Layup.,4,20
13:47,-1,Foul on Nick Santschi.,4,20
13:47,2428,Dominique Reid made Free Throw.,4,21
13:41,2428,Foul on Larry McKnight Jr..,4,21
13:20,-1,Nick Santschi Turnover.,4,21
13:10,2428,Larry McKnight Jr. missed Three Point Jumper.,4,21
13:10,-1,Johnny Echaniz Defensive Rebound.,4,21
12:47,-1,Ian Heisler Turnover.,4,21
12:34,2428,Alston Jones missed Three Point Jumper.,4,21
12:34,2428,Larry McKnight Jr. Offensive Rebound.,4,21
12:28,2428,Larry McKnight Jr. missed Layup.,4,21
12:28,-1,Michael Urankar Defensive Rebound.,4,21
12:23,-1,Michael Urankar Turnover.,4,21
