Eastern Illinois,71,Bradley,2197
time,team_id,description,h_score,a_score
19:33,2197,Montell Goodwin made Three Point Jumper. Assisted by Terrell Lewis.,3,0
19:17,71,Koch Bar made Layup. Assisted by Darrell Brown.,3,2
18:55,2197,Terrell Lewis made Three Point Jumper. Assisted by Ray Crossland.,6,2
18:39,71,Darrell Brown made Three Point Jumper. Assisted by Donte Thomas.,6,5
18:20,2197,Muusa Dama made Jumper. Assisted by Terrell Lewis.,8,5
18:03,71,Darrell Brown missed Jumper.,8,5
18:03,2197,Muusa Dama Defensive Rebound.,8,5
17:58,2197,Montell Goodwin Turnover.,8,5
17:38,71,Donte Thomas Turnover.,8,5
17:37,2197,Jajuan Starks Steal.,8,5
17:25,2197,Ray Crossland missed Jumper.,8,5
17:25,71,Donte Thomas Defensive Rebound.,8,5
17:06,71,Nate Kennell made Layup.,8,7
16:53,2197,Muusa Dama made Jumper. Assisted by Terrell Lewis.,10,7
16:37,71,Dwayne Lautier-Ogunleye Turnover.,10,7
16:37,71,Foul on Dwayne Lautier-Ogunleye.,10,7
16:20,2197,Ray Crossland missed Three Point Jumper.,10,7
16:20,71,Donte Thomas Defensive Rebound.,10,7
16:07,71,Jayden Hodgson missed Three Point Jumper.,10,7
16:07,2197,Jajuan Starks Defensive Rebound.,10,7
15:36,2197,Lucas Jones missed Three Point Jumper.,10,7
15:36,71,Donte Thomas Defensive Rebound.,10,7
15:24,71,Dwayne Lautier-Ogunleye Turnover.,10,7
15:24,2197,Montell Goodwin Steal.,10,7
15:24,71,Foul on Nate Kennell.,10,7
15:24,71,Official TV Timeout,10,7
14:58,2197,Jajuan Starks Turnover.,10,7
14:42,71,JoJo McGlaston missed Jumper.,10,7
14:42,2197,Jajuan Starks Defensive Rebound.,10,7
14:22,2197,Muusa Dama missed Jumper.,10,7
14:22,71,JoJo McGlaston Defensive Rebound.,10,7
14:07,71,Nate Kennell missed Three Point Jumper.,10,7
14:07,2197,Montell Goodwin Defensive Rebound.,10,7
13:53,2197,Montell Goodwin missed Three Point Jumper.,10,7
13:53,71,Nate Kennell Defensive Rebound.,10,7
13:35,71,Donte Thomas made Jumper.,10,9
13:15,2197,Terrell Lewis made Three Point Jumper. Assisted by Jajuan Starks.,13,9
13:03,71,JoJo McGlaston made Three Point Jumper.,13,12
12:44,71,Foul on Jayden Hodgson.,13,12
12:25,2197,Terrell Lewis missed Three Point Jumper.,13,12
12:25,71,Jayden Hodgson Defensive Rebound.,13,12
12:15,71,Darrell Brown made Jumper.,13,14
11:43,2197,Ray Crossland missed Jumper.,13,14
11:43,2197,Eastern Illinois Offensive Rebound.,13,14
11:39,71,Official TV Timeout,13,14
11:24,2197,D'Angelo Jackson missed Jumper.,13,14
11:24,71,Elijah Childs Block.,13,14
11:22,71,Jayden Hodgson Defensive Rebound.,13,14
11:13,71,JoJo McGlaston Turnover.,13,14
10:54,2197,Terrell Lewis missed Three Point Jumper.,13,14
10:54,2197,Terrell Lewis Offensive Rebound.,13,14
10:45,71,Foul on Luuk van Bree.,13,14
10:45,2197,D'Angelo Jackson missed Free Throw.,13,14
10:45,2197,Eastern Illinois Deadball Team Rebound.,13,14
10:45,2197,D'Angelo Jackson missed Free Throw.,13,14
10:45,2197,Muusa Dama Offensive Rebound.,13,14
10:38,2197,Montell Goodwin missed Three Point Jumper.,13,14
10:38,71,Luuk van Bree Defensive Rebound.,13,14
10:38,2197,Foul on D'Angelo Jackson.,13,14
10:18,2197,Foul on Terrell Lewis.,13,14
10:15,71,Darrell Brown made Jumper. Assisted by Jayden Hodgson.,13,16
9:43,2197,Muusa Dama missed Jumper.,13,16
9:43,71,JoJo McGlaston Block.,13,16
9:41,2197,D'Angelo Jackson Offensive Rebound.,13,16
9:41,71,Foul on Donte Thomas.,13,16
9:41,2197,D'Angelo Jackson made Free Throw.,14,16
9:41,2197,D'Angelo Jackson missed Free Throw.,14,16
9:41,71,JoJo McGlaston Defensive Rebound.,14,16
9:40,2197,Foul on Ray Crossland.,14,16
9:27,71,Darrell Brown missed Three Point Jumper.,14,16
9:27,2197,Muusa Dama Defensive Rebound.,14,16
9:18,2197,Jajuan Starks missed Jumper.,14,16
9:18,71,Donte Thomas Block.,14,16
9:15,2197,Muusa Dama Offensive Rebound.,14,16
9:09,2197,Montell Goodwin missed Jumper.,14,16
9:09,2197,Terrell Lewis Offensive Rebound.,14,16
9:00,2197,Ray Crossland Turnover.,14,16
9:00,71,Darrell Brown Steal.,14,16
8:46,71,JoJo McGlaston missed Jumper.,14,16
8:46,71,JoJo McGlaston Offensive Rebound.,14,16
8:32,71,Koch Bar made Jumper. Assisted by Darrell Brown.,14,18
8:17,2197,Terrell Lewis missed Three Point Jumper.,14,18
8:17,71,Dwayne Lautier-Ogunleye Defensive Rebound.,14,18
7:58,2197,Foul on Muusa Dama.,14,18
7:58,71,Official TV Timeout,14,18
7:55,71,Koch Bar missed Jumper.,14,18
7:55,2197,Montell Goodwin Defensive Rebound.,14,18
7:36,2197,Jajuan Starks missed Jumper.,14,18
7:36,71,Koch Bar Defensive Rebound.,14,18
7:27,71,Darrell Brown missed Jumper.,14,18
7:27,2197,D'Angelo Jackson Defensive Rebound.,14,18
7:19,2197,Muusa Dama missed Layup.,14,18
7:19,71,Dwayne Lautier-Ogunleye Defensive Rebound.,14,18
7:18,2197,Foul on Jajuan Starks.,14,18
6:55,71,Donte Thomas missed Jumper.,14,18
6:55,2197,Aboubacar Diallo Block.,14,18
6:51,2197,Montell Goodwin Defensive Rebound.,14,18
6:31,2197,Jajuan Starks missed Jumper.,14,18
6:31,71,Dwayne Lautier-Ogunleye Defensive Rebound.,14,18
6:19,71,Dwayne Lautier-Ogunleye made Three Point Jumper. Assisted by Darrell Brown.,14,21
