Mercer,235,Memphis,2382
time,team_id,description,h_score,a_score
19:35,235,Jimario Rivers missed Jumper.,0,0
19:35,235,Jimario Rivers Offensive Rebound.,0,0
19:29,235,Jimario Rivers made Jumper.,0,2
19:02,2382,Demetre Rivers missed Three Point Jumper.,0,2
19:02,235,Jeremiah Martin Defensive Rebound.,0,2
18:38,235,Mike Parks Jr. missed Jumper.,0,2
18:38,235,Kareem Brewton Jr. Offensive Rebound.,0,2
18:35,235,Kyvon Davenport missed Three Point Jumper.,0,2
18:35,235,Mike Parks Jr. Offensive Rebound.,0,2
18:15,235,Kareem Brewton Jr. Turnover.,0,2
17:50,2382,Ethan Stair Turnover.,0,2
17:50,235,Kareem Brewton Jr. Steal.,0,2
17:47,235,Kareem Brewton Jr. made Layup.,0,4
17:47,2382,Mercer  Timeout,0,4
17:26,2382,Ethan Stair missed Three Point Jumper.,0,4
17:26,235,Kyvon Davenport Defensive Rebound.,0,4
16:58,235,Kyvon Davenport missed Jumper.,0,4
16:58,235,Mike Parks Jr. Offensive Rebound.,0,4
16:37,235,Mike Parks Jr. made Two Point Tip Shot.,0,6
16:28,2382,Ethan Stair made Three Point Jumper. Assisted by Jordan Strawberry.,3,6
16:19,235,Mike Parks Jr. made Layup. Assisted by Jeremiah Martin.,3,8
16:19,2382,Foul on Desmond Ringer.,3,8
16:19,235,Mike Parks Jr. made Free Throw.,3,9
15:58,2382,Ethan Stair made Jumper. Assisted by Jordan Strawberry.,5,9
15:39,235,Kareem Brewton Jr. missed Three Point Jumper.,5,9
15:39,2382,Jordan Strawberry Defensive Rebound.,5,9
15:31,2382,Ethan Stair missed Three Point Jumper.,5,9
15:31,235,Kyvon Davenport Defensive Rebound.,5,9
15:24,235,Jeremiah Martin missed Three Point Jumper.,5,9
15:24,235,Kyvon Davenport Offensive Rebound.,5,9
15:05,2382,Foul on Ryan Johnson.,5,9
15:05,235,Official TV Timeout,5,9
15:05,235,Jeremiah Martin missed Free Throw.,5,9
15:05,235,Memphis Deadball Team Rebound.,5,9
15:05,235,Jeremiah Martin made Free Throw.,5,10
14:58,235,Foul on Jamal Johnson.,5,10
14:53,2382,Demetre Rivers missed Layup.,5,10
14:53,235,Jimario Rivers Block.,5,10
14:53,235,Kyvon Davenport Defensive Rebound.,5,10
14:25,235,Jamal Johnson missed Three Point Jumper.,5,10
14:25,2382,Desmond Ringer Defensive Rebound.,5,10
14:09,2382,Cory Kilby made Three Point Jumper. Assisted by Demetre Rivers.,8,10
13:33,235,Jimario Rivers missed Jumper.,8,10
13:33,2382,Ryan Johnson Defensive Rebound.,8,10
13:07,235,Foul on Raynere Thornton.,8,10
13:04,2382,Desmond Ringer made Layup. Assisted by Marcus Cohen.,10,10
12:44,235,Raynere Thornton Turnover.,10,10
12:43,2382,Ethan Stair Steal.,10,10
12:24,2382,Ryan Johnson missed Jumper.,10,10
12:24,2382,Cory Kilby Offensive Rebound.,10,10
12:17,2382,Desmond Ringer missed Layup.,10,10
12:17,235,Memphis Deadball Team Rebound.,10,10
12:13,2382,Foul on Desmond Ringer.,10,10
11:51,235,Raynere Thornton missed Three Point Jumper.,10,10
11:51,2382,Jaylen Stowe Defensive Rebound.,10,10
11:35,2382,Marcus Cohen Turnover.,10,10
11:35,235,Official TV Timeout,10,10
11:11,235,David Nickelberry Turnover.,10,10
11:10,2382,Ethan Stair Steal.,10,10
11:09,2382,Jordan Strawberry Turnover.,10,10
11:09,235,Jamal Johnson Steal.,10,10
11:00,235,Jeremiah Martin missed Layup.,10,10
11:00,2382,Cory Kilby Block.,10,10
11:00,2382,Cory Kilby Defensive Rebound.,10,10
10:43,2382,Stephon Jelks Turnover.,10,10
10:15,235,Mike Parks Jr. missed Layup.,10,10
10:15,2382,Cory Kilby Defensive Rebound.,10,10
10:01,2382,Ethan Stair Turnover.,10,10
9:49,235,Jamal Johnson made Three Point Jumper.,10,13
9:28,2382,Stephon Jelks made Three Point Jumper. Assisted by Marcus Cohen.,13,13
9:03,235,Jamal Johnson missed Three Point Jumper.,13,13
9:03,2382,Jordan Strawberry Defensive Rebound.,13,13
8:55,2382,Stephon Jelks made Three Point Jumper. Assisted by Jordan Strawberry.,16,13
8:25,235,David Nickelberry missed Three Point Jumper.,16,13
8:25,2382,Stephon Jelks Defensive Rebound.,16,13
8:13,2382,Demetre Rivers missed Three Point Jumper.,16,13
8:13,235,David Nickelberry Defensive Rebound.,16,13
8:00,235,Kyvon Davenport made Jumper.,16,15
7:38,2382,Jordan Strawberry missed Jumper.,16,15
7:38,2382,Demetre Rivers Offensive Rebound.,16,15
7:31,2382,Demetre Rivers missed Layup.,16,15
7:31,2382,Stephon Jelks Offensive Rebound.,16,15
7:27,2382,Stephon Jelks missed Two Point Tip Shot.,16,15
7:27,2382,Demetre Rivers Offensive Rebound.,16,15
7:23,2382,Demetre Rivers Turnover.,16,15
7:22,235,Jamal Johnson Steal.,16,15
7:14,235,Malik Rhodes missed Three Point Jumper.,16,15
7:14,2382,Jaylen Stowe Defensive Rebound.,16,15
6:46,235,Foul on David Nickelberry.,16,15
6:46,235,Official TV Timeout,16,15
6:30,2382,Jordan Strawberry made Three Point Jumper.,19,15
6:05,235,Kareem Brewton Jr. Turnover.,19,15
6:05,2382,Ethan Stair Steal.,19,15
6:05,235,Foul on Kareem Brewton Jr..,19,15
5:46,2382,Ethan Stair made Jumper.,21,15
5:25,235,Kareem Brewton Jr. missed Three Point Jumper.,21,15
5:25,235,Kyvon Davenport Offensive Rebound.,21,15
5:20,235,Kyvon Davenport missed Jumper.,21,15
