Tennessee Tech,231,Furman,2635
time,team_id,description,h_score,a_score
19:46,231,Matt Rafferty missed Layup.,0,0
19:46,2635,Curtis Phillips Jr. Defensive Rebound.,0,0
19:29,2635,Mason Ramsey missed Jumper.,0,0
19:29,231,Matt Rafferty Defensive Rebound.,0,0
19:21,231,Devin Sibley missed Jumper.,0,0
19:21,2635,Courtney Alexander II Defensive Rebound.,0,0
19:08,2635,Kajon Mack Turnover.,0,0
19:06,231,Matt Rafferty Steal.,0,0
18:45,231,Daniel Fowler missed Layup.,0,0
18:45,2635,Curtis Phillips Jr. Block.,0,0
18:45,231,Furman Offensive Rebound.,0,0
18:37,231,Furman  Turnover.,0,0
18:17,2635,Mason Ramsey Turnover.,0,0
17:56,231,Devin Sibley missed Three Point Jumper.,0,0
17:56,2635,Kajon Mack Defensive Rebound.,0,0
17:35,2635,Courtney Alexander II missed Jumper.,0,0
17:35,231,Matt Rafferty Defensive Rebound.,0,0
17:26,2635,Foul on Mason Ramsey.,0,0
17:22,231,Devin Sibley Turnover.,0,0
17:11,2635,Mason Ramsey made Layup. Assisted by Aleksa Jugovic.,2,0
16:59,231,Devin Sibley missed Three Point Jumper.,2,0
16:59,2635,Kajon Mack Defensive Rebound.,2,0
16:50,2635,Kajon Mack made Layup.,4,0
16:31,231,Devin Sibley missed Three Point Jumper.,4,0
16:31,2635,Curtis Phillips Jr. Defensive Rebound.,4,0
16:23,231,Foul on John Davis III.,4,0
16:23,2635,Curtis Phillips Jr. missed Free Throw.,4,0
16:23,2635,Tennessee Tech Deadball Team Rebound.,4,0
16:23,2635,Curtis Phillips Jr. made Free Throw.,5,0
15:53,231,Alex Hunter made Three Point Jumper.,5,3
15:33,2635,Curtis Phillips Jr. missed Jumper.,5,3
15:33,231,Daniel Fowler Defensive Rebound.,5,3
15:26,231,Alex Hunter missed Layup.,5,3
15:26,2635,Kajon Mack Block.,5,3
15:23,2635,Courtney Alexander II Defensive Rebound.,5,3
15:19,2635,Kajon Mack made Layup. Assisted by Aleksa Jugovic.,7,3
15:01,231,Matt Rafferty missed Jumper.,7,3
15:01,2635,Courtney Alexander II Defensive Rebound.,7,3
14:54,2635,Aleksa Jugovic missed Three Point Jumper.,7,3
14:54,231,Matt Rafferty Defensive Rebound.,7,3
14:36,231,John Davis III missed Three Point Jumper.,7,3
14:36,2635,Kajon Mack Defensive Rebound.,7,3
14:22,2635,Kajon Mack Turnover.,7,3
14:22,231,John Davis III Steal.,7,3
14:20,231,John Davis III made Layup.,7,5
13:59,2635,Kajon Mack missed Jumper.,7,5
13:59,231,Clay Mounce Defensive Rebound.,7,5
13:50,231,John Davis III Turnover.,7,5
13:50,231,Official TV Timeout,7,5
13:41,2635,Kajon Mack missed Three Point Jumper.,7,5
13:41,231,Jordan Lyons Defensive Rebound.,7,5
13:22,231,Jordan Lyons missed Jumper.,7,5
13:22,231,Clay Mounce Offensive Rebound.,7,5
13:17,231,Alex Hunter missed Three Point Jumper.,7,5
13:17,231,Clay Mounce Offensive Rebound.,7,5
13:13,231,Clay Mounce made Two Point Tip Shot.,7,7
12:52,2635,Aleksa Jugovic Turnover.,7,7
12:50,231,Andrew Brown Steal.,7,7
12:43,231,Jalen Williams made Layup. Assisted by Alex Hunter.,7,9
12:25,2635,Shaq Calhoun missed Three Point Jumper.,7,9
12:25,231,Jalen Williams Defensive Rebound.,7,9
12:08,231,Andrew Brown missed Three Point Jumper.,7,9
12:08,2635,Micaiah Henry Defensive Rebound.,7,9
11:54,2635,Kajon Mack missed Three Point Jumper.,7,9
11:54,2635,Micaiah Henry Offensive Rebound.,7,9
11:48,2635,Micaiah Henry made Layup.,9,9
11:27,231,Alex Hunter missed Layup.,9,9
11:27,2635,Micaiah Henry Block.,9,9
11:27,231,Furman Offensive Rebound.,9,9
11:26,231,Official TV Timeout,9,9
11:16,231,Andrew Brown missed Three Point Jumper.,9,9
11:16,231,Daniel Fowler Offensive Rebound.,9,9
11:09,231,Devin Sibley missed Layup.,9,9
11:09,2635,Stephaun Adams Defensive Rebound.,9,9
10:57,2635,Shaq Calhoun Turnover.,9,9
10:57,231,Daniel Fowler Steal.,9,9
10:31,231,Daniel Fowler made Three Point Jumper. Assisted by John Davis III.,9,12
10:04,2635,Micaiah Henry made Dunk. Assisted by Aleksa Jugovic.,11,12
