Schreiner,Error,Abilene Christian,2000
time,team_id,description,h_score,a_score
19:43,2000,Jaren Lewis missed Jumper.,0,0
19:43,2000,Jalone Friday Offensive Rebound.,0,0
19:39,2000,Jalone Friday made Layup.,0,2
19:16,-1,Keenan Gumbs missed Three Point Jumper.,0,2
19:16,-1,Schreiner Offensive Rebound.,0,2
19:07,-1,Luis Mancillas missed Three Point Jumper.,0,2
19:07,-1,Keenan Gumbs Offensive Rebound.,0,2
19:01,-1,Keenan Gumbs missed Three Point Jumper.,0,2
19:01,2000,Jaren Lewis Defensive Rebound.,0,2
18:47,2000,Foul on Jalone Friday.,0,2
18:47,2000,Jalone Friday Turnover.,0,2
18:21,-1,TJ Distefano missed Three Point Jumper.,0,2
18:21,2000,Tevin Foster Defensive Rebound.,0,2
18:00,2000,Jalone Friday made Jumper. Assisted by Jaren Lewis.,0,4
17:35,-1,Keenan Gumbs Turnover.,0,4
17:34,2000,Tevin Foster Steal.,0,4
17:28,2000,Jaylen Franklin missed Dunk.,0,4
17:28,-1,Schreiner Defensive Rebound.,0,4
17:04,-1,Josh Bashford Turnover.,0,4
17:03,2000,Jaylen Franklin Steal.,0,4
16:54,2000,Payten Ricks made Three Point Jumper. Assisted by Jaylen Franklin.,0,7
16:51,-1,Schreiner  Timeout,0,7
16:49,-1,Ellis Jones Turnover.,0,7
16:48,2000,Payten Ricks Steal.,0,7
16:34,2000,Jaren Lewis missed Jumper.,0,7
16:34,-1,Andrew Sparks Defensive Rebound.,0,7
16:13,-1,Andrew Sparks missed Three Point Jumper.,0,7
16:13,-1,Schreiner Offensive Rebound.,0,7
16:09,-1,Matthew Rindahl made Jumper. Assisted by Ellis Jones.,2,7
15:39,2000,Jalone Friday missed Jumper.,2,7
15:39,-1,Paul Wells Defensive Rebound.,2,7
15:24,-1,Matthew Rindahl missed Jumper.,2,7
15:24,2000,Hayden Farquhar Defensive Rebound.,2,7
15:01,2000,Jalone Friday made Jumper. Assisted by Jaylen Franklin.,2,9
14:46,-1,Chase Pinter Turnover.,2,9
14:45,2000,Tevin Foster Steal.,2,9
14:41,2000,Hayden Farquhar made Layup. Assisted by Tevin Foster.,2,11
14:23,-1,Ellis Jones missed Three Point Jumper.,2,11
14:23,2000,Hayden Farquhar Defensive Rebound.,2,11
14:17,2000,Jalone Friday missed Three Point Jumper.,2,11
14:17,-1,Chase Pinter Defensive Rebound.,2,11
14:06,-1,Paul Wells Turnover.,2,11
14:05,2000,Hayden Farquhar Steal.,2,11
14:00,2000,Jaylen Franklin made Dunk. Assisted by Tevin Foster.,2,13
13:35,-1,Paul Wells Turnover.,2,13
13:35,2000,Official TV Timeout,2,13
13:25,2000,Hayden Farquhar made Dunk. Assisted by Hayden Howell.,2,15
