Fairleigh Dickinson,314,Iona,161
time,team_id,description,h_score,a_score
19:39,314,Rickey McGill missed Layup.,0,0
19:39,161,Jahlil Jenkins Defensive Rebound.,0,0
19:33,161,Jahlil Jenkins Turnover.,0,0
19:32,314,Zach Lewis Steal.,0,0
19:30,314,Zach Lewis missed Layup.,0,0
19:30,314,Rickey McGill Offensive Rebound.,0,0
19:28,314,Rickey McGill missed Layup.,0,0
19:28,161,Noah Morgan Block.,0,0
19:26,314,Rickey McGill Offensive Rebound.,0,0
19:11,314,TK Edogi missed Layup.,0,0
19:11,161,Noah Morgan Defensive Rebound.,0,0
19:02,161,Mike Holloway Jr. missed Jumper.,0,0
19:02,314,TK Edogi Defensive Rebound.,0,0
18:52,161,Foul on Noah Morgan.,0,0
18:52,161,Foul on Jahlil Jenkins.,0,0
18:33,314,Zach Lewis missed Three Point Jumper.,0,0
18:33,161,Darnell Edge Defensive Rebound.,0,0
18:21,161,Noah Morgan Turnover.,0,0
17:55,314,Zach Lewis made Three Point Jumper. Assisted by Rickey McGill.,0,3
17:23,161,Darian Anderson missed Three Point Jumper.,0,3
17:23,314,Rickey McGill Defensive Rebound.,0,3
17:19,161,Foul on Darian Anderson.,0,3
17:03,314,Deyshonee Much missed Three Point Jumper.,0,3
17:03,161,Darian Anderson Defensive Rebound.,0,3
16:53,161,Jahlil Jenkins Turnover.,0,3
16:43,314,Zach Lewis missed Three Point Jumper.,0,3
16:43,161,Noah Morgan Defensive Rebound.,0,3
16:19,161,Pat McNamara missed Three Point Jumper.,0,3
16:19,314,Iona Defensive Rebound.,0,3
15:57,314,TK Edogi missed Layup.,0,3
15:57,314,TK Edogi Offensive Rebound.,0,3
15:53,161,Foul on Mike Holloway Jr..,0,3
15:52,314,E.J. Crawford missed Layup.,0,3
15:52,161,Darian Anderson Defensive Rebound.,0,3
15:49,161,Darian Anderson missed Layup.,0,3
15:49,314,Rickey McGill Defensive Rebound.,0,3
15:42,314,TK Edogi made Layup. Assisted by Rickey McGill.,0,5
15:23,161,Noah Morgan made Jumper. Assisted by Darian Anderson.,2,5
15:05,314,Schadrac Casimir missed Three Point Jumper.,2,5
15:05,161,Mike Holloway Jr. Defensive Rebound.,2,5
15:03,161,Mike Holloway Jr. Turnover.,2,5
15:02,314,Schadrac Casimir Steal.,2,5
15:00,161,Foul on Noah Morgan.,2,5
15:00,314,Schadrac Casimir made Free Throw.,2,6
15:00,314,Schadrac Casimir made Free Throw.,2,7
14:44,161,Darnell Edge made Three Point Jumper. Assisted by Darian Anderson.,5,7
