Vermont,2083,Bucknell,261
time,team_id,description,h_score,a_score
19:36,261,Trae Bell-Haynes made Three Point Jumper. Assisted by Ernie Duncan.,3,0
19:18,2083,Zach Thomas made Jumper. Assisted by Nana Foulland.,3,2
18:55,261,Payton Henson missed Jumper.,3,2
18:55,2083,Zach Thomas Defensive Rebound.,3,2
18:46,2083,Bruce Moore made Three Point Jumper. Assisted by Stephen Brown.,3,5
18:25,261,Anthony Lamb made Three Point Jumper.,6,5
18:12,2083,Nana Foulland made Dunk. Assisted by Bruce Moore.,6,7
17:53,261,Trae Bell-Haynes missed Jumper.,6,7
17:53,2083,Zach Thomas Defensive Rebound.,6,7
17:46,2083,Stephen Brown made Jumper.,6,9
17:29,261,Foul on Payton Henson.,6,9
17:29,261,Payton Henson Turnover.,6,9
17:12,2083,Zach Thomas made Three Point Jumper. Assisted by Stephen Brown.,6,12
16:50,261,Anthony Lamb made Layup.,8,12
16:34,2083,Bruce Moore missed Three Point Jumper.,8,12
16:34,261,Ernie Duncan Defensive Rebound.,8,12
16:07,261,Payton Henson missed Jumper.,8,12
16:07,261,Payton Henson Offensive Rebound.,8,12
16:02,261,Anthony Lamb missed Three Point Jumper.,8,12
16:02,2083,Jimmy Sotos Defensive Rebound.,8,12
15:48,2083,Stephen Brown made Jumper. Assisted by Zach Thomas.,8,14
15:30,261,Trae Bell-Haynes missed Layup.,8,14
15:30,2083,Zach Thomas Defensive Rebound.,8,14
15:23,261,Foul on Anthony Lamb.,8,14
15:23,2083,Official TV Timeout,8,14
15:19,2083,Foul on Nate Sestina.,8,14
15:19,2083,Nate Sestina Turnover.,8,14
14:55,2083,Foul on Matt O'Reilly.,8,14
14:55,261,Ernie Duncan made Free Throw.,9,14
14:55,261,Ernie Duncan made Free Throw.,10,14
14:34,261,Foul on Drew Urquhart.,10,14
14:34,2083,Zach Thomas made Free Throw.,10,15
14:34,2083,Zach Thomas missed Free Throw.,10,15
14:34,261,Everett Duncan Defensive Rebound.,10,15
14:18,261,Ernie Duncan Turnover.,10,15
14:08,2083,Stephen Brown made Jumper.,10,17
13:49,2083,Foul on Stephen Brown.,10,17
13:49,261,Trae Bell-Haynes missed Free Throw.,10,17
13:49,261,Vermont Deadball Team Rebound.,10,17
13:49,261,Trae Bell-Haynes made Free Throw.,11,17
13:35,2083,Matt O'Reilly missed Three Point Jumper.,11,17
13:35,2083,John Meeks Offensive Rebound.,11,17
13:15,2083,Nana Foulland missed Jumper.,11,17
13:15,261,Ernie Duncan Defensive Rebound.,11,17
13:06,261,Skyler Nash missed Three Point Jumper.,11,17
13:06,2083,Matt O'Reilly Defensive Rebound.,11,17
12:56,2083,Matt O'Reilly missed Three Point Jumper.,11,17
12:56,261,Samuel Dingba Defensive Rebound.,11,17
12:46,261,Ernie Duncan Turnover.,11,17
12:44,2083,John Meeks Steal.,11,17
12:20,2083,John Meeks missed Jumper.,11,17
12:20,261,Vermont Defensive Rebound.,11,17
12:02,261,Anthony Lamb missed Jumper.,11,17
12:02,2083,Nana Foulland Block.,11,17
12:01,2083,Zach Thomas Defensive Rebound.,11,17
11:55,2083,Nate Jones missed Three Point Jumper.,11,17
11:55,261,Stef Smith Defensive Rebound.,11,17
11:46,261,Stef Smith missed Layup.,11,17
11:46,261,Anthony Lamb Offensive Rebound.,11,17
11:42,261,Anthony Lamb made Two Point Tip Shot.,13,17
11:39,261,Foul on Stef Smith.,13,17
11:39,2083,Official TV Timeout,13,17
11:38,2083,Official TV Timeout,13,17
11:35,2083,Foul on Nate Jones.,13,17
11:35,2083,Nate Jones Turnover.,13,17
11:29,261,Foul on Anthony Lamb.,13,17
11:29,261,Anthony Lamb Turnover.,13,17
11:16,2083,Nana Foulland missed Jumper.,13,17
11:16,261,Anthony Lamb Defensive Rebound.,13,17
10:54,261,Anthony Lamb made Jumper.,15,17
10:42,2083,Jimmy Sotos made Three Point Jumper.,15,20
10:30,261,Stef Smith missed Three Point Jumper.,15,20
10:30,261,Payton Henson Offensive Rebound.,15,20
10:13,261,Cam Ward made Jumper.,17,20
9:56,2083,Foul on Zach Thomas.,17,20
9:56,2083,Zach Thomas Turnover.,17,20
9:40,261,Payton Henson made Layup.,19,20
9:28,261,Foul on Drew Urquhart.,19,20
9:16,2083,Zach Thomas missed Three Point Jumper.,19,20
9:16,2083,Bruce Moore Offensive Rebound.,19,20
9:13,261,Foul on Skyler Nash.,19,20
9:13,2083,Bruce Moore made Free Throw.,19,21
9:13,2083,Bruce Moore made Free Throw.,19,22
8:56,2083,Foul on Nate Sestina.,19,22
8:56,261,Payton Henson made Free Throw.,20,22
8:56,261,Payton Henson missed Free Throw.,20,22
8:56,2083,Paul Newman Defensive Rebound.,20,22
8:29,261,Foul on Cam Ward.,20,22
8:29,2083,Paul Newman missed Free Throw.,20,22
8:29,2083,Bucknell Deadball Team Rebound.,20,22
8:29,2083,Paul Newman missed Free Throw.,20,22
8:29,261,Nate Rohrer Defensive Rebound.,20,22
8:14,261,Trae Bell-Haynes missed Layup.,20,22
8:14,2083,Jimmy Sotos Defensive Rebound.,20,22
8:06,2083,Ben Robertson missed Layup.,20,22
8:06,261,Nate Rohrer Block.,20,22
8:04,261,Nate Rohrer Defensive Rebound.,20,22
7:59,261,Everett Duncan missed Three Point Jumper.,20,22
7:59,2083,Jimmy Sotos Defensive Rebound.,20,22
7:50,2083,Stephen Brown missed Three Point Jumper.,20,22
7:50,261,Trae Bell-Haynes Defensive Rebound.,20,22
7:43,261,Trae Bell-Haynes missed Layup.,20,22
7:43,261,Everett Duncan Offensive Rebound.,20,22
7:42,261,Everett Duncan made Two Point Tip Shot.,22,22
7:42,2083,Foul on Paul Newman.,22,22
7:42,2083,Official TV Timeout,22,22
7:42,261,Everett Duncan made Free Throw.,23,22
7:41,2083,Official TV Timeout,22,22
7:32,2083,Zach Thomas made Three Point Jumper. Assisted by Stephen Brown.,23,25
7:17,261,Payton Henson made Layup.,25,25
6:59,2083,Nana Foulland Turnover.,25,25
6:48,261,Ernie Duncan Turnover.,25,25
6:46,2083,Nate Jones Steal.,25,25
6:41,2083,Nana Foulland made Dunk. Assisted by Nate Jones.,25,27
6:15,261,Ernie Duncan made Three Point Jumper. Assisted by Trae Bell-Haynes.,28,27
5:50,2083,Stephen Brown made Layup.,28,29
5:23,261,Trae Bell-Haynes made Layup.,30,29
5:08,261,Foul on Nate Rohrer.,30,29
5:08,2083,Nana Foulland missed Free Throw.,30,29
5:08,261,Everett Duncan Defensive Rebound.,30,29
4:45,2083,Foul on Nate Jones.,30,29
4:45,261,Ernie Duncan made Free Throw.,31,29
4:45,261,Ernie Duncan missed Free Throw.,31,29
4:44,2083,Bucknell Defensive Rebound.,31,29
4:23,2083,Nana Foulland made Dunk. Assisted by Zach Thomas.,31,31
4:17,261,Samuel Dingba Turnover.,31,31
4:01,261,Foul on Samuel Dingba.,31,31
4:01,2083,Nana Foulland missed Free Throw.,31,31
4:01,2083,Bucknell Deadball Team Rebound.,31,31
4:01,2083,Nana Foulland missed Free Throw.,31,31
4:01,261,Everett Duncan Defensive Rebound.,31,31
3:40,261,Anthony Lamb missed Jumper.,31,31
3:40,2083,Zach Thomas Defensive Rebound.,31,31
3:24,2083,Zach Thomas missed Three Point Jumper.,31,31
3:24,2083,Nana Foulland Offensive Rebound.,31,31
3:20,2083,Nana Foulland made Jumper.,31,33
3:02,2083,Official TV Timeout,31,33
2:50,261,Anthony Lamb made Jumper.,33,33
2:35,2083,Foul on Nana Foulland.,33,33
2:35,2083,Nana Foulland Turnover.,33,33
2:20,261,Anthony Lamb Turnover.,33,33
2:19,2083,Stephen Brown Steal.,33,33
2:07,2083,Stephen Brown Turnover.,33,33
2:05,261,Everett Duncan Steal.,33,33
1:57,2083,Foul on Nana Foulland.,33,33
1:57,261,Payton Henson made Free Throw.,34,33
1:57,261,Payton Henson made Free Throw.,35,33
1:43,2083,Bruce Moore missed Three Point Jumper.,35,33
1:43,261,Ben Shungu Defensive Rebound.,35,33
1:28,261,Everett Duncan Turnover.,35,33
1:18,2083,Jimmy Sotos missed Three Point Jumper.,35,33
1:18,2083,Bruce Moore Offensive Rebound.,35,33
1:13,2083,Bruce Moore missed Layup.,35,33
1:13,261,Everett Duncan Block.,35,33
1:13,261,Vermont Defensive Rebound.,35,33
1:03,261,Cam Ward missed Three Point Jumper.,35,33
1:03,2083,Bruce Moore Defensive Rebound.,35,33
0:33,261,Foul on Cam Ward.,35,33
0:33,261,Technical Foul on Vermont.,35,33
0:33,2083,Zach Thomas made Free Throw.,35,34
0:33,2083,Zach Thomas made Free Throw.,35,35
0:33,2083,Stephen Brown made Free Throw.,35,36
0:33,2083,Stephen Brown made Free Throw.,35,37
0:29,261,Vermont  Timeout,35,37
0:08,261,Trae Bell-Haynes missed Layup.,35,37
0:08,2083,Paul Newman Defensive Rebound.,35,37
0:00,2083,Jimmy Sotos missed Jumper.,35,37
0:00,261,Vermont Deadball Team Rebound.,35,37
0:00,2083,End of 1st half,35,37
19:44,2083,Nana Foulland made Dunk. Assisted by Zach Thomas.,35,39
19:20,261,Ernie Duncan missed Three Point Jumper.,35,39
19:20,2083,Zach Thomas Defensive Rebound.,35,39
19:12,2083,Zach Thomas made Three Point Jumper. Assisted by Jimmy Sotos.,35,42
19:04,261,Vermont  Timeout,35,42
18:48,261,Anthony Lamb missed Layup.,35,42
18:48,261,Trae Bell-Haynes Offensive Rebound.,35,42
18:46,261,Trae Bell-Haynes made Layup.,37,42
18:24,2083,Nana Foulland missed Jumper.,37,42
18:24,261,Everett Duncan Defensive Rebound.,37,42
18:11,261,Ernie Duncan missed Layup.,37,42
18:11,2083,Nana Foulland Block.,37,42
18:09,2083,Bruce Moore Defensive Rebound.,37,42
17:51,2083,Nana Foulland made Jumper.,37,44
17:22,261,Trae Bell-Haynes Turnover.,37,44
17:21,2083,Jimmy Sotos Steal.,37,44
17:17,2083,Stephen Brown made Layup. Assisted by Jimmy Sotos.,37,46
16:57,261,Anthony Lamb missed Layup.,37,46
16:57,2083,Nana Foulland Block.,37,46
16:55,2083,Stephen Brown Defensive Rebound.,37,46
16:52,2083,Jimmy Sotos missed Layup.,37,46
16:52,261,Ernie Duncan Block.,37,46
16:49,261,Trae Bell-Haynes Defensive Rebound.,37,46
16:49,2083,Foul on Stephen Brown.,37,46
16:27,261,Anthony Lamb missed Layup.,37,46
16:27,2083,Nana Foulland Defensive Rebound.,37,46
16:04,2083,Stephen Brown missed Jumper.,37,46
16:04,261,Vermont Deadball Team Rebound.,37,46
16:02,2083,Foul on Bruce Moore.,37,46
15:46,261,Stef Smith made Three Point Jumper. Assisted by Payton Henson.,40,46
15:33,2083,Nate Sestina made Layup. Assisted by Jimmy Sotos.,40,48
15:11,2083,Foul on Bruce Moore.,40,48
15:11,2083,Official TV Timeout,40,48
15:11,261,Payton Henson made Free Throw.,41,48
15:11,261,Payton Henson made Free Throw.,42,48
14:41,2083,Nate Jones missed Three Point Jumper.,42,48
14:41,2083,Nate Sestina Offensive Rebound.,42,48
14:36,2083,Nate Sestina made Jumper.,42,50
14:15,261,Anthony Lamb made Layup.,44,50
13:57,261,Foul on Stef Smith.,44,50
13:46,2083,Nana Foulland missed Jumper.,44,50
13:46,261,Skyler Nash Defensive Rebound.,44,50
13:34,2083,Foul on Jimmy Sotos.,44,50
13:34,261,Cam Ward made Free Throw.,45,50
13:34,261,Cam Ward missed Free Throw.,45,50
13:34,2083,Nate Sestina Defensive Rebound.,45,50
13:27,2083,Jimmy Sotos Turnover.,45,50
13:04,261,Anthony Lamb made Layup.,47,50
12:42,2083,Foul on Nana Foulland.,47,50
12:42,2083,Nana Foulland Turnover.,47,50
12:29,261,Anthony Lamb Turnover.,47,50
12:11,2083,Nate Sestina Turnover.,47,50
11:51,261,Anthony Lamb made Jumper.,49,50
11:28,2083,Nana Foulland missed Layup.,49,50
11:27,2083,Official TV Timeout,49,50
11:27,261,Vermont Deadball Team Rebound.,49,50
11:27,2083,Foul on Nate Sestina.,49,50
11:27,2083,Official TV Timeout,49,50
11:08,261,Ernie Duncan made Three Point Jumper. Assisted by Drew Urquhart.,52,50
10:48,2083,Bucknell  Timeout,52,50
10:34,2083,Stephen Brown missed Three Point Jumper.,52,50
10:34,2083,Zach Thomas Offensive Rebound.,52,50
10:28,2083,Zach Thomas made Two Point Tip Shot.,52,52
10:02,261,Drew Urquhart made Jumper.,54,52
9:45,2083,Zach Thomas made Three Point Jumper. Assisted by Nana Foulland.,54,55
9:17,2083,Foul on Nate Jones.,54,55
9:17,261,Everett Duncan made Free Throw.,55,55
9:17,261,Everett Duncan made Free Throw.,56,55
9:17,261,Everett Duncan made Free Throw.,57,55
8:50,2083,Stephen Brown made Three Point Jumper.,57,58
8:32,2083,Foul on Bruce Moore.,57,58
