Maryland,356,Illinois,120
time,team_id,description,h_score,a_score
19:40,356,Leron Black missed Jumper.,0,0
19:40,120,Kevin Huerter Defensive Rebound.,0,0
19:31,120,Justin Jackson Turnover.,0,0
19:31,356,Mark Alstork Steal.,0,0
19:27,356,Te'Jon Lucas Turnover.,0,0
19:19,120,Michal Cekovsky missed Layup.,0,0
19:19,120,Justin Jackson Offensive Rebound.,0,0
19:11,120,Justin Jackson missed Jumper.,0,0
19:11,356,Michael Finke Defensive Rebound.,0,0
18:48,356,Te'Jon Lucas missed Layup.,0,0
18:48,120,Kevin Huerter Defensive Rebound.,0,0
18:38,120,Justin Jackson made Dunk. Assisted by Kevin Huerter.,2,0
18:22,356,Mark Smith missed Three Point Jumper.,2,0
18:22,120,Justin Jackson Defensive Rebound.,2,0
17:50,120,Justin Jackson made Jumper.,4,0
17:34,356,Mark Alstork Turnover.,4,0
17:33,120,Anthony Cowan Steal.,4,0
17:31,120,Anthony Cowan made Layup.,6,0
16:53,356,Illinois  Turnover.,6,0
16:38,120,Ivan Bender made Layup. Assisted by Kevin Huerter.,8,0
16:23,356,Leron Black Turnover.,8,0
16:21,120,Michal Cekovsky Steal.,8,0
16:07,120,Kevin Huerter Turnover.,8,0
16:05,356,Mark Alstork Steal.,8,0
16:04,356,Mark Alstork Turnover.,8,0
16:02,120,Anthony Cowan Steal.,8,0
15:58,120,Michal Cekovsky made Layup.,10,0
15:57,356,Illinois  Timeout,10,0
15:32,356,Greg Eboigbodin made Layup.,10,2
15:26,120,Justin Jackson missed Three Point Jumper.,10,2
15:26,356,Kipper Nichols Defensive Rebound.,10,2
15:22,120,Foul on Ivan Bender.,10,2
15:05,356,Kipper Nichols missed Layup.,10,2
15:05,356,Kipper Nichols Offensive Rebound.,10,2
14:59,356,Kipper Nichols missed Jumper.,10,2
14:59,120,Bruno Fernando Block.,10,2
14:58,120,Anthony Cowan Defensive Rebound.,10,2
14:55,120,Kevin Huerter made Layup.,12,2
14:36,356,Kipper Nichols made Three Point Jumper. Assisted by Trent Frazier.,12,5
14:15,356,Foul on Trent Frazier.,12,5
14:15,120,Anthony Cowan missed Free Throw.,12,5
14:15,120,Maryland Deadball Team Rebound.,12,5
14:15,120,Anthony Cowan made Free Throw.,13,5
14:01,356,Da'Monte Williams missed Three Point Jumper.,13,5
14:01,120,Justin Jackson Defensive Rebound.,13,5
13:38,120,Anthony Cowan missed Layup.,13,5
13:38,356,Da'Monte Williams Defensive Rebound.,13,5
13:38,120,Foul on Bruno Fernando.,13,5
13:17,356,Da'Monte Williams made Jumper.,13,7
13:04,120,Darryl Morsell Turnover.,13,7
12:47,356,Da'Monte Williams made Jumper.,13,9
12:28,120,Darryl Morsell missed Jumper.,13,9
12:28,120,Darryl Morsell Offensive Rebound.,13,9
12:27,356,Foul on Greg Eboigbodin.,13,9
12:27,120,Darryl Morsell made Free Throw.,14,9
12:27,120,Darryl Morsell missed Free Throw.,14,9
12:27,356,Kipper Nichols Defensive Rebound.,14,9
12:21,356,Trent Frazier Turnover.,14,9
12:14,120,Kevin Huerter Turnover.,14,9
12:13,356,Kipper Nichols Steal.,14,9
11:58,356,Da'Monte Williams missed Jumper.,14,9
11:58,120,Darryl Morsell Defensive Rebound.,14,9
11:53,356,Foul on Aaron Jordan.,14,9
11:53,356,Official TV Timeout,14,9
11:40,120,Foul on Michal Cekovsky.,14,9
11:40,120,Michal Cekovsky Turnover.,14,9
11:29,356,Kipper Nichols missed Jumper.,14,9
11:29,120,Michal Cekovsky Defensive Rebound.,14,9
11:20,120,Darryl Morsell Turnover.,14,9
11:20,356,Da'Monte Williams Steal.,14,9
11:06,356,Trent Frazier missed Three Point Jumper.,14,9
11:06,356,Illinois Deadball Team Rebound.,14,9
11:04,120,Foul on Michal Cekovsky.,14,9
10:55,356,Kipper Nichols Turnover.,14,9
10:40,120,Anthony Cowan Turnover.,14,9
10:39,356,Trent Frazier Steal.,14,9
10:37,356,Trent Frazier made Layup. Assisted by Michael Finke.,14,11
10:27,120,Dion Wiley made Three Point Jumper. Assisted by Anthony Cowan.,17,11
10:13,356,Mark Alstork missed Layup.,17,11
10:13,356,Michael Finke Offensive Rebound.,17,11
10:09,356,Michael Finke made Layup.,17,13
9:56,120,Foul on Justin Jackson.,17,13
9:56,120,Justin Jackson Turnover.,17,13
9:47,356,Michael Finke missed Three Point Jumper.,17,13
9:47,120,Justin Jackson Defensive Rebound.,17,13
9:38,120,Anthony Cowan made Three Point Jumper.,20,13
9:22,356,Mark Alstork made Layup.,20,15
9:07,120,Justin Jackson made Jumper.,22,15
8:55,356,Leron Black made Three Point Jumper. Assisted by Mark Smith.,22,18
8:36,120,Anthony Cowan made Three Point Jumper.,25,18
8:16,356,Michael Finke missed Three Point Jumper.,25,18
8:16,120,Justin Jackson Defensive Rebound.,25,18
8:05,356,Foul on Mark Alstork.,25,18
8:03,120,Ivan Bender Turnover.,25,18
7:44,356,Trent Frazier missed Three Point Jumper.,25,18
7:44,120,Kevin Huerter Defensive Rebound.,25,18
7:28,120,Anthony Cowan made Layup.,27,18
7:16,356,Trent Frazier missed Layup.,27,18
7:16,120,Maryland Deadball Team Rebound.,27,18
7:16,356,Foul on Leron Black.,27,18
7:16,356,Official TV Timeout,27,18
7:01,120,Kevin Huerter made Three Point Jumper. Assisted by Ivan Bender.,30,18
6:46,356,Da'Monte Williams missed Jumper.,30,18
6:46,120,Darryl Morsell Defensive Rebound.,30,18
6:27,120,Ivan Bender made Layup. Assisted by Anthony Cowan.,32,18
6:01,356,Mark Alstork missed Three Point Jumper.,32,18
6:01,120,Ivan Bender Defensive Rebound.,32,18
5:38,120,Ivan Bender Turnover.,32,18
5:36,356,Greg Eboigbodin Steal.,32,18
5:33,356,Aaron Jordan missed Three Point Jumper.,32,18
5:33,356,Kipper Nichols Offensive Rebound.,32,18
5:28,356,Kipper Nichols made Jumper.,32,20
5:02,120,Anthony Cowan made Layup.,34,20
4:45,356,Trent Frazier missed Three Point Jumper.,34,20
4:45,356,Kipper Nichols Offensive Rebound.,34,20
4:39,356,Kipper Nichols missed Jumper.,34,20
4:39,120,Justin Jackson Block.,34,20
4:37,120,Bruno Fernando Defensive Rebound.,34,20
4:21,120,Bruno Fernando made Jumper. Assisted by Kevin Huerter.,36,20
4:13,356,Illinois  Timeout,36,20
3:57,356,Leron Black missed Jumper.,36,20
3:57,120,Bruno Fernando Defensive Rebound.,36,20
3:35,120,Anthony Cowan made Three Point Jumper.,39,20
3:23,356,Kipper Nichols made Jumper.,39,22
3:00,120,Justin Jackson missed Three Point Jumper.,39,22
3:00,356,Leron Black Defensive Rebound.,39,22
2:32,356,Mark Alstork missed Jumper.,39,22
2:32,120,Justin Jackson Block.,39,22
2:29,120,Justin Jackson Defensive Rebound.,39,22
2:26,120,Kevin Huerter made Layup. Assisted by Justin Jackson.,41,22
2:05,356,Mark Smith missed Three Point Jumper.,41,22
2:05,120,Bruno Fernando Defensive Rebound.,41,22
1:41,120,Justin Jackson made Layup.,43,22
1:29,356,Mark Alstork missed Three Point Jumper.,43,22
1:29,356,Da'Monte Williams Offensive Rebound.,43,22
1:25,356,Da'Monte Williams missed Jumper.,43,22
1:25,356,Leron Black Offensive Rebound.,43,22
1:22,356,Leron Black made Layup.,43,24
1:20,120,Maryland  Timeout,43,24
1:06,120,Dion Wiley made Layup.,45,24
0:44,356,Kipper Nichols made Jumper.,45,26
0:20,120,Anthony Cowan missed Layup.,45,26
0:20,356,Illinois Deadball Team Rebound.,45,26
0:20,120,Foul on Bruno Fernando.,45,26
0:04,356,Mark Smith missed Three Point Jumper.,45,26
0:04,120,Darryl Morsell Block.,45,26
0:01,120,Kevin Huerter Defensive Rebound.,45,26
0:00,356,End of 1st half,45,26
19:48,356,Trent Frazier made Layup.,45,28
19:31,120,Kevin Huerter missed Three Point Jumper.,45,28
19:31,120,Dion Wiley Offensive Rebound.,45,28
19:22,120,Justin Jackson made Layup. Assisted by Anthony Cowan.,47,28
19:22,356,Foul on Trent Frazier.,47,28
19:22,120,Justin Jackson made Free Throw.,48,28
19:05,356,Da'Monte Williams made Jumper. Assisted by Trent Frazier.,48,30
18:46,120,Kevin Huerter missed Jumper.,48,30
18:46,356,Kipper Nichols Defensive Rebound.,48,30
18:39,120,Foul on Kevin Huerter.,48,30
18:38,356,Da'Monte Williams Turnover.,48,30
18:30,120,Kevin Huerter made Dunk. Assisted by Michal Cekovsky.,50,30
18:10,356,Kipper Nichols Turnover.,50,30
18:09,120,Dion Wiley Steal.,50,30
18:07,356,Foul on Mark Alstork.,50,30
18:03,120,Justin Jackson Turnover.,50,30
17:40,356,Da'Monte Williams missed Jumper.,50,30
17:40,120,Kevin Huerter Defensive Rebound.,50,30
17:27,120,Kevin Huerter made Layup.,52,30
17:22,356,Mark Alstork made Three Point Jumper. Assisted by Trent Frazier.,52,33
17:05,120,Anthony Cowan Turnover.,52,33
17:04,356,Leron Black Steal.,52,33
17:02,356,Michael Finke made Layup. Assisted by Trent Frazier.,52,35
17:02,120,Foul on Michal Cekovsky.,52,35
17:02,356,Michael Finke missed Free Throw.,52,35
17:02,120,Dion Wiley Defensive Rebound.,52,35
16:50,120,Justin Jackson missed Jumper.,52,35
16:50,356,Leron Black Defensive Rebound.,52,35
16:40,356,Leron Black made Jumper. Assisted by Mark Alstork.,52,37
16:24,356,Foul on Mark Alstork.,52,37
16:20,356,Foul on Trent Frazier.,52,37
16:16,120,Justin Jackson made Three Point Jumper. Assisted by Kevin Huerter.,55,37
15:54,120,Foul on Dion Wiley.,55,37
15:54,356,Official TV Timeout,55,37
15:35,356,Aaron Jordan Turnover.,55,37
15:26,120,Bruno Fernando missed Layup.,55,37
15:26,120,Bruno Fernando Offensive Rebound.,55,37
15:23,120,Bruno Fernando made Jumper.,57,37
15:15,356,Leron Black made Layup.,57,39
15:01,120,Anthony Cowan Turnover.,57,39
14:59,356,Mark Smith Steal.,57,39
14:53,356,Te'Jon Lucas made Layup.,57,41
14:31,356,Foul on Kipper Nichols.,57,41
14:23,356,Foul on Leron Black.,57,41
14:23,120,Kevin Huerter Turnover.,57,41
14:13,356,Kipper Nichols Steal.,57,41
14:11,120,Foul on Bruno Fernando.,57,41
13:58,356,Leron Black made Jumper. Assisted by Te'Jon Lucas.,57,43
13:44,120,Darryl Morsell Turnover.,57,43
13:43,356,Aaron Jordan Steal.,57,43
13:39,356,Kipper Nichols missed Layup.,57,43
13:39,120,Kevin Huerter Defensive Rebound.,57,43
13:39,356,Foul on Te'Jon Lucas.,57,43
13:39,120,Kevin Huerter made Free Throw.,58,43
13:39,120,Kevin Huerter made Free Throw.,59,43
13:20,356,Michael Finke missed Three Point Jumper.,59,43
13:20,120,Ivan Bender Defensive Rebound.,59,43
13:10,120,Justin Jackson Turnover.,59,43
13:09,356,Aaron Jordan Steal.,59,43
13:09,120,Foul on Justin Jackson.,59,43
13:00,120,Foul on Ivan Bender.,59,43
12:52,356,Aaron Jordan made Three Point Jumper.,59,46
12:34,120,Darryl Morsell missed Jumper.,59,46
12:34,356,Leron Black Defensive Rebound.,59,46
12:25,356,Michael Finke made Dunk.,59,48
12:17,120,Maryland  Timeout,59,48
12:07,120,Darryl Morsell made Layup. Assisted by Anthony Cowan.,61,48
11:40,356,Leron Black missed Jumper.,61,48
11:40,120,Darryl Morsell Defensive Rebound.,61,48
11:30,120,Dion Wiley missed Three Point Jumper.,61,48
11:30,356,Da'Monte Williams Defensive Rebound.,61,48
11:25,120,Foul on Anthony Cowan.,61,48
11:25,356,Official TV Timeout,61,48
11:25,356,Trent Frazier missed Free Throw.,61,48
11:25,356,Illinois Deadball Team Rebound.,61,48
11:25,356,Trent Frazier made Free Throw.,61,49
10:59,356,Foul on Michael Finke.,61,49
10:59,120,Michal Cekovsky missed Free Throw.,61,49
10:59,120,Darryl Morsell Offensive Rebound.,61,49
10:57,120,Darryl Morsell made Layup.,63,49
