Kansas State,238,Vanderbilt,2306
time,team_id,description,h_score,a_score
19:43,2306,Kamau Stokes made Three Point Jumper. Assisted by Dean Wade.,3,0
19:18,238,Jeff Roberson made Three Point Jumper. Assisted by Saben Lee.,3,3
18:54,2306,Barry Brown missed Layup.,3,3
18:54,238,Djery Baptiste Block.,3,3
18:52,238,Jeff Roberson Defensive Rebound.,3,3
18:49,2306,Foul on Makol Mawien.,3,3
18:49,238,Saben Lee made Free Throw.,3,4
18:49,238,Saben Lee made Free Throw.,3,5
18:33,2306,Xavier Sneed missed Three Point Jumper.,3,5
18:33,238,Jeff Roberson Defensive Rebound.,3,5
18:14,238,Djery Baptiste missed Jumper.,3,5
18:14,2306,Makol Mawien Defensive Rebound.,3,5
18:02,2306,Barry Brown made Layup.,5,5
17:29,238,Saben Lee made Three Point Jumper. Assisted by Riley LaChance.,5,8
17:08,2306,Makol Mawien made Layup.,7,8
16:53,2306,Foul on Dean Wade.,7,8
16:33,238,Joe Toye missed Three Point Jumper.,7,8
16:33,238,Riley LaChance Offensive Rebound.,7,8
16:06,238,Saben Lee Turnover.,7,8
16:05,2306,Barry Brown Steal.,7,8
16:02,2306,Kamau Stokes made Jumper. Assisted by Xavier Sneed.,9,8
15:39,238,Jeff Roberson made Three Point Jumper. Assisted by Saben Lee.,9,11
15:25,2306,Xavier Sneed made Jumper.,11,11
15:08,238,Riley LaChance missed Jumper.,11,11
15:08,2306,Xavier Sneed Defensive Rebound.,11,11
15:04,238,Official TV Timeout,11,11
14:51,2306,Kamau Stokes made Three Point Jumper. Assisted by Dean Wade.,14,11
14:20,238,Matthew Fisher-Davis missed Three Point Jumper.,14,11
14:20,238,Jeff Roberson Offensive Rebound.,14,11
14:13,238,Riley LaChance missed Three Point Jumper.,14,11
14:13,2306,Barry Brown Defensive Rebound.,14,11
14:07,238,Foul on Riley LaChance.,14,11
14:04,2306,Mawdo Sallah made Layup. Assisted by Kamau Stokes.,16,11
13:45,238,Payton Willis made Three Point Jumper. Assisted by Riley LaChance.,16,14
13:35,2306,Kamau Stokes missed Three Point Jumper.,16,14
13:35,238,Jeff Roberson Defensive Rebound.,16,14
13:10,238,Matthew Fisher-Davis missed Three Point Jumper.,16,14
13:10,2306,Dean Wade Defensive Rebound.,16,14
13:00,2306,Kamau Stokes missed Jumper.,16,14
13:00,238,Clevon Brown Block.,16,14
13:00,2306,Kansas State Offensive Rebound.,16,14
12:47,2306,Cartier Diarra made Jumper.,18,14
12:26,238,Payton Willis missed Layup.,18,14
12:26,2306,Mawdo Sallah Block.,18,14
12:24,2306,Cartier Diarra Defensive Rebound.,18,14
12:20,238,Foul on Jeff Roberson.,18,14
12:16,2306,Barry Brown missed Jumper.,18,14
12:16,238,Saben Lee Defensive Rebound.,18,14
11:58,2306,Foul on Levi Stockard III.,18,14
11:58,238,Saben Lee made Free Throw.,18,15
11:58,238,Saben Lee made Free Throw.,18,16
11:43,2306,Amaad Wainright made Layup. Assisted by Cartier Diarra.,20,16
11:21,238,Djery Baptiste Turnover.,20,16
11:10,2306,Cartier Diarra made Layup.,22,16
10:41,238,Matthew Fisher-Davis missed Layup.,22,16
10:41,2306,Amaad Wainright Defensive Rebound.,22,16
10:36,2306,Amaad Wainright missed Jumper.,22,16
10:36,238,Djery Baptiste Defensive Rebound.,22,16
10:28,238,Matthew Fisher-Davis Turnover.,22,16
10:00,2306,Barry Brown made Jumper.,24,16
9:37,2306,Foul on Mawdo Sallah.,24,16
9:37,238,Saben Lee made Free Throw.,24,17
9:37,238,Saben Lee made Free Throw.,24,18
9:09,2306,Amaad Wainright missed Three Point Jumper.,24,18
9:09,238,Djery Baptiste Defensive Rebound.,24,18
8:59,2306,Foul on Barry Brown.,24,18
8:59,238,Saben Lee missed Free Throw.,24,18
8:59,238,Vanderbilt Deadball Team Rebound.,24,18
8:59,238,Saben Lee missed Free Throw.,24,18
8:59,2306,Dean Wade Defensive Rebound.,24,18
8:42,2306,Kamau Stokes missed Three Point Jumper.,24,18
8:42,2306,Dean Wade Offensive Rebound.,24,18
8:37,2306,Dean Wade made Layup.,26,18
8:37,238,Foul on Djery Baptiste.,26,18
8:37,238,Vanderbilt  Timeout,26,18
