Liberty,2247,Georgia State,2335
time,team_id,description,h_score,a_score
19:42,2247,D'Marcus Simonds Turnover.,0,0
19:29,2335,Georgie Pacheco-Ortiz Turnover.,0,0
19:27,2247,D'Marcus Simonds made Layup. Assisted by Jeff Thomas.,0,2
18:59,2335,Lovell Cabbil missed Three Point Jumper.,0,2
18:59,2247,Jeff Thomas Defensive Rebound.,0,2
18:28,2335,Foul on Lovell Cabbil.,0,2
18:14,2247,D'Marcus Simonds made Free Throw.,0,3
18:14,2247,D'Marcus Simonds missed Free Throw.,0,3
18:14,2335,Scottie James Defensive Rebound.,0,3
18:03,2335,Elijah Cuffee missed Three Point Jumper.,0,3
18:03,2247,Devin Mitchell Defensive Rebound.,0,3
17:39,2247,Devin Mitchell made Three Point Jumper. Assisted by D'Marcus Simonds.,0,6
17:20,2335,Scottie James missed Layup.,0,6
17:20,2247,D'Marcus Simonds Block.,0,6
17:18,2335,Liberty Offensive Rebound.,0,6
17:14,2335,Scottie James made Jumper. Assisted by Elijah Cuffee.,2,6
16:51,2335,Foul on Elijah Cuffee.,2,6
16:35,2247,D'Marcus Simonds missed Three Point Jumper.,2,6
16:35,2335,Elijah Cuffee Defensive Rebound.,2,6
16:19,2335,Elijah Cuffee made Layup. Assisted by Scottie James.,4,6
15:58,2247,D'Marcus Simonds Turnover.,4,6
15:58,2335,Liberty  Timeout,4,6
15:34,2335,Elijah Cuffee Turnover.,4,6
15:33,2247,Malik Benlevi Steal.,4,6
15:11,2247,D'Marcus Simonds made Layup.,4,8
14:57,2335,Scottie James made Layup. Assisted by Elijah Cuffee.,6,8
14:35,2247,Devin Mitchell missed Three Point Jumper.,6,8
14:35,2335,Ryan Kemrite Defensive Rebound.,6,8
14:14,2335,Lovell Cabbil made Three Point Jumper. Assisted by Ryan Kemrite.,9,8
13:56,2247,Jeff Thomas made Three Point Jumper. Assisted by D'Marcus Simonds.,9,11
13:28,2335,Elijah Cuffee missed Three Point Jumper.,9,11
13:28,2247,Devin Mitchell Defensive Rebound.,9,11
13:18,2247,Malik Benlevi made Three Point Jumper. Assisted by D'Marcus Simonds.,9,14
12:52,2335,Georgie Pacheco-Ortiz Turnover.,9,14
12:48,2247,D'Marcus Simonds made Layup. Assisted by Devin Mitchell.,9,16
12:42,2335,Liberty  Timeout,9,16
12:38,2335,Keegan McDowell Turnover.,9,16
12:36,2247,Isaiah Williams Steal.,9,16
12:17,2335,Foul on Caleb Homesley.,9,16
11:57,2247,Isaiah Williams Turnover.,9,16
11:57,2335,Liberty  Timeout,9,16
11:33,2335,Myo Baxter-Bell missed Layup.,9,16
11:33,2247,Malik Benlevi Block.,9,16
11:31,2247,D'Marcus Simonds Defensive Rebound.,9,16
11:11,2247,D'Marcus Simonds missed Dunk.,9,16
11:11,2335,Caleb Homesley Block.,9,16
11:09,2335,Caleb Homesley Defensive Rebound.,9,16
10:59,2335,Caleb Homesley missed Three Point Jumper.,9,16
10:59,2247,Isaiah Williams Defensive Rebound.,9,16
10:40,2335,Foul on Isaiah Williams.,9,16
10:40,2247,Jordan Tyson missed Free Throw.,9,16
10:40,2247,Georgia State Deadball Team Rebound.,9,16
