Quinnipiac,171,Columbia,2514
time,team_id,description,h_score,a_score
19:40,2514,Chaise Daniels made Layup.,2,0
19:32,171,Nate Hickman missed Three Point Jumper.,2,0
19:32,2514,Chaise Daniels Defensive Rebound.,2,0
19:21,2514,Cameron Young Turnover.,2,0
19:21,171,Patrick Tape Steal.,2,0
19:21,2514,Foul on Cameron Young.,2,0
19:16,171,Patrick Tape made Layup. Assisted by Lukas Meisner.,2,2
18:53,2514,Chaise Daniels Turnover.,2,2
18:52,171,Quinton Adlesh Steal.,2,2
18:49,171,Nate Hickman missed Layup.,2,2
18:49,2514,Cameron Young Defensive Rebound.,2,2
18:36,2514,Alain Chigha Turnover.,2,2
18:23,171,Mike Smith missed Three Point Jumper.,2,2
18:23,2514,Chaise Daniels Defensive Rebound.,2,2
18:12,2514,Alain Chigha missed Three Point Jumper.,2,2
18:12,2514,Quinnipiac Offensive Rebound.,2,2
18:11,171,Foul on Patrick Tape.,2,2
18:07,2514,Chaise Daniels missed Layup.,2,2
18:07,171,Lukas Meisner Defensive Rebound.,2,2
17:48,171,Nate Hickman made Three Point Jumper. Assisted by Quinton Adlesh.,2,5
17:27,2514,Isaiah Washington missed Layup.,2,5
17:27,171,Quinton Adlesh Defensive Rebound.,2,5
17:26,2514,Foul on Chaise Daniels.,2,5
17:26,171,Mike Smith made Layup.,2,7
16:59,2514,Andrew Robinson made Three Point Jumper. Assisted by Rich Kelly.,5,7
16:46,171,Patrick Tape missed Layup.,5,7
16:46,2514,Chaise Daniels Defensive Rebound.,5,7
16:35,2514,Aaron Robinson missed Three Point Jumper.,5,7
16:35,171,Lukas Meisner Defensive Rebound.,5,7
16:25,171,Lukas Meisner made Three Point Jumper. Assisted by Mike Smith.,5,10
16:10,2514,Chaise Daniels Turnover.,5,10
16:10,171,Quinton Adlesh Steal.,5,10
16:06,171,Quinton Adlesh made Layup.,5,12
16:04,171,Official TV Timeout,5,12
15:45,2514,Andrew Robinson Turnover.,5,12
15:44,171,Lukas Meisner Steal.,5,12
15:27,171,Nate Hickman made Layup.,5,14
15:10,2514,Andrew Robinson made Three Point Jumper. Assisted by Isaiah Washington.,8,14
14:49,2514,Foul on Rich Kelly.,8,14
14:47,171,Mike Smith missed Three Point Jumper.,8,14
