South Dakota State,2724,Wichita State,2571
time,team_id,description,h_score,a_score
19:43,2724,Rashard Kelly missed Layup.,0,0
19:43,2571,Tevin King Defensive Rebound.,0,0
19:27,2571,Foul on Mike Daum.,0,0
19:27,2571,Mike Daum Turnover.,0,0
19:14,2724,Shaquille Morris made Layup. Assisted by Zach Brown.,0,2
18:51,2571,Reed Tellinghuisen made Three Point Jumper. Assisted by Tevin King.,3,2
18:16,2724,Landry Shamet missed Three Point Jumper.,3,2
18:16,2571,Reed Tellinghuisen Block.,3,2
18:14,2571,South Dakota State Defensive Rebound.,3,2
17:48,2571,Mike Daum missed Three Point Jumper.,3,2
17:48,2571,Chris Howell Offensive Rebound.,3,2
17:40,2571,Mike Daum made Three Point Jumper. Assisted by Skyler Flatten.,6,2
17:30,2724,Conner Frankamp made Three Point Jumper. Assisted by Rashard Kelly.,6,5
17:20,2724,Foul on Rashard Kelly.,6,5
17:11,2724,Foul on Rauno Nurger.,6,5
17:06,2571,Chris Howell Turnover.,6,5
16:38,2724,Zach Brown made Layup. Assisted by Darral Willis Jr..,6,7
16:18,2571,Reed Tellinghuisen made Three Point Jumper. Assisted by Tevin King.,9,7
16:01,2724,Landry Shamet made Three Point Jumper. Assisted by Zach Brown.,9,10
15:43,2571,Chris Howell missed Layup.,9,10
15:43,2724,Darral Willis Jr. Block.,9,10
15:43,2571,South Dakota State Offensive Rebound.,9,10
15:43,2724,Official TV Timeout,9,10
15:31,2571,Tevin King missed Jumper.,9,10
15:31,2724,Darral Willis Jr. Defensive Rebound.,9,10
15:24,2571,Foul on Ian Theisen.,9,10
15:20,2724,Conner Frankamp made Three Point Jumper. Assisted by Landry Shamet.,9,13
15:05,2571,Tevin King made Layup.,11,13
14:53,2724,Zach Brown missed Three Point Jumper.,11,13
14:53,2571,Tevin King Defensive Rebound.,11,13
14:44,2571,Ian Theisen made Three Point Jumper. Assisted by Tevin King.,14,13
14:24,2724,Darral Willis Jr. made Layup.,14,15
14:02,2571,Ian Theisen made Jumper.,16,15
13:43,2724,Conner Frankamp made Layup.,16,17
13:21,2571,Skyler Flatten missed Three Point Jumper.,16,17
13:21,2724,Darral Willis Jr. Defensive Rebound.,16,17
13:08,2724,Darral Willis Jr. Turnover.,16,17
13:01,2571,Ian Theisen made Three Point Jumper. Assisted by Brandon Key.,19,17
12:50,2724,Shaquille Morris made Jumper. Assisted by Landry Shamet.,19,19
12:50,2571,Foul on Ian Theisen.,19,19
12:49,2724,Shaquille Morris made Free Throw.,19,20
