Central Connecticut,305,DePaul,2115
time,team_id,description,h_score,a_score
19:43,305,Max Strus missed Three Point Jumper.,0,0
19:43,2115,Eric Bowles Defensive Rebound.,0,0
19:15,2115,Eric Bowles Turnover.,0,0
18:55,305,Eli Cain missed Jumper.,0,0
18:55,2115,Tyler Kohl Defensive Rebound.,0,0
18:39,2115,Tyler Kohl made Jumper.,2,0
18:23,305,Eli Cain Turnover.,2,0
18:13,2115,Austin Nehls Turnover.,2,0
18:02,2115,Foul on Deion Bute.,2,0
18:02,305,Marin Maric missed Free Throw.,2,0
18:02,305,DePaul Deadball Team Rebound.,2,0
18:02,305,Marin Maric made Free Throw.,2,1
17:41,2115,Eric Bowles Turnover.,2,1
17:39,305,Marin Maric Steal.,2,1
17:36,305,Max Strus made Layup. Assisted by Eli Cain.,2,3
17:12,2115,Austin Nehls missed Three Point Jumper.,2,3
17:12,305,Marin Maric Defensive Rebound.,2,3
17:03,305,Tre'Darius McCallum missed Jumper.,2,3
17:03,2115,Tyler Kohl Defensive Rebound.,2,3
16:55,2115,Eric Bowles made Jumper. Assisted by Tyler Kohl.,4,3
16:41,305,Eli Cain made Layup.,4,5
16:23,2115,Tyler Kohl missed Three Point Jumper.,4,5
16:23,305,Max Strus Defensive Rebound.,4,5
16:13,2115,Foul on Deion Bute.,4,5
16:13,305,Tre'Darius McCallum made Free Throw.,4,6
16:13,305,Tre'Darius McCallum made Free Throw.,4,7
16:13,305,Tre'Darius McCallum made Free Throw.,4,8
15:59,2115,Austin Nehls missed Three Point Jumper.,4,8
15:59,305,Tre'Darius McCallum Defensive Rebound.,4,8
15:48,305,Tre'Darius McCallum missed Jumper.,4,8
15:48,2115,Eric Bowles Defensive Rebound.,4,8
15:41,2115,Tyler Kohl missed Three Point Jumper.,4,8
15:41,305,Marin Maric Defensive Rebound.,4,8
15:34,305,Tre'Darius McCallum made Layup. Assisted by Justin Roberts.,4,10
15:09,2115,Austin Nehls missed Three Point Jumper.,4,10
15:09,2115,Mustafa Jones Offensive Rebound.,4,10
14:48,2115,Mustafa Jones missed Jumper.,4,10
14:48,305,Eli Cain Defensive Rebound.,4,10
14:34,305,Eli Cain made Jumper.,4,12
14:09,305,Foul on Marin Maric.,4,12
14:09,305,Official TV Timeout,4,12
13:49,2115,Joe Hugley made Three Point Jumper. Assisted by Mustafa Jones.,7,12
13:25,305,Brandon Cyrus made Jumper. Assisted by Justin Roberts.,7,14
13:03,2115,Tyler Kohl Turnover.,7,14
13:02,305,Tre'Darius McCallum Steal.,7,14
12:59,305,Tre'Darius McCallum made Layup.,7,16
12:45,2115,Joe Hugley made Three Point Jumper. Assisted by Austin Nehls.,10,16
12:24,305,Tre'Darius McCallum made Jumper. Assisted by Max Strus.,10,18
12:00,2115,Austin Nehls Turnover.,10,18
11:58,305,Justin Roberts Steal.,10,18
11:55,2115,Foul on Tyler Kohl.,10,18
11:55,305,Official TV Timeout,10,18
11:55,305,Jaylen Butz missed Free Throw.,10,18
11:55,305,DePaul Deadball Team Rebound.,10,18
11:55,305,Jaylen Butz missed Free Throw.,10,18
11:55,2115,Joe Hugley Defensive Rebound.,10,18
11:40,2115,Joe Hugley missed Three Point Jumper.,10,18
11:40,305,Eli Cain Defensive Rebound.,10,18
11:32,305,Eli Cain made Three Point Jumper. Assisted by Justin Roberts.,10,21
11:10,2115,Mustafa Jones missed Dunk.,10,21
11:10,305,Jaylen Butz Defensive Rebound.,10,21
10:58,305,Justin Roberts missed Jumper.,10,21
10:58,305,Jaylen Butz Offensive Rebound.,10,21
10:54,305,Jaylen Butz made Layup.,10,23
10:27,2115,Joe Hugley made Jumper. Assisted by Mustafa Jones.,12,23
10:05,305,Eli Cain missed Three Point Jumper.,12,23
10:05,305,Brandon Cyrus Offensive Rebound.,12,23
10:01,305,Brandon Cyrus missed Jumper.,12,23
10:01,2115,Mustafa Jones Defensive Rebound.,12,23
9:39,2115,Shakaris Laney missed Jumper.,12,23
9:39,305,Paul Reed Block.,12,23
9:39,305,Brandon Cyrus Defensive Rebound.,12,23
9:33,305,Jaylen Butz missed Layup.,12,23
9:33,305,Jaylen Butz Offensive Rebound.,12,23
9:31,305,Jaylen Butz missed Dunk.,12,23
9:31,2115,Central Connecticut Defensive Rebound.,12,23
9:31,305,Foul on Paul Reed.,12,23
9:13,2115,Mustafa Jones missed Three Point Jumper.,12,23
9:13,305,Marin Maric Defensive Rebound.,12,23
9:01,305,Eli Cain missed Jumper.,12,23
9:01,2115,Tyler Kohl Defensive Rebound.,12,23
8:49,2115,Tyler Kohl missed Layup.,12,23
8:49,305,Tre'Darius McCallum Defensive Rebound.,12,23
8:41,305,Tre'Darius McCallum missed Jumper.,12,23
8:41,2115,Joe Hugley Defensive Rebound.,12,23
8:31,2115,Chris Williams missed Three Point Jumper.,12,23
8:31,305,Eli Cain Defensive Rebound.,12,23
8:00,305,Brandon Cyrus Turnover.,12,23
7:43,2115,Tyler Kohl Turnover.,12,23
7:43,305,Official TV Timeout,12,23
7:28,305,Marin Maric made Layup. Assisted by Brandon Cyrus.,12,25
7:09,305,Foul on Brandon Cyrus.,12,25
6:56,2115,Deion Bute made Layup. Assisted by Eric Bowles.,14,25
6:56,305,Foul on Tre'Darius McCallum.,14,25
