Coastal Carolina,2261,Hampton,324
time,team_id,description,h_score,a_score
19:42,2261,Trevond Barnes Turnover.,0,0
19:29,2261,Foul on Jermaine Marrow.,0,0
19:21,324,Matt Lindsey made Three Point Jumper. Assisted by Jaylen Shaw.,3,0
19:05,2261,Jermaine Marrow missed Layup.,3,0
19:05,324,Josh Coleman Block.,3,0
19:01,324,Josh Coleman Defensive Rebound.,3,0
18:40,324,Josh Coleman missed Jumper.,3,0
18:40,2261,Kalin Fisher Defensive Rebound.,3,0
18:23,2261,Jermaine Marrow made Layup. Assisted by Akim Mitchell.,3,2
18:05,324,Ajay Sanders made Layup.,5,2
17:45,2261,Jermaine Marrow missed Jumper.,5,2
17:45,324,Jaylen Shaw Defensive Rebound.,5,2
17:25,324,Jaylen Shaw missed Jumper.,5,2
17:25,2261,Akim Mitchell Defensive Rebound.,5,2
17:21,324,Foul on Zac Cuthbertson.,5,2
17:19,2261,Trevond Barnes missed Three Point Jumper.,5,2
17:19,324,Zac Cuthbertson Defensive Rebound.,5,2
17:01,324,Matt Lindsey missed Three Point Jumper.,5,2
17:01,324,Josh Coleman Offensive Rebound.,5,2
16:58,2261,Foul on Trevond Barnes.,5,2
16:58,324,Josh Coleman made Free Throw.,6,2
16:58,324,Josh Coleman missed Free Throw.,6,2
16:58,2261,Kalin Fisher Defensive Rebound.,6,2
16:42,2261,Charles Wilson-Fisher missed Jumper.,6,2
16:42,324,Ajay Sanders Defensive Rebound.,6,2
16:24,324,Jaylen Shaw Turnover.,6,2
16:23,2261,Jermaine Marrow Steal.,6,2
16:22,2261,Charles Wilson-Fisher Turnover.,6,2
16:18,324,Jaylen Shaw Steal.,6,2
16:14,324,Ajay Sanders missed Three Point Jumper.,6,2
16:14,2261,Jermaine Marrow Defensive Rebound.,6,2
15:52,2261,Kalin Fisher made Three Point Jumper. Assisted by Trevond Barnes.,6,5
15:27,324,Josh Coleman missed Layup.,6,5
15:27,2261,Charles Wilson-Fisher Defensive Rebound.,6,5
15:21,324,Foul on Josh Coleman.,6,5
15:21,2261,Official TV Timeout,6,5
15:21,2261,Kalin Fisher made Free Throw.,6,6
15:21,2261,Kalin Fisher made Free Throw.,6,7
15:14,324,Artur Labinowicz made Layup. Assisted by Trevion Brown.,8,7
14:37,2261,Kalin Fisher made Jumper.,8,9
14:14,324,Trevion Brown Turnover.,8,9
14:14,2261,Charles Wilson-Fisher Steal.,8,9
14:13,324,Foul on Trevion Brown.,8,9
13:58,2261,Jermaine Marrow made Three Point Jumper. Assisted by Kalin Fisher.,8,12
13:42,2261,Foul on Charles Wilson-Fisher.,8,12
13:42,324,Zac Cuthbertson made Free Throw.,9,12
13:42,324,Zac Cuthbertson made Free Throw.,10,12
13:31,2261,Trey Carver made Jumper. Assisted by Jermaine Marrow.,10,14
13:10,324,Amidou Bamba made Layup. Assisted by Jaylen Shaw.,12,14
13:10,2261,Foul on Trey Carver.,12,14
13:10,324,Amidou Bamba missed Free Throw.,12,14
13:10,2261,Kalin Fisher Defensive Rebound.,12,14
12:51,324,Foul on Ajay Sanders.,12,14
12:43,2261,Jermaine Marrow missed Three Point Jumper.,12,14
12:43,324,Jaylen Shaw Defensive Rebound.,12,14
12:30,2261,Foul on Trey Carver.,12,14
12:17,324,Ajay Sanders missed Three Point Jumper.,12,14
12:17,2261,Jermaine Marrow Defensive Rebound.,12,14
12:11,2261,Kalin Fisher made Jumper. Assisted by Jermaine Marrow.,12,16
11:55,324,Demario Beck made Three Point Jumper. Assisted by Jaylen Shaw.,15,16
11:31,2261,Charles Wilson-Fisher missed Jumper.,15,16
11:31,324,Amidou Bamba Block.,15,16
11:27,324,Artur Labinowicz Defensive Rebound.,15,16
11:19,324,Artur Labinowicz Turnover.,15,16
11:19,2261,Official TV Timeout,15,16
10:55,2261,Kalin Fisher missed Three Point Jumper.,15,16
10:55,2261,Akim Mitchell Offensive Rebound.,15,16
10:53,324,Foul on Jaylen Shaw.,15,16
10:45,2261,Trevond Barnes missed Jumper.,15,16
10:45,324,Matt Lindsey Defensive Rebound.,15,16
10:37,324,Jaylen Shaw Turnover.,15,16
10:30,2261,Greg Heckstall missed Jumper.,15,16
10:30,324,Amidou Bamba Defensive Rebound.,15,16
10:18,324,Foul on Artur Labinowicz.,15,16
10:18,324,Artur Labinowicz Turnover.,15,16
10:01,2261,Akim Mitchell missed Jumper.,15,16
10:01,2261,Trevond Barnes Offensive Rebound.,15,16
9:57,2261,Trevond Barnes made Layup. Assisted by Jermaine Marrow.,15,18
9:27,324,Amidou Bamba missed Jumper.,15,18
9:27,324,Tyrell Gumbs-Frater Offensive Rebound.,15,18
9:25,324,Tyrell Gumbs-Frater Turnover.,15,18
9:13,2261,Trevond Barnes missed Layup.,15,18
9:13,324,Amidou Bamba Defensive Rebound.,15,18
9:08,2261,Foul on Akim Mitchell.,15,18
9:06,324,Zac Cuthbertson missed Free Throw.,15,18
9:06,324,Coastal Carolina Deadball Team Rebound.,15,18
9:06,324,Zac Cuthbertson made Free Throw.,16,18
8:56,2261,Jermaine Marrow missed Layup.,16,18
8:56,324,Zac Cuthbertson Defensive Rebound.,16,18
8:49,324,Matt Lindsey made Three Point Jumper. Assisted by Tyrell Gumbs-Frater.,19,18
8:27,2261,Charles Wilson-Fisher missed Jumper.,19,18
8:27,2261,Akim Mitchell Offensive Rebound.,19,18
8:27,2261,Akim Mitchell made Layup.,19,20
8:27,324,Foul on Zac Cuthbertson.,19,20
8:27,2261,Akim Mitchell missed Free Throw.,19,20
8:27,2261,Greg Heckstall Offensive Rebound.,19,20
8:21,2261,Greg Heckstall Turnover.,19,20
7:55,324,Demario Beck made Jumper. Assisted by Matt Lindsey.,21,20
7:29,2261,Akim Mitchell Turnover.,21,20
7:29,2261,Akim Mitchell missed Three Point Jumper.,21,20
7:29,2261,Charles Wilson-Fisher Offensive Rebound.,21,20
7:29,324,Foul on Josh Coleman.,21,20
7:29,2261,Official TV Timeout,21,20
7:29,2261,Charles Wilson-Fisher made Free Throw.,21,21
7:29,2261,Charles Wilson-Fisher made Free Throw.,21,22
6:57,324,Matt Lindsey missed Jumper.,21,22
6:57,2261,Akim Mitchell Defensive Rebound.,21,22
6:50,2261,A.J. Astroth missed Layup.,21,22
6:50,324,Matt Lindsey Defensive Rebound.,21,22
6:49,2261,Foul on Charles Wilson-Fisher.,21,22
6:49,324,Matt Lindsey made Free Throw.,22,22
6:49,324,Matt Lindsey missed Free Throw.,22,22
6:49,324,Demario Beck Offensive Rebound.,22,22
6:42,324,Demario Beck made Layup. Assisted by Jaylen Shaw.,24,22
6:10,2261,Greg Heckstall missed Three Point Jumper.,24,22
6:10,2261,Greg Heckstall Offensive Rebound.,24,22
6:07,2261,Trevond Barnes made Layup. Assisted by Greg Heckstall.,24,24
6:07,324,Foul on Matt Lindsey.,24,24
6:07,2261,Trevond Barnes missed Free Throw.,24,24
6:07,324,Amidou Bamba Defensive Rebound.,24,24
5:45,324,Amidou Bamba made Dunk. Assisted by Demario Beck.,26,24
5:26,2261,Kalin Fisher missed Layup.,26,24
5:26,324,Demario Beck Block.,26,24
5:23,324,Jaylen Shaw Defensive Rebound.,26,24
5:20,324,Matt Lindsey made Three Point Jumper.,29,24
4:57,2261,Kalin Fisher missed Jumper.,29,24
4:57,2261,Trevond Barnes Offensive Rebound.,29,24
4:57,2261,Trevond Barnes made Layup.,29,26
4:57,324,Foul on Amidou Bamba.,29,26
4:57,2261,Trevond Barnes made Free Throw.,29,27
4:41,2261,Foul on Kalin Fisher.,29,27
4:41,324,Jaylen Shaw made Free Throw.,30,27
4:41,324,Jaylen Shaw missed Free Throw.,30,27
4:41,324,Amidou Bamba Offensive Rebound.,30,27
4:41,2261,Foul on A.J. Astroth.,30,27
4:41,324,Amidou Bamba made Free Throw.,31,27
4:41,324,Amidou Bamba made Free Throw.,32,27
4:30,2261,Kalin Fisher missed Jumper.,32,27
4:30,2261,Trevond Barnes Offensive Rebound.,32,27
4:28,2261,Trevond Barnes made Layup.,32,29
4:09,324,Amidou Bamba missed Jumper.,32,29
4:09,2261,Trevond Barnes Block.,32,29
4:08,2261,Greg Heckstall Defensive Rebound.,32,29
4:03,2261,Greg Heckstall missed Jumper.,32,29
4:03,324,Demario Beck Defensive Rebound.,32,29
3:55,324,Matt Lindsey missed Three Point Jumper.,32,29
3:55,324,Amidou Bamba Offensive Rebound.,32,29
3:49,324,Amidou Bamba missed Jumper.,32,29
3:49,2261,A.J. Astroth Defensive Rebound.,32,29
3:44,2261,Kalin Fisher made Layup. Assisted by A.J. Astroth.,32,31
3:22,324,Amidou Bamba made Layup.,34,31
2:58,2261,Trevond Barnes Turnover.,34,31
2:55,2261,Official TV Timeout,34,31
2:49,324,Artur Labinowicz Turnover.,34,31
2:48,2261,Trevond Barnes Steal.,34,31
2:41,2261,Jermaine Marrow missed Three Point Jumper.,34,31
2:41,2261,Greg Heckstall Offensive Rebound.,34,31
2:40,324,Foul on Jaylen Shaw.,34,31
2:31,2261,Greg Heckstall missed Free Throw.,34,31
2:31,2261,Hampton Deadball Team Rebound.,34,31
2:31,2261,Greg Heckstall made Free Throw.,34,32
2:07,324,Matt Lindsey missed Layup.,34,32
2:07,2261,Trevond Barnes Defensive Rebound.,34,32
2:01,2261,Greg Heckstall made Layup.,34,34
1:44,324,Jaylen Shaw Turnover.,34,34
1:43,2261,Kalin Fisher Steal.,34,34
1:41,2261,Kalin Fisher made Layup. Assisted by Jermaine Marrow.,34,36
1:11,324,Artur Labinowicz made Layup.,36,36
0:58,2261,Jermaine Marrow made Jumper.,36,38
0:30,324,Artur Labinowicz missed Jumper.,36,38
0:30,2261,Greg Heckstall Defensive Rebound.,36,38
0:04,2261,Jermaine Marrow missed Three Point Jumper.,36,38
0:04,2261,Trevond Barnes Offensive Rebound.,36,38
0:00,2261,Greg Heckstall missed Jumper.,36,38
0:00,2261,Akim Mitchell Offensive Rebound.,36,38
0:00,2261,End of 1st half,36,38
19:38,2261,Foul on Charles Wilson-Fisher.,36,38
19:37,324,Jaylen Shaw made Free Throw.,37,38
19:37,324,Jaylen Shaw made Free Throw.,38,38
19:24,324,Foul on Jaylen Shaw.,38,38
19:24,2261,Kalin Fisher made Free Throw.,38,39
19:24,2261,Kalin Fisher made Free Throw.,38,40
19:24,2261,Kalin Fisher made Free Throw.,38,41
19:06,324,Zac Cuthbertson made Layup.,40,41
18:47,2261,Jermaine Marrow Turnover.,40,41
18:46,324,Matt Lindsey Steal.,40,41
18:38,324,Jaylen Shaw made Layup.,42,41
18:20,2261,Trevond Barnes missed Three Point Jumper.,42,41
18:20,324,Jaylen Shaw Defensive Rebound.,42,41
17:49,324,Ajay Sanders missed Jumper.,42,41
17:49,2261,A.J. Astroth Defensive Rebound.,42,41
17:32,2261,Jermaine Marrow missed Jumper.,42,41
17:32,2261,Akim Mitchell Offensive Rebound.,42,41
17:16,2261,Akim Mitchell made Layup. Assisted by Jermaine Marrow.,42,43
16:53,2261,Foul on Kalin Fisher.,42,43
16:53,324,Jaylen Shaw made Layup.,44,43
16:53,324,Jaylen Shaw made Free Throw.,45,43
16:33,2261,Kalin Fisher made Jumper. Assisted by Jermaine Marrow.,45,45
16:17,324,Jaylen Shaw missed Three Point Jumper.,45,45
16:17,2261,Jermaine Marrow Defensive Rebound.,45,45
16:08,2261,Jermaine Marrow missed Jumper.,45,45
16:08,324,Josh Coleman Defensive Rebound.,45,45
16:02,324,Josh Coleman Turnover.,45,45
16:02,2261,A.J. Astroth missed Jumper.,45,45
16:02,2261,Trevond Barnes Offensive Rebound.,45,45
15:58,2261,Kalin Fisher made Layup. Assisted by Jermaine Marrow.,45,47
15:29,324,Zac Cuthbertson Turnover.,45,47
15:27,2261,A.J. Astroth Steal.,45,47
15:23,2261,Akim Mitchell made Layup. Assisted by Kalin Fisher.,45,49
15:16,324,Coastal Carolina  Timeout,45,49
14:53,324,Trevion Brown made Three Point Jumper.,48,49
14:51,2261,Foul on Kalin Fisher.,48,49
14:51,2261,Official TV Timeout,48,49
14:41,324,Zac Cuthbertson missed Jumper.,48,49
