Yale,2329,Lehigh,43
time,team_id,description,h_score,a_score
19:41,43,Alex Copeland made Three Point Jumper. Assisted by Azar Swain.,3,0
19:18,2329,Kahron Ross missed Jumper.,3,0
19:18,43,Eric Monroe Block.,3,0
19:16,43,Paul Atkinson Defensive Rebound.,3,0
18:59,43,Blake Reynolds made Layup. Assisted by Eric Monroe.,5,0
18:48,2329,Foul on Pat Andree.,5,0
18:48,2329,Pat Andree Turnover.,5,0
18:35,43,Blake Reynolds made Layup. Assisted by Paul Atkinson.,7,0
18:02,2329,Kyle Leufroy missed Three Point Jumper.,7,0
18:02,2329,Pat Andree Offensive Rebound.,7,0
17:55,2329,Kahron Ross missed Three Point Jumper.,7,0
17:55,43,Azar Swain Defensive Rebound.,7,0
17:39,43,Blake Reynolds Turnover.,7,0
17:38,2329,Pat Andree Steal.,7,0
17:34,2329,Kahron Ross made Layup.,7,2
17:34,43,Foul on Azar Swain.,7,2
17:34,2329,Kahron Ross made Free Throw.,7,3
17:15,43,Alex Copeland made Jumper.,9,3
17:01,2329,Lance Tejada made Three Point Jumper. Assisted by Kyle Leufroy.,9,6
16:47,43,Alex Copeland made Jumper.,11,6
16:47,2329,Foul on Kahron Ross.,11,6
16:47,43,Alex Copeland made Free Throw.,12,6
16:35,2329,Lance Tejada missed Three Point Jumper.,12,6
16:35,43,Blake Reynolds Defensive Rebound.,12,6
16:19,43,Alex Copeland missed Three Point Jumper.,12,6
16:19,2329,Ed Porter Defensive Rebound.,12,6
16:11,2329,Kyle Leufroy missed Three Point Jumper.,12,6
16:11,43,Eric Monroe Defensive Rebound.,12,6
16:01,43,Paul Atkinson made Layup. Assisted by Eric Monroe.,14,6
15:46,2329,Foul on Ed Porter.,14,6
15:46,2329,Ed Porter Turnover.,14,6
15:46,43,Yale  Timeout,14,6
15:36,43,Alex Copeland made Layup. Assisted by Blake Reynolds.,16,6
15:14,43,Foul on Blake Reynolds.,16,6
15:14,2329,James Karnik made Free Throw.,16,7
15:14,2329,James Karnik made Free Throw.,16,8
14:54,43,Noah Yates made Three Point Jumper. Assisted by Blake Reynolds.,19,8
14:40,2329,Kahron Ross missed Three Point Jumper.,19,8
14:40,43,Trey Phills Defensive Rebound.,19,8
14:32,43,Alex Copeland Turnover.,19,8
14:31,2329,James Karnik Steal.,19,8
14:28,2329,Ed Porter missed Layup.,19,8
14:28,43,Trey Phills Block.,19,8
14:26,2329,James Karnik Offensive Rebound.,19,8
14:26,2329,James Karnik made Layup.,19,10
14:26,43,Foul on Noah Yates.,19,10
14:26,2329,James Karnik missed Free Throw.,19,10
14:26,43,Paul Atkinson Defensive Rebound.,19,10
13:56,43,Paul Atkinson missed Jumper.,19,10
13:56,2329,Caleb Bennett Defensive Rebound.,19,10
13:43,2329,Caleb Bennett missed Three Point Jumper.,19,10
13:43,43,Alex Copeland Defensive Rebound.,19,10
13:26,43,Miye Oni made Three Point Jumper. Assisted by Trey Phills.,22,10
13:08,2329,Foul on Caleb Bennett.,22,10
13:08,2329,Caleb Bennett Turnover.,22,10
12:52,43,Alex Copeland Turnover.,22,10
12:51,2329,James Karnik Steal.,22,10
12:41,2329,James Karnik made Layup. Assisted by Caleb Bennett.,22,12
12:26,43,Noah Yates missed Three Point Jumper.,22,12
12:26,2329,Kahron Ross Defensive Rebound.,22,12
12:16,2329,James Karnik missed Layup.,22,12
12:16,43,Trey Phills Defensive Rebound.,22,12
12:03,43,Paul Atkinson made Layup. Assisted by Trey Phills.,24,12
12:02,2329,Lehigh  Timeout,24,12
12:02,2329,Lehigh  Timeout,24,12
11:39,2329,Caleb Bennett missed Layup.,24,12
11:39,43,Noah Yates Block.,24,12
11:35,43,Eric Monroe Defensive Rebound.,24,12
11:16,43,Paul Atkinson made Layup. Assisted by Noah Yates.,26,12
10:48,2329,James Karnik Turnover.,26,12
10:40,43,Eric Monroe Turnover.,26,12
10:39,2329,Marques Wilson Steal.,26,12
10:36,2329,Jordan Cohen missed Three Point Jumper.,26,12
10:36,43,Paul Atkinson Defensive Rebound.,26,12
10:15,43,Noah Yates Turnover.,26,12
10:14,2329,James Karnik Steal.,26,12
10:01,2329,Lance Tejada missed Three Point Jumper.,26,12
10:01,2329,James Karnik Offensive Rebound.,26,12
9:47,43,Foul on Paul Atkinson.,26,12
9:34,2329,Marques Wilson missed Three Point Jumper.,26,12
9:34,43,Blake Reynolds Defensive Rebound.,26,12
9:30,43,Azar Swain missed Three Point Jumper.,26,12
9:30,43,Wyatt Yess Offensive Rebound.,26,12
9:16,43,Foul on Blake Reynolds.,26,12
9:16,43,Blake Reynolds Turnover.,26,12
9:02,2329,Foul on Jordan Cohen.,26,12
9:02,2329,Jordan Cohen Turnover.,26,12
8:53,43,Miye Oni made Three Point Jumper. Assisted by Eric Monroe.,29,12
8:31,2329,Kyle Leufroy missed Jumper.,29,12
8:31,43,Miye Oni Defensive Rebound.,29,12
8:25,43,Azar Swain made Layup.,31,12
8:12,43,Foul on Wyatt Yess.,31,12
7:56,43,Foul on Jameel Alausa.,31,12
7:56,2329,Lehigh  Timeout,31,12
7:56,2329,Caleb Bennett made Free Throw.,31,13
