Monmouth,96,Kentucky,2405
time,team_id,description,h_score,a_score
20:00,96,Jump Ball won by Kentucky,0,0
19:49,96,Hamidou Diallo made Layup. Assisted by Quade Green.,0,2
19:29,2405,Diago Quinn missed Layup.,0,2
19:29,96,Nick Richards Block.,0,2
19:29,2405,Austin Tilghman Offensive Rebound.,0,2
19:24,2405,Austin Tilghman missed Jumper.,0,2
19:24,96,Kevin Knox Defensive Rebound.,0,2
19:19,96,Kevin Knox Turnover.,0,2
19:01,2405,Ray Salnave missed Three Point Jumper.,0,2
19:01,96,Nick Richards Defensive Rebound.,0,2
18:47,96,Kevin Knox missed Three Point Jumper.,0,2
18:47,2405,Ray Salnave Defensive Rebound.,0,2
18:36,2405,Ray Salnave missed Layup.,0,2
18:36,96,Kevin Knox Defensive Rebound.,0,2
18:31,96,Hamidou Diallo missed Jumper.,0,2
18:31,96,Nick Richards Offensive Rebound.,0,2
18:27,96,Nick Richards missed Layup.,0,2
18:27,96,PJ Washington Offensive Rebound.,0,2
18:27,96,PJ Washington made Two Point Tip Shot.,0,4
18:22,96,Foul on Nick Richards.,0,4
18:15,2405,Austin Tilghman missed Jumper.,0,4
18:15,96,Hamidou Diallo Defensive Rebound.,0,4
18:07,96,Kevin Knox Turnover.,0,4
18:07,2405,Micah Seaborn Steal.,0,4
18:00,2405,Ray Salnave made Layup.,2,4
17:39,96,Quade Green missed Three Point Jumper.,2,4
17:39,96,Nick Richards Offensive Rebound.,2,4
17:36,96,Nick Richards Turnover.,2,4
17:36,2405,Ray Salnave Steal.,2,4
17:30,2405,Micah Seaborn made Three Point Jumper. Assisted by Ray Salnave.,5,4
17:12,96,Quade Green made Three Point Jumper.,5,7
16:41,2405,Mustapha Traore Turnover.,5,7
16:32,96,Quade Green made Jumper.,5,9
16:20,96,Foul on Tai Wynyard.,5,9
16:18,2405,Micah Seaborn missed Three Point Jumper.,5,9
16:18,96,Tai Wynyard Defensive Rebound.,5,9
16:12,96,Shai Gilgeous-Alexander Turnover.,5,9
16:12,2405,Micah Seaborn Steal.,5,9
16:09,96,Foul on Shai Gilgeous-Alexander.,5,9
15:51,2405,Deion Hammond made Jumper.,7,9
15:35,2405,Foul on Deion Hammond.,7,9
15:35,96,Official TV Timeout,7,9
15:35,96,Tai Wynyard made Free Throw.,7,10
15:35,96,Tai Wynyard made Free Throw.,7,11
15:19,96,Foul on Quade Green.,7,11
15:19,2405,Mustapha Traore missed Free Throw.,7,11
15:19,2405,Monmouth Deadball Team Rebound.,7,11
15:19,2405,Mustapha Traore made Free Throw.,8,11
15:10,96,Shai Gilgeous-Alexander made Three Point Jumper. Assisted by Kevin Knox.,8,14
14:51,2405,Micah Seaborn Turnover.,8,14
14:51,96,Kevin Knox Steal.,8,14
14:46,96,Quade Green made Layup. Assisted by Kevin Knox.,8,16
14:24,2405,Zac Tillman missed Jumper.,8,16
14:24,96,Kevin Knox Defensive Rebound.,8,16
14:12,2405,Foul on Zac Tillman.,8,16
14:12,96,Kevin Knox made Free Throw.,8,17
14:12,96,Kevin Knox missed Free Throw.,8,17
14:12,2405,Diago Quinn Defensive Rebound.,8,17
14:04,2405,Deion Hammond missed Three Point Jumper.,8,17
14:04,96,Hamidou Diallo Defensive Rebound.,8,17
13:55,2405,Foul on Diago Quinn.,8,17
13:55,96,Hamidou Diallo missed Free Throw.,8,17
13:55,96,Kentucky Deadball Team Rebound.,8,17
13:55,96,Hamidou Diallo made Free Throw.,8,18
13:51,2405,Ray Salnave Turnover.,8,18
13:51,96,Shai Gilgeous-Alexander Steal.,8,18
13:45,96,Hamidou Diallo made Layup.,8,20
13:14,2405,Ray Salnave missed Three Point Jumper.,8,20
13:14,2405,Monmouth Offensive Rebound.,8,20
13:08,96,Foul on Nick Richards.,8,20
13:02,96,Foul on Nick Richards.,8,20
12:57,2405,Melik Martin missed Jumper.,8,20
12:57,96,Hamidou Diallo Defensive Rebound.,8,20
12:50,96,Shai Gilgeous-Alexander missed Three Point Jumper.,8,20
12:50,96,Kevin Knox Offensive Rebound.,8,20
12:42,2405,Foul on Deion Hammond.,8,20
12:42,96,PJ Washington made Free Throw.,8,21
12:42,96,PJ Washington made Free Throw.,8,22
12:33,96,Foul on Hamidou Diallo.,8,22
12:33,2405,Louie Pillari made Free Throw.,9,22
12:33,2405,Louie Pillari made Free Throw.,10,22
12:27,96,Hamidou Diallo missed Jumper.,10,22
12:27,96,Tai Wynyard Offensive Rebound.,10,22
12:23,2405,Foul on Mustapha Traore.,10,22
12:19,96,Tai Wynyard made Dunk. Assisted by Shai Gilgeous-Alexander.,10,24
11:52,2405,Micah Seaborn missed Layup.,10,24
11:52,96,PJ Washington Block.,10,24
11:52,96,PJ Washington Defensive Rebound.,10,24
11:44,96,Hamidou Diallo missed Layup.,10,24
11:44,96,Kentucky Offensive Rebound.,10,24
11:44,2405,Foul on Mustapha Traore.,10,24
11:44,96,Official TV Timeout,10,24
11:44,96,Hamidou Diallo missed Free Throw.,10,24
11:44,96,Kentucky Deadball Team Rebound.,10,24
11:44,96,Hamidou Diallo missed Free Throw.,10,24
11:44,2405,Monmouth Defensive Rebound.,10,24
11:44,96,Foul on Tai Wynyard.,10,24
11:44,2405,Diago Quinn made Free Throw.,11,24
11:44,2405,Diago Quinn missed Free Throw.,11,24
11:44,96,Wenyen Gabriel Defensive Rebound.,11,24
11:38,96,PJ Washington Turnover.,11,24
11:13,2405,Zac Tillman Turnover.,11,24
11:05,96,Kevin Knox missed Jumper.,11,24
11:05,2405,Zac Tillman Defensive Rebound.,11,24
10:56,96,Foul on Wenyen Gabriel.,11,24
10:56,2405,Ray Salnave missed Free Throw.,11,24
10:56,2405,Monmouth Deadball Team Rebound.,11,24
10:56,2405,Ray Salnave made Free Throw.,12,24
10:49,96,Wenyen Gabriel made Jumper. Assisted by Kevin Knox.,12,26
10:29,2405,Ray Salnave Turnover.,12,26
10:29,96,Wenyen Gabriel Steal.,12,26
10:21,2405,Foul on Ray Salnave.,12,26
10:21,96,Hamidou Diallo made Free Throw.,12,27
10:21,96,Hamidou Diallo missed Free Throw.,12,27
10:21,2405,Zac Tillman Defensive Rebound.,12,27
9:57,2405,Zac Tillman Turnover.,12,27
9:57,2405,Foul on Zac Tillman.,12,27
9:52,96,PJ Washington made Three Point Jumper. Assisted by Quade Green.,12,30
9:30,2405,George Papas missed Three Point Jumper.,12,30
9:30,96,Wenyen Gabriel Defensive Rebound.,12,30
9:19,96,Kevin Knox Turnover.,12,30
9:19,2405,Monmouth  Timeout,12,30
9:11,2405,Micah Seaborn made Three Point Jumper. Assisted by Zac Tillman.,15,30
8:57,96,Wenyen Gabriel made Jumper. Assisted by Hamidou Diallo.,15,32
8:30,2405,Micah Seaborn made Jumper.,17,32
8:11,96,Shai Gilgeous-Alexander missed Jumper.,17,32
8:11,2405,Ray Salnave Defensive Rebound.,17,32
8:04,2405,Micah Seaborn made Three Point Jumper. Assisted by Ray Salnave.,20,32
7:58,96,Kentucky  Timeout,20,32
7:58,96,Official TV Timeout,20,32
7:47,96,Kevin Knox Turnover.,20,32
7:47,2405,Deion Hammond Steal.,20,32
7:40,2405,Deion Hammond missed Layup.,20,32
7:40,96,Kevin Knox Block.,20,32
7:40,96,Kevin Knox Defensive Rebound.,20,32
7:33,96,Quade Green made Layup.,20,34
7:09,2405,Foul on Zac Tillman.,20,34
7:09,2405,Zac Tillman Turnover.,20,34
7:03,96,Kevin Knox Turnover.,20,34
7:03,2405,Austin Tilghman Steal.,20,34
6:54,2405,Austin Tilghman made Layup. Assisted by Pierre Sarr.,22,34
6:29,96,Tai Wynyard Turnover.,22,34
6:29,2405,Pierre Sarr Steal.,22,34
6:11,2405,Micah Seaborn Turnover.,22,34
6:01,2405,Foul on Micah Seaborn.,22,34
6:01,96,Wenyen Gabriel made Free Throw.,22,35
6:01,96,Wenyen Gabriel missed Free Throw.,22,35
6:01,2405,Deion Hammond Defensive Rebound.,22,35
5:49,2405,Deion Hammond missed Three Point Jumper.,22,35
5:49,96,Kevin Knox Defensive Rebound.,22,35
5:39,96,Shai Gilgeous-Alexander made Three Point Jumper. Assisted by Quade Green.,22,38
5:04,2405,Deion Hammond missed Three Point Jumper.,22,38
5:04,2405,Zac Tillman Offensive Rebound.,22,38
4:44,2405,Austin Tilghman missed Three Point Jumper.,22,38
4:44,96,PJ Washington Defensive Rebound.,22,38
4:24,2405,Foul on Austin Tilghman.,22,38
4:24,96,PJ Washington made Free Throw.,22,39
4:24,96,PJ Washington made Free Throw.,22,40
4:11,2405,Marcus McClary missed Jumper.,22,40
4:11,96,Wenyen Gabriel Defensive Rebound.,22,40
3:53,96,Quade Green made Three Point Jumper. Assisted by PJ Washington.,22,43
3:40,2405,Louie Pillari missed Three Point Jumper.,22,43
3:40,2405,Marcus McClary Offensive Rebound.,22,43
3:36,2405,Marcus McClary missed Layup.,22,43
3:36,96,Quade Green Defensive Rebound.,22,43
