Coppin State,41,Connecticut,2154
time,team_id,description,h_score,a_score
19:44,41,Christian Vital Turnover.,0,0
19:43,2154,Keandre Fair Steal.,0,0
19:39,2154,Keandre Fair made Three Point Jumper. Assisted by Karonn Davis.,3,0
19:21,41,Christian Vital missed Layup.,3,0
19:21,41,Mamadou Diarra Offensive Rebound.,3,0
19:18,41,Mamadou Diarra missed Two Point Tip Shot.,3,0
19:18,2154,Adam Traore Defensive Rebound.,3,0
19:07,2154,Adam Traore made Layup. Assisted by Karonn Davis.,5,0
18:41,2154,Foul on Lamar Morgan.,5,0
18:36,41,Foul on Mamadou Diarra.,5,0
18:36,41,Mamadou Diarra Turnover.,5,0
18:13,2154,Cedric Council Jr. missed Jumper.,5,0
18:13,41,Eric Cobb Defensive Rebound.,5,0
18:08,41,Christian Vital Turnover.,5,0
17:53,2154,Lamar Morgan made Three Point Jumper. Assisted by Cedric Council Jr..,8,0
17:35,41,Eric Cobb Turnover.,8,0
17:33,2154,Karonn Davis Steal.,8,0
17:19,2154,Karonn Davis missed Jumper.,8,0
17:19,2154,Adam Traore Offensive Rebound.,8,0
16:57,2154,Keandre Fair missed Three Point Jumper.,8,0
16:57,41,Josh Carlton Defensive Rebound.,8,0
16:48,41,Jalen Adams missed Jumper.,8,0
16:48,41,Isaiah Whaley Offensive Rebound.,8,0
16:39,41,Josh Carlton missed Layup.,8,0
16:39,41,Josh Carlton Offensive Rebound.,8,0
16:39,41,Josh Carlton made Two Point Tip Shot.,8,2
16:39,2154,Foul on Cedric Council Jr..,8,2
16:39,41,Josh Carlton made Free Throw.,8,3
16:07,2154,Keandre Fair missed Three Point Jumper.,8,3
16:07,41,Josh Carlton Defensive Rebound.,8,3
15:56,41,Jalen Adams missed Three Point Jumper.,8,3
15:56,2154,Lamar Morgan Defensive Rebound.,8,3
15:25,2154,Lamar Morgan made Three Point Jumper. Assisted by Adam Traore.,11,3
14:59,41,Josh Carlton made Layup. Assisted by Antwoine Anderson.,11,5
14:41,2154,Lamar Morgan missed Three Point Jumper.,11,5
14:41,41,Isaiah Whaley Defensive Rebound.,11,5
14:17,41,Antwoine Anderson made Three Point Jumper. Assisted by Isaiah Whaley.,11,8
14:15,2154,Coppin State  Timeout,11,8
14:07,2154,Karonn Davis Turnover.,11,8
13:41,41,Terry Larrier made Three Point Jumper. Assisted by Jalen Adams.,11,11
13:19,2154,Foul on Cedric Council Jr..,11,11
13:19,2154,Cedric Council Jr. Turnover.,11,11
13:03,41,Terry Larrier missed Three Point Jumper.,11,11
13:03,2154,Lamar Morgan Defensive Rebound.,11,11
12:52,2154,Tre' Thomas made Three Point Jumper. Assisted by Karonn Davis.,14,11
12:32,41,Terry Larrier Turnover.,14,11
12:13,2154,Keandre Fair missed Three Point Jumper.,14,11
12:13,41,David Onuorah Defensive Rebound.,14,11
12:00,41,Isaiah Whaley Turnover.,14,11
12:00,41,Official TV Timeout,14,11
11:43,2154,Keandre Fair missed Three Point Jumper.,14,11
11:43,41,Christian Vital Defensive Rebound.,14,11
11:24,2154,Foul on Keandre Fair.,14,11
11:16,41,Terry Larrier missed Jumper.,14,11
11:16,41,Connecticut Offensive Rebound.,14,11
11:08,41,Terry Larrier made Three Point Jumper. Assisted by Christian Vital.,14,14
10:45,2154,Adam Traore Turnover.,14,14
10:26,41,Eric Cobb Turnover.,14,14
10:12,2154,Adam Traore missed Layup.,14,14
10:12,41,David Onuorah Defensive Rebound.,14,14
10:04,41,Christian Vital missed Three Point Jumper.,14,14
10:04,41,David Onuorah Offensive Rebound.,14,14
9:57,41,David Onuorah made Jumper.,14,16
9:37,2154,Adam Traore made Layup. Assisted by Karonn Davis.,16,16
9:24,41,Jalen Adams missed Jumper.,16,16
9:24,41,Eric Cobb Offensive Rebound.,16,16
9:19,41,Eric Cobb Turnover.,16,16
9:17,2154,Karonn Davis Steal.,16,16
9:14,41,Foul on Antwoine Anderson.,16,16
9:14,2154,Keandre Fair made Free Throw.,17,16
9:14,2154,Keandre Fair missed Free Throw.,17,16
9:14,41,Christian Vital Defensive Rebound.,17,16
8:55,41,Antwoine Anderson missed Jumper.,17,16
8:55,41,Antwoine Anderson Offensive Rebound.,17,16
8:48,41,Christian Vital made Jumper.,17,18
8:17,2154,Karonn Davis Turnover.,17,18
8:16,41,Jalen Adams Steal.,17,18
8:14,41,Christian Vital made Layup. Assisted by Jalen Adams.,17,20
7:54,2154,Lamar Morgan made Three Point Jumper.,20,20
7:40,41,Jalen Adams made Three Point Jumper. Assisted by Christian Vital.,20,23
7:19,2154,Karonn Davis missed Jumper.,20,23
7:19,41,Christian Vital Defensive Rebound.,20,23
7:15,2154,Foul on Keandre Fair.,20,23
7:15,41,Official TV Timeout,20,23
6:58,2154,Foul on Karonn Davis.,20,23
6:47,41,Mamadou Diarra missed Jumper.,20,23
6:47,41,Isaiah Whaley Offensive Rebound.,20,23
6:45,41,Isaiah Whaley made Two Point Tip Shot.,20,25
6:30,2154,Coppin State  Turnover.,20,25
6:16,41,Isaiah Whaley made Layup. Assisted by Jalen Adams.,20,27
5:58,2154,Chad Andrews-Fulton Turnover.,20,27
5:57,41,Antwoine Anderson Steal.,20,27
5:56,41,Antwoine Anderson made Layup.,20,29
5:56,2154,Foul on Karonn Davis.,20,29
5:56,2154,Coppin State  Timeout,20,29
5:56,41,Antwoine Anderson made Free Throw.,20,30
5:48,2154,Tre' Thomas Turnover.,20,30
5:46,41,Isaiah Whaley Steal.,20,30
5:44,41,Antwoine Anderson made Layup. Assisted by Isaiah Whaley.,20,32
5:31,41,Foul on Antwoine Anderson.,20,32
5:11,41,Foul on Josh Carlton.,20,32
5:11,2154,Adam Traore made Free Throw.,21,32
5:11,2154,Adam Traore made Free Throw.,22,32
5:11,2154,Adam Traore made Free Throw.,23,32
4:51,41,Jalen Adams missed Three Point Jumper.,23,32
4:51,41,Jalen Adams Offensive Rebound.,23,32
4:50,41,Jalen Adams made Two Point Tip Shot.,23,34
4:34,41,Foul on Isaiah Whaley.,23,34
4:34,2154,Lamar Morgan made Free Throw.,24,34
4:34,2154,Lamar Morgan made Free Throw.,25,34
4:16,41,Terry Larrier missed Three Point Jumper.,25,34
4:16,2154,Lamar Morgan Defensive Rebound.,25,34
3:55,2154,Coppin State  Timeout,25,34
3:43,2154,Adam Traore missed Three Point Jumper.,25,34
3:43,41,Christian Vital Defensive Rebound.,25,34
3:27,41,Terry Larrier missed Jumper.,25,34
3:27,41,David Onuorah Offensive Rebound.,25,34
3:19,41,Jalen Adams missed Three Point Jumper.,25,34
3:19,41,Isaiah Whaley Offensive Rebound.,25,34
3:12,41,Jalen Adams missed Jumper.,25,34
3:12,41,Isaiah Whaley Offensive Rebound.,25,34
3:10,2154,Foul on Adam Traore.,25,34
3:10,41,Isaiah Whaley made Free Throw.,25,35
3:10,41,Isaiah Whaley missed Free Throw.,25,35
3:10,2154,Adam Traore Defensive Rebound.,25,35
2:48,2154,Lamar Morgan made Three Point Jumper. Assisted by Karonn Davis.,28,35
2:36,41,Foul on David Onuorah.,28,35
2:36,41,David Onuorah Turnover.,28,35
2:28,2154,Foul on Karonn Davis.,28,35
2:28,2154,Karonn Davis Turnover.,28,35
2:09,41,David Onuorah missed Jumper.,28,35
2:09,2154,Adam Traore Defensive Rebound.,28,35
2:01,2154,Adam Traore Turnover.,28,35
1:52,41,Jalen Adams missed Jumper.,28,35
1:52,2154,Tre' Thomas Defensive Rebound.,28,35
