South Carolina State,231,Furman,2569
time,team_id,description,h_score,a_score
19:30,2569,Justin Jones missed Three Point Jumper.,0,0
19:30,231,Furman Deadball Team Rebound.,0,0
19:10,231,Daniel Fowler made Three Point Jumper. Assisted by John Davis III.,0,3
18:53,2569,Janai Raynor Powell made Jumper.,2,3
18:37,231,John Davis III made Jumper.,2,5
18:19,2569,Donte Wright made Jumper. Assisted by Janai Raynor Powell.,4,5
18:05,231,Matt Rafferty made Layup. Assisted by John Davis III.,4,7
17:51,2569,Donte Wright Turnover.,4,7
17:51,2569,Foul on Donte Wright.,4,7
17:27,231,Matt Rafferty made Layup.,4,9
17:10,2569,Janai Raynor Powell Turnover.,4,9
17:09,231,Daniel Fowler Steal.,4,9
17:06,231,Daniel Fowler Turnover.,4,9
16:51,2569,Justin Jones made Three Point Jumper. Assisted by Janai Raynor Powell.,7,9
16:37,231,Andrew Brown missed Three Point Jumper.,7,9
16:37,2569,Justin Jones Defensive Rebound.,7,9
16:16,2569,Janai Raynor Powell Turnover.,7,9
16:15,231,John Davis III Steal.,7,9
16:12,231,John Davis III made Layup.,7,11
15:51,2569,Justin Jones made Jumper.,9,11
15:26,231,Andrew Brown missed Three Point Jumper.,9,11
15:26,2569,Janai Raynor Powell Defensive Rebound.,9,11
15:15,2569,Justin Jones made Three Point Jumper.,12,11
14:54,231,Devin Sibley missed Jumper.,12,11
14:54,2569,Ian Kinard Defensive Rebound.,12,11
14:46,2569,Ian Kinard Turnover.,12,11
14:45,231,Matt Rafferty Steal.,12,11
14:42,231,Devin Sibley made Layup. Assisted by Daniel Fowler.,12,13
14:23,2569,Damani Applewhite missed Jumper.,12,13
14:23,231,John Davis III Defensive Rebound.,12,13
14:12,231,Devin Sibley missed Layup.,12,13
14:12,2569,Ian Kinard Block.,12,13
14:11,2569,Justin Jones Defensive Rebound.,12,13
14:05,2569,Justin Jones Turnover.,12,13
14:03,231,Devin Sibley Steal.,12,13
13:59,231,Devin Sibley Turnover.,12,13
13:59,231,Foul on Devin Sibley.,12,13
13:59,231,Official TV Timeout,12,13
13:37,2569,Janai Raynor Powell made Jumper.,14,13
13:21,231,Jordan Lyons missed Three Point Jumper.,14,13
13:21,2569,Damani Applewhite Defensive Rebound.,14,13
13:17,2569,Damani Applewhite Turnover.,14,13
13:07,231,Jalen Williams missed Layup.,14,13
13:07,231,Jalen Williams Offensive Rebound.,14,13
13:06,2569,Foul on Ian Kinard.,14,13
13:06,231,Jalen Williams missed Free Throw.,14,13
13:06,231,Furman Deadball Team Rebound.,14,13
13:06,231,Jalen Williams made Free Throw.,14,14
13:03,2569,Donte Wright missed Three Point Jumper.,14,14
13:03,231,Jalen Williams Defensive Rebound.,14,14
12:51,231,Jalen Williams missed Layup.,14,14
12:51,2569,Justin Jones Defensive Rebound.,14,14
12:33,231,Foul on Alex Hunter.,14,14
12:20,2569,Donte Wright missed Three Point Jumper.,14,14
12:20,231,Jalen Williams Defensive Rebound.,14,14
12:08,231,Daniel Fowler Turnover.,14,14
12:06,2569,Donte Wright Steal.,14,14
11:58,2569,David Bottenberg missed Jumper.,14,14
11:58,231,Alex Hunter Defensive Rebound.,14,14
11:49,231,Daniel Fowler missed Three Point Jumper.,14,14
11:49,2569,Donte Wright Defensive Rebound.,14,14
11:27,2569,Justin Jones made Three Point Jumper. Assisted by Damani Applewhite.,17,14
11:01,231,Jalen Williams made Layup. Assisted by Geoff Beans.,17,16
10:31,2569,Justin Jones made Three Point Jumper. Assisted by Janai Raynor Powell.,20,16
10:17,231,Jordan Lyons made Three Point Jumper. Assisted by Daniel Fowler.,20,19
9:49,2569,Damani Applewhite missed Jumper.,20,19
9:49,231,Alex Hunter Defensive Rebound.,20,19
9:30,231,Alex Hunter made Three Point Jumper. Assisted by Jordan Lyons.,20,22
9:08,2569,Donte Wright made Three Point Jumper. Assisted by Justin Jones.,23,22
8:51,2569,Foul on Donte Wright.,23,22
8:51,231,Official TV Timeout,23,22
8:38,231,John Davis III made Three Point Jumper. Assisted by Devin Sibley.,23,25
8:23,2569,Dwayne Banks Turnover.,23,25
8:09,2569,Foul on Janai Raynor Powell.,23,25
8:09,231,Devin Sibley missed Free Throw.,23,25
