Randall University,Error,Baylor,239
time,team_id,description,h_score,a_score
19:45,239,Jo Lual-Acuil Jr. made Dunk. Assisted by Nuni Omot.,0,2
19:20,-1,Trey Sneed missed Three Point Jumper.,0,2
19:20,239,Jo Lual-Acuil Jr. Defensive Rebound.,0,2
19:05,239,Tristan Clark made Jumper. Assisted by King McClure.,0,4
18:47,239,Foul on King McClure.,0,4
18:47,-1,Xavier Hunter made Free Throw.,1,4
18:47,-1,Xavier Hunter made Free Throw.,2,4
18:34,239,Nuni Omot missed Three Point Jumper.,2,4
18:34,-1,Xavier Hunter Defensive Rebound.,2,4
18:26,-1,Xavier Hunter missed Jumper.,2,4
18:26,239,Tristan Clark Defensive Rebound.,2,4
18:11,239,Tristan Clark made Layup. Assisted by Nuni Omot.,2,6
17:58,-1,Brad Ficken made Jumper. Assisted by Ben Collier.,4,6
17:45,239,Nuni Omot made Three Point Jumper. Assisted by Jake Lindsey.,4,9
17:32,-1,Ben Collier missed Three Point Jumper.,4,9
17:32,-1,Trey Sneed Offensive Rebound.,4,9
17:27,-1,Trey Sneed missed Three Point Jumper.,4,9
17:27,239,Tristan Clark Defensive Rebound.,4,9
17:12,239,King McClure missed Three Point Jumper.,4,9
17:12,239,Tristan Clark Offensive Rebound.,4,9
17:08,239,Tristan Clark made Jumper.,4,11
16:49,-1,Kashus Lyons missed Three Point Jumper.,4,11
16:49,-1,Trey Sneed Offensive Rebound.,4,11
16:42,-1,Ben Collier made Jumper. Assisted by Brad Ficken.,6,11
16:26,239,King McClure missed Three Point Jumper.,6,11
16:26,239,King McClure Offensive Rebound.,6,11
16:22,-1,Foul on Trey Sneed.,6,11
16:22,239,King McClure made Free Throw.,6,12
16:22,239,King McClure made Free Throw.,6,13
16:11,-1,Kashus Lyons Turnover.,6,13
16:10,239,Tristan Clark Steal.,6,13
16:07,239,Tristan Clark made Layup.,6,15
15:44,-1,Ben Collier made Jumper. Assisted by Trey Sneed.,8,15
15:28,239,Jake Lindsey made Layup.,8,17
15:17,-1,Brad Ficken Turnover.,8,17
15:15,239,Tristan Clark Steal.,8,17
15:13,239,Nuni Omot made Dunk. Assisted by Tristan Clark.,8,19
14:52,-1,Trey Sneed missed Jumper.,8,19
14:52,239,Jo Lual-Acuil Jr. Block.,8,19
14:50,239,Jo Lual-Acuil Jr. Defensive Rebound.,8,19
14:43,239,Tristan Clark made Jumper. Assisted by King McClure.,8,21
14:15,239,Official TV Timeout,8,21
14:12,-1,Xavier Hunter missed Three Point Jumper.,8,21
14:12,239,Tristan Clark Defensive Rebound.,8,21
13:49,239,Nuni Omot missed Three Point Jumper.,8,21
13:49,-1,Trey Sneed Defensive Rebound.,8,21
13:28,-1,Isaac Bowles Turnover.,8,21
13:08,239,Jo Lual-Acuil Jr. made Dunk. Assisted by Jake Lindsey.,8,23
12:43,-1,Trey Sneed made Three Point Jumper. Assisted by Isaac Bowles.,11,23
12:20,239,Tristan Clark missed Jumper.,11,23
12:20,-1,Trey Sneed Block.,11,23
12:19,-1,Antonio Wilson Defensive Rebound.,11,23
12:14,-1,Trey Sneed missed Jumper.,11,23
12:14,239,Jo Lual-Acuil Jr. Block.,11,23
12:14,-1,Randall University Offensive Rebound.,11,23
12:10,-1,Antonio Wilson made Jumper. Assisted by Brad Ficken.,13,23
11:51,239,Jake Lindsey Turnover.,13,23
11:49,-1,Trey Sneed Steal.,13,23
11:44,239,Official TV Timeout,13,23
11:44,-1,Trey Sneed missed Layup.,13,23
11:43,239,Nuni Omot Block.,13,23
11:42,-1,Randall University Offensive Rebound.,13,23
11:42,239,Official TV Timeout,13,23
11:35,-1,Xavier Hunter made Three Point Jumper.,16,23
11:34,239,Foul on Tyson Jolly.,16,23
11:34,-1,Xavier Hunter missed Free Throw.,16,23
11:34,239,Jo Lual-Acuil Jr. Defensive Rebound.,16,23
11:14,239,Jake Lindsey missed Jumper.,16,23
11:14,-1,Brad Ficken Block.,16,23
11:11,-1,Antonio Wilson Defensive Rebound.,16,23
10:58,-1,Isaac Bowles missed Jumper.,16,23
10:58,239,Jake Lindsey Defensive Rebound.,16,23
10:50,239,Jake Lindsey Turnover.,16,23
10:30,-1,Trey Sneed made Jumper. Assisted by Brad Ficken.,18,23
10:13,239,Nuni Omot made Three Point Jumper. Assisted by Jake Lindsey.,18,26
9:58,-1,Trey Sneed missed Jumper.,18,26
9:58,239,Jo Lual-Acuil Jr. Defensive Rebound.,18,26
9:50,239,King McClure Turnover.,18,26
9:48,-1,Trey Sneed Steal.,18,26
9:47,-1,Xavier Hunter missed Three Point Jumper.,18,26
9:47,239,King McClure Defensive Rebound.,18,26
9:36,239,King McClure Turnover.,18,26
9:23,-1,Antonio Wilson missed Three Point Jumper.,18,26
9:23,239,Jo Lual-Acuil Jr. Defensive Rebound.,18,26
8:59,239,Nuni Omot missed Jumper.,18,26
8:59,-1,Xavier Hunter Defensive Rebound.,18,26
8:40,-1,Isaac Bowles made Jumper. Assisted by Antonio Wilson.,20,26
