Henderson State,Error,Arkansas State,2032
time,team_id,description,h_score,a_score
19:51,2271,Josh Jones made Three Point Jumper. Assisted by Kaylon Tappin.,3,0
19:30,2032,Ty Cockfield missed Three Point Jumper.,3,0
19:30,2032,Tristin Walley Offensive Rebound.,3,0
19:22,2032,Tristin Walley missed Three Point Jumper.,3,0
19:22,2271,Josh Jones Defensive Rebound.,3,0
19:04,2271,DJ Franklin Turnover.,3,0
19:04,2271,Foul on DJ Franklin.,3,0
18:53,2032,Ty Cockfield made Layup.,3,2
18:31,2271,Foul on Kaylon Tappin.,3,2
18:31,2271,Kaylon Tappin Turnover.,3,2
18:18,2032,Rashad Lindsey missed Three Point Jumper.,3,2
18:18,2271,Kaylon Tappin Defensive Rebound.,3,2
18:11,2271,Kaylon Tappin made Three Point Jumper.,6,2
17:54,2032,Deven Simms Turnover.,6,2
17:52,2271,Chris Parker Steal.,6,2
17:52,2271,Chris Parker Turnover.,6,2
17:51,2032,Rashad Lindsey Steal.,6,2
17:41,2271,Foul on Brad Nairn.,6,2
17:41,2032,Tamas Bruce made Free Throw.,6,3
17:41,2032,Tamas Bruce made Free Throw.,6,4
17:36,2271,Tanner Hamilton made Three Point Jumper. Assisted by Josh Jones.,9,4
17:10,2032,Tristin Walley Turnover.,9,4
17:09,2271,Josh Jones Steal.,9,4
17:07,2271,Josh Jones missed Layup.,9,4
17:07,2032,Tristin Walley Block.,9,4
17:05,2032,Deven Simms Defensive Rebound.,9,4
16:58,2032,Tamas Bruce made Layup.,9,6
16:44,2271,Chris Parker made Jumper.,11,6
16:33,2032,Rashad Lindsey Turnover.,11,6
16:20,2271,Tanner Hamilton Turnover.,11,6
16:18,2032,Ty Cockfield Steal.,11,6
16:16,2032,Deven Simms missed Three Point Jumper.,11,6
16:16,2032,Rashad Lindsey Offensive Rebound.,11,6
16:12,2032,Rashad Lindsey missed Layup.,11,6
16:12,2032,Tamas Bruce Offensive Rebound.,11,6
16:08,2032,Tamas Bruce missed Layup.,11,6
16:08,2032,Rashad Lindsey Offensive Rebound.,11,6
16:05,2032,Rashad Lindsey Turnover.,11,6
16:03,2271,Tanner Hamilton Steal.,11,6
16:00,2271,Chris Parker missed Layup.,11,6
16:00,2032,Tristin Walley Block.,11,6
16:00,2271,Henderson State Univ Arkansas Offensive Rebound.,11,6
15:57,2271,Kaylon Tappin missed Three Point Jumper.,11,6
15:57,2271,Eric Dailey Offensive Rebound.,11,6
15:53,2271,Eric Dailey missed Layup.,11,6
15:53,2032,Tamas Bruce Defensive Rebound.,11,6
15:37,2032,Marquis Eaton missed Layup.,11,6
15:37,2032,Tamas Bruce Offensive Rebound.,11,6
15:35,2271,Foul on Eric Dailey.,11,6
15:35,2032,Official TV Timeout,11,6
15:30,2032,Ty Cockfield Turnover.,11,6
15:23,2271,Tanner Hamilton Turnover.,11,6
15:01,2032,Tamas Bruce missed Layup.,11,6
15:01,2271,Henderson State Univ Arkansas Defensive Rebound.,11,6
14:34,2271,Kaylon Tappin missed Three Point Jumper.,11,6
14:34,2032,Deven Simms Block.,11,6
14:31,2271,Raekwon Rogers Offensive Rebound.,11,6
14:28,2271,Tanner Hamilton made Layup. Assisted by Raekwon Rogers.,13,6
14:17,2032,Foul on Tamas Bruce.,13,6
14:17,2032,Tamas Bruce Turnover.,13,6
14:06,2271,Tanner Hamilton missed Three Point Jumper.,13,6
14:06,2032,Grantham Gillard Defensive Rebound.,13,6
13:59,2032,Connor Kern missed Three Point Jumper.,13,6
13:59,2032,Connor Kern Offensive Rebound.,13,6
