Florida National,Error,Jacksonville,294
time,team_id,description,h_score,a_score
19:34,-1,Kenneth Santos Turnover.,0,0
19:32,294,Jace Hogan Steal.,0,0
19:17,-1,Foul on Kenneth Santos.,0,0
19:08,294,Cody Helgeland missed Three Point Jumper.,0,0
19:08,-1,Quantavis Hall Defensive Rebound.,0,0
18:52,-1,Quantavis Hall missed Jumper.,0,0
18:52,-1,Jessy Cantinol Offensive Rebound.,0,0
18:45,-1,Quantavis Hall Turnover.,0,0
18:36,294,JD Notae made Jumper.,0,2
18:22,-1,Terence Johnson missed Three Point Jumper.,0,2
18:22,294,Radwan Bakkali Defensive Rebound.,0,2
18:03,-1,Foul on Jessy Cantinol.,0,2
18:01,-1,Foul on Karol Kott.,0,2
18:01,294,Radwan Bakkali made Free Throw.,0,3
18:01,294,Radwan Bakkali made Free Throw.,0,4
17:53,-1,Quantavis Hall missed Layup.,0,4
17:53,-1,Quantavis Hall Offensive Rebound.,0,4
17:49,-1,Quantavis Hall missed Layup.,0,4
17:49,-1,Jessy Cantinol Offensive Rebound.,0,4
17:47,-1,Jessy Cantinol missed Layup.,0,4
17:47,294,Jace Hogan Block.,0,4
17:46,294,Jace Hogan Defensive Rebound.,0,4
17:42,294,Cody Helgeland made Three Point Jumper. Assisted by JD Notae.,0,7
17:26,-1,Karol Kott missed Three Point Jumper.,0,7
17:26,294,Radwan Bakkali Defensive Rebound.,0,7
17:14,294,JD Notae Turnover.,0,7
17:02,-1,Kenneth Santos missed Jumper.,0,7
17:02,294,JD Notae Defensive Rebound.,0,7
16:51,294,Jace Hogan missed Jumper.,0,7
16:51,-1,Karol Kott Defensive Rebound.,0,7
16:31,-1,Terence Johnson missed Jumper.,0,7
16:31,294,JD Notae Defensive Rebound.,0,7
16:22,294,Jace Hogan made Layup. Assisted by JD Notae.,0,9
15:55,-1,Karol Kott made Three Point Jumper. Assisted by Quantavis Hall.,3,9
15:44,294,Jace Hogan Turnover.,3,9
15:44,294,Foul on Jace Hogan.,3,9
15:44,294,Jacksonville  Timeout,3,9
15:34,-1,Karol Kott missed Three Point Jumper.,3,9
15:34,294,Cody Helgeland Defensive Rebound.,3,9
15:26,294,JD Notae missed Three Point Jumper.,3,9
15:26,-1,Karol Kott Defensive Rebound.,3,9
15:03,-1,Quantavis Hall Turnover.,3,9
15:01,294,Jace Hogan Steal.,3,9
15:00,294,Jace Hogan Turnover.,3,9
14:59,-1,Quantavis Hall Steal.,3,9
14:57,-1,Quantavis Hall made Jumper.,5,9
14:33,294,Tanner Rubio made Three Point Jumper. Assisted by Cody Helgeland.,5,12
14:15,-1,Kenneth Santos made Three Point Jumper. Assisted by Terence Johnson.,8,12
14:02,294,Tanner Rubio missed Three Point Jumper.,8,12
14:02,294,JD Notae Offensive Rebound.,8,12
13:49,294,Jace Hogan missed Jumper.,8,12
13:49,-1,Kenneth Santos Defensive Rebound.,8,12
13:40,-1,Quantavis Hall made Three Point Jumper. Assisted by Kenneth Santos.,11,12
13:26,294,Radwan Bakkali Turnover.,11,12
13:26,294,Foul on Radwan Bakkali.,11,12
13:14,-1,Terence Johnson made Jumper. Assisted by Quantavis Hall.,13,12
12:52,294,Corey Romich made Three Point Jumper. Assisted by Tanner Rubio.,13,15
12:28,-1,Quantavis Hall Turnover.,13,15
12:28,294,Damien Sears Turnover.,13,15
12:28,294,Foul on Damien Sears.,13,15
12:19,-1,Ivenor Rosier Turnover.,13,15
12:18,294,JD Notae Steal.,13,15
12:16,294,JD Notae made Layup.,13,17
12:16,-1,Foul on Terence Johnson.,13,17
12:16,294,JD Notae made Free Throw.,13,18
12:01,-1,Terence Johnson missed Layup.,13,18
12:01,294,Damien Sears Defensive Rebound.,13,18
11:55,294,Corey Romich made Three Point Jumper. Assisted by JD Notae.,13,21
11:37,-1,Terence Johnson missed Jumper.,13,21
11:37,294,Tanner Rubio Defensive Rebound.,13,21
11:26,-1,Foul on Ivenor Rosier.,13,21
11:26,294,Jacksonville  Timeout,13,21
11:26,294,Tanner Rubio missed Free Throw.,13,21
11:26,294,Jacksonville Deadball Team Rebound.,13,21
11:26,294,Tanner Rubio made Free Throw.,13,22
11:12,-1,Ivenor Rosier missed Layup.,13,22
11:12,-1,Godsway Jeff Offensive Rebound.,13,22
11:08,-1,Godsway Jeff Turnover.,13,22
10:59,294,Damien Sears Turnover.,13,22
10:59,294,Foul on Damien Sears.,13,22
10:49,-1,Godsway Jeff Turnover.,13,22
10:49,-1,Foul on Godsway Jeff.,13,22
10:31,-1,Foul on Godsway Jeff.,13,22
10:31,294,Radwan Bakkali made Free Throw.,13,23
10:31,294,Radwan Bakkali made Free Throw.,13,24
10:10,-1,Petar Skoknic missed Three Point Jumper.,13,24
10:10,294,Corey Romich Defensive Rebound.,13,24
9:59,294,Tanner Rubio Turnover.,13,24
9:56,-1,Ketrick Bartley Steal.,13,24
9:53,-1,Ryan Blanchett missed Jumper.,13,24
9:53,294,JD Notae Defensive Rebound.,13,24
9:47,294,Tanner Rubio missed Three Point Jumper.,13,24
9:47,-1,Petar Skoknic Defensive Rebound.,13,24
9:38,-1,Ivenor Rosier Turnover.,13,24
9:36,294,JD Notae Steal.,13,24
9:35,-1,Foul on Ryan Blanchett.,13,24
9:35,294,JD Notae made Free Throw.,13,25
9:35,294,JD Notae made Free Throw.,13,26
9:21,294,Radwan Bakkali Turnover.,13,26
9:20,-1,Terence Johnson Steal.,13,26
9:07,-1,Ketrick Bartley missed Three Point Jumper.,13,26
9:07,294,Jacksonville Deadball Team Rebound.,13,26
8:41,294,Jace Hogan Turnover.,13,26
8:22,-1,Kenneth Santos missed Three Point Jumper.,13,26
8:22,294,Lee Richmond Defensive Rebound.,13,26
8:08,294,JD Notae missed Layup.,13,26
8:08,294,JD Notae Offensive Rebound.,13,26
8:04,294,JD Notae Turnover.,13,26
8:03,-1,Ketrick Bartley Steal.,13,26
7:58,-1,Christian Anglada made Layup.,15,26
7:33,294,Jace Hogan made Layup.,15,28
7:15,-1,Jessy Cantinol made Layup.,17,28
7:15,294,Foul on Lee Richmond.,17,28
7:15,-1,Florida National  Timeout,17,28
7:15,-1,Jessy Cantinol made Free Throw.,18,28
6:59,294,JD Notae made Layup.,18,30
6:44,-1,Christian Anglada Turnover.,18,30
6:44,-1,Foul on Christian Anglada.,18,30
6:31,294,Cody Helgeland missed Three Point Jumper.,18,30
6:31,-1,Terence Johnson Defensive Rebound.,18,30
6:16,294,Foul on Lee Richmond.,18,30
6:09,-1,Kenneth Santos made Jumper.,20,30
5:52,294,Corey Romich missed Three Point Jumper.,20,30
5:52,-1,Quantavis Hall Defensive Rebound.,20,30
5:21,-1,Terence Johnson missed Three Point Jumper.,20,30
5:21,294,JD Notae Defensive Rebound.,20,30
5:11,-1,Foul on Jessy Cantinol.,20,30
5:11,294,Jace Hogan missed Free Throw.,20,30
5:11,294,Jacksonville Deadball Team Rebound.,20,30
5:11,294,Jace Hogan made Free Throw.,20,31
4:53,-1,Quantavis Hall made Jumper.,22,31
4:39,294,Cody Helgeland made Three Point Jumper. Assisted by JD Notae.,22,34
4:28,294,Foul on Tanner Rubio.,22,34
4:28,-1,Quantavis Hall made Free Throw.,23,34
4:28,-1,Quantavis Hall made Free Throw.,24,34
4:04,294,Tanner Rubio made Three Point Jumper. Assisted by JD Notae.,24,37
3:41,-1,Ketrick Bartley made Jumper.,26,37
3:32,-1,Foul on Jessy Cantinol.,26,37
3:32,294,Jacksonville  Timeout,26,37
3:32,294,Jalyn Hinton missed Free Throw.,26,37
3:32,294,Jacksonville Deadball Team Rebound.,26,37
3:32,294,Jalyn Hinton made Free Throw.,26,38
3:20,-1,Ketrick Bartley Turnover.,26,38
3:20,-1,Foul on Ketrick Bartley.,26,38
3:01,294,Jalyn Hinton made Dunk. Assisted by Jace Hogan.,26,40
2:35,-1,Ryan Blanchett made Jumper.,28,40
2:24,294,JD Notae missed Jumper.,28,40
2:24,-1,Ryan Blanchett Defensive Rebound.,28,40
2:14,-1,Quantavis Hall made Layup.,30,40
1:53,294,Jalyn Hinton missed Layup.,30,40
1:53,294,Jalyn Hinton Offensive Rebound.,30,40
1:50,294,Jalyn Hinton missed Layup.,30,40
1:50,-1,Kenneth Santos Defensive Rebound.,30,40
1:38,-1,Quantavis Hall Turnover.,30,40
1:38,294,JD Notae Steal.,30,40
1:23,294,Cody Helgeland missed Three Point Jumper.,30,40
1:23,-1,Kenneth Santos Defensive Rebound.,30,40
0:54,-1,Kenneth Santos missed Three Point Jumper.,30,40
0:54,-1,Ryan Blanchett Offensive Rebound.,30,40
0:49,-1,Ryan Blanchett made Jumper.,32,40
0:24,294,Tanner Rubio missed Three Point Jumper.,32,40
0:24,-1,Kenneth Santos Defensive Rebound.,32,40
0:04,-1,Ivenor Rosier missed Jumper.,32,40
0:04,294,Jacksonville Deadball Team Rebound.,32,40
0:00,294,Cody Helgeland Turnover.,32,40
0:00,-1,Ryan Blanchett Steal.,32,40
0:00,294,End of 1st half,32,40
19:39,-1,Quantavis Hall missed Three Point Jumper.,32,40
19:39,294,Radwan Bakkali Defensive Rebound.,32,40
19:31,294,Tanner Rubio made Three Point Jumper. Assisted by Jace Hogan.,32,43
18:56,-1,Kenneth Santos Turnover.,32,43
18:43,294,Jace Hogan missed Jumper.,32,43
18:43,-1,Ryan Blanchett Defensive Rebound.,32,43
18:35,-1,Quantavis Hall made Jumper.,34,43
18:15,294,JD Notae missed Layup.,34,43
18:15,-1,Kenneth Santos Defensive Rebound.,34,43
18:06,-1,Ryan Blanchett missed Three Point Jumper.,34,43
18:06,294,JD Notae Defensive Rebound.,34,43
17:56,294,JD Notae Turnover.,34,43
17:55,-1,Ryan Blanchett Steal.,34,43
17:40,-1,Terence Johnson missed Three Point Jumper.,34,43
17:40,294,JD Notae Defensive Rebound.,34,43
17:33,294,JD Notae made Layup.,34,45
17:12,-1,Kenneth Santos missed Jumper.,34,45
17:12,294,JD Notae Defensive Rebound.,34,45
16:54,294,Cody Helgeland made Jumper.,34,47
16:39,-1,Ryan Blanchett Turnover.,34,47
16:21,294,Jace Hogan missed Jumper.,34,47
16:21,294,Radwan Bakkali Offensive Rebound.,34,47
16:13,294,Radwan Bakkali Turnover.,34,47
15:59,-1,Terence Johnson missed Three Point Jumper.,34,47
15:59,294,Cody Helgeland Defensive Rebound.,34,47
15:50,294,Cody Helgeland made Three Point Jumper. Assisted by Tanner Rubio.,34,50
15:34,-1,Jessy Cantinol Turnover.,34,50
15:34,-1,Foul on Jessy Cantinol.,34,50
15:34,294,Jacksonville  Timeout,34,50
15:25,294,Cody Helgeland missed Three Point Jumper.,34,50
15:25,294,Jalyn Hinton Offensive Rebound.,34,50
15:20,294,Jalyn Hinton made Layup.,34,52
14:59,-1,Terence Johnson Turnover.,34,52
14:45,294,Tanner Rubio missed Three Point Jumper.,34,52
14:45,294,Jalyn Hinton Offensive Rebound.,34,52
14:38,294,Cody Helgeland made Dunk.,34,54
14:22,-1,Christian Anglada missed Jumper.,34,54
14:22,294,Jalyn Hinton Defensive Rebound.,34,54
14:13,294,Cody Helgeland missed Three Point Jumper.,34,54
14:13,294,Jalyn Hinton Offensive Rebound.,34,54
14:08,294,Jalyn Hinton made Layup.,34,56
13:44,294,Foul on Cody Helgeland.,34,56
13:44,-1,Jessy Cantinol made Free Throw.,35,56
13:44,-1,Jessy Cantinol made Free Throw.,36,56
13:33,294,Tanner Rubio missed Three Point Jumper.,36,56
13:33,294,Jalyn Hinton Offensive Rebound.,36,56
13:18,294,Damien Sears missed Jumper.,36,56
13:18,-1,Quantavis Hall Defensive Rebound.,36,56
13:11,-1,Quantavis Hall missed Layup.,36,56
13:11,294,Jalyn Hinton Block.,36,56
13:09,-1,Florida National Offensive Rebound.,36,56
13:04,-1,Ketrick Bartley Turnover.,36,56
13:04,-1,Foul on Ketrick Bartley.,36,56
12:51,294,JD Notae made Three Point Jumper.,36,59
12:33,294,Foul on Damien Sears.,36,59
12:33,-1,Christian Anglada made Free Throw.,37,59
12:33,-1,Christian Anglada made Free Throw.,38,59
12:17,-1,Foul on Quantavis Hall.,38,59
12:17,294,Jalyn Hinton made Free Throw.,38,60
12:17,294,Jalyn Hinton made Free Throw.,38,61
12:00,-1,Petar Skoknic missed Three Point Jumper.,38,61
12:00,294,Lee Richmond Defensive Rebound.,38,61
11:39,294,JD Notae missed Jumper.,38,61
11:39,294,JD Notae Offensive Rebound.,38,61
11:36,294,Corey Romich made Three Point Jumper. Assisted by JD Notae.,38,64
11:19,-1,Christian Anglada Turnover.,38,64
11:18,294,Corey Romich Steal.,38,64
11:11,294,JD Notae missed Layup.,38,64
11:11,-1,Ryan Blanchett Defensive Rebound.,38,64
11:04,-1,Christian Anglada missed Layup.,38,64
11:04,-1,Petar Skoknic Offensive Rebound.,38,64
11:00,-1,Quantavis Hall missed Three Point Jumper.,38,64
11:00,294,Jacksonville Defensive Rebound.,38,64
10:57,294,Jacksonville  Timeout,38,64
10:41,294,Corey Romich made Three Point Jumper. Assisted by Lee Richmond.,38,67
10:17,-1,Ivenor Rosier missed Three Point Jumper.,38,67
10:17,294,Damien Sears Defensive Rebound.,38,67
9:59,294,Damien Sears Turnover.,38,67
9:58,-1,Quantavis Hall Steal.,38,67
9:56,-1,Quantavis Hall Turnover.,38,67
9:55,294,Damien Sears Steal.,38,67
9:52,294,Damien Sears made Layup. Assisted by Jalyn Hinton.,38,69
9:28,-1,Terence Johnson made Jumper. Assisted by Petar Skoknic.,40,69
9:00,294,Damien Sears missed Jumper.,40,69
9:00,294,Jalyn Hinton Offensive Rebound.,40,69
8:45,-1,Foul on Quantavis Hall.,40,69
8:30,294,Cody Helgeland missed Three Point Jumper.,40,69
8:30,294,Damien Sears Offensive Rebound.,40,69
8:24,294,Lee Richmond missed Jumper.,40,69
8:24,294,Damien Sears Offensive Rebound.,40,69
8:20,294,Damien Sears missed Layup.,40,69
8:20,294,Jalyn Hinton Offensive Rebound.,40,69
8:17,294,Jalyn Hinton made Layup.,40,71
8:07,-1,Kenneth Santos made Jumper.,42,71
7:44,294,Damien Sears Turnover.,42,71
7:43,-1,Ivenor Rosier Steal.,42,71
7:40,-1,Florida National  Timeout,42,71
7:38,-1,Kenneth Santos missed Three Point Jumper.,42,71
7:38,-1,Terence Johnson Offensive Rebound.,42,71
7:28,-1,Kenneth Santos missed Three Point Jumper.,42,71
7:28,-1,Jessy Cantinol Offensive Rebound.,42,71
7:22,-1,Jessy Cantinol made Two Point Tip Shot.,44,71
7:02,-1,Foul on Terence Johnson.,44,71
7:02,294,Jalyn Hinton made Free Throw.,44,72
7:02,294,Jalyn Hinton made Free Throw.,44,73
6:52,294,Foul on Lee Richmond.,44,73
6:43,-1,Ryan Blanchett missed Jumper.,44,73
6:43,-1,Jessy Cantinol Offensive Rebound.,44,73
6:39,-1,Jessy Cantinol made Layup.,46,73
6:20,294,Cody Helgeland missed Three Point Jumper.,46,73
6:20,294,Jalyn Hinton Offensive Rebound.,46,73
6:15,294,Lee Richmond made Three Point Jumper. Assisted by Corey Romich.,46,76
5:57,-1,Terence Johnson made Three Point Jumper. Assisted by Jessy Cantinol.,49,76
5:29,294,Cody Helgeland made Three Point Jumper. Assisted by Jalyn Hinton.,49,79
5:13,-1,Jessy Cantinol Turnover.,49,79
5:12,294,Corey Romich Steal.,49,79
4:53,294,Cody Helgeland made Layup.,49,81
4:31,-1,Kenneth Santos missed Jumper.,49,81
4:31,294,Jacksonville Deadball Team Rebound.,49,81
