William Jessup,Error,UC Davis,302
time,team_id,description,h_score,a_score
19:32,-1,Brandon Lindsey missed Three Point Jumper.,0,0
19:32,302,Chima Moneke Defensive Rebound.,0,0
19:14,302,Siler Schneider missed Layup.,0,0
19:14,302,Garrison Goode Offensive Rebound.,0,0
19:05,-1,Foul on Brandon Lindsey.,0,0
18:58,-1,Foul on Luis Medearis.,0,0
18:51,302,Chima Moneke missed Layup.,0,0
18:51,-1,Luis Medearis Defensive Rebound.,0,0
18:36,-1,Keith Phillips made Layup. Assisted by Brennan Rakoz.,2,0
18:24,302,Foul on Siler Schneider.,2,0
18:24,302,Siler Schneider Turnover.,2,0
17:54,302,Foul on Siler Schneider.,2,0
17:54,-1,Brennan Rakoz missed Free Throw.,2,0
17:54,-1,William Jessup Deadball Team Rebound.,2,0
17:54,-1,Brennan Rakoz made Free Throw.,3,0
17:37,302,Chima Moneke made Jumper.,3,2
17:25,-1,Keith Phillips made Three Point Jumper. Assisted by Brandon Lindsey.,6,2
17:08,302,TJ Shorts II missed Jumper.,6,2
17:08,-1,Keith Phillips Defensive Rebound.,6,2
16:44,-1,PJ Posey made Layup. Assisted by Keith Phillips.,8,2
16:23,302,TJ Shorts II Turnover.,8,2
16:11,-1,Luis Medearis missed Three Point Jumper.,8,2
16:11,302,UC Davis Defensive Rebound.,8,2
16:06,302,Arell Hennings made Layup.,8,4
15:58,-1,Brandon Lindsey missed Layup.,8,4
15:58,-1,Brennan Rakoz Offensive Rebound.,8,4
15:56,-1,Brennan Rakoz made Layup.,10,4
15:35,302,Arell Hennings made Three Point Jumper.,10,7
15:18,-1,PJ Posey made Layup.,12,7
14:59,-1,Foul on PJ Posey.,12,7
14:59,302,Official TV Timeout,12,7
14:59,302,Colin Russell made Free Throw.,12,8
14:59,302,Colin Russell made Free Throw.,12,9
14:43,-1,Keith Phillips missed Three Point Jumper.,12,9
14:43,302,Arell Hennings Defensive Rebound.,12,9
14:33,302,Delveion Jackson made Three Point Jumper. Assisted by Rogers Printup.,12,12
14:24,-1,Antonio Lewis missed Three Point Jumper.,12,12
14:24,302,A.J. John Defensive Rebound.,12,12
14:14,302,A.J. John missed Three Point Jumper.,12,12
14:14,-1,Brandon Lindsey Defensive Rebound.,12,12
14:07,-1,Brandon Lindsey made Layup.,14,12
13:49,302,Arell Hennings missed Three Point Jumper.,14,12
13:49,-1,Keith Phillips Defensive Rebound.,14,12
13:31,-1,PJ Posey missed Jumper.,14,12
13:31,302,Rogers Printup Defensive Rebound.,14,12
13:27,-1,Foul on Antonio Lewis.,14,12
13:16,302,Colin Russell missed Layup.,14,12
13:16,-1,Brennan Rakoz Defensive Rebound.,14,12
13:01,-1,Foul on Keith Phillips.,14,12
13:01,-1,Keith Phillips Turnover.,14,12
12:44,302,Rogers Printup made Three Point Jumper. Assisted by Arell Hennings.,14,15
12:32,-1,Wilson LaShells missed Three Point Jumper.,14,15
12:32,-1,Keith Phillips Offensive Rebound.,14,15
12:30,-1,Keith Phillips missed Layup.,14,15
12:30,-1,Keith Phillips Offensive Rebound.,14,15
12:22,-1,Wilson LaShells missed Three Point Jumper.,14,15
12:22,302,Delveion Jackson Defensive Rebound.,14,15
12:15,302,Arell Hennings made Layup.,14,17
11:49,-1,Luke Walker missed Jumper.,14,17
11:49,302,Arell Hennings Defensive Rebound.,14,17
11:35,302,Official TV Timeout,14,17
11:32,302,TJ Shorts II made Layup. Assisted by Garrison Goode.,14,19
11:25,-1,Keith Phillips made Layup. Assisted by Wilson LaShells.,16,19
11:13,302,Chima Moneke missed Jumper.,16,19
11:13,-1,Wilson LaShells Defensive Rebound.,16,19
10:54,302,Foul on TJ Shorts II.,16,19
10:42,-1,Keith Phillips missed Three Point Jumper.,16,19
10:42,302,Chima Moneke Defensive Rebound.,16,19
10:38,302,Chima Moneke Turnover.,16,19
10:15,-1,Foul on PJ Posey.,16,19
10:15,-1,PJ Posey Turnover.,16,19
9:52,302,Michael Onyebalu missed Three Point Jumper.,16,19
9:52,-1,PJ Posey Defensive Rebound.,16,19
9:44,-1,Brandon Lindsey Turnover.,16,19
9:32,302,Siler Schneider missed Layup.,16,19
9:32,302,Siler Schneider Offensive Rebound.,16,19
9:29,302,Siler Schneider made Layup.,16,21
9:06,-1,Brandon Lindsey missed Three Point Jumper.,16,21
9:06,302,TJ Shorts II Defensive Rebound.,16,21
8:59,302,TJ Shorts II made Layup.,16,23
8:38,-1,PJ Posey missed Jumper.,16,23
8:38,302,Michael Onyebalu Defensive Rebound.,16,23
8:24,302,Chima Moneke missed Jumper.,16,23
8:24,-1,Luis Medearis Defensive Rebound.,16,23
8:14,302,Foul on Michael Onyebalu.,16,23
8:06,302,Foul on Colin Russell.,16,23
8:01,-1,Antonio Lewis missed Layup.,16,23
8:01,302,A.J. John Block.,16,23
8:00,-1,Brennan Rakoz Offensive Rebound.,16,23
7:59,-1,Brennan Rakoz made Layup.,18,23
7:37,302,Delveion Jackson Turnover.,18,23
7:36,-1,Luis Medearis Steal.,18,23
7:32,-1,Tate DeLaVeaga missed Three Point Jumper.,18,23
7:32,-1,Brennan Rakoz Offensive Rebound.,18,23
7:22,-1,Tate DeLaVeaga missed Three Point Jumper.,18,23
7:22,302,Delveion Jackson Defensive Rebound.,18,23
7:17,302,Official TV Timeout,18,23
7:01,302,Michael Onyebalu made Three Point Jumper. Assisted by A.J. John.,18,26
6:53,-1,Tate DeLaVeaga missed Layup.,18,26
6:53,-1,Brennan Rakoz Offensive Rebound.,18,26
6:52,302,Foul on Colin Russell.,18,26
6:47,302,Foul on Colin Russell.,18,26
6:47,-1,Brennan Rakoz missed Free Throw.,18,26
6:47,-1,William Jessup Deadball Team Rebound.,18,26
6:47,-1,Brennan Rakoz missed Free Throw.,18,26
6:47,302,Michael Onyebalu Defensive Rebound.,18,26
6:35,302,Rogers Printup made Three Point Jumper.,18,29
6:21,-1,Antonio Lewis missed Jumper.,18,29
6:21,-1,William Jessup Deadball Team Rebound.,18,29
6:19,302,Foul on Michael Onyebalu.,18,29
6:19,-1,Keith Phillips made Free Throw.,19,29
6:19,-1,Keith Phillips made Free Throw.,20,29
6:08,-1,Foul on Keith Phillips.,20,29
6:08,302,A.J. John made Free Throw.,20,30
6:08,302,A.J. John made Free Throw.,20,31
5:50,-1,Brandon Lindsey Turnover.,20,31
5:50,302,A.J. John Steal.,20,31
5:50,-1,Foul on Wilson LaShells.,20,31
5:50,302,A.J. John made Free Throw.,20,32
5:50,302,A.J. John made Free Throw.,20,33
5:35,-1,Luis Medearis Turnover.,20,33
5:35,302,Arell Hennings Steal.,20,33
5:33,302,Arell Hennings made Layup.,20,35
5:13,302,Foul on Rogers Printup.,20,35
5:13,-1,Luis Medearis made Free Throw.,21,35
5:13,-1,Luis Medearis missed Free Throw.,21,35
5:13,302,A.J. John Defensive Rebound.,21,35
5:05,-1,Foul on Jayvon Stone.,21,35
5:05,302,Rogers Printup made Free Throw.,21,36
5:05,302,Rogers Printup made Free Throw.,21,37
4:39,-1,Brandon Lindsey Turnover.,21,37
4:39,302,Arell Hennings Steal.,21,37
4:32,302,Rogers Printup missed Three Point Jumper.,21,37
4:32,-1,Keith Phillips Defensive Rebound.,21,37
4:19,-1,Keith Phillips missed Three Point Jumper.,21,37
4:19,-1,Jayvon Stone Offensive Rebound.,21,37
4:12,-1,Tate DeLaVeaga missed Jumper.,21,37
4:12,302,A.J. John Defensive Rebound.,21,37
3:53,302,Delveion Jackson Turnover.,21,37
3:52,-1,Brennan Rakoz Steal.,21,37
3:48,-1,Tate DeLaVeaga missed Three Point Jumper.,21,37
3:48,-1,Keith Phillips Offensive Rebound.,21,37
3:46,-1,Keith Phillips made Layup.,23,37
3:46,302,UC Davis  Timeout,23,37
3:17,-1,Foul on Brennan Rakoz.,23,37
3:17,302,TJ Shorts II missed Free Throw.,23,37
3:17,302,UC Davis Deadball Team Rebound.,23,37
3:17,302,TJ Shorts II made Free Throw.,23,38
2:58,-1,Keith Phillips missed Jumper.,23,38
2:58,-1,Keith Phillips Offensive Rebound.,23,38
2:53,-1,Keith Phillips Turnover.,23,38
2:37,-1,Foul on Brennan Rakoz.,23,38
2:37,302,Michael Onyebalu missed Free Throw.,23,38
2:37,302,UC Davis Deadball Team Rebound.,23,38
2:37,302,Michael Onyebalu made Free Throw.,23,39
2:21,-1,Foul on Tate DeLaVeaga.,23,39
2:21,-1,Tate DeLaVeaga Turnover.,23,39
