Jackson State,2348,Louisiana Tech,2296
time,team_id,description,h_score,a_score
19:45,2348,DaQuan Bracey Turnover.,0,0
19:20,2296,Lemmie Howard missed Jumper.,0,0
19:20,2348,Jalen Harris Defensive Rebound.,0,0
19:02,2348,DaQuan Bracey made Layup.,0,2
18:44,2348,Foul on Jalen Harris.,0,2
18:44,2296,Chace Franklin missed Free Throw.,0,2
18:44,2296,Jackson State Deadball Team Rebound.,0,2
18:44,2296,Chace Franklin made Free Throw.,1,2
18:29,2348,Jalen Harris made Layup.,1,4
18:29,2296,Foul on Jeremiah Jefferson.,1,4
18:29,2348,Jalen Harris made Free Throw.,1,5
18:22,2296,Darius Austin missed Jumper.,1,5
18:22,2348,Joniah White Defensive Rebound.,1,5
18:04,2348,Joniah White made Jumper. Assisted by Jy'lan Washington.,1,7
18:04,2296,Foul on Darius Austin.,1,7
18:04,2348,Joniah White made Free Throw.,1,8
17:58,2296,Darius Austin Turnover.,1,8
17:50,2348,Jacobi Boykins made Layup.,1,10
17:35,2296,Lemmie Howard missed Jumper.,1,10
17:34,2296,Chace Franklin Offensive Rebound.,1,10
17:15,2296,Lemmie Howard made Layup.,3,10
16:53,2348,Jalen Harris made Free Throw.,3,12
16:53,2348,Jalen Harris made Free Throw.,3,11
16:53,2296,Foul on Lemmie Howard.,3,11
16:45,2348,Foul on Jy'lan Washington.,3,12
16:27,2296,Maurice Rivers made Jumper. Assisted by Chace Franklin.,5,12
16:07,2348,Jalen Harris missed Three Point Jumper.,5,12
16:07,2296,Maurice Rivers Defensive Rebound.,5,12
15:48,2296,Maurice Rivers made Layup. Assisted by Darius Austin.,7,12
15:48,2348,Foul on Jy'lan Washington.,7,12
15:48,2348,Official TV Timeout,7,12
15:48,2296,Maurice Rivers missed Free Throw.,7,12
15:48,2348,Anthony Duruji Defensive Rebound.,7,12
15:27,2348,Jacobi Boykins missed Jumper.,7,12
15:27,2296,Paris Collins Defensive Rebound.,7,12
15:17,2296,Chace Franklin made Three Point Jumper. Assisted by Paris Collins.,10,12
14:49,2296,Foul on Jesse Love.,10,12
14:49,2348,Oliver Powell missed Free Throw.,10,12
14:49,2348,Louisiana Tech Deadball Team Rebound.,10,12
14:49,2348,Oliver Powell made Free Throw.,10,13
14:38,2348,Foul on Anthony Duruji.,10,13
14:26,2296,Maurice Rivers made Jumper.,12,13
13:57,2348,Foul on DaQuan Bracey.,12,13
13:57,2348,DaQuan Bracey Turnover.,12,13
13:42,2296,Paris Collins missed Layup.,12,13
13:42,2348,Jacobi Boykins Block.,12,13
13:35,2348,Oliver Powell Defensive Rebound.,12,13
13:28,2348,Jalen Harris made Layup.,12,15
13:19,2296,Chace Franklin made Three Point Jumper. Assisted by Jesse Love.,15,15
13:05,2348,Jacobi Boykins made Three Point Jumper. Assisted by Jalen Harris.,15,18
12:41,2296,Maurice Rivers missed Jumper.,15,18
12:41,2348,Oliver Powell Defensive Rebound.,15,18
12:28,2348,Jalen Harris made Layup.,15,20
12:28,2296,Foul on Lemmie Howard.,15,20
12:28,2348,Jalen Harris made Free Throw.,15,21
12:02,2296,Maurice Rivers made Jumper. Assisted by Jeremiah Jefferson.,17,21
11:47,2348,Jalen Harris missed Three Point Jumper.,17,21
11:47,2348,Louisiana Tech Offensive Rebound.,17,21
11:40,2348,Official TV Timeout,17,21
11:20,2348,Derric Jean missed Three Point Jumper.,17,21
11:20,2348,Derric Jean Offensive Rebound.,17,21
11:16,2296,Foul on Maurice Rivers.,17,21
11:13,2348,Foul on JaColby Pemberton.,17,21
11:13,2348,JaColby Pemberton Turnover.,17,21
10:56,2296,Jeremiah Jefferson missed Jumper.,17,21
10:56,2296,Maurice Rivers Offensive Rebound.,17,21
10:47,2296,Jeremiah Jefferson missed Three Point Jumper.,17,21
10:47,2348,Derric Jean Defensive Rebound.,17,21
10:43,2296,Foul on Julian Daughtry.,17,21
10:43,2348,Derric Jean made Free Throw.,17,22
10:42,2348,Derric Jean made Free Throw.,17,23
10:34,2296,Chace Franklin missed Layup.,17,23
10:34,2296,Chace Franklin Offensive Rebound.,17,23
10:28,2296,Jackson State  Timeout,17,23
10:26,2296,Maurice Rivers made Jumper. Assisted by Paris Collins.,19,23
10:11,2296,Foul on Chace Franklin.,19,23
10:11,2348,JaColby Pemberton missed Free Throw.,19,23
10:11,2348,Louisiana Tech Deadball Team Rebound.,19,23
10:11,2348,JaColby Pemberton made Free Throw.,19,24
9:42,2296,Paris Collins Turnover.,19,24
9:21,2348,Exavian Christon made Layup. Assisted by JaColby Pemberton.,19,26
9:08,2348,Foul on Exavian Christon.,19,26
9:08,2296,Paris Collins made Free Throw.,20,26
9:08,2296,Paris Collins made Free Throw.,21,26
8:55,2348,Jalen Harris made Layup.,21,28
8:44,2296,Darius Austin missed Three Point Jumper.,21,28
8:44,2348,Jalen Harris Defensive Rebound.,21,28
8:30,2348,Jalen Harris made Three Point Jumper. Assisted by JaColby Pemberton.,21,31
8:08,2296,Paris Collins made Three Point Jumper. Assisted by Darius Austin.,24,31
7:43,2348,Jalen Harris made Jumper.,24,33
7:26,2296,Chace Franklin missed Jumper.,24,33
7:26,2296,Lemmie Howard Offensive Rebound.,24,33
7:20,2348,Foul on Derric Jean.,24,33
7:20,2348,Official TV Timeout,24,33
7:20,2296,Jeremiah Jefferson made Free Throw.,25,33
7:20,2296,Jeremiah Jefferson made Free Throw.,26,33
7:03,2348,DaQuan Bracey missed Three Point Jumper.,26,33
7:03,2296,Jesse Love Defensive Rebound.,26,33
6:55,2296,Jeremiah Jefferson missed Three Point Jumper.,26,33
6:55,2348,Jacobi Boykins Defensive Rebound.,26,33
6:47,2296,Foul on Jesse Love.,26,33
6:47,2348,DaQuan Bracey missed Free Throw.,26,33
6:47,2348,Louisiana Tech Deadball Team Rebound.,26,33
6:47,2348,DaQuan Bracey missed Free Throw.,26,33
6:46,2296,Jesse Love Defensive Rebound.,26,33
6:21,2296,Maurice Rivers missed Jumper.,26,33
6:20,2348,Jacobi Boykins Defensive Rebound.,26,33
5:48,2348,Jacobi Boykins made Three Point Jumper.,26,36
5:21,2296,Maurice Rivers missed Jumper.,26,36
5:20,2348,Jacobi Boykins Defensive Rebound.,26,36
5:13,2348,DaQuan Bracey made Layup.,26,38
5:00,2296,Maurice Rivers made Three Point Jumper.,29,38
4:48,2348,Derric Jean made Free Throw.,29,39
4:48,2348,Derric Jean made Free Throw.,29,40
4:48,2296,Foul on Maurice Rivers.,29,40
4:36,2296,Maurice Rivers missed Three Point Jumper.,29,40
4:36,2348,Jacobi Boykins Defensive Rebound.,29,40
4:33,2348,Foul on Jacobi Boykins.,29,40
4:33,2348,Jacobi Boykins Turnover.,29,40
4:29,2296,Maurice Rivers made Jumper. Assisted by Jeremiah Jefferson.,31,40
4:04,2348,Jacobi Boykins made Three Point Jumper. Assisted by DaQuan Bracey.,31,43
3:45,2296,Chace Franklin made Jumper. Assisted by Jesse Love.,33,43
3:25,2348,DaQuan Bracey made Dunk.,33,45
3:18,2296,Foul on Jeremiah Jefferson.,33,45
3:15,2348,Official TV Timeout,33,45
3:15,2348,DaQuan Bracey made Free Throw.,33,46
2:51,2296,Maurice Rivers made Jumper.,35,46
2:32,2348,Oliver Powell made Jumper.,35,48
2:24,2296,Jeremiah Jefferson missed Three Point Jumper.,35,48
2:24,2348,Oliver Powell Defensive Rebound.,35,48
2:14,2348,Anthony Duruji missed Three Point Jumper.,35,48
2:14,2296,Jeremiah Jefferson Defensive Rebound.,35,48
1:53,2296,Paris Collins missed Three Point Jumper.,35,48
1:53,2296,Maurice Rivers Offensive Rebound.,35,48
1:48,2296,Maurice Rivers made Jumper.,37,48
1:40,2348,Louisiana Tech  Timeout,37,48
1:21,2348,DaQuan Bracey made Three Point Jumper. Assisted by Jalen Harris.,37,51
1:01,2348,Foul on Joniah White.,37,51
1:01,2296,Darius Austin missed Free Throw.,37,51
1:01,2296,Jackson State Deadball Team Rebound.,37,51
1:01,2296,Darius Austin made Free Throw.,38,51
0:52,2348,Jalen Harris made Layup.,38,53
0:34,2296,Julian Daughtry missed Jumper.,38,53
0:34,2348,Jacobi Boykins Defensive Rebound.,38,53
0:28,2348,Foul on Jacobi Boykins.,38,53
0:28,2348,Jacobi Boykins Turnover.,38,53
0:28,2348,Technical Foul on Jalen Harris.,38,53
0:28,2348,Foul on Jalen Harris.,38,53
0:28,2296,Jeremiah Jefferson made Free Throw.,39,53
0:28,2296,Jeremiah Jefferson made Free Throw.,40,53
0:05,2296,Jeremiah Jefferson missed Three Point Jumper.,40,53
0:05,2348,Joniah White Defensive Rebound.,40,53
0:00,2348,End of 1st half,40,53
19:52,2348,Jacobi Boykins missed Three Point Jumper.,40,53
19:52,2296,Paris Collins Defensive Rebound.,40,53
