Fairfield,2341,LIU Brooklyn,2217
time,team_id,description,h_score,a_score
19:46,2217,Matija Milin Turnover.,0,0
19:25,2341,Zach Coleman missed Layup.,0,0
19:25,2217,Jonathan Kasibabu Defensive Rebound.,0,0
19:12,2217,Matija Milin missed Three Point Jumper.,0,0
19:12,2341,Zach Coleman Defensive Rebound.,0,0
19:03,2341,Jashaun Agosto missed Three Point Jumper.,0,0
19:03,2341,Zach Coleman Offensive Rebound.,0,0
18:44,2341,Joel Hernandez missed Jumper.,0,0
18:44,2217,Jerome Segura Defensive Rebound.,0,0
18:33,2217,Jerome Segura made Jumper.,2,0
18:07,2341,Raiquan Clark made Layup.,2,2
17:53,2217,Matija Milin made Layup.,4,2
17:23,2341,Raiquan Clark missed Jumper.,4,2
17:23,2217,Jerome Segura Defensive Rebound.,4,2
17:21,2341,Foul on Joel Hernandez.,4,2
17:05,2217,Jesus Cruz Turnover.,4,2
16:57,2341,Joel Hernandez Turnover.,4,2
16:39,2217,Matija Milin missed Layup.,4,2
16:39,2217,Jonathan Kasibabu Offensive Rebound.,4,2
16:37,2217,Jonathan Kasibabu made Layup.,6,2
16:13,2341,Joel Hernandez made Three Point Jumper.,6,5
16:03,2217,Jesus Cruz missed Three Point Jumper.,6,5
16:03,2341,Julian Batts Defensive Rebound.,6,5
15:55,2217,Foul on Jonathan Kasibabu.,6,5
15:55,2341,Official TV Timeout,6,5
15:55,2341,Zach Coleman made Free Throw.,6,6
15:55,2341,Zach Coleman made Free Throw.,6,7
15:39,2217,Matija Milin missed Layup.,6,7
15:39,2341,Zach Coleman Defensive Rebound.,6,7
15:31,2341,Jashaun Agosto missed Jumper.,6,7
15:31,2217,Fairfield Defensive Rebound.,6,7
15:12,2217,Tyler Nelson made Jumper. Assisted by Jerome Segura.,8,7
14:43,2341,Zach Coleman missed Three Point Jumper.,8,7
14:43,2217,Fairfield Defensive Rebound.,8,7
14:32,2217,Jerome Segura made Layup.,10,7
14:07,2341,Jamall Robinson missed Jumper.,10,7
14:07,2217,Jonathan Kasibabu Defensive Rebound.,10,7
14:05,2341,Foul on Julius van Sauers.,10,7
14:05,2217,Fairfield  Timeout,10,7
13:56,2341,Foul on Raiquan Clark.,10,7
13:56,2217,Jonathan Kasibabu made Free Throw.,11,7
13:56,2217,Jonathan Kasibabu missed Free Throw.,11,7
13:56,2341,Raiquan Clark Defensive Rebound.,11,7
13:48,2217,Foul on Ferron Flavors Jr..,11,7
13:35,2341,Jamall Robinson missed Three Point Jumper.,11,7
13:35,2217,Tyler Nelson Defensive Rebound.,11,7
13:24,2217,Ferron Flavors Jr. missed Three Point Jumper.,11,7
13:24,2341,Raiquan Clark Defensive Rebound.,11,7
13:21,2217,Foul on Jonathan Kasibabu.,11,7
12:58,2341,Julian Batts made Layup.,11,9
12:58,2217,Foul on Omar El-Sheikh.,11,9
12:58,2341,Julian Batts made Free Throw.,11,10
12:55,2341,Foul on Jashaun Agosto.,11,10
12:44,2217,Ferron Flavors Jr. missed Three Point Jumper.,11,10
12:44,2341,Julian Batts Defensive Rebound.,11,10
12:26,2341,Jashaun Agosto made Layup.,11,12
12:26,2217,Foul on Wassef Methnani.,11,12
12:26,2341,Jashaun Agosto made Free Throw.,11,13
12:15,2217,Matija Milin made Three Point Jumper. Assisted by Jerome Segura.,14,13
11:54,2341,Raul Frias missed Three Point Jumper.,14,13
11:54,2217,Tyler Nelson Defensive Rebound.,14,13
11:45,2217,Matija Milin missed Three Point Jumper.,14,13
11:45,2341,Julian Batts Defensive Rebound.,14,13
11:39,2341,Julian Batts missed Three Point Jumper.,14,13
11:39,2217,Kevin Senghore-Peterson Defensive Rebound.,14,13
11:24,2217,Ferron Flavors Jr. missed Jumper.,14,13
11:24,2341,Julian Batts Defensive Rebound.,14,13
11:04,2341,Joel Hernandez Turnover.,14,13
11:04,2217,Tyler Nelson Steal.,14,13
10:57,2217,Ferron Flavors Jr. made Layup.,16,13
10:49,2217,Foul on Kevin Senghore-Peterson.,16,13
10:49,2341,Official TV Timeout,16,13
10:35,2341,Joel Hernandez missed Jumper.,16,13
10:35,2217,Tyler Nelson Defensive Rebound.,16,13
10:25,2217,Jesus Cruz made Layup.,18,13
10:01,2217,Foul on Matija Milin.,18,13
10:01,2341,Jashaun Agosto made Free Throw.,18,14
10:01,2341,Jashaun Agosto made Free Throw.,18,15
9:44,2217,Kevin Senghore-Peterson missed Layup.,18,15
9:44,2341,LIU Brooklyn Defensive Rebound.,18,15
9:18,2341,Raul Frias missed Three Point Jumper.,18,15
9:18,2341,Julius van Sauers Offensive Rebound.,18,15
9:12,2341,Jashaun Agosto missed Jumper.,18,15
9:12,2341,Joel Hernandez Offensive Rebound.,18,15
9:11,2217,Foul on Kevin Senghore-Peterson.,18,15
9:11,2341,Joel Hernandez missed Free Throw.,18,15
9:11,2217,Omar El-Sheikh Defensive Rebound.,18,15
8:48,2217,Jesus Cruz missed Jumper.,18,15
8:48,2341,Raiquan Clark Defensive Rebound.,18,15
8:35,2341,Zach Coleman made Layup. Assisted by Joel Hernandez.,18,17
8:21,2217,Jerome Segura made Jumper.,20,17
