Bryant,97,Louisville,2803
time,team_id,description,h_score,a_score
20:00,97,Jump Ball won by Louisville,0,0
19:53,97,Anas Mahmoud made Layup. Assisted by Quentin Snider.,0,2
19:25,2803,Bosko Kostur made Three Point Jumper. Assisted by Ikenna Ndugba.,3,2
19:00,97,Ray Spalding missed Jumper.,3,2
19:00,97,Anas Mahmoud Offensive Rebound.,3,2
18:58,97,Quentin Snider made Three Point Jumper. Assisted by V.J. King.,3,5
18:42,2803,Brandon Carroll made Jumper.,5,5
18:27,2803,Foul on Sabastian Townes.,5,5
18:27,97,Deng Adel made Free Throw.,5,6
18:27,97,Deng Adel made Free Throw.,5,7
18:22,2803,Taylor McHugh Turnover.,5,7
18:22,97,Ray Spalding Steal.,5,7
18:18,97,Anas Mahmoud made Dunk.,5,9
17:50,2803,Brandon Carroll missed Jumper.,5,9
17:50,97,Ray Spalding Block.,5,9
17:50,97,Quentin Snider Defensive Rebound.,5,9
17:42,97,Ray Spalding made Jumper. Assisted by V.J. King.,5,11
17:26,2803,Sabastian Townes missed Jumper.,5,11
17:26,97,Anas Mahmoud Defensive Rebound.,5,11
17:17,97,V.J. King made Layup.,5,13
17:17,2803,Bryant  Timeout,5,13
17:02,2803,Sabastian Townes made Layup. Assisted by Ikenna Ndugba.,7,13
16:41,97,Quentin Snider missed Three Point Jumper.,7,13
16:41,2803,Bosko Kostur Defensive Rebound.,7,13
16:29,2803,Sabastian Townes made Layup. Assisted by Ikenna Ndugba.,9,13
16:10,2803,Foul on Sabastian Townes.,9,13
15:59,97,Deng Adel missed Three Point Jumper.,9,13
15:59,2803,Brandon Carroll Defensive Rebound.,9,13
15:45,2803,Ikenna Ndugba missed Three Point Jumper.,9,13
15:45,97,V.J. King Defensive Rebound.,9,13
15:33,97,V.J. King made Three Point Jumper. Assisted by Deng Adel.,9,16
15:18,2803,Hunter Ware Turnover.,9,16
15:18,97,Dwayne Sutton Steal.,9,16
15:14,2803,Foul on Ikenna Ndugba.,9,16
15:14,97,Official TV Timeout,9,16
15:05,97,V.J. King missed Jumper.,9,16
15:05,2803,Bosko Kostur Defensive Rebound.,9,16
14:45,97,Foul on Ray Spalding.,9,16
14:45,2803,Ikenna Ndugba made Free Throw.,10,16
14:45,2803,Ikenna Ndugba made Free Throw.,11,16
14:37,97,Darius Perry missed Three Point Jumper.,11,16
14:37,97,Dwayne Sutton Offensive Rebound.,11,16
14:33,2803,Foul on Bosko Kostur.,11,16
14:20,2803,Foul on Bosko Kostur.,11,16
14:20,97,Anas Mahmoud missed Free Throw.,11,16
14:20,97,Louisville Deadball Team Rebound.,11,16
14:20,97,Anas Mahmoud made Free Throw.,11,17
14:05,2803,Ikenna Ndugba missed Layup.,11,17
14:05,2803,Bryant Offensive Rebound.,11,17
14:03,2803,Ryan Layman made Layup. Assisted by Taylor McHugh.,13,17
13:47,97,Anas Mahmoud made Layup.,13,19
13:26,2803,Ryan Layman Turnover.,13,19
13:26,97,Ryan McMahon Steal.,13,19
13:17,97,Dwayne Sutton missed Layup.,13,19
13:17,2803,Brandon Carroll Defensive Rebound.,13,19
13:04,97,Foul on Jordan Nwora.,13,19
13:04,2803,Brandon Carroll made Free Throw.,14,19
13:04,2803,Brandon Carroll made Free Throw.,15,19
12:51,97,Ryan McMahon missed Three Point Jumper.,15,19
12:51,2803,Brandon Carroll Defensive Rebound.,15,19
12:34,2803,Ikenna Ndugba Turnover.,15,19
12:34,97,Jordan Nwora Steal.,15,19
12:26,97,Anas Mahmoud made Jumper. Assisted by Jordan Nwora.,15,21
12:13,97,Foul on Darius Perry.,15,21
12:06,2803,Ikenna Ndugba missed Layup.,15,21
12:06,97,Anas Mahmoud Defensive Rebound.,15,21
11:54,97,Ryan McMahon made Jumper.,15,23
11:33,2803,Sabastian Townes made Layup.,17,23
11:24,97,Darius Perry missed Jumper.,17,23
11:24,2803,Taylor McHugh Defensive Rebound.,17,23
11:07,97,Official TV Timeout,17,23
10:54,2803,Taylor McHugh missed Layup.,17,23
10:54,97,Ray Spalding Defensive Rebound.,17,23
10:48,97,Quentin Snider made Layup.,17,25
10:23,2803,Bosko Kostur missed Three Point Jumper.,17,25
10:23,97,Jordan Nwora Defensive Rebound.,17,25
10:11,97,Ryan McMahon missed Three Point Jumper.,17,25
10:11,97,Malik Williams Offensive Rebound.,17,25
9:47,97,Jordan Nwora missed Three Point Jumper.,17,25
9:47,2803,Taylor McHugh Defensive Rebound.,17,25
9:22,2803,Sabastian Townes made Jumper.,19,25
9:13,97,Foul on Jordan Nwora.,19,25
9:13,97,Jordan Nwora Turnover.,19,25
8:55,2803,Ikenna Ndugba missed Three Point Jumper.,19,25
8:55,97,Quentin Snider Defensive Rebound.,19,25
8:44,97,Malik Williams missed Three Point Jumper.,19,25
8:44,2803,Gus Riley Defensive Rebound.,19,25
8:36,97,Foul on Ryan McMahon.,19,25
8:32,2803,Ikenna Ndugba made Layup.,21,25
8:29,97,Louisville  Timeout,21,25
8:23,2803,Foul on Brandon Carroll.,21,25
8:01,2803,Foul on Brandon Carroll.,21,25
8:01,97,Quentin Snider missed Free Throw.,21,25
8:01,97,Louisville Deadball Team Rebound.,21,25
8:01,97,Quentin Snider made Free Throw.,21,26
7:39,2803,Ikenna Ndugba made Three Point Jumper.,24,26
7:12,97,Anas Mahmoud made Layup. Assisted by Ray Spalding.,24,28
6:49,2803,Sabastian Townes missed Layup.,24,28
6:49,97,Anas Mahmoud Block.,24,28
6:49,2803,Bosko Kostur Offensive Rebound.,24,28
6:37,2803,Sabastian Townes made Jumper.,26,28
6:14,97,Anas Mahmoud missed Layup.,26,28
6:14,97,Anas Mahmoud Offensive Rebound.,26,28
6:09,97,Ray Spalding missed Jumper.,26,28
6:09,97,Anas Mahmoud Offensive Rebound.,26,28
5:55,97,Anas Mahmoud made Layup.,26,30
5:33,2803,Brandon Carroll made Jumper. Assisted by Ikenna Ndugba.,28,30
5:21,2803,Foul on Gus Riley.,28,30
5:21,97,Ray Spalding made Free Throw.,28,31
5:21,97,Ray Spalding missed Free Throw.,28,31
5:21,2803,Ikenna Ndugba Defensive Rebound.,28,31
5:11,2803,Sabastian Townes made Layup. Assisted by Bosko Kostur.,30,31
4:58,97,Deng Adel missed Jumper.,30,31
4:58,97,Anas Mahmoud Offensive Rebound.,30,31
4:53,97,Anas Mahmoud made Layup.,30,33
4:39,2803,Bryant  Turnover.,30,33
4:33,97,V.J. King missed Three Point Jumper.,30,33
4:33,97,Anas Mahmoud Offensive Rebound.,30,33
4:25,97,Anas Mahmoud made Layup.,30,35
4:07,2803,Bosko Kostur missed Three Point Jumper.,30,35
4:07,97,Ray Spalding Defensive Rebound.,30,35
3:54,97,Deng Adel made Jumper.,30,37
3:54,2803,Foul on Taylor McHugh.,30,37
3:54,97,Official TV Timeout,30,37
3:54,97,Deng Adel made Free Throw.,30,38
3:46,2803,Taylor McHugh Turnover.,30,38
3:46,97,V.J. King Steal.,30,38
3:31,97,Dwayne Sutton made Layup. Assisted by Ray Spalding.,30,40
3:13,2803,Sabastian Townes Turnover.,30,40
3:13,97,Ray Spalding Steal.,30,40
3:05,97,Ray Spalding made Dunk. Assisted by Deng Adel.,30,42
2:51,97,Foul on Dwayne Sutton.,30,42
2:51,2803,Ikenna Ndugba made Free Throw.,31,42
2:51,2803,Ikenna Ndugba made Free Throw.,32,42
2:40,97,Deng Adel made Three Point Jumper. Assisted by V.J. King.,32,45
2:25,97,Foul on V.J. King.,32,45
2:25,2803,Ikenna Ndugba made Free Throw.,33,45
2:25,2803,Ikenna Ndugba missed Free Throw.,33,45
2:25,97,V.J. King Defensive Rebound.,33,45
2:10,97,Deng Adel made Jumper.,33,47
1:44,2803,Hunter Ware missed Jumper.,33,47
1:44,97,Dwayne Sutton Defensive Rebound.,33,47
1:29,97,Quentin Snider made Jumper.,33,49
1:27,2803,Bryant  Timeout,33,49
1:21,97,Foul on Quentin Snider.,33,49
1:21,2803,Ikenna Ndugba made Free Throw.,34,49
1:21,2803,Ikenna Ndugba made Free Throw.,35,49
1:11,97,Ray Spalding made Dunk. Assisted by Ryan McMahon.,35,51
0:41,2803,Ikenna Ndugba missed Jumper.,35,51
0:41,97,Ray Spalding Defensive Rebound.,35,51
0:28,97,Foul on V.J. King.,35,51
0:28,97,V.J. King Turnover.,35,51
0:22,2803,Brandon Carroll Turnover.,35,51
0:00,97,End of 1st half,35,51
20:00,2803,Jump Ball won by Bryant,35,51
19:42,2803,Ikenna Ndugba missed Layup.,35,51
19:42,97,Anas Mahmoud Block.,35,51
19:42,2803,Sabastian Townes Offensive Rebound.,35,51
19:33,2803,Sabastian Townes missed Layup.,35,51
19:33,97,Anas Mahmoud Block.,35,51
19:33,2803,Brandon Carroll Offensive Rebound.,35,51
19:26,2803,Brandon Carroll made Layup.,37,51
19:17,97,Ray Spalding missed Jumper.,37,51
19:17,2803,Sabastian Townes Defensive Rebound.,37,51
19:04,97,Foul on Ray Spalding.,37,51
18:58,2803,Sabastian Townes missed Jumper.,37,51
18:58,97,Quentin Snider Defensive Rebound.,37,51
18:43,97,Deng Adel Turnover.,37,51
18:26,2803,Brandon Carroll made Jumper.,39,51
18:14,97,Quentin Snider made Three Point Jumper. Assisted by Deng Adel.,39,54
18:05,2803,Ikenna Ndugba missed Three Point Jumper.,39,54
18:05,97,Quentin Snider Defensive Rebound.,39,54
17:57,97,Quentin Snider made Three Point Jumper. Assisted by Deng Adel.,39,57
17:41,2803,Sabastian Townes missed Layup.,39,57
17:41,2803,Brandon Carroll Offensive Rebound.,39,57
17:32,2803,Brandon Carroll missed Layup.,39,57
17:32,97,Anas Mahmoud Defensive Rebound.,39,57
17:26,97,Deng Adel made Layup. Assisted by Ray Spalding.,39,59
17:11,2803,Brandon Carroll missed Three Point Jumper.,39,59
17:11,97,V.J. King Defensive Rebound.,39,59
16:55,97,Quentin Snider made Three Point Jumper. Assisted by Anas Mahmoud.,39,62
16:49,2803,Bryant  Timeout,39,62
16:42,2803,Bryant  Timeout,39,62
16:36,2803,Ikenna Ndugba missed Layup.,39,62
16:36,97,Ray Spalding Defensive Rebound.,39,62
16:18,2803,Foul on Bosko Kostur.,39,62
16:06,97,Anas Mahmoud missed Jumper.,39,62
16:06,2803,Brandon Carroll Defensive Rebound.,39,62
15:41,2803,Taylor McHugh made Three Point Jumper.,42,62
15:25,97,Deng Adel made Layup.,42,64
15:21,97,Official TV Timeout,42,64
15:11,2803,Ikenna Ndugba missed Jumper.,42,64
15:11,97,Ray Spalding Block.,42,64
15:11,97,Ray Spalding Defensive Rebound.,42,64
14:47,97,V.J. King missed Jumper.,42,64
14:47,97,Ray Spalding Offensive Rebound.,42,64
14:47,97,Ray Spalding made Two Point Tip Shot.,42,66
14:22,2803,Hunter Ware missed Jumper.,42,66
14:22,97,Anas Mahmoud Defensive Rebound.,42,66
13:57,97,Quentin Snider missed Three Point Jumper.,42,66
13:57,97,Ray Spalding Offensive Rebound.,42,66
13:49,97,Deng Adel missed Three Point Jumper.,42,66
13:49,97,Ray Spalding Offensive Rebound.,42,66
13:49,2803,Foul on Bosko Kostur.,42,66
13:49,97,Ray Spalding made Free Throw.,42,67
13:49,97,Ray Spalding made Free Throw.,42,68
13:49,2803,Ikenna Ndugba Turnover.,42,68
13:49,97,Ray Spalding Steal.,42,68
13:49,2803,Foul on Ikenna Ndugba.,42,68
13:36,97,Deng Adel made Three Point Jumper. Assisted by Quentin Snider.,42,71
13:04,2803,Ikenna Ndugba made Three Point Jumper.,45,71
12:50,97,Ray Spalding missed Three Point Jumper.,45,71
12:50,97,Malik Williams Offensive Rebound.,45,71
12:44,97,Malik Williams missed Jumper.,45,71
12:44,2803,Ryan Layman Defensive Rebound.,45,71
12:11,2803,Ikenna Ndugba Turnover.,45,71
12:11,97,Ryan McMahon Steal.,45,71
12:08,97,V.J. King made Dunk.,45,73
11:48,2803,Ikenna Ndugba missed Three Point Jumper.,45,73
11:48,97,Ray Spalding Defensive Rebound.,45,73
11:37,97,Deng Adel missed Dunk.,45,73
11:37,2803,Bryant Defensive Rebound.,45,73
11:37,97,Official TV Timeout,45,73
11:24,2803,Taylor McHugh missed Three Point Jumper.,45,73
11:24,97,Dwayne Sutton Defensive Rebound.,45,73
11:03,97,V.J. King missed Jumper.,45,73
11:03,2803,Ryan Layman Defensive Rebound.,45,73
10:44,2803,Ryan Layman missed Three Point Jumper.,45,73
10:44,2803,Sabastian Townes Offensive Rebound.,45,73
10:37,2803,Sabastian Townes missed Layup.,45,73
10:37,97,V.J. King Defensive Rebound.,45,73
10:30,97,Dwayne Sutton made Three Point Jumper. Assisted by Ryan McMahon.,45,76
10:10,2803,Tanner Johnson missed Three Point Jumper.,45,76
10:10,97,Darius Perry Defensive Rebound.,45,76
10:05,97,Dwayne Sutton made Three Point Jumper. Assisted by Darius Perry.,45,79
9:44,97,Foul on Ryan McMahon.,45,79
9:35,2803,Ikenna Ndugba made Jumper.,47,79
9:20,97,Dwayne Sutton missed Three Point Jumper.,47,79
9:20,2803,Sabastian Townes Defensive Rebound.,47,79
9:08,97,Foul on Darius Perry.,47,79
9:08,2803,Ikenna Ndugba missed Free Throw.,47,79
9:08,2803,Bryant Deadball Team Rebound.,47,79
9:08,2803,Ikenna Ndugba missed Free Throw.,47,79
9:08,97,Malik Williams Defensive Rebound.,47,79
8:54,97,Darius Perry missed Three Point Jumper.,47,79
8:54,97,Lance Thomas Offensive Rebound.,47,79
8:46,97,Lance Thomas made Layup.,47,81
8:28,2803,Ikenna Ndugba missed Layup.,47,81
8:28,97,Dwayne Sutton Defensive Rebound.,47,81
8:24,2803,Technical Foul on Ikenna Ndugba.,47,81
8:24,97,Darius Perry made Free Throw.,47,82
8:24,2803,Foul on Ikenna Ndugba.,47,81
8:24,97,Darius Perry made Free Throw.,47,83
8:17,97,Lance Thomas made Dunk. Assisted by Darius Perry.,47,85
8:13,97,Foul on Lance Thomas.,47,85
8:13,97,Technical Foul on Lance Thomas.,47,85
8:13,2803,Bosko Kostur made Free Throw.,48,85
8:13,2803,Bosko Kostur made Free Throw.,49,85
8:07,2803,Foul on Sabastian Townes.,49,85
8:07,2803,Sabastian Townes Turnover.,49,85
7:59,97,Malik Williams Turnover.,49,85
7:59,2803,Ryan Layman Steal.,49,85
7:46,2803,Bosko Kostur Turnover.,49,85
7:46,97,Malik Williams Steal.,49,85
7:41,97,Dwayne Sutton Turnover.,49,85
7:41,97,Official TV Timeout,49,85
7:16,2803,Ikenna Ndugba missed Three Point Jumper.,49,85
7:16,97,Lance Thomas Defensive Rebound.,49,85
6:53,97,Lance Thomas made Jumper. Assisted by Darius Perry.,49,87
6:38,2803,Ikenna Ndugba Turnover.,49,87
6:38,97,Lance Thomas Steal.,49,87
6:30,97,Jordan Nwora missed Layup.,49,87
6:30,97,Malik Williams Offensive Rebound.,49,87
6:12,97,Malik Williams made Layup.,49,89
6:04,2803,Gus Riley missed Jumper.,49,89
6:04,97,Jordan Nwora Defensive Rebound.,49,89
5:58,97,Jordan Nwora missed Jumper.,49,89
5:58,2803,Gus Riley Defensive Rebound.,49,89
5:42,2803,Brandon Carroll missed Jumper.,49,89
5:42,97,Jordan Nwora Block.,49,89
5:42,97,Lance Thomas Defensive Rebound.,49,89
5:42,2803,Foul on Bosko Kostur.,49,89
5:30,2803,Foul on Gus Riley.,49,89
5:30,97,Lance Thomas made Free Throw.,49,90
5:30,97,Lance Thomas missed Free Throw.,49,90
5:30,2803,Gus Riley Defensive Rebound.,49,90
5:15,97,Foul on Lance Thomas.,49,90
5:13,2803,Taylor McHugh missed Three Point Jumper.,49,90
5:13,2803,Gus Riley Offensive Rebound.,49,90
4:53,97,Foul on Darius Perry.,49,90
4:53,2803,Taylor McHugh made Free Throw.,50,90
4:53,2803,Taylor McHugh made Free Throw.,51,90
4:36,97,Lance Thomas made Jumper. Assisted by Darius Perry.,51,92
4:17,2803,Sabastian Townes missed Layup.,51,92
4:17,97,Lance Thomas Defensive Rebound.,51,92
4:12,2803,Foul on Sabastian Townes.,51,92
4:12,97,Lance Thomas made Free Throw.,51,93
4:12,97,Lance Thomas missed Free Throw.,51,93
4:12,2803,Ikenna Ndugba Defensive Rebound.,51,93
3:57,2803,Ryan Layman missed Three Point Jumper.,51,93
3:57,97,Lance Thomas Defensive Rebound.,51,93
3:47,97,Jordan Nwora missed Three Point Jumper.,51,93
3:47,2803,Tanner Johnson Defensive Rebound.,51,93
3:36,97,Foul on Malik Williams.,51,93
3:36,97,Official TV Timeout,51,93
3:36,2803,Tanner Johnson made Free Throw.,52,93
3:36,2803,Tanner Johnson made Free Throw.,53,93
3:15,97,Jo Griffin missed Three Point Jumper.,53,93
3:15,97,Lance Thomas Offensive Rebound.,53,93
3:00,97,Jo Griffin Turnover.,53,93
3:00,2803,Ikenna Ndugba Steal.,53,93
2:56,2803,Tanner Johnson missed Three Point Jumper.,53,93
2:56,2803,Monty Urmilevicius Offensive Rebound.,53,93
2:56,2803,Monty Urmilevicius made Two Point Tip Shot.,55,93
2:26,97,Jacob Redding made Three Point Jumper. Assisted by Jo Griffin.,55,96
1:53,2803,Brandon Carroll missed Jumper.,55,96
1:53,97,Lance Thomas Block.,55,96
1:53,2803,Ryan Layman Offensive Rebound.,55,96
1:46,2803,Ryan Layman made Layup.,57,96
1:38,97,Jordan Nwora made Layup.,57,98
1:22,97,Foul on Lance Thomas.,57,98
1:22,2803,Monty Urmilevicius missed Free Throw.,57,98
1:22,97,Malik Williams Defensive Rebound.,57,98
1:03,2803,Foul on Brandon Carroll.,57,98
1:03,97,Jacob Redding made Free Throw.,57,99
1:03,97,Jacob Redding made Free Throw.,57,100
0:47,2803,Tanner Johnson missed Three Point Jumper.,57,100
0:47,97,Lance Thomas Defensive Rebound.,57,100
0:37,97,Lance Thomas missed Three Point Jumper.,57,100
0:37,97,Malik Williams Offensive Rebound.,57,100
0:33,97,Malik Williams made Layup.,57,102
0:12,2803,Tanner Johnson missed Layup.,57,102
0:12,2803,Monty Urmilevicius Offensive Rebound.,57,102
0:07,2803,Monty Urmilevicius made Layup.,59,102
0:00,97,End of Game,59,102
