Saint Peter's,2550,Seton Hall,2612
time,team_id,description,h_score,a_score
20:00,2612,Jump Ball won by Saint Peter's,0,0
19:39,2550,Ismael Sanogo made Jumper. Assisted by Khadeen Carrington.,0,2
19:08,2612,Davauhnte Turner Turnover.,0,2
18:55,2550,Desi Rodriguez Turnover.,0,2
18:31,2612,Nick Griffin Turnover.,0,2
18:31,2550,Ismael Sanogo Steal.,0,2
18:26,2550,Myles Powell made Layup. Assisted by Ismael Sanogo.,0,4
17:52,2612,Nick Griffin missed Jumper.,0,4
17:52,2612,Nnamdi Enechionyia Offensive Rebound.,0,4
17:48,2612,Nnamdi Enechionyia missed Layup.,0,4
17:48,2550,Ismael Sanogo Block.,0,4
17:48,2550,Desi Rodriguez Defensive Rebound.,0,4
17:42,2550,Myles Powell missed Three Point Jumper.,0,4
17:42,2550,Desi Rodriguez Offensive Rebound.,0,4
17:42,2550,Desi Rodriguez made Layup.,0,6
17:42,2612,Saint Peter's  Timeout,0,6
17:12,2612,Davauhnte Turner missed Three Point Jumper.,0,6
17:12,2612,Nnamdi Enechionyia Offensive Rebound.,0,6
16:51,2612,Quinn Taylor Turnover.,0,6
16:51,2550,Desi Rodriguez Steal.,0,6
16:51,2550,Jump Ball won by Seton Hall,0,6
16:42,2550,Desi Rodriguez missed Layup.,0,6
16:42,2612,Julian Powell Block.,0,6
16:42,2612,Quinn Taylor Defensive Rebound.,0,6
16:30,2612,Julian Powell missed Three Point Jumper.,0,6
16:30,2550,Myles Powell Defensive Rebound.,0,6
16:25,2550,Angel Delgado made Layup. Assisted by Desi Rodriguez.,0,8
15:54,2612,Sam Idowu missed Jumper.,0,8
15:54,2612,Sam Idowu Offensive Rebound.,0,8
15:51,2612,Sam Idowu made Layup.,2,8
15:46,2550,Khadeen Carrington missed Layup.,2,8
15:46,2612,Sam Idowu Block.,2,8
15:46,2612,Davauhnte Turner Defensive Rebound.,2,8
15:19,2612,Quinn Taylor missed Three Point Jumper.,2,8
15:19,2550,Angel Delgado Defensive Rebound.,2,8
15:19,2550,Official TV Timeout,2,8
15:11,2550,Angel Delgado made Layup. Assisted by Khadeen Carrington.,2,10
14:55,2612,Elijah Gonzales missed Three Point Jumper.,2,10
14:55,2550,Desi Rodriguez Defensive Rebound.,2,10
14:48,2550,Khadeen Carrington made Jumper.,2,12
14:15,2612,Sam Idowu missed Jumper.,2,12
14:15,2550,Ismael Sanogo Defensive Rebound.,2,12
14:00,2550,Desi Rodriguez Turnover.,2,12
14:00,2612,Elijah Gonzales Steal.,2,12
13:45,2612,Julian Powell missed Three Point Jumper.,2,12
13:45,2550,Ismael Sanogo Defensive Rebound.,2,12
13:33,2550,Desi Rodriguez missed Three Point Jumper.,2,12
13:33,2612,Nick Griffin Defensive Rebound.,2,12
13:09,2550,Foul on Ismael Sanogo.,2,12
12:52,2612,Mamadou Ndiaye missed Jumper.,2,12
12:52,2550,Desi Rodriguez Defensive Rebound.,2,12
12:36,2550,Sandro Mamukelashvili Turnover.,2,12
12:21,2550,Foul on Sandro Mamukelashvili.,2,12
12:21,2612,Quinn Taylor made Free Throw.,3,12
12:21,2612,Quinn Taylor made Free Throw.,4,12
12:04,2550,Myles Cale missed Three Point Jumper.,4,12
12:04,2550,Eron Gordon Offensive Rebound.,4,12
11:54,2550,Desi Rodriguez missed Layup.,4,12
11:54,2612,Saint Peter's Defensive Rebound.,4,12
11:54,2550,Foul on Michael Nzei.,4,12
11:54,2550,Official TV Timeout,4,12
11:19,2612,Foul on Quinn Taylor.,4,12
11:19,2612,Quinn Taylor Turnover.,4,12
11:08,2550,Myles Powell made Layup.,4,14
10:43,2612,Nnamdi Enechionyia missed Three Point Jumper.,4,14
10:43,2550,Michael Nzei Defensive Rebound.,4,14
10:30,2550,Sandro Mamukelashvili missed Jumper.,4,14
10:30,2550,Eron Gordon Offensive Rebound.,4,14
10:24,2550,Myles Powell missed Three Point Jumper.,4,14
10:24,2550,Sandro Mamukelashvili Offensive Rebound.,4,14
10:24,2550,Sandro Mamukelashvili made Layup.,4,16
10:24,2550,Official TV Timeout,4,16
10:24,2612,Saint Peter's  Timeout,4,16
10:08,2612,Davauhnte Turner missed Layup.,4,16
10:08,2550,Michael Nzei Block.,4,16
10:08,2612,Davauhnte Turner Offensive Rebound.,4,16
10:01,2612,Davauhnte Turner made Layup.,6,16
9:50,2612,Foul on Davauhnte Turner.,6,16
9:50,2550,Michael Nzei made Free Throw.,6,17
9:50,2550,Michael Nzei made Free Throw.,6,18
9:22,2612,Sam Idowu missed Three Point Jumper.,6,18
9:22,2550,Myles Cale Defensive Rebound.,6,18
9:22,2612,Foul on Davauhnte Turner.,6,18
9:08,2612,Foul on Sam Idowu.,6,18
9:08,2550,Angel Delgado made Free Throw.,6,19
9:08,2550,Angel Delgado missed Free Throw.,6,19
9:08,2550,Myles Cale Offensive Rebound.,6,19
