Cal Poly,2065,Bethune-Cookman,13
time,team_id,description,h_score,a_score
19:43,2065,Foul on Shawntrez Davis.,0,0
19:43,2065,Shawntrez Davis Turnover.,0,0
19:21,13,Marcellus Garrick missed Three Point Jumper.,0,0
19:21,2065,Soufiyane Diakite Defensive Rebound.,0,0
19:01,2065,Shawntrez Davis made Three Point Jumper. Assisted by Isaiah Bailey.,0,3
19:00,13,Foul on Hank Hollingsworth.,0,3
19:00,2065,Shawntrez Davis made Free Throw.,0,4
18:32,13,Luke Meikle missed Jumper.,0,4
18:32,2065,Shawntrez Davis Defensive Rebound.,0,4
18:25,2065,Shawntrez Davis missed Three Point Jumper.,0,4
18:25,2065,Houston Smith Offensive Rebound.,0,4
18:08,2065,Houston Smith made Dunk. Assisted by Malik Maitland.,0,6
17:59,13,Donovan Fields missed Layup.,0,6
17:59,2065,Shawntrez Davis Block.,0,6
17:57,2065,Shawntrez Davis Defensive Rebound.,0,6
17:51,2065,Shawntrez Davis missed Jumper.,0,6
17:51,13,Hank Hollingsworth Defensive Rebound.,0,6
17:38,13,Donovan Fields Turnover.,0,6
17:38,13,Cal Poly  Timeout,0,6
17:26,2065,Shawntrez Davis missed Layup.,0,6
17:26,13,Hank Hollingsworth Block.,0,6
17:25,13,Luke Meikle Defensive Rebound.,0,6
17:19,13,Hank Hollingsworth made Dunk. Assisted by Victor Joseph.,2,6
17:08,2065,Malik Maitland missed Layup.,2,6
17:08,2065,Houston Smith Offensive Rebound.,2,6
17:06,2065,Houston Smith missed Layup.,2,6
17:06,2065,Shawntrez Davis Offensive Rebound.,2,6
17:03,2065,Shawntrez Davis missed Jumper.,2,6
17:03,2065,Houston Smith Offensive Rebound.,2,6
17:00,2065,Houston Smith made Layup.,2,8
16:41,13,Donovan Fields made Layup.,4,8
16:17,2065,Isaiah Bailey missed Three Point Jumper.,4,8
16:17,13,Luke Meikle Defensive Rebound.,4,8
16:08,13,Victor Joseph made Three Point Jumper. Assisted by Marcellus Garrick.,7,8
15:47,2065,Shawntrez Davis made Jumper.,7,10
15:24,13,Marcellus Garrick Turnover.,7,10
15:24,2065,Official TV Timeout,7,10
15:01,2065,Malik Maitland Turnover.,7,10
14:59,13,Donovan Fields Steal.,7,10
14:55,13,Donovan Fields made Layup.,9,10
14:48,2065,Malik Maitland made Layup.,9,12
14:29,13,Josh Martin made Three Point Jumper. Assisted by Donovan Fields.,12,12
14:10,2065,Isaiah Bailey missed Jumper.,12,12
14:10,13,Josh Martin Defensive Rebound.,12,12
13:45,13,Josh Martin missed Jumper.,12,12
13:45,2065,Isaiah Bailey Defensive Rebound.,12,12
13:24,2065,Malik Maitland made Three Point Jumper. Assisted by Houston Smith.,12,15
13:16,13,Jakub Niziol missed Three Point Jumper.,12,15
13:16,13,Karlis Garoza Offensive Rebound.,12,15
13:07,13,Karlis Garoza Turnover.,12,15
13:07,2065,Malik Maitland Steal.,12,15
13:01,2065,Shawntrez Davis made Three Point Jumper. Assisted by Malik Maitland.,12,18
12:40,13,Iziah James missed Three Point Jumper.,12,18
