Eastern NM,Error,New Mexico State,166
time,team_id,description,h_score,a_score
19:43,166,Sidy N'Dir missed Three Point Jumper.,0,0
19:43,166,Jemerrio Jones Offensive Rebound.,0,0
19:37,166,Zach Lofton made Layup. Assisted by Jemerrio Jones.,0,2
19:04,-1,Jamani Pierce made Layup. Assisted by Maurice Coleman.,2,2
18:49,166,Johnathon Wilkins made Jumper. Assisted by Jemerrio Jones.,2,4
18:38,-1,Jamani Pierce made Three Point Jumper. Assisted by Zach Parker.,5,4
18:12,166,Jemerrio Jones made Layup. Assisted by Johnathon Wilkins.,5,6
17:44,-1,Arcaim Lallemand missed Layup.,5,6
17:44,166,Jemerrio Jones Block.,5,6
17:43,166,Sidy N'Dir Defensive Rebound.,5,6
17:36,166,Jemerrio Jones made Layup. Assisted by Johnathon Wilkins.,5,8
17:07,-1,Zach Parker missed Three Point Jumper.,5,8
17:07,166,Shunn Buchanan Defensive Rebound.,5,8
16:44,-1,Foul on Lamarquis Thompson.,5,8
16:21,166,Sidy N'Dir missed Layup.,5,8
16:21,-1,Maurice Coleman Defensive Rebound.,5,8
16:19,-1,Maurice Coleman made Jumper.,7,8
16:07,166,Johnathon Wilkins missed Jumper.,7,8
16:07,166,Jemerrio Jones Offensive Rebound.,7,8
16:05,166,Jemerrio Jones made Layup.,7,10
15:36,-1,Isaac Maldonado made Jumper. Assisted by Zach Parker.,9,10
15:19,166,Shunn Buchanan missed Three Point Jumper.,9,10
15:19,-1,Isaac Maldonado Defensive Rebound.,9,10
15:16,166,Foul on Johnathon Wilkins.,9,10
15:16,166,Official TV Timeout,9,10
14:53,-1,Shawn Shelton missed Jumper.,9,10
14:53,166,Johnny McCants Defensive Rebound.,9,10
14:40,166,Jemerrio Jones Turnover.,9,10
14:39,-1,Shawn Shelton Steal.,9,10
14:22,-1,Nick Brown missed Layup.,9,10
14:22,166,Jemerrio Jones Defensive Rebound.,9,10
13:56,166,Zach Lofton made Layup.,9,12
13:45,-1,Devin Pullum Turnover.,9,12
13:36,166,Sidy N'Dir Turnover.,9,12
13:35,-1,Nick Brown Steal.,9,12
13:33,-1,Shawn Shelton missed Layup.,9,12
13:33,166,Sidy N'Dir Defensive Rebound.,9,12
13:25,166,Johnny McCants made Layup. Assisted by Jemerrio Jones.,9,14
13:08,-1,Jamani Pierce made Jumper.,11,14
12:52,166,Jemerrio Jones missed Jumper.,11,14
12:52,-1,Jamani Pierce Defensive Rebound.,11,14
12:45,-1,Nick Brown missed Three Point Jumper.,11,14
12:45,166,Jemerrio Jones Defensive Rebound.,11,14
12:38,166,Zach Lofton missed Three Point Jumper.,11,14
12:38,-1,Shawn Shelton Defensive Rebound.,11,14
12:27,-1,E. New Mexico  Timeout,11,14
12:27,166,Official TV Timeout,11,14
12:20,-1,Jamani Pierce missed Three Point Jumper.,11,14
12:20,166,Shunn Buchanan Defensive Rebound.,11,14
12:03,166,Johnathon Wilkins missed Layup.,11,14
12:03,166,Johnathon Wilkins Offensive Rebound.,11,14
12:00,-1,Foul on Jamani Pierce.,11,14
11:52,-1,Foul on Jamani Pierce.,11,14
11:52,166,Zach Lofton missed Free Throw.,11,14
11:52,166,New Mexico State Deadball Team Rebound.,11,14
11:52,166,Zach Lofton made Free Throw.,11,15
11:41,-1,Zach Parker made Three Point Jumper. Assisted by Shawn Shelton.,14,15
11:11,-1,Foul on Andre Hughes.,14,15
10:53,166,Johnathon Wilkins Turnover.,14,15
10:52,-1,Maurice Coleman Steal.,14,15
10:41,-1,Arcaim Lallemand Turnover.,14,15
10:23,166,Shunn Buchanan Turnover.,14,15
10:22,-1,Andre Hughes Steal.,14,15
10:03,-1,Maurice Coleman Turnover.,14,15
9:47,166,Gabe Hadley made Layup. Assisted by Jemerrio Jones.,14,17
9:21,-1,Zach Parker made Three Point Jumper. Assisted by Maurice Coleman.,17,17
9:09,166,Johnathon Wilkins made Dunk. Assisted by Jemerrio Jones.,17,19
8:51,-1,Isaac Maldonado Turnover.,17,19
8:49,166,Sidy N'Dir Steal.,17,19
8:34,166,Shunn Buchanan made Three Point Jumper. Assisted by Johnathon Wilkins.,17,22
8:26,166,Foul on Shunn Buchanan.,17,22
8:16,-1,Nick Brown missed Jumper.,17,22
8:16,166,Johnathon Wilkins Block.,17,22
8:14,-1,Maurice Coleman Offensive Rebound.,17,22
8:12,-1,Andre Hughes made Jumper. Assisted by Maurice Coleman.,19,22
8:04,166,Sidy N'Dir missed Layup.,19,22
8:04,166,Johnathon Wilkins Offensive Rebound.,19,22
7:59,-1,Foul on Isaac Maldonado.,19,22
7:59,166,Official TV Timeout,19,22
7:59,166,Sidy N'Dir made Free Throw.,19,23
7:59,166,Sidy N'Dir made Free Throw.,19,24
7:59,166,Sidy N'Dir made Free Throw.,19,25
7:58,166,Foul on Sidy N'Dir.,19,25
7:46,-1,Zach Parker Turnover.,19,25
7:30,166,Johnathon Wilkins made Jumper.,19,27
7:13,-1,Andre Hughes missed Jumper.,19,27
7:13,166,Jemerrio Jones Defensive Rebound.,19,27
7:07,166,Gabe Hadley missed Three Point Jumper.,19,27
7:07,-1,Zach Parker Defensive Rebound.,19,27
6:57,-1,Zach Parker Turnover.,19,27
6:56,-1,Foul on Maurice Coleman.,19,27
6:44,166,Jemerrio Jones made Jumper.,19,29
6:32,-1,Andre Hughes missed Layup.,19,29
6:32,166,Jemerrio Jones Defensive Rebound.,19,29
6:25,166,Johnny McCants missed Layup.,19,29
6:25,-1,Isaac Maldonado Defensive Rebound.,19,29
5:57,-1,Zach Parker missed Jumper.,19,29
5:57,-1,Lamarquis Thompson Offensive Rebound.,19,29
5:51,-1,Zach Parker missed Three Point Jumper.,19,29
5:51,166,Jemerrio Jones Defensive Rebound.,19,29
5:21,166,Zach Lofton missed Three Point Jumper.,19,29
5:21,166,Johnny McCants Offensive Rebound.,19,29
4:58,166,Johnny McCants missed Layup.,19,29
4:58,-1,Lamarquis Thompson Defensive Rebound.,19,29
4:49,-1,Devin Pullum made Three Point Jumper. Assisted by Lamarquis Thompson.,22,29
4:38,-1,Foul on Arcaim Lallemand.,22,29
4:38,166,Zach Lofton missed Free Throw.,22,29
4:38,166,New Mexico State Deadball Team Rebound.,22,29
4:38,166,Zach Lofton made Free Throw.,22,30
4:27,-1,Devin Pullum Turnover.,22,30
4:03,166,Johnny McCants Turnover.,22,30
3:58,-1,Devin Pullum missed Three Point Jumper.,22,30
3:58,166,Johnny McCants Defensive Rebound.,22,30
3:52,166,Zach Lofton made Layup.,22,32
3:33,-1,Arcaim Lallemand made Jumper.,24,32
3:16,-1,Foul on Shawn Shelton.,24,32
3:16,166,Official TV Timeout,24,32
3:16,166,Shunn Buchanan made Free Throw.,24,33
3:16,166,Shunn Buchanan made Free Throw.,24,34
2:44,-1,Maurice Coleman Turnover.,24,34
2:16,166,Shunn Buchanan made Three Point Jumper.,24,37
1:46,-1,Shawn Shelton missed Jumper.,24,37
1:46,166,Shunn Buchanan Defensive Rebound.,24,37
1:18,166,Shunn Buchanan Turnover.,24,37
1:02,-1,Shawn Shelton Turnover.,24,37
0:39,166,Zach Lofton missed Layup.,24,37
0:39,166,Zach Lofton Offensive Rebound.,24,37
0:35,166,Zach Lofton Turnover.,24,37
0:31,-1,Lamarquis Thompson Turnover.,24,37
0:28,166,Zach Lofton made Layup.,24,39
0:02,-1,Arcaim Lallemand made Three Point Jumper. Assisted by Zach Parker.,27,39
0:00,166,End of 1st half,27,39
19:50,166,Zach Lofton missed Three Point Jumper.,27,39
19:50,-1,Jamani Pierce Defensive Rebound.,27,39
19:22,-1,Jamani Pierce made Layup.,29,39
19:01,166,Johnathon Wilkins made Jumper. Assisted by Jemerrio Jones.,29,41
18:35,-1,Jamani Pierce missed Three Point Jumper.,29,41
18:35,166,Zach Lofton Defensive Rebound.,29,41
18:26,166,Zach Lofton Turnover.,29,41
18:21,-1,Arcaim Lallemand made Layup. Assisted by Maurice Coleman.,31,41
18:13,-1,Foul on Jamani Pierce.,31,41
18:13,166,Sidy N'Dir made Free Throw.,31,42
18:13,166,Sidy N'Dir made Free Throw.,31,43
18:05,-1,Zach Parker missed Layup.,31,43
18:05,166,Sidy N'Dir Defensive Rebound.,31,43
17:46,166,Johnathon Wilkins made Jumper. Assisted by Jemerrio Jones.,31,45
17:30,-1,Andre Hughes made Jumper. Assisted by Maurice Coleman.,33,45
17:03,166,Zach Lofton made Jumper.,33,47
16:45,-1,Arcaim Lallemand missed Jumper.,33,47
16:45,-1,Lamarquis Thompson Offensive Rebound.,33,47
16:20,-1,Andre Hughes Turnover.,33,47
16:19,166,Jemerrio Jones Steal.,33,47
16:11,166,Johnathon Wilkins made Layup. Assisted by Shunn Buchanan.,33,49
16:04,-1,E. New Mexico  Timeout,33,49
16:04,166,Official TV Timeout,33,49
15:59,-1,Isaac Maldonado made Layup. Assisted by Nick Brown.,35,49
15:49,166,Sidy N'Dir made Layup. Assisted by Johnathon Wilkins.,35,51
15:33,-1,Shawn Shelton made Jumper.,37,51
15:10,166,Sidy N'Dir made Jumper. Assisted by Johnathon Wilkins.,37,53
14:54,-1,Shawn Shelton missed Jumper.,37,53
14:54,-1,Lamarquis Thompson Offensive Rebound.,37,53
14:53,166,Official TV Timeout,37,53
14:48,-1,Nick Brown missed Three Point Jumper.,37,53
14:48,166,Jemerrio Jones Defensive Rebound.,37,53
14:31,166,Jemerrio Jones Turnover.,37,53
14:26,-1,Devin Pullum missed Jumper.,37,53
14:26,-1,Shawn Shelton Offensive Rebound.,37,53
14:23,-1,Shawn Shelton missed Layup.,37,53
14:23,166,Johnathon Wilkins Defensive Rebound.,37,53
14:19,166,Zach Lofton made Layup. Assisted by Jemerrio Jones.,37,55
14:19,-1,Foul on Nick Brown.,37,55
14:19,166,Zach Lofton made Free Throw.,37,56
13:59,-1,Lamarquis Thompson missed Three Point Jumper.,37,56
13:59,166,Sidy N'Dir Defensive Rebound.,37,56
13:50,166,Zach Lofton made Three Point Jumper. Assisted by Sidy N'Dir.,37,59
13:31,-1,Isaac Maldonado missed Jumper.,37,59
13:31,166,Johnathon Wilkins Block.,37,59
13:31,-1,E. New Mexico Offensive Rebound.,37,59
13:19,-1,Zach Parker made Jumper.,39,59
13:09,-1,Foul on Arcaim Lallemand.,39,59
13:09,166,Johnny McCants made Free Throw.,39,60
13:09,166,Johnny McCants missed Free Throw.,39,60
13:09,-1,Jamani Pierce Defensive Rebound.,39,60
12:53,-1,Devin Pullum missed Jumper.,39,60
12:53,166,Kortrijk Miles Defensive Rebound.,39,60
12:51,166,Kortrijk Miles Turnover.,39,60
12:50,-1,Maurice Coleman Turnover.,39,60
12:50,166,Sidy N'Dir Steal.,39,60
12:41,166,Johnny McCants missed Jumper.,39,60
12:41,-1,Maurice Coleman Defensive Rebound.,39,60
