Jackson State,79,Southern Illinois,2296
time,team_id,description,h_score,a_score
19:53,79,Kavion Pippen missed Layup.,0,0
19:53,2296,Jackson State Defensive Rebound.,0,0
19:31,2296,Maurice Rivers missed Jumper.,0,0
19:31,2296,Jeremiah Bozeman Offensive Rebound.,0,0
19:24,2296,Darius Austin made Layup.,2,0
19:03,79,Kavion Pippen made Layup.,2,2
18:41,2296,Darius Austin missed Jumper.,2,2
18:41,2296,Maurice Rivers Offensive Rebound.,2,2
18:40,2296,Maurice Rivers missed Layup.,2,2
18:40,79,Aaron Cook Defensive Rebound.,2,2
18:27,79,Aaron Cook Turnover.,2,2
18:27,2296,Maurice Rivers Steal.,2,2
18:27,2296,Jackson State  Timeout,2,2
18:06,2296,Maurice Rivers missed Jumper.,2,2
18:06,2296,Paris Collins Offensive Rebound.,2,2
18:01,2296,Paris Collins made Dunk.,4,2
17:45,79,Armon Fletcher made Layup.,4,4
17:25,2296,Paris Collins Turnover.,4,4
17:25,2296,Foul on Paris Collins.,4,4
17:09,79,Kavion Pippen missed Layup.,4,4
17:09,2296,Jeremiah Jefferson Defensive Rebound.,4,4
16:58,2296,Maurice Rivers made Layup.,6,4
16:38,79,Aaron Cook missed Three Point Jumper.,6,4
16:38,79,Armon Fletcher Offensive Rebound.,6,4
16:35,79,Armon Fletcher made Layup.,6,6
16:34,2296,Foul on Darius Austin.,6,6
16:34,79,Armon Fletcher made Free Throw.,6,7
16:24,2296,Paris Collins made Three Point Jumper. Assisted by Jeremiah Bozeman.,9,7
16:07,79,Kavion Pippen missed Layup.,9,7
16:07,2296,Darius Austin Defensive Rebound.,9,7
15:59,2296,Maurice Rivers missed Layup.,9,7
15:59,79,Kavion Pippen Block.,9,7
15:59,2296,Jackson State Offensive Rebound.,9,7
15:55,79,Official TV Timeout,9,7
15:44,79,Marcus Bartley Defensive Rebound.,9,7
15:44,2296,Jeremiah Jefferson missed Jumper.,9,7
15:44,2296,Foul on Treshawn Bolden.,9,7
15:26,79,Armon Fletcher made Layup. Assisted by Kavion Pippen.,9,9
15:26,2296,Foul on Julian Daughtry.,9,9
15:26,79,Armon Fletcher made Free Throw.,9,10
15:18,2296,Paris Collins made Three Point Jumper. Assisted by Jeremiah Bozeman.,12,10
15:00,79,Sean Lloyd Jr. Turnover.,12,10
14:43,2296,Jeremiah Jefferson missed Jumper.,12,10
14:43,79,Armon Fletcher Defensive Rebound.,12,10
14:42,2296,Foul on Treshawn Bolden.,12,10
14:33,79,Kavion Pippen made Dunk. Assisted by Armon Fletcher.,12,12
