UC Davis,2539,San Francisco,302
time,team_id,description,h_score,a_score
19:39,302,Michael Onyebalu missed Three Point Jumper.,0,0
19:39,2539,Jordan Ratinho Defensive Rebound.,0,0
19:31,2539,Matt McCarthy missed Layup.,0,0
19:31,302,Garrison Goode Block.,0,0
19:31,302,UC Davis Defensive Rebound.,0,0
19:08,302,Michael Onyebalu made Layup.,2,0
18:43,2539,Matt McCarthy missed Three Point Jumper.,2,0
18:43,302,TJ Shorts II Defensive Rebound.,2,0
18:29,302,Chima Moneke missed Jumper.,2,0
18:29,2539,Remu Raitanen Defensive Rebound.,2,0
18:22,302,Foul on Siler Schneider.,2,0
18:22,2539,Jordan Ratinho missed Free Throw.,2,0
18:22,2539,San Francisco Deadball Team Rebound.,2,0
18:22,2539,Jordan Ratinho made Free Throw.,2,1
17:56,302,TJ Shorts II Turnover.,2,1
17:35,2539,Chase Foster missed Jumper.,2,1
17:35,302,Chima Moneke Defensive Rebound.,2,1
17:15,302,Michael Onyebalu made Three Point Jumper. Assisted by Chima Moneke.,5,1
16:54,2539,Jamaree Bouyea made Layup.,5,3
16:29,302,TJ Shorts II missed Jumper.,5,3
16:29,2539,Matt McCarthy Defensive Rebound.,5,3
16:14,2539,Matt McCarthy missed Jumper.,5,3
16:14,302,Michael Onyebalu Defensive Rebound.,5,3
16:06,302,TJ Shorts II missed Layup.,5,3
16:06,302,Chima Moneke Offensive Rebound.,5,3
16:01,2539,Foul on Jordan Ratinho.,5,3
16:01,302,TJ Shorts II made Free Throw.,6,3
16:01,302,TJ Shorts II missed Free Throw.,6,3
16:01,2539,Jordan Ratinho Defensive Rebound.,6,3
15:49,2539,Jimbo Lull Turnover.,6,3
15:49,2539,Foul on Jimbo Lull.,6,3
15:49,302,UC Davis  Timeout,6,3
15:26,302,TJ Shorts II Turnover.,6,3
15:25,2539,Chase Foster Steal.,6,3
15:22,2539,Chase Foster Turnover.,6,3
15:22,2539,Foul on Chase Foster.,6,3
15:04,302,A.J. John made Jumper. Assisted by Michael Onyebalu.,8,3
14:38,2539,Jimbo Lull made Jumper. Assisted by Jamaree Bouyea.,8,5
14:23,302,A.J. John Turnover.,8,5
14:10,2539,Jimbo Lull missed Jumper.,8,5
14:10,302,A.J. John Defensive Rebound.,8,5
13:52,2539,Foul on Jimbo Lull.,8,5
13:40,302,Garrison Goode missed Jumper.,8,5
13:40,2539,Matt McCarthy Defensive Rebound.,8,5
13:16,2539,Matt McCarthy Turnover.,8,5
13:16,302,A.J. John Steal.,8,5
12:59,2539,Foul on Jamaree Bouyea.,8,5
12:59,302,Siler Schneider made Free Throw.,9,5
12:59,302,Siler Schneider made Free Throw.,10,5
12:40,302,Foul on A.J. John.,10,5
12:22,2539,Nate Renfro Turnover.,10,5
12:15,302,Rogers Printup missed Three Point Jumper.,10,5
12:15,2539,Nate Renfro Defensive Rebound.,10,5
12:04,2539,Chase Foster made Three Point Jumper. Assisted by Nate Renfro.,10,8
11:46,2539,Foul on Nate Renfro.,10,8
11:46,302,UC Davis  Timeout,10,8
11:46,302,Chima Moneke made Free Throw.,11,8
11:46,302,Chima Moneke made Free Throw.,12,8
11:36,2539,Nate Renfro Turnover.,12,8
11:35,302,Siler Schneider Steal.,12,8
11:34,302,Siler Schneider made Layup.,14,8
11:12,2539,Nate Renfro Turnover.,14,8
10:53,302,Chima Moneke missed Jumper.,14,8
10:53,2539,Matt McCarthy Block.,14,8
10:53,2539,Matt McCarthy Defensive Rebound.,14,8
10:48,2539,Mladen Djordjevic missed Three Point Jumper.,14,8
10:48,2539,Nate Renfro Offensive Rebound.,14,8
10:40,302,Foul on Chima Moneke.,14,8
10:40,2539,Frankie Ferrari made Free Throw.,14,9
10:40,2539,Frankie Ferrari made Free Throw.,14,10
10:25,302,Siler Schneider missed Jumper.,14,10
10:25,2539,Remu Raitanen Defensive Rebound.,14,10
10:01,2539,Mladen Djordjevic made Layup.,14,12
10:01,302,Foul on Michael Onyebalu.,14,12
10:01,2539,Mladen Djordjevic missed Free Throw.,14,12
10:01,302,Garrison Goode Defensive Rebound.,14,12
9:40,302,Chima Moneke missed Layup.,14,12
9:40,2539,Matt McCarthy Block.,14,12
9:39,2539,Frankie Ferrari Defensive Rebound.,14,12
9:35,2539,Chase Foster made Three Point Jumper. Assisted by Frankie Ferrari.,14,15
9:22,302,Michael Onyebalu Turnover.,14,15
9:22,302,Foul on Michael Onyebalu.,14,15
9:09,2539,Frankie Ferrari made Three Point Jumper. Assisted by Chase Foster.,14,18
8:50,302,Garrison Goode Turnover.,14,18
8:49,2539,Chase Foster Steal.,14,18
8:45,2539,Chase Foster Turnover.,14,18
8:45,302,TJ Shorts II Steal.,14,18
8:44,302,TJ Shorts II Turnover.,14,18
8:44,302,Foul on TJ Shorts II.,14,18
8:31,2539,Frankie Ferrari missed Jumper.,14,18
8:31,302,Chima Moneke Defensive Rebound.,14,18
8:20,2539,Foul on Remu Raitanen.,14,18
8:20,302,Chima Moneke made Free Throw.,15,18
8:20,302,Chima Moneke made Free Throw.,16,18
7:55,2539,Chase Foster made Three Point Jumper. Assisted by Mladen Djordjevic.,16,21
7:35,302,Siler Schneider missed Jumper.,16,21
7:35,302,Chima Moneke Offensive Rebound.,16,21
7:29,302,Siler Schneider missed Three Point Jumper.,16,21
7:29,2539,Chase Foster Defensive Rebound.,16,21
7:14,2539,Matt McCarthy made Layup. Assisted by Mladen Djordjevic.,16,23
7:14,302,Foul on Rogers Printup.,16,23
7:14,2539,San Francisco  Timeout,16,23
7:14,2539,Matt McCarthy made Free Throw.,16,24
7:02,302,Rogers Printup made Three Point Jumper. Assisted by Siler Schneider.,19,24
6:41,2539,Matt McCarthy made Jumper. Assisted by Jordan Ratinho.,19,26
6:16,2539,Foul on Taavi Jurkatamm.,19,26
6:16,302,TJ Shorts II missed Free Throw.,19,26
6:16,2539,Matt McCarthy Defensive Rebound.,19,26
5:56,2539,Jordan Ratinho missed Three Point Jumper.,19,26
5:56,2539,Taavi Jurkatamm Offensive Rebound.,19,26
5:50,2539,Matt McCarthy made Dunk. Assisted by Frankie Ferrari.,19,28
5:33,302,Siler Schneider made Jumper.,21,28
5:18,302,Foul on A.J. John.,21,28
5:18,2539,Matt McCarthy made Free Throw.,21,29
5:18,2539,Matt McCarthy missed Free Throw.,21,29
5:18,302,Chima Moneke Defensive Rebound.,21,29
5:00,2539,Foul on Taavi Jurkatamm.,21,29
5:00,302,Siler Schneider made Free Throw.,22,29
5:00,302,Siler Schneider made Free Throw.,23,29
4:35,2539,Frankie Ferrari made Jumper.,23,31
4:16,302,Chima Moneke made Jumper.,25,31
3:43,2539,Frankie Ferrari made Jumper.,25,33
3:24,302,Chima Moneke missed Jumper.,25,33
3:24,2539,Taavi Jurkatamm Defensive Rebound.,25,33
2:56,2539,Taavi Jurkatamm made Jumper.,25,35
2:54,302,UC Davis  Timeout,25,35
2:54,302,UC Davis  Timeout,25,35
2:36,302,Rogers Printup Turnover.,25,35
2:35,2539,Jamaree Bouyea Steal.,25,35
2:29,2539,Jordan Ratinho Turnover.,25,35
2:28,302,Garrison Goode Steal.,25,35
2:21,302,Chima Moneke made Jumper.,27,35
2:07,2539,Matt McCarthy missed Layup.,27,35
2:07,302,UC Davis Deadball Team Rebound.,27,35
2:06,2539,Foul on Remu Raitanen.,27,35
2:06,302,Garrison Goode made Free Throw.,28,35
2:06,302,Garrison Goode missed Free Throw.,28,35
2:06,2539,Matt McCarthy Defensive Rebound.,28,35
1:53,2539,Frankie Ferrari missed Three Point Jumper.,28,35
1:53,302,Rogers Printup Defensive Rebound.,28,35
1:37,302,Chima Moneke missed Layup.,28,35
1:37,2539,Remu Raitanen Defensive Rebound.,28,35
1:29,2539,Frankie Ferrari made Jumper.,28,37
