UNC Greensboro,152,NC State,2430
time,team_id,description,h_score,a_score
19:46,2430,Marvin Smith missed Three Point Jumper.,0,0
19:46,152,Torin Dorn Defensive Rebound.,0,0
19:29,152,Lennard Freeman made Layup. Assisted by Braxton Beverly.,0,2
18:27,2430,James Dickey missed Layup.,0,2
18:27,152,Torin Dorn Defensive Rebound.,0,2
18:21,152,Allerik Freeman missed Layup.,0,2
18:21,2430,Marvin Smith Defensive Rebound.,0,2
18:17,2430,Demetrius Troy made Jumper.,2,2
18:14,152,Braxton Beverly made Three Point Jumper.,2,5
18:00,2430,Demetrius Troy missed Three Point Jumper.,2,5
18:00,152,Allerik Freeman Defensive Rebound.,2,5
17:54,2430,Foul on Demetrius Troy.,2,5
17:54,152,Allerik Freeman missed Free Throw.,2,5
17:54,152,NC State Deadball Team Rebound.,2,5
17:54,152,Allerik Freeman made Free Throw.,2,6
17:37,2430,Francis Alonso missed Jumper.,2,6
17:37,152,Lennard Freeman Defensive Rebound.,2,6
17:36,2430,Foul on James Dickey.,2,6
17:23,152,Torin Dorn missed Jumper.,2,6
17:23,2430,Demetrius Troy Defensive Rebound.,2,6
17:16,152,Foul on Braxton Beverly.,2,6
16:58,2430,James Dickey missed Layup.,2,6
16:57,152,Abdul-Malik Abu Block.,2,6
16:56,152,Torin Dorn Defensive Rebound.,2,6
16:46,152,Abdul-Malik Abu made Jumper. Assisted by Braxton Beverly.,2,8
16:19,2430,James Dickey made Layup.,4,8
16:03,152,Allerik Freeman made Three Point Jumper. Assisted by Braxton Beverly.,4,11
16:02,2430,UNC Greensboro  Timeout,4,11
16:02,152,Official TV Timeout,4,11
15:56,2430,Francis Alonso made Three Point Jumper. Assisted by James Dickey.,7,11
15:36,152,Torin Dorn made Three Point Jumper. Assisted by Allerik Freeman.,7,14
15:08,2430,Kyrin Galloway made Layup. Assisted by Francis Alonso.,9,14
14:45,152,Lennard Freeman made Layup. Assisted by Torin Dorn.,9,16
14:36,2430,Demetrius Troy Turnover.,9,16
14:35,152,Allerik Freeman Steal.,9,16
14:32,152,Allerik Freeman made Layup.,9,18
14:14,2430,Marvin Smith made Layup.,11,18
13:57,2430,Foul on James Dickey.,11,18
13:57,152,Lennard Freeman missed Free Throw.,11,18
13:57,152,NC State Deadball Team Rebound.,11,18
13:57,152,Lennard Freeman made Free Throw.,11,19
13:32,2430,Jordy Kuiper missed Jumper.,11,19
13:32,2430,Kyrin Galloway Offensive Rebound.,11,19
13:27,2430,Jordy Kuiper Turnover.,11,19
13:25,152,Omer Yurtseven Steal.,11,19
13:22,152,Braxton Beverly missed Three Point Jumper.,11,19
13:22,2430,Jordy Kuiper Defensive Rebound.,11,19
13:09,2430,Isaiah Miller made Layup.,13,19
12:44,152,Omer Yurtseven made Layup. Assisted by Torin Dorn.,13,21
12:11,2430,Jordy Kuiper missed Three Point Jumper.,13,21
