Tenn-Martin,344,Mississippi State,2630
time,team_id,description,h_score,a_score
19:43,344,Aric Holman made Layup. Assisted by Quinndary Weatherspoon.,0,2
19:30,2630,Matthew Butler made Three Point Jumper. Assisted by Terrence Parker.,3,2
19:09,344,Quinndary Weatherspoon missed Three Point Jumper.,3,2
19:09,2630,Parrish Hewitt Defensive Rebound.,3,2
18:56,2630,Fatodd Lewis missed Three Point Jumper.,3,2
18:56,344,Nick Weatherspoon Defensive Rebound.,3,2
18:48,344,Tyson Carter missed Three Point Jumper.,3,2
18:48,344,Aric Holman Offensive Rebound.,3,2
18:22,344,Nick Weatherspoon missed Jumper.,3,2
18:22,344,Aric Holman Offensive Rebound.,3,2
18:17,344,Aric Holman made Jumper.,3,4
18:01,2630,Matthew Butler missed Jumper.,3,4
18:01,2630,Matthew Butler Offensive Rebound.,3,4
17:55,2630,DelFincko Bogan made Three Point Jumper. Assisted by Matthew Butler.,6,4
17:35,344,Aric Holman made Three Point Jumper. Assisted by Tyson Carter.,6,7
17:13,2630,Matthew Butler missed Three Point Jumper.,6,7
17:13,2630,Terrence Parker Offensive Rebound.,6,7
16:57,2630,Fatodd Lewis missed Three Point Jumper.,6,7
16:57,344,Abdul Ado Defensive Rebound.,6,7
16:55,2630,Foul on Terrence Parker.,6,7
16:36,344,Aric Holman missed Three Point Jumper.,6,7
16:36,344,Quinndary Weatherspoon Offensive Rebound.,6,7
16:33,344,Quinndary Weatherspoon made Layup.,6,9
16:24,2630,Terrence Parker made Layup. Assisted by DelFincko Bogan.,8,9
16:04,344,Abdul Ado missed Layup.,8,9
16:04,344,Aric Holman Offensive Rebound.,8,9
16:02,344,Aric Holman made Two Point Tip Shot.,8,11
15:57,2630,Matthew Butler missed Three Point Jumper.,8,11
15:57,344,Nick Weatherspoon Defensive Rebound.,8,11
15:50,344,Nick Weatherspoon missed Jumper.,8,11
15:50,344,Aric Holman Offensive Rebound.,8,11
15:46,344,Aric Holman missed Layup.,8,11
15:46,2630,DelFincko Bogan Defensive Rebound.,8,11
15:34,2630,Fatodd Lewis missed Jumper.,8,11
15:34,344,Aric Holman Defensive Rebound.,8,11
15:19,344,Tyson Carter missed Three Point Jumper.,8,11
15:19,2630,Terrence Parker Defensive Rebound.,8,11
15:07,2630,Matthew Butler Turnover.,8,11
15:07,2630,Foul on Matthew Butler.,8,11
15:07,344,Official TV Timeout,8,11
14:51,344,Tyson Carter missed Three Point Jumper.,8,11
14:51,344,Xavian Stapleton Offensive Rebound.,8,11
14:45,344,Schnider Herard missed Layup.,8,11
14:45,2630,UT Martin Defensive Rebound.,8,11
14:30,2630,DelFincko Bogan made Three Point Jumper. Assisted by Jailen Gill.,11,11
14:07,344,Nick Weatherspoon Turnover.,11,11
14:07,344,Foul on Nick Weatherspoon.,11,11
13:39,2630,Dominique Williams missed Three Point Jumper.,11,11
13:39,2630,Jailen Gill Offensive Rebound.,11,11
13:34,2630,Jailen Gill missed Jumper.,11,11
13:34,344,Nick Weatherspoon Defensive Rebound.,11,11
13:28,2630,Foul on Jailen Gill.,11,11
13:25,344,Xavian Stapleton Turnover.,11,11
13:01,2630,Dominique Williams made Jumper.,13,11
12:42,344,Schnider Herard Turnover.,13,11
12:32,2630,Mike Fofana Turnover.,13,11
12:17,344,Lamar Peters made Three Point Jumper. Assisted by Quinndary Weatherspoon.,13,14
12:00,344,Official TV Timeout,13,14
11:58,2630,Jailen Gill made Jumper. Assisted by Mike Fofana.,15,14
11:39,344,Quinndary Weatherspoon missed Three Point Jumper.,15,14
11:39,2630,Matthew Butler Defensive Rebound.,15,14
11:32,2630,DelFincko Bogan missed Three Point Jumper.,15,14
11:32,344,Quinndary Weatherspoon Defensive Rebound.,15,14
11:25,344,Lamar Peters missed Three Point Jumper.,15,14
11:25,344,Eli Wright Offensive Rebound.,15,14
11:22,344,Eli Wright made Jumper.,15,16
11:22,2630,Foul on DelFincko Bogan.,15,16
11:22,344,Eli Wright made Free Throw.,15,17
11:02,344,Foul on Eli Wright.,15,17
11:02,2630,Jailen Gill made Free Throw.,16,17
11:02,2630,Jailen Gill made Free Throw.,17,17
10:51,2630,Foul on Dominique Williams.,17,17
10:41,344,Aric Holman missed Three Point Jumper.,17,17
10:41,344,Quinndary Weatherspoon Offensive Rebound.,17,17
10:39,2630,Foul on Dominique Williams.,17,17
10:27,344,Eli Wright missed Three Point Jumper.,17,17
