Austin Peay,339,Evansville,2046
time,team_id,description,h_score,a_score
19:29,339,Duane Gibson missed Jumper.,0,0
19:29,2046,Averyl Ugba Defensive Rebound.,0,0
19:05,2046,Averyl Ugba missed Three Point Jumper.,0,0
19:05,339,Evansville Defensive Rebound.,0,0
18:46,339,Duane Gibson made Layup.,0,2
18:46,2046,Foul on Dayton Gumm.,0,2
18:46,339,Duane Gibson made Free Throw.,0,3
18:20,2046,Tre' Ivory made Three Point Jumper. Assisted by Steve Harris.,3,3
17:56,339,Foul on Noah Frederking.,3,3
17:56,339,Noah Frederking Turnover.,3,3
17:43,2046,Steve Harris made Layup.,5,3
17:31,339,Noah Frederking missed Jumper.,5,3
17:31,2046,Chris Porter-Bunton Defensive Rebound.,5,3
17:19,2046,Averyl Ugba made Layup. Assisted by Chris Porter-Bunton.,7,3
17:01,339,Blake Simmons Turnover.,7,3
16:59,2046,Steve Harris Steal.,7,3
16:56,2046,Steve Harris missed Layup.,7,3
16:56,339,Evan Kuhlman Defensive Rebound.,7,3
16:48,339,Blake Simmons missed Jumper.,7,3
16:48,2046,Averyl Ugba Defensive Rebound.,7,3
16:30,2046,Terry Taylor made Jumper.,9,3
16:06,339,Dainius Chatkevicius missed Jumper.,9,3
16:06,2046,Steve Harris Defensive Rebound.,9,3
15:46,2046,Terry Taylor Turnover.,9,3
15:45,339,Evansville  Timeout,9,3
15:34,2046,Foul on Zach Glotta.,9,3
15:31,339,Dainius Chatkevicius made Dunk. Assisted by K.J. Riley.,9,5
15:00,2046,Steve Harris Turnover.,9,5
14:41,2046,Foul on Chris Porter-Bunton.,9,5
14:41,339,Evansville  Timeout,9,5
14:24,339,Marty Hill missed Jumper.,9,5
14:24,2046,Zach Glotta Defensive Rebound.,9,5
14:19,339,Foul on Evan Kuhlman.,9,5
14:19,2046,Dayton Gumm made Free Throw.,10,5
14:19,2046,Dayton Gumm made Free Throw.,11,5
14:07,339,K.J. Riley Turnover.,11,5
13:50,2046,Terry Taylor made Layup. Assisted by Tre' Ivory.,13,5
13:33,2046,Foul on Deyshawn Martin.,13,5
13:33,339,K.J. Riley made Free Throw.,13,6
13:33,339,K.J. Riley made Free Throw.,13,7
13:14,2046,Terry Taylor made Layup. Assisted by Dayton Gumm.,15,7
12:52,339,Marty Hill made Jumper.,15,9
12:38,2046,Terry Taylor Turnover.,15,9
12:18,339,K.J. Riley missed Layup.,15,9
12:18,339,John Hall Offensive Rebound.,15,9
12:15,339,John Hall made Layup.,15,11
11:55,2046,Averyl Ugba missed Jumper.,15,11
11:55,339,Duane Gibson Defensive Rebound.,15,11
11:42,339,Blake Simmons Turnover.,15,11
11:41,2046,Austin Peay  Timeout,15,11
11:27,2046,Steve Harris missed Jumper.,15,11
11:27,339,Evansville Defensive Rebound.,15,11
10:57,2046,Foul on Steve Harris.,15,11
10:57,339,K.J. Riley made Free Throw.,15,12
10:57,339,K.J. Riley made Free Throw.,15,13
10:42,2046,Terry Taylor made Layup. Assisted by Tre' Ivory.,17,13
10:15,339,K.J. Riley made Jumper.,17,15
10:15,2046,Foul on Chris Porter-Bunton.,17,15
10:15,339,K.J. Riley made Free Throw.,17,16
9:57,2046,Averyl Ugba missed Jumper.,17,16
9:57,339,Duane Gibson Defensive Rebound.,17,16
9:45,339,Duane Gibson Turnover.,17,16
9:34,2046,Tre' Ivory Turnover.,17,16
9:32,339,Duane Gibson Steal.,17,16
9:31,2046,Foul on Tre' Ivory.,17,16
9:31,339,Duane Gibson made Free Throw.,17,17
9:31,339,Duane Gibson made Free Throw.,17,18
9:06,339,Foul on Blake Simmons.,17,18
8:59,339,Foul on Evan Kuhlman.,17,18
8:55,2046,Terry Taylor missed Layup.,17,18
8:55,339,John Hall Defensive Rebound.,17,18
8:42,339,Blake Simmons made Three Point Jumper. Assisted by Duane Gibson.,17,21
8:25,2046,Averyl Ugba missed Jumper.,17,21
8:25,339,Duane Gibson Defensive Rebound.,17,21
8:15,339,Duane Gibson Turnover.,17,21
8:14,2046,Averyl Ugba Steal.,17,21
8:12,2046,Dayton Gumm made Layup. Assisted by Averyl Ugba.,19,21
7:52,339,Noah Frederking missed Three Point Jumper.,19,21
7:52,339,John Hall Offensive Rebound.,19,21
7:49,339,Dainius Chatkevicius made Dunk. Assisted by John Hall.,19,23
7:47,2046,Austin Peay  Timeout,19,23
7:47,2046,Austin Peay  Timeout,19,23
7:20,2046,Tre' Ivory missed Three Point Jumper.,19,23
7:20,2046,Terry Taylor Offensive Rebound.,19,23
7:15,339,Foul on Dainius Chatkevicius.,19,23
7:15,2046,Terry Taylor made Free Throw.,20,23
7:15,2046,Terry Taylor made Free Throw.,21,23
7:02,339,Duane Gibson made Layup.,21,25
7:02,2046,Foul on Tre' Ivory.,21,25
7:02,339,Duane Gibson made Free Throw.,21,26
6:48,2046,Terry Taylor missed Three Point Jumper.,21,26
6:48,339,K.J. Riley Defensive Rebound.,21,26
6:36,339,K.J. Riley made Layup.,21,28
6:20,2046,Dayton Gumm made Layup.,23,28
5:45,339,K.J. Riley missed Layup.,23,28
5:45,2046,Terry Taylor Block.,23,28
5:45,339,Evansville Offensive Rebound.,23,28
5:35,339,K.J. Riley missed Layup.,23,28
5:35,2046,Deyshawn Martin Block.,23,28
5:35,339,Evansville Offensive Rebound.,23,28
5:26,339,Blake Simmons Turnover.,23,28
5:12,2046,Deyshawn Martin Turnover.,23,28
5:10,339,Duane Gibson Steal.,23,28
5:08,339,Duane Gibson made Layup.,23,30
4:50,2046,Zach Glotta missed Three Point Jumper.,23,30
