Eastern Illinois,6,South Alabama,2197
time,team_id,description,h_score,a_score
19:53,2197,Ray Crossland made Three Point Jumper. Assisted by D'Angelo Jackson.,3,0
19:34,6,Trhae Mitchell made Three Point Jumper. Assisted by Rodrick Sikes.,3,3
19:17,2197,Jajuan Starks missed Jumper.,3,3
19:17,6,Trhae Mitchell Defensive Rebound.,3,3
19:09,6,Rodrick Sikes missed Layup.,3,3
19:09,2197,Jajuan Starks Defensive Rebound.,3,3
18:44,2197,Ray Crossland missed Jumper.,3,3
18:44,6,Herb McGee Defensive Rebound.,3,3
18:19,6,Rodrick Sikes made Three Point Jumper. Assisted by Josh Ajayi.,3,6
17:54,2197,Ray Crossland Turnover.,3,6
17:42,6,Josh Ajayi made Layup. Assisted by Trhae Mitchell.,3,8
17:42,2197,Foul on Muusa Dama.,3,8
17:42,6,Josh Ajayi made Free Throw.,3,9
17:25,6,Foul on Josh Ajayi.,3,9
17:05,2197,Muusa Dama missed Jumper.,3,9
17:05,6,Nick Davis Defensive Rebound.,3,9
16:46,6,Rodrick Sikes missed Three Point Jumper.,3,9
16:46,2197,Muusa Dama Defensive Rebound.,3,9
16:22,2197,Logan Koch missed Three Point Jumper.,3,9
16:18,2197,Ray Crossland Offensive Rebound.,3,9
16:17,2197,Ray Crossland made Layup.,5,9
16:04,6,Rodrick Sikes missed Layup.,5,9
16:04,2197,Michael Chavers Defensive Rebound.,5,9
15:32,2197,Montell Goodwin missed Three Point Jumper.,5,9
15:32,2197,Muusa Dama Offensive Rebound.,5,9
15:27,2197,Muusa Dama Turnover.,5,9
15:26,6,Herb McGee Steal.,5,9
15:24,2197,Foul on Logan Koch.,5,9
15:24,6,Official TV Timeout,5,9
15:14,6,Herb McGee made Three Point Jumper. Assisted by Trhae Mitchell.,5,12
14:47,2197,Jajuan Starks missed Layup.,5,12
14:47,6,Nick Davis Defensive Rebound.,5,12
14:30,6,Nick Davis missed Three Point Jumper.,5,12
14:30,2197,Muusa Dama Defensive Rebound.,5,12
14:14,2197,D'Angelo Jackson missed Jumper.,5,12
14:14,6,Trhae Mitchell Defensive Rebound.,5,12
13:54,6,Jordan Andrews missed Three Point Jumper.,5,12
13:54,2197,Muusa Dama Defensive Rebound.,5,12
13:23,2197,Muusa Dama made Jumper.,7,12
13:05,6,Trhae Mitchell Turnover.,7,12
12:41,6,Foul on Nick Davis.,7,12
12:41,2197,Ray Crossland missed Free Throw.,7,12
12:41,2197,Eastern Illinois Deadball Team Rebound.,7,12
12:40,2197,Ray Crossland made Free Throw.,8,12
12:13,6,Nick Davis missed Layup.,8,12
12:13,2197,Justice Green Defensive Rebound.,8,12
11:51,6,Foul on Nick Davis.,8,12
11:51,6,Official TV Timeout,8,12
11:51,2197,Jajuan Starks made Free Throw.,9,12
11:51,2197,Jajuan Starks made Free Throw.,10,12
11:26,6,Josh Ajayi Turnover.,10,12
11:24,2197,Justice Green Steal.,10,12
11:19,2197,Montell Goodwin missed Layup.,10,12
11:19,6,Josh Ajayi Defensive Rebound.,10,12
10:58,6,Joe Thompson missed Jumper.,10,12
10:58,2197,Justice Green Block.,10,12
10:56,2197,Ray Crossland Defensive Rebound.,10,12
10:43,2197,D'Angelo Jackson Turnover.,10,12
10:43,2197,Foul on D'Angelo Jackson.,10,12
10:21,6,Joe Thompson made Layup.,10,14
10:06,2197,Montell Goodwin missed Three Point Jumper.,10,14
10:06,6,Dederick Lee Defensive Rebound.,10,14
