Marist,93,Murray State,2368
time,team_id,description,h_score,a_score
19:51,2368,Brian Parker missed Layup.,0,0
19:51,93,Jalen Dupree Block.,0,0
19:51,2368,Marist Offensive Rebound.,0,0
19:31,93,Foul on Jonathan Stark.,0,0
19:25,2368,Lasse Gummerus missed Three Point Jumper.,0,0
19:25,93,Jalen Dupree Defensive Rebound.,0,0
18:59,2368,Foul on Tobias Sjoberg.,0,0
18:59,93,Jalen Dupree missed Free Throw.,0,0
18:59,93,Murray State Deadball Team Rebound.,0,0
18:59,93,Jalen Dupree made Free Throw.,0,1
18:44,2368,Brian Parker made Jumper.,2,1
18:29,93,Jonathan Stark made Layup.,2,3
18:02,2368,David Knudsen made Three Point Jumper. Assisted by Lasse Gummerus.,5,3
17:34,93,Shaq Buchanan missed Jumper.,5,3
17:34,2368,Tobias Sjoberg Block.,5,3
17:32,93,Shaq Buchanan Offensive Rebound.,5,3
17:30,93,Shaq Buchanan missed Jumper.,5,3
17:30,2368,Lasse Gummerus Defensive Rebound.,5,3
17:11,2368,David Knudsen missed Three Point Jumper.,5,3
17:11,2368,Ryan Funk Offensive Rebound.,5,3
17:05,2368,Ryan Funk made Three Point Jumper.,8,3
16:49,93,Terrell Miller Jr. made Three Point Jumper. Assisted by Jonathan Stark.,8,6
16:35,93,Foul on Ja Morant.,8,6
16:25,2368,Tobias Sjoberg made Jumper. Assisted by Lasse Gummerus.,10,6
16:13,93,Ja Morant made Three Point Jumper. Assisted by Jonathan Stark.,10,9
15:57,2368,Marist  Timeout,10,9
15:43,2368,Isaiah Lamb missed Three Point Jumper.,10,9
15:43,93,Ja Morant Defensive Rebound.,10,9
15:31,93,Jonathan Stark made Jumper.,10,11
15:12,2368,Isaiah Lamb Turnover.,10,11
15:03,93,Ja Morant made Three Point Jumper. Assisted by Terrell Miller Jr..,10,14
14:44,2368,David Knudsen made Three Point Jumper. Assisted by Connor McClenaghan.,13,14
14:30,93,Jonathan Stark missed Layup.,13,14
14:30,93,Jalen Dupree Offensive Rebound.,13,14
14:28,93,Jalen Dupree made Two Point Tip Shot.,13,16
14:01,2368,David Knudsen Turnover.,13,16
13:43,93,Ja Morant missed Layup.,13,16
13:43,2368,Connor McClenaghan Defensive Rebound.,13,16
13:34,2368,David Knudsen made Jumper.,15,16
13:16,93,Terrell Miller Jr. made Three Point Jumper. Assisted by Shaq Buchanan.,15,19
12:50,2368,Isaiah Lamb made Layup. Assisted by Aleksandar Dozic.,17,19
12:27,2368,Foul on Aleksandar Dozic.,17,19
11:59,93,Terrell Miller Jr. made Three Point Jumper. Assisted by Jonathan Stark.,17,22
11:33,93,Foul on Brion Sanchious.,17,22
11:33,2368,Marist  Timeout,17,22
11:33,2368,Aleksandar Dozic missed Jumper.,17,22
11:33,93,Shaq Buchanan Defensive Rebound.,17,22
11:33,93,Ja Morant Turnover.,17,22
11:33,2368,Brian Parker made Free Throw.,18,22
11:33,2368,Brian Parker made Free Throw.,19,22
11:14,93,Byron Hawkins made Three Point Jumper. Assisted by Jonathan Stark.,19,25
10:51,2368,Aleksandar Dozic missed Three Point Jumper.,19,25
10:51,93,Byron Hawkins Defensive Rebound.,19,25
10:35,93,Jonathan Stark missed Jumper.,19,25
10:35,2368,Brian Parker Defensive Rebound.,19,25
10:22,2368,Ryan Funk missed Three Point Jumper.,19,25
10:22,2368,David Knudsen Offensive Rebound.,19,25
10:14,2368,Brian Parker missed Layup.,19,25
10:14,93,Terrell Miller Jr. Block.,19,25
10:13,93,Jonathan Stark Defensive Rebound.,19,25
10:12,2368,Foul on Tobias Sjoberg.,19,25
9:24,93,Brion Sanchious made Dunk. Assisted by Jonathan Stark.,19,27
9:09,2368,Lasse Gummerus made Three Point Jumper. Assisted by David Knudsen.,22,27
9:09,93,Jonathan Stark missed Three Point Jumper.,22,27
9:09,93,Brion Sanchious Offensive Rebound.,22,27
8:48,93,Jonathan Stark made Layup.,22,29
8:33,2368,David Knudsen made Three Point Jumper. Assisted by Connor McClenaghan.,25,29
8:18,93,Ja Morant Turnover.,25,29
8:17,2368,David Knudsen Steal.,25,29
7:59,2368,Connor McClenaghan Turnover.,25,29
7:58,2368,Foul on Connor McClenaghan.,25,29
