Texas Southern,2751,Wyoming,2640
time,team_id,description,h_score,a_score
19:49,2640,Derrick Bruce missed Jumper.,0,0
19:49,2640,Trayvon Reed Offensive Rebound.,0,0
19:35,2640,Donte Clark missed Layup.,0,0
19:35,2751,Alan Herndon Defensive Rebound.,0,0
19:26,2751,Alan Herndon made Three Point Jumper. Assisted by Hayden Dalton.,0,3
19:02,2640,Robert Lewis made Layup.,2,3
18:59,2751,Cody Kelley Turnover.,2,3
18:46,2640,Donte Clark missed Three Point Jumper.,2,3
18:46,2640,Demontrae Jefferson Offensive Rebound.,2,3
18:31,2640,Demontrae Jefferson made Three Point Jumper. Assisted by Donte Clark.,5,3
18:12,2751,Hayden Dalton missed Layup.,5,3
18:12,2640,Trayvon Reed Defensive Rebound.,5,3
17:54,2640,Derrick Bruce Turnover.,5,3
17:40,2751,Alan Herndon missed Three Point Jumper.,5,3
17:40,2751,Wyoming Offensive Rebound.,5,3
17:31,2751,Alexander Aka Gorski Turnover.,5,3
17:31,2640,Demontrae Jefferson Steal.,5,3
17:31,2751,Foul on Alan Herndon.,5,3
17:19,2640,Derrick Bruce missed Jumper.,5,3
17:19,2751,Justin James Defensive Rebound.,5,3
17:09,2751,Alexander Aka Gorski missed Three Point Jumper.,5,3
17:09,2640,Trayvon Reed Defensive Rebound.,5,3
16:59,2640,Robert Lewis made Jumper.,7,3
16:47,2751,Alexander Aka Gorski missed Three Point Jumper.,7,3
16:47,2751,Hayden Dalton Offensive Rebound.,7,3
16:44,2640,Foul on Donte Clark.,7,3
16:40,2751,Alexander Aka Gorski made Three Point Jumper. Assisted by Hayden Dalton.,7,6
16:09,2640,Donte Clark missed Jumper.,7,6
16:09,2640,Trayvon Reed Offensive Rebound.,7,6
16:06,2751,Foul on Hayden Dalton.,7,6
16:05,2640,Derrick Bruce made Three Point Jumper. Assisted by Demontrae Jefferson.,10,6
15:49,2751,Alan Herndon missed Three Point Jumper.,10,6
15:49,2640,Derrick Bruce Defensive Rebound.,10,6
15:40,2640,Demontrae Jefferson Turnover.,10,6
15:38,2751,Alexander Aka Gorski Steal.,10,6
15:36,2751,Alexander Aka Gorski Turnover.,10,6
15:36,2751,Foul on Alexander Aka Gorski.,10,6
15:36,2751,Official TV Timeout,10,6
15:19,2640,Demontrae Jefferson missed Jumper.,10,6
15:19,2751,Hunter Maldonado Defensive Rebound.,10,6
15:13,2640,Foul on Demontrae Jefferson.,10,6
14:49,2751,Hunter Maldonado made Layup. Assisted by Alan Herndon.,10,8
14:30,2640,Robert Lewis missed Jumper.,10,8
14:30,2751,Alan Herndon Defensive Rebound.,10,8
14:15,2751,Justin James missed Jumper.,10,8
14:15,2751,Justin James Offensive Rebound.,10,8
14:13,2751,Justin James missed Layup.,10,8
14:13,2640,Trayvon Reed Defensive Rebound.,10,8
14:04,2640,Demontrae Jefferson missed Three Point Jumper.,10,8
14:04,2751,Hunter Maldonado Defensive Rebound.,10,8
13:58,2751,Hunter Maldonado Turnover.,10,8
13:57,2640,Demontrae Jefferson Steal.,10,8
13:54,2640,Donte Clark missed Three Point Jumper.,10,8
13:54,2751,Justin James Defensive Rebound.,10,8
13:41,2751,Cody Kelley made Three Point Jumper. Assisted by Alan Herndon.,10,11
13:16,2640,Derrick Bruce missed Jumper.,10,11
13:16,2751,Alan Herndon Defensive Rebound.,10,11
13:05,2751,Cody Kelley missed Three Point Jumper.,10,11
13:05,2640,Trayvon Reed Defensive Rebound.,10,11
12:52,2640,Donte Clark Turnover.,10,11
12:52,2640,Foul on Donte Clark.,10,11
12:52,2751,Official TV Timeout,10,11
12:42,2751,Jordan Naughton missed Layup.,10,11
12:42,2751,Andrew Moemeka Offensive Rebound.,10,11
12:38,2751,Andrew Moemeka made Dunk.,10,13
12:14,2640,Derrick Bruce made Three Point Jumper. Assisted by Demontrae Jefferson.,13,13
11:47,2751,Jordan Naughton missed Jumper.,13,13
11:47,2640,Lamont Walker Defensive Rebound.,13,13
11:37,2640,Brian Carey Turnover.,13,13
11:37,2751,Official TV Timeout,13,13
11:25,2751,Alexander Aka Gorski Turnover.,13,13
11:02,2640,Lamont Walker made Jumper. Assisted by Brian Carey.,15,13
10:41,2751,Alexander Aka Gorski missed Three Point Jumper.,15,13
10:41,2640,Lamont Walker Defensive Rebound.,15,13
10:24,2640,Derrick Bruce missed Three Point Jumper.,15,13
10:24,2640,Brian Carey Offensive Rebound.,15,13
9:52,2751,Foul on Jordan Naughton.,15,13
9:52,2640,Marquis Salmon missed Free Throw.,15,13
9:52,2640,Texas Southern Deadball Team Rebound.,15,13
9:52,2640,Marquis Salmon made Free Throw.,16,13
9:38,2751,Jordan Naughton made Jumper. Assisted by Hunter Maldonado.,16,15
9:15,2640,Brian Carey missed Jumper.,16,15
9:15,2640,Texas Southern Offensive Rebound.,16,15
9:11,2751,Foul on Nyaires Redding.,16,15
9:05,2640,Derrick Bruce missed Layup.,16,15
9:05,2640,Lamont Walker Offensive Rebound.,16,15
9:02,2640,Lamont Walker missed Layup.,16,15
9:02,2751,Hunter Maldonado Block.,16,15
8:54,2751,Hunter Maldonado Defensive Rebound.,16,15
8:47,2751,Justin James made Jumper.,16,17
8:31,2640,Brian Carey Turnover.,16,17
8:31,2640,Foul on Brian Carey.,16,17
8:13,2751,Nyaires Redding missed Three Point Jumper.,16,17
8:13,2640,Lamont Walker Defensive Rebound.,16,17
7:58,2640,Brian Carey missed Three Point Jumper.,16,17
7:58,2751,Justin James Defensive Rebound.,16,17
7:47,2751,Hayden Dalton Turnover.,16,17
7:47,2751,Official TV Timeout,16,17
7:31,2640,Lamont Walker made Jumper.,18,17
7:31,2751,Foul on Hayden Dalton.,18,17
7:31,2640,Lamont Walker made Free Throw.,19,17
7:12,2751,Hayden Dalton missed Jumper.,19,17
7:12,2640,Lamont Walker Defensive Rebound.,19,17
7:03,2640,Demontrae Jefferson missed Jumper.,19,17
7:03,2751,Hayden Dalton Block.,19,17
7:02,2640,Demontrae Jefferson Offensive Rebound.,19,17
6:55,2640,Demontrae Jefferson made Three Point Jumper.,22,17
6:46,2751,Justin James missed Three Point Jumper.,22,17
6:46,2751,Hunter Maldonado Offensive Rebound.,22,17
6:43,2640,Foul on Lamont Walker.,22,17
6:38,2640,Foul on Trayvon Reed.,22,17
6:38,2751,Justin James made Free Throw.,22,18
6:38,2751,Justin James made Free Throw.,22,19
6:28,2640,Demontrae Jefferson missed Jumper.,22,19
6:28,2751,Wyoming Defensive Rebound.,22,19
6:17,2751,Cody Kelley made Three Point Jumper. Assisted by Hayden Dalton.,22,22
5:46,2640,Robert Lewis missed Jumper.,22,22
5:46,2751,Alan Herndon Block.,22,22
5:44,2751,Louis Adams Defensive Rebound.,22,22
5:39,2751,Justin James missed Three Point Jumper.,22,22
5:39,2751,Hayden Dalton Offensive Rebound.,22,22
5:22,2751,Hayden Dalton Turnover.,22,22
5:21,2640,Robert Lewis Steal.,22,22
5:18,2640,Robert Lewis Turnover.,22,22
5:04,2640,Foul on Robert Lewis.,22,22
5:04,2751,Andrew Moemeka missed Free Throw.,22,22
5:04,2640,Lamont Walker Defensive Rebound.,22,22
4:52,2640,Donte Clark missed Jumper.,22,22
4:52,2751,Justin James Defensive Rebound.,22,22
4:46,2640,Foul on Robert Lewis.,22,22
4:46,2751,Louis Adams made Free Throw.,22,23
4:46,2751,Louis Adams made Free Throw.,22,24
4:33,2640,Donte Clark Turnover.,22,24
4:33,2640,Foul on Donte Clark.,22,24
4:22,2751,Louis Adams Turnover.,22,24
4:11,2640,Robert Lewis missed Three Point Jumper.,22,24
4:11,2751,Andrew Moemeka Defensive Rebound.,22,24
4:03,2751,Alan Herndon missed Three Point Jumper.,22,24
4:03,2751,Andrew Moemeka Offensive Rebound.,22,24
3:57,2751,Justin James made Three Point Jumper. Assisted by Andrew Moemeka.,22,27
3:38,2640,Demontrae Jefferson missed Three Point Jumper.,22,27
3:38,2640,Marquis Salmon Offensive Rebound.,22,27
3:34,2751,Foul on Louis Adams.,22,27
3:34,2751,Official TV Timeout,22,27
3:34,2640,Marquis Salmon made Free Throw.,23,27
3:34,2640,Marquis Salmon made Free Throw.,24,27
3:20,2751,Justin James Turnover.,24,27
3:05,2751,Foul on Cody Kelley.,24,27
3:05,2640,Robert Lewis missed Free Throw.,24,27
3:05,2640,Texas Southern Deadball Team Rebound.,24,27
3:05,2640,Robert Lewis missed Free Throw.,24,27
3:05,2751,Andrew Moemeka Defensive Rebound.,24,27
2:56,2751,Alan Herndon missed Three Point Jumper.,24,27
2:56,2640,Lamont Walker Defensive Rebound.,24,27
2:43,2640,Demontrae Jefferson made Jumper.,26,27
2:28,2751,Louis Adams missed Three Point Jumper.,26,27
2:28,2640,Robert Lewis Defensive Rebound.,26,27
2:11,2640,Lamont Walker missed Jumper.,26,27
2:11,2751,Wyoming Defensive Rebound.,26,27
2:09,2640,Foul on Marquis Salmon.,26,27
2:09,2751,Andrew Moemeka made Free Throw.,26,28
2:09,2751,Andrew Moemeka missed Free Throw.,26,28
2:09,2640,Texas Southern Defensive Rebound.,26,28
2:08,2751,Foul on Justin James.,26,28
2:08,2640,Lamont Walker missed Free Throw.,26,28
2:08,2751,Justin James Defensive Rebound.,26,28
2:03,2751,Louis Adams missed Layup.,26,28
2:03,2751,Hayden Dalton Offensive Rebound.,26,28
2:01,2640,Foul on Lamont Walker.,26,28
2:01,2751,Hayden Dalton made Free Throw.,26,29
2:01,2751,Hayden Dalton made Free Throw.,26,30
1:44,2640,Demontrae Jefferson made Three Point Jumper. Assisted by Derrick Bruce.,29,30
1:30,2751,Louis Adams missed Jumper.,29,30
1:30,2640,Trayvon Reed Block.,29,30
1:27,2640,Robert Lewis Defensive Rebound.,29,30
1:24,2751,Foul on Cody Kelley.,29,30
1:24,2640,Robert Lewis missed Free Throw.,29,30
1:24,2640,Texas Southern Deadball Team Rebound.,29,30
1:24,2640,Robert Lewis missed Free Throw.,29,30
1:24,2751,Hayden Dalton Defensive Rebound.,29,30
1:14,2751,Cody Kelley Turnover.,29,30
1:13,2640,Trayvon Reed Steal.,29,30
1:05,2640,Demontrae Jefferson made Layup.,31,30
0:54,2751,Hayden Dalton missed Three Point Jumper.,31,30
0:54,2640,Robert Lewis Defensive Rebound.,31,30
0:32,2751,Foul on Hayden Dalton.,31,30
0:32,2640,Demontrae Jefferson missed Free Throw.,31,30
0:32,2640,Texas Southern Deadball Team Rebound.,31,30
0:32,2640,Demontrae Jefferson made Free Throw.,32,30
0:10,2751,Justin James missed Three Point Jumper.,32,30
0:10,2640,Robert Lewis Defensive Rebound.,32,30
0:04,2640,Robert Lewis made Three Point Jumper.,35,30
0:00,2751,End of 1st half,35,30
19:46,2751,Hayden Dalton Turnover.,35,30
19:46,2751,Foul on Hayden Dalton.,35,30
19:28,2640,Robert Lewis made Three Point Jumper. Assisted by Donte Clark.,38,30
19:09,2751,Cody Kelley Turnover.,38,30
19:08,2640,Derrick Bruce Steal.,38,30
19:04,2640,Demontrae Jefferson missed Three Point Jumper.,38,30
