Prairie View A&amp;M,248,Houston,2504
time,team_id,description,h_score,a_score
19:54,248,Wes VanBeck Turnover.,0,0
19:45,2504,Zachary Hamilton missed Jumper.,0,0
19:45,248,Wes VanBeck Defensive Rebound.,0,0
19:39,248,Wes VanBeck Turnover.,0,0
19:37,2504,Gary Blackston Steal.,0,0
19:30,2504,Dennis Jones Turnover.,0,0
19:27,248,Wes VanBeck Steal.,0,0
19:22,248,Devin Davis made Dunk. Assisted by Rob Gray.,0,2
18:59,2504,Gary Blackston missed Three Point Jumper.,0,2
18:59,248,Breaon Brady Block.,0,2
18:57,2504,Gary Blackston Offensive Rebound.,0,2
18:54,2504,Dennis Jones missed Three Point Jumper.,0,2
18:54,248,Rob Gray Defensive Rebound.,0,2
18:47,248,Rob Gray made Three Point Jumper.,0,5
18:24,2504,Zachary Hamilton made Jumper.,2,5
17:58,248,Breaon Brady Turnover.,2,5
17:55,2504,JD Wallace Steal.,2,5
17:52,2504,Gary Blackston missed Layup.,2,5
17:52,248,Devin Davis Block.,2,5
17:52,2504,Prairie View A&M Offensive Rebound.,2,5
17:45,2504,Zachary Hamilton made Jumper.,4,5
17:32,248,Wes VanBeck missed Three Point Jumper.,4,5
17:32,248,Wes VanBeck Offensive Rebound.,4,5
17:28,248,Wes VanBeck Turnover.,4,5
17:26,2504,Dennis Jones Steal.,4,5
17:13,248,Foul on Rob Gray.,4,5
17:13,2504,Dennis Jones made Free Throw.,5,5
17:13,2504,Dennis Jones missed Free Throw.,5,5
17:13,248,Breaon Brady Defensive Rebound.,5,5
16:58,248,Wes VanBeck made Layup.,5,7
16:58,2504,Foul on Shay'rone Jett.,5,7
16:58,248,Wes VanBeck made Free Throw.,5,8
16:47,2504,Gary Blackston missed Three Point Jumper.,5,8
16:47,2504,Shay'rone Jett Offensive Rebound.,5,8
16:42,2504,Shay'rone Jett missed Two Point Tip Shot.,5,8
16:42,248,Houston Defensive Rebound.,5,8
16:26,248,Breaon Brady Turnover.,5,8
15:59,2504,Zachary Hamilton made Three Point Jumper. Assisted by Shay'rone Jett.,8,8
15:43,2504,Foul on Shay'rone Jett.,8,8
15:43,248,Official TV Timeout,8,8
15:43,248,Rob Gray missed Free Throw.,8,8
15:43,248,Houston Deadball Team Rebound.,8,8
15:43,248,Rob Gray made Free Throw.,8,9
15:28,2504,Zachary Hamilton missed Jumper.,8,9
15:28,2504,Prairie View A&M Offensive Rebound.,8,9
15:19,2504,Dennis Jones made Jumper.,10,9
15:09,2504,Foul on Troy Thompson.,10,9
14:59,248,Wes VanBeck missed Three Point Jumper.,10,9
14:59,248,Devin Davis Offensive Rebound.,10,9
14:53,248,Corey Davis Jr. made Three Point Jumper. Assisted by Wes VanBeck.,10,12
14:35,2504,Zachary Hamilton missed Three Point Jumper.,10,12
14:35,2504,JD Wallace Offensive Rebound.,10,12
14:31,248,Foul on Corey Davis Jr..,10,12
14:26,2504,Dennis Jones made Three Point Jumper. Assisted by Zachary Hamilton.,13,12
14:16,248,Corey Davis Jr. missed Three Point Jumper.,13,12
14:16,2504,JD Wallace Defensive Rebound.,13,12
14:14,248,Foul on Breaon Brady.,13,12
13:59,2504,Dennis Jones missed Jumper.,13,12
13:59,248,Devin Davis Defensive Rebound.,13,12
13:51,248,Rob Gray made Layup.,13,14
13:40,248,Foul on Nura Zanna.,13,14
13:40,2504,JD Wallace made Free Throw.,14,14
13:40,2504,JD Wallace made Free Throw.,15,14
13:21,248,Corey Davis Jr. Turnover.,15,14
13:20,2504,JD Wallace Steal.,15,14
13:13,2504,Gary Blackston missed Jumper.,15,14
13:13,248,Rob Gray Defensive Rebound.,15,14
13:00,248,Devin Davis made Jumper. Assisted by Corey Davis Jr..,15,16
12:34,248,Foul on Corey Davis Jr..,15,16
12:27,2504,Dennis Jones made Three Point Jumper.,18,16
12:06,248,Devin Davis missed Jumper.,18,16
12:06,2504,Dennis Jones Defensive Rebound.,18,16
11:58,2504,Zachary Hamilton missed Three Point Jumper.,18,16
11:58,248,Armoni Brooks Defensive Rebound.,18,16
11:50,248,Foul on Galen Robinson Jr..,18,16
11:50,248,Galen Robinson Jr. Turnover.,18,16
11:50,248,Official TV Timeout,18,16
11:26,2504,Troy Thompson missed Three Point Jumper.,18,16
11:26,248,Rob Gray Defensive Rebound.,18,16
11:17,248,Armoni Brooks made Three Point Jumper. Assisted by Galen Robinson Jr..,18,19
11:00,2504,Dennis Jones missed Three Point Jumper.,18,19
11:00,248,Nura Zanna Defensive Rebound.,18,19
