Maine,2603,Saint Joseph's,311
time,team_id,description,h_score,a_score
19:52,311,Dusan Majstorovic missed Three Point Jumper.,0,0
19:52,2603,James Demery Defensive Rebound.,0,0
19:46,2603,Shavar Newkirk missed Three Point Jumper.,0,0
19:46,2603,Pierfrancesco Oliva Offensive Rebound.,0,0
19:31,311,Foul on Ilker Er.,0,0
19:31,2603,James Demery missed Free Throw.,0,0
19:31,2603,Saint Joseph's Deadball Team Rebound.,0,0
19:31,2603,James Demery made Free Throw.,0,1
19:16,311,Isaiah White Turnover.,0,1
18:58,2603,James Demery missed Layup.,0,1
18:58,311,Andrew Fleming Defensive Rebound.,0,1
18:51,311,Aaron Calixte missed Layup.,0,1
18:51,2603,James Demery Block.,0,1
18:49,2603,Shavar Newkirk Defensive Rebound.,0,1
18:43,2603,Shavar Newkirk missed Layup.,0,1
18:43,311,Ilker Er Defensive Rebound.,0,1
18:26,311,Aaron Calixte missed Jumper.,0,1
18:26,311,Ilker Er Offensive Rebound.,0,1
18:22,311,Isaiah White missed Jumper.,0,1
18:22,2603,Chris Clover Defensive Rebound.,0,1
18:17,2603,Chris Clover missed Jumper.,0,1
18:17,311,Isaiah White Defensive Rebound.,0,1
17:59,311,Foul on Andrew Fleming.,0,1
17:59,311,Andrew Fleming Turnover.,0,1
17:43,2603,Pierfrancesco Oliva Turnover.,0,1
17:27,311,Ilker Er missed Three Point Jumper.,0,1
17:27,311,Isaiah White Offensive Rebound.,0,1
17:22,311,Aaron Calixte missed Three Point Jumper.,0,1
17:22,2603,James Demery Defensive Rebound.,0,1
17:02,2603,James Demery missed Jumper.,0,1
17:02,311,Ilker Er Defensive Rebound.,0,1
16:46,311,Isaiah White made Three Point Jumper. Assisted by Ilker Er.,3,1
16:28,2603,James Demery missed Jumper.,3,1
16:28,311,Isaiah White Defensive Rebound.,3,1
16:06,311,Isaiah White made Three Point Jumper. Assisted by Aaron Calixte.,6,1
