Northern Kentucky,2378,UMBC,94
time,team_id,description,h_score,a_score
19:51,94,Carson Williams made Layup.,2,0
19:34,2378,Jairus Lyles missed Three Point Jumper.,2,0
19:34,94,Jalen Tate Block.,2,0
19:31,2378,Nolan Gerrity Offensive Rebound.,2,0
19:29,2378,Nolan Gerrity made Layup.,2,2
19:10,94,Carson Williams Turnover.,2,2
19:10,2378,Joe Sherburne Steal.,2,2
18:46,2378,Nolan Gerrity missed Layup.,2,2
18:46,94,Drew McDonald Defensive Rebound.,2,2
18:23,94,Drew McDonald missed Three Point Jumper.,2,2
18:23,2378,Nolan Gerrity Defensive Rebound.,2,2
18:11,2378,Jourdan Grant made Three Point Jumper. Assisted by Jairus Lyles.,2,5
17:52,94,Jalen Tate made Three Point Jumper. Assisted by Drew McDonald.,5,5
17:38,94,Foul on Lavone Holland II.,5,5
17:26,2378,Joe Sherburne missed Jumper.,5,5
17:26,2378,Joe Sherburne Offensive Rebound.,5,5
17:13,2378,Nolan Gerrity made Layup. Assisted by Joe Sherburne.,5,7
16:55,94,Carson Williams missed Jumper.,5,7
16:55,2378,Nolan Gerrity Defensive Rebound.,5,7
16:44,2378,Jairus Lyles missed Jumper.,5,7
16:44,94,Jalen Tate Defensive Rebound.,5,7
16:28,94,Drew McDonald Turnover.,5,7
16:12,94,Foul on Jalen Tate.,5,7
16:05,2378,Jourdan Grant Turnover.,5,7
16:03,94,Mason Faulkner Steal.,5,7
16:00,94,Carson Williams made Dunk. Assisted by Mason Faulkner.,7,7
15:30,2378,Joe Sherburne made Three Point Jumper. Assisted by Jairus Lyles.,7,10
15:17,94,Drew McDonald made Three Point Jumper. Assisted by Jalen Tate.,10,10
15:00,2378,Jourdan Grant made Jumper.,10,12
14:42,94,Mason Faulkner missed Three Point Jumper.,10,12
14:42,2378,K.J. Maura Defensive Rebound.,10,12
14:27,2378,Nolan Gerrity missed Layup.,10,12
14:27,94,Carson Williams Defensive Rebound.,10,12
14:07,94,Drew McDonald made Free Throw.,11,12
14:07,94,Drew McDonald made Free Throw.,12,12
14:07,2378,Jairus Lyles missed Jumper.,12,12
14:07,2378,Daniel Akin Offensive Rebound.,12,12
14:07,2378,Daniel Akin made Layup.,12,14
14:05,2378,Foul on Jourdan Grant.,12,14
14:05,2378,Official TV Timeout,12,14
13:19,94,Mason Faulkner made Three Point Jumper.,15,14
13:05,2378,Joe Sherburne made Layup. Assisted by K.J. Maura.,15,16
12:54,94,Jordan Garnett missed Layup.,15,16
12:54,2378,Arkel Lamar Block.,15,16
12:54,94,Northern Kentucky Offensive Rebound.,15,16
12:50,2378,Foul on Jairus Lyles.,15,16
12:44,94,Lavone Holland II made Three Point Jumper. Assisted by Mason Faulkner.,18,16
12:28,94,Foul on Jalen Tate.,18,16
12:26,2378,Joe Sherburne missed Jumper.,18,16
12:26,94,Jeff Garrett Defensive Rebound.,18,16
12:08,2378,Foul on Arkel Lamar.,18,16
12:08,94,Carson Williams made Free Throw.,19,16
12:08,94,Carson Williams missed Free Throw.,19,16
12:08,94,Dantez Walton Offensive Rebound.,19,16
11:55,94,Lavone Holland II missed Layup.,19,16
11:55,94,Lavone Holland II Offensive Rebound.,19,16
11:42,94,Lavone Holland II made Three Point Jumper. Assisted by Carson Williams.,22,16
11:13,2378,Daniel Akin made Layup.,22,18
10:45,94,Carson Williams missed Layup.,22,18
10:45,2378,Jourdan Grant Defensive Rebound.,22,18
10:36,94,Foul on Dantez Walton.,22,18
10:36,2378,Official TV Timeout,22,18
10:36,2378,Arkel Lamar made Free Throw.,22,19
10:36,2378,Arkel Lamar made Free Throw.,22,20
10:36,2378,Arkel Lamar made Free Throw.,22,21
10:16,94,Carson Williams made Layup. Assisted by Dantez Walton.,24,21
9:57,2378,Jourdan Grant missed Three Point Jumper.,24,21
9:57,94,Lavone Holland II Defensive Rebound.,24,21
9:26,94,Drew McDonald missed Layup.,24,21
9:26,2378,Jourdan Grant Defensive Rebound.,24,21
9:19,2378,Jourdan Grant made Layup.,24,23
8:54,94,Tyler Sharpe made Three Point Jumper. Assisted by Lavone Holland II.,27,23
8:19,2378,Jourdan Grant missed Jumper.,27,23
8:19,94,Tyler Sharpe Block.,27,23
8:16,94,Drew McDonald Defensive Rebound.,27,23
8:04,2378,Foul on Jourdan Grant.,27,23
7:54,94,Drew McDonald missed Three Point Jumper.,27,23
