Houston Baptist,127,Michigan State,2277
time,team_id,description,h_score,a_score
20:00,127,Jump Ball won by Michigan State,0,0
19:48,127,Miles Bridges made Dunk. Assisted by Cassius Winston.,0,2
19:28,2277,Foul on Edward Hardt.,0,2
19:28,2277,Edward Hardt Turnover.,0,2
19:23,127,Cassius Winston Turnover.,0,2
19:23,2277,Braxton Bonds Steal.,0,2
19:22,2277,Braxton Bonds Turnover.,0,2
19:09,127,Jaren Jackson Jr. Turnover.,0,2
19:09,2277,William Gates Jr. Steal.,0,2
19:01,2277,Braxton Bonds missed Jumper.,0,2
19:01,2277,David Caraher Offensive Rebound.,0,2
18:58,127,Foul on Jaren Jackson Jr..,0,2
18:58,2277,David Caraher made Free Throw.,1,2
18:58,2277,David Caraher made Free Throw.,2,2
18:45,127,Miles Bridges Turnover.,2,2
18:45,2277,Ian DuBose Steal.,2,2
18:38,2277,Ian DuBose missed Layup.,2,2
18:38,127,Jaren Jackson Jr. Defensive Rebound.,2,2
18:32,127,Miles Bridges missed Three Point Jumper.,2,2
18:32,127,Nick Ward Offensive Rebound.,2,2
18:27,127,Nick Ward made Dunk.,2,4
18:26,127,Michigan State  Timeout,2,4
18:01,2277,Ian DuBose missed Jumper.,2,4
18:01,2277,David Caraher Offensive Rebound.,2,4
17:53,2277,Edward Hardt missed Layup.,2,4
17:53,127,Jaren Jackson Jr. Block.,2,4
17:53,127,Jaren Jackson Jr. Defensive Rebound.,2,4
17:47,127,Jaren Jackson Jr. Turnover.,2,4
17:47,2277,Ian DuBose Steal.,2,4
17:33,2277,David Caraher missed Three Point Jumper.,2,4
17:33,2277,Braxton Bonds Offensive Rebound.,2,4
17:26,2277,Tim Myles missed Jumper.,2,4
17:26,127,Miles Bridges Defensive Rebound.,2,4
17:15,2277,Foul on Tim Myles.,2,4
17:12,2277,Foul on William Gates Jr..,2,4
17:12,127,Ben Carter made Free Throw.,2,5
17:12,127,Ben Carter missed Free Throw.,2,5
17:12,2277,Ian DuBose Defensive Rebound.,2,5
16:54,2277,William Gates Jr. made Layup.,4,5
16:47,127,Joshua Langford missed Three Point Jumper.,4,5
16:47,127,Nick Ward Offensive Rebound.,4,5
16:42,127,Nick Ward made Layup.,4,7
16:38,2277,Braxton Bonds Turnover.,4,7
16:29,2277,Foul on Tim Myles.,4,7
16:24,127,Miles Bridges made Three Point Jumper. Assisted by Ben Carter.,4,10
15:50,2277,Houston Baptist  Turnover.,4,10
15:50,127,Official TV Timeout,4,10
15:40,127,Cassius Winston made Three Point Jumper. Assisted by Joshua Langford.,4,13
15:09,2277,Braxton Bonds made Layup.,6,13
14:58,127,Ben Carter missed Jumper.,6,13
14:58,2277,Braxton Bonds Defensive Rebound.,6,13
14:33,2277,William Gates Jr. missed Layup.,6,13
14:33,127,Ben Carter Block.,6,13
14:33,2277,Houston Baptist Offensive Rebound.,6,13
14:29,2277,Ian DuBose missed Jumper.,6,13
14:29,127,Cassius Winston Defensive Rebound.,6,13
14:19,127,Joshua Langford made Jumper. Assisted by Cassius Winston.,6,15
13:50,127,Foul on Matt McQuaid.,6,15
13:50,2277,Ian DuBose made Free Throw.,7,15
13:50,2277,Ian DuBose made Free Throw.,8,15
13:43,127,Foul on Jaren Jackson Jr..,8,15
13:43,127,Jaren Jackson Jr. Turnover.,8,15
13:23,2277,Braxton Bonds missed Jumper.,8,15
13:23,127,Jaren Jackson Jr. Defensive Rebound.,8,15
13:16,127,Gavin Schilling made Layup. Assisted by Cassius Winston.,8,17
13:16,2277,Foul on Chukuka Emili.,8,17
13:16,127,Gavin Schilling made Free Throw.,8,18
12:51,2277,David Caraher missed Jumper.,8,18
12:51,127,Jaren Jackson Jr. Block.,8,18
12:51,2277,Edward Hardt Offensive Rebound.,8,18
12:46,2277,Edward Hardt made Layup.,10,18
12:25,127,Cassius Winston missed Three Point Jumper.,10,18
12:25,127,Jaren Jackson Jr. Offensive Rebound.,10,18
12:15,127,Gavin Schilling made Dunk. Assisted by Cassius Winston.,10,20
12:00,127,Foul on Jaren Jackson Jr..,10,20
12:00,127,Official TV Timeout,10,20
11:45,2277,Jalon Gates made Layup.,12,20
11:39,127,Miles Bridges made Dunk. Assisted by Joshua Langford.,12,22
11:34,2277,Foul on Edward Hardt.,12,22
11:34,127,Miles Bridges made Free Throw.,12,23
11:19,2277,Chukuka Emili missed Three Point Jumper.,12,23
11:19,2277,Chukuka Emili Offensive Rebound.,12,23
11:09,2277,Ian DuBose missed Three Point Jumper.,12,23
11:09,2277,Philip McKenzie Offensive Rebound.,12,23
11:07,2277,Philip McKenzie missed Layup.,12,23
11:07,127,Kenny Goins Block.,12,23
11:07,2277,Houston Baptist Offensive Rebound.,12,23
11:03,127,Foul on Joshua Langford.,12,23
11:03,2277,Jalon Gates made Free Throw.,13,23
11:03,2277,Jalon Gates made Free Throw.,14,23
11:03,2277,Jalon Gates made Free Throw.,15,23
10:57,127,Xavier Tillman made Layup. Assisted by Miles Bridges.,15,25
10:27,2277,Chukuka Emili missed Jumper.,15,25
10:27,127,Kenny Goins Defensive Rebound.,15,25
10:05,127,Miles Bridges missed Three Point Jumper.,15,25
10:05,127,Xavier Tillman Offensive Rebound.,15,25
10:01,127,Xavier Tillman missed Layup.,15,25
10:01,2277,Ian DuBose Defensive Rebound.,15,25
9:40,2277,Ian DuBose missed Jumper.,15,25
9:40,127,Miles Bridges Defensive Rebound.,15,25
9:33,127,Joshua Langford missed Jumper.,15,25
9:33,2277,Chukuka Emili Defensive Rebound.,15,25
9:17,2277,Oliver Lynch-Daniels missed Jumper.,15,25
9:17,127,Lourawls Nairn Jr. Defensive Rebound.,15,25
9:10,127,Lourawls Nairn Jr. Turnover.,15,25
8:54,2277,Foul on Jalon Gates.,15,25
8:54,2277,Jalon Gates Turnover.,15,25
8:41,127,Miles Bridges made Jumper. Assisted by Cassius Winston.,15,27
