Evansville,150,Duke,339
time,team_id,description,h_score,a_score
20:00,150,Jump Ball won by Duke,0,0
19:47,339,Foul on K.J. Riley.,0,0
19:47,150,Trevon Duval missed Free Throw.,0,0
19:47,150,Duke Deadball Team Rebound.,0,0
19:47,150,Trevon Duval missed Free Throw.,0,0
19:47,339,Dainius Chatkevicius Defensive Rebound.,0,0
19:27,339,Dainius Chatkevicius made Layup. Assisted by K.J. Riley.,2,0
19:18,150,Marvin Bagley III made Three Point Jumper. Assisted by Trevon Duval.,2,3
18:51,339,K.J. Riley made Layup.,4,3
18:36,150,Wendell Carter Jr missed Three Point Jumper.,4,3
18:36,339,Dainius Chatkevicius Defensive Rebound.,4,3
18:10,339,Dainius Chatkevicius Turnover.,4,3
18:03,150,Foul on Grayson Allen.,4,3
18:03,150,Grayson Allen Turnover.,4,3
17:48,339,K.J. Riley Turnover.,4,3
17:41,150,Grayson Allen made Layup. Assisted by Marvin Bagley III.,4,5
17:18,339,Blake Simmons made Three Point Jumper. Assisted by John Hall.,7,5
17:10,150,Trevon Duval made Jumper.,7,7
16:42,339,Marty Hill missed Layup.,7,7
16:42,150,Wendell Carter Jr Block.,7,7
16:42,339,Evansville Offensive Rebound.,7,7
16:41,339,John Hall missed Jumper.,7,7
16:41,150,Alex O'Connell Defensive Rebound.,7,7
16:31,150,Marques Bolden made Dunk. Assisted by Marvin Bagley III.,7,9
16:02,339,John Hall missed Three Point Jumper.,7,9
16:02,150,Marques Bolden Defensive Rebound.,7,9
15:53,339,Foul on John Hall.,7,9
15:53,150,Official TV Timeout,7,9
15:53,150,Marvin Bagley III made Free Throw.,7,10
15:53,150,Marvin Bagley III made Free Throw.,7,11
15:31,339,K.J. Riley Turnover.,7,11
15:31,150,Marques Bolden Steal.,7,11
15:21,150,Grayson Allen made Three Point Jumper. Assisted by Marques Bolden.,7,14
14:52,339,Foul on Dalen Traore.,7,14
14:52,339,Dalen Traore Turnover.,7,14
14:43,150,Wendell Carter Jr made Three Point Jumper. Assisted by Jordan Goldwire.,7,17
14:12,339,Dainius Chatkevicius made Layup. Assisted by Marty Hill.,9,17
14:02,150,Wendell Carter Jr made Jumper. Assisted by Jordan Goldwire.,9,19
13:56,339,Evan Kuhlman Turnover.,9,19
13:56,150,Jordan Goldwire Steal.,9,19
13:52,150,Alex O'Connell made Layup. Assisted by Jordan Goldwire.,9,21
13:52,339,Evansville  Timeout,9,21
13:36,339,Noah Frederking made Jumper.,11,21
13:22,150,Gary Trent Jr Turnover.,11,21
13:02,339,Dainius Chatkevicius made Jumper.,13,21
12:55,150,Trevon Duval missed Layup.,13,21
12:55,150,Wendell Carter Jr Offensive Rebound.,13,21
12:52,339,Foul on Dainius Chatkevicius.,13,21
12:52,339,Foul on John Hall.,13,21
12:49,339,Foul on Marty Hill.,13,21
12:49,150,Wendell Carter Jr made Free Throw.,13,22
12:49,150,Wendell Carter Jr made Free Throw.,13,23
12:35,339,Foul on Marty Hill.,13,23
12:35,339,Marty Hill Turnover.,13,23
12:29,150,Grayson Allen missed Jumper.,13,23
12:29,339,Noah Frederking Defensive Rebound.,13,23
11:56,339,K.J. Riley missed Layup.,13,23
11:56,150,Marvin Bagley III Block.,13,23
11:56,339,Evansville Offensive Rebound.,13,23
11:56,150,Official TV Timeout,13,23
11:53,339,Evansville  Turnover.,13,23
11:44,150,Marvin Bagley III made Dunk. Assisted by Trevon Duval.,13,25
11:35,339,Evan Kuhlman Turnover.,13,25
11:35,150,Grayson Allen Steal.,13,25
11:30,150,Grayson Allen made Jumper.,13,27
11:03,339,Noah Frederking made Jumper. Assisted by K.J. Riley.,15,27
10:48,150,Trevon Duval Turnover.,15,27
10:43,339,Blake Simmons missed Three Point Jumper.,15,27
10:43,150,Wendell Carter Jr Defensive Rebound.,15,27
10:32,150,Wendell Carter Jr made Three Point Jumper. Assisted by Gary Trent Jr.,15,30
10:07,339,Noah Frederking missed Jumper.,15,30
10:07,150,Wendell Carter Jr Defensive Rebound.,15,30
9:57,150,Wendell Carter Jr missed Three Point Jumper.,15,30
9:57,339,Dainius Chatkevicius Defensive Rebound.,15,30
9:45,339,Blake Simmons missed Jumper.,15,30
9:45,150,Marvin Bagley III Defensive Rebound.,15,30
9:34,150,Wendell Carter Jr missed Jumper.,15,30
9:34,339,Blake Simmons Defensive Rebound.,15,30
9:20,150,Foul on Gary Trent Jr.,15,30
8:59,339,Dainius Chatkevicius missed Layup.,15,30
8:59,150,Alex O'Connell Block.,15,30
8:59,339,Evansville Deadball Team Rebound.,15,30
8:59,339,Jump Ball won by Evansville,15,30
8:49,150,Foul on Marques Bolden.,15,30
8:42,339,Noah Frederking missed Jumper.,15,30
8:42,150,Marques Bolden Block.,15,30
8:42,339,Evansville Offensive Rebound.,15,30
8:22,150,Foul on Justin Robinson.,15,30
8:13,339,Evan Kuhlman missed Three Point Jumper.,15,30
8:13,150,Alex O'Connell Defensive Rebound.,15,30
7:55,150,Marques Bolden missed Jumper.,15,30
7:55,339,Dainius Chatkevicius Block.,15,30
7:55,150,Duke Offensive Rebound.,15,30
7:55,150,Official TV Timeout,15,30
7:53,150,Jordan Goldwire made Three Point Jumper. Assisted by Gary Trent Jr.,15,33
7:15,339,Noah Frederking Turnover.,15,33
7:15,150,Marques Bolden Steal.,15,33
6:58,150,Gary Trent Jr missed Jumper.,15,33
6:58,339,Marty Hill Defensive Rebound.,15,33
6:46,339,Blake Simmons missed Three Point Jumper.,15,33
6:46,150,Jordan Goldwire Defensive Rebound.,15,33
6:39,150,Gary Trent Jr made Layup. Assisted by Jordan Goldwire.,15,35
6:17,339,Marty Hill Turnover.,15,35
6:06,150,Wendell Carter Jr made Layup. Assisted by Marvin Bagley III.,15,37
6:04,339,Evansville  Timeout,15,37
5:46,339,Dalen Traore Turnover.,15,37
5:46,150,Trevon Duval Steal.,15,37
5:42,150,Trevon Duval made Layup.,15,39
5:26,150,Foul on Marvin Bagley III.,15,39
5:26,339,Blake Simmons missed Free Throw.,15,39
5:26,339,Evansville Deadball Team Rebound.,15,39
5:26,339,Blake Simmons made Free Throw.,16,39
5:16,150,Gary Trent Jr made Three Point Jumper. Assisted by Wendell Carter Jr.,16,42
4:44,339,Blake Simmons missed Jumper.,16,42
4:44,150,Marvin Bagley III Defensive Rebound.,16,42
4:33,150,Grayson Allen made Three Point Jumper. Assisted by Trevon Duval.,16,45
4:13,150,Jump Ball won by Duke,16,45
4:13,339,Blake Simmons Turnover.,16,45
4:13,150,Trevon Duval Steal.,16,45
3:58,150,Alex O'Connell missed Three Point Jumper.,16,45
3:58,150,Marvin Bagley III Offensive Rebound.,16,45
3:51,339,Foul on John Hall.,16,45
3:51,150,Official TV Timeout,16,45
3:51,150,Marvin Bagley III made Free Throw.,16,46
3:51,150,Marvin Bagley III missed Free Throw.,16,46
3:51,339,Evansville Defensive Rebound.,16,46
3:33,339,K.J. Riley missed Jumper.,16,46
3:33,150,Marvin Bagley III Defensive Rebound.,16,46
3:14,150,Wendell Carter Jr missed Jumper.,16,46
3:14,150,Marvin Bagley III Offensive Rebound.,16,46
3:10,339,Foul on Blake Simmons.,16,46
3:10,150,Marvin Bagley III made Free Throw.,16,47
3:10,150,Marvin Bagley III made Free Throw.,16,48
2:57,339,Dainius Chatkevicius made Dunk. Assisted by Noah Frederking.,18,48
2:47,150,Wendell Carter Jr made Jumper. Assisted by Trevon Duval.,18,50
2:07,339,Marty Hill missed Three Point Jumper.,18,50
2:07,150,Grayson Allen Defensive Rebound.,18,50
2:03,150,Marvin Bagley III missed Jumper.,18,50
2:03,339,Dainius Chatkevicius Defensive Rebound.,18,50
1:47,339,K.J. Riley Turnover.,18,50
1:47,150,Alex O'Connell Steal.,18,50
1:36,150,Wendell Carter Jr made Layup. Assisted by Grayson Allen.,18,52
1:36,339,Foul on Dainius Chatkevicius.,18,52
1:36,150,Wendell Carter Jr made Free Throw.,18,53
1:05,339,Evansville  Turnover.,18,53
0:55,150,Marvin Bagley III made Dunk. Assisted by Grayson Allen.,18,55
0:44,339,Marty Hill Turnover.,18,55
0:44,150,Gary Trent Jr Steal.,18,55
0:35,150,Grayson Allen made Three Point Jumper. Assisted by Jordan Goldwire.,18,58
0:14,150,Foul on Grayson Allen.,18,58
0:03,339,Dalen Traore missed Jumper.,18,58
0:03,150,Alex O'Connell Defensive Rebound.,18,58
0:00,150,End of 1st half,18,58
20:00,339,Jump Ball won by Evansville,18,58
19:38,150,Jump Ball won by Duke,18,58
19:38,339,Noah Frederking Turnover.,18,58
19:38,150,Gary Trent Jr Steal.,18,58
19:28,150,Wendell Carter Jr missed Three Point Jumper.,18,58
19:28,150,Marvin Bagley III Offensive Rebound.,18,58
19:23,339,Foul on John Hall.,18,58
19:15,150,Gary Trent Jr made Three Point Jumper. Assisted by Trevon Duval.,18,61
18:57,150,Foul on Trevon Duval.,18,61
18:50,339,Dainius Chatkevicius missed Layup.,18,61
